name,email,county,phone
1 Decembrie,primaria1dec@yahoo.com,Ilfov,021-3691315
Abram,primaria.abram@cjbihor.ro,Bihor,0259-326018
Abramut,primaria.abramut@cjbihor.ro,Bihor,
Abrud,primariaabrud@yahoo.com,Alba,0258-780519
Acis,primariaacas@yahoo.com,Satu Mare,
Acăţari,acatari@cjmures.ro,Mures,0265-333112
Adamclisi,primariaadamclisi@yahoo.com,Constanta,0241-854623
Adjud,primariaadjud@gmail.com,Vrancea,
Adunatii-Copaceni,adunatiicopaceni@yahoo.com,Giurgiu,
Adunaţi,adunati@prefecturaprahova.ro,Prahova,0244-395053
Adâncata,nicolaemarian.tatu@yahoo.com,Ialomita,0243-284015
Adâncata,padancata@yahoo.com,Suceava,0230-528566
Adămuş,adamus@cjmures.ro,Mures,0265-450112
Adăşeni,primaria_adaseni@yahoo.com,Botosani,0231-563100
Afumaţi,afumati@cjdolj.ro,Dolj,0251-318001
Agapia,primariaagapia@yahoo.com,Neamt,0233-244607
Aghireşu,aghiresu@yahoo.com,Cluj,
Agigea,secretariat@primaria-agigea.ro,Constanta,0241-738172
Agnita,office@primaria-agnita.ro,Sibiu,0269-510465
Agriş,primaria_agris@yahoo.com,Satu Mare,0261-878112
Agăş,primariaagas@yahoo.com,Bacau,0234-382036
Aita Mare,primariaaitamare@gmail.com,Covasna,0267-355582
Aiton,primariaaiton_ro@yahoo.com,Cluj,0264-310400
Aiud,office@aiud.ro,Alba,0258-861310
Alba Iulia,office@apulum.ro,Alba,0258-819462
Albac,primaria_albac@yahoo.com,Alba,0258-777501
Albeni,mica_liliana@yahoo.com,Gorj,0253-274484
Albeşti,primaria.albesti@yahoo.com,Botosani,0231-572140
Albeşti,primaria_loc.albesti@yahoo.com,Constanta,0241-736708
Albeşti,albestiprimaria@yahoo.com,Ialomita,0243-268002
Albeşti,albesti@cjmures.ro,Mures,0265-778001
Albeşti,chicireanu_mioara@yahoo.com,Vaslui,0235-344002
Albeşti-Paleologu,primariaalbesti@clicknet.ro,Prahova,0244-232853
Albeştii De Argeş,primaria_albestiidearges@yahoo.com,Arges,0248-735005
Albeştii De Muscel,primariaalbesti@yahoo.com,Arges,0248-555300
Albota,primarie@albota.cjarges.ro,Arges,0248-233187
Alexandru Cel Bun,primariaacbnt@yahoo.com,Neamt,0233-241018
Alexandru I. Cuza,primaria_aicuza@yahoo.com,Iasi,
Alexandru Odobescu,primaria_alodobescu@yahoo.com,Calarasi,
Alexandru Vlahuţă,primariavlahuta@yahoo.com,Vaslui,0235-429317
Alexeni,primaria_alexeni@yahoo.com,Ialomita,0243-249553
Aleşd,primaria.alesd@cjbihor.ro,Bihor,0259-342539
Aliman,primaria_aliman@yahoo.com,Constanta,0241-856207
Alimpeşti,mariananegreanu@gmail.com,Gorj,0253-275181
Alma,primaria.alma@sibiu.stslink.ro,Sibiu,0269-257545
Alma,primaria_alma@yahoo.com,Sibiu,0269-257545
Almaş,beteaimpex@gmail.com,Arad,0742904791
Almaşu,primariaalmasu.salaj@yahoo.com,Salaj,0260-626609
Almaşu Mare,primaria_almasu_mare@yahoo.com,Alba,0258-850105
Almăj,almaj@cjdolj.ro,Dolj,0251-449397
Altina,primaria.altana@yahoo.com,Sibiu,
Aluniş,primariaalunis@yahoo.com,Cluj,0264-263505
Aluniş,alunis@cjmures.ro,Mures,0265-553112
Aluniş,alunis@prefecturaprahova.ro,Prahova,0244-248052
Alunu,primaria_alunu@yahoo.com,Valcea,
Amara,consiliullocalamara@yahoo.com,Ialomita,0243-266102
Amzacea,primariaamzacea@yahoo.com,Constanta,0241-819913
Amărăşti,primaria_amarasti@yahoo.com,Valcea,0250-764022
Amărăştii De Jos,amarastii_de_jos@cjdolj.ro,Dolj,0251-374020
Amărăştii De Sus,amarastii_de_sus@cjdolj.ro,Dolj,0251-375311
Andrid,primariaandrid@yahoo.com,Satu Mare,0261-820409
Andrieşeni,andrieseniprimaria@yahoo.com,Iasi,0232-297488
Andrăşeşti,primaria.andrasesti.il@gmail.com,Ialomita,0243-267544
Anina,primar@anina.ro,Caras-Severin,0255-240115
Aninoasa,primariaaninoasa@yahoo.com,Arges,0248-577101
Aninoasa,aninoasadb@yahoo.com,Dambovita,0245-226214
Aninoasa,aninoasaprimaria@yahoo.com,Gorj,0253-477223
Apa,primaria.apa@gmail.com,Satu Mare,0261-843001
Apahida,apahida_cj@yahoo.com,Cluj,0264-231777
Apahida,fionel_apahida@yahoo.com,Cluj,0264-231777
Apaţa,primaria57apata@yahoo.com,Brasov,0268-284504
Apele Vii,apele_vii@cjdolj.ro,Dolj,0251-371607
Apold,apold@cjmures.ro,Mures,0265-713104
Apoldu De Jos,apoldudejos@gmail.com,Sibiu,0269-588101
Apostolache,apostolache@prefecturaprahova.ro,Prahova,0244-443008
Arad,pma@primariaarad.ro,Arad,0257-281850
Arbore,primaria_arbore@yahoo.com,Suceava,0230-539411
Arcani,primariaarcani@yahoo.com,Gorj,0253-278004
Archiş,primariaarchis@yahoo.com,Arad,0257-323553
Arcuş,arkos@planet.ro,Covasna,0267-373675
Ardeoani,primariaardeoani@yahoo.com,Bacau,0234-354122
Ardud,primaria.ardud@yahoo.com,Satu Mare,0261-767130
Ardusat,primaria@ardusat.ro,Maramures,0262-265242
Arefu,primaria.arefu@yahoo.com,Arges,0248-730210
Argetoaia,argetoaia@cjdolj.ro,Dolj,0251-452701
Aricestii Zeletin,primariaaricesti@yahoo.com,Prahova,
Ariceştii Rahtivani,pleseagabriela@yahoo.com,Prahova,0244-380080
Arieşeni,primariaarieseni@yahoo.com,Alba,0358-402989
Ariniş,mariana.pacurar@yahoo.com,Maramures,0262-265406
Armeniş,primaria_armenis@yahoo.com,Caras-Severin,0255-529604
Armăşeşti,prim_armasesti@yahoo.com,Ialomita,0243-288512
Aroneanu,primariaaroneanu@yahoo.com,Iasi,0232-299255
Arpaşu De Jos,arpasudejos@yahoo.com,Sibiu,0269-520101
Arsura,primaria.arsura@yahoo.com,Vaslui,0235-482019
Asuaju De Sus,primaria.asuaj@yahoo.com,Maramures,0262-267601
Asău,primaria_asau@yahoo.com,Bacau,0234-386338
Atid,primariaatid@citromail.hu,Harghita,092299849
Augustin,primariaaugustin@yahoo.com,Brasov,0268-284993
Auşeu,primaria.auseu@cjbihor.ro,Bihor,0259-447036
Avram Iancu,primariaavramiancu@mail.ro,Alba,0258-786057
Avram Iancu,primaria.avramiancu@cjbihor.ro,Bihor,0259-391092
Avrămeni,primaria_avrameni@yahoo.com,Botosani,0231-563133
Avrămeşti,avramesti@netter.ro,Harghita,0266-220024
Axente Sever,primaria_axsever@yahoo.com,Sibiu,0269-840001
Axintele,primariaaxintele@yahoo.com,Ialomita,0243-317778
Azuga,azuga@prefecturaprahova.ro,Prahova,0244-326300
Aşchileu,primariaaschileu@yahoo.com,Cluj,0264-286765
Aştileu,primaria.astileu@cjbihor.ro,Bihor,0259-349097
Aţel,primaria_atel@yahoo.com,Sibiu,0269-515714
Aţintiş,atintis@cjmures.ro,Mures,0265-714193
Baba Ana,babaana@prefecturaprahova.ro,Prahova,0244-251211
Babadag,contact@primaria-babadag.ro,Tulcea,0240-561012
Baciu,primariabaciu@yahoo.com,Cluj,0264-260314
Bacău,contactprimarie@primariabacau.ro,Bacau,0234-581504
Bahna,primaria@bahna.ro,Neamt,0233-760002
Bahnea,bahnea@cjmures.ro,Mures,0265-455112
Baia,primariacombaia@yahoo.com,Suceava,0230-540990
Baia,primariabaia@yahoo.com,Tulcea,0240-564138
Baia De Aramă,primaria_bda@yahoo.com,Mehedinti,0252-381473
Baia De Arieş,primbaia@yahoo.com,Alba,0258-775002
Baia De Criş,primaria.baia@clicknet.ro,Hunedoara,0254-682119
Baia De Fier,baiadefierprimaria@yahoo.com,Gorj,0253-461202
Baia Sprie,primaria@baiasprie.ro,Maramures,0262-262303
Bala,clbala@sejmh.ro,Mehedinti,0252-386001
Balaciu,primaria@balaciu.ro,Ialomita,0243-261244
Balc,primaria.balc@cjbihor.ro,Bihor,0259-326332
Balcani,primariabalcani@yahoo.com,Bacau,0234-380701
Baldovineşti,primaria.baldovinesti@gmail.com,Olt,0249-456577
Balinț,primariabalint@yahoo.com,Timis,0256-333201
Baloteşti,gulie.mariana@yahoo.com,Ilfov,
Balsa,primaria.balsa@yahoo.com,Hunedoara,0254-648001
Balta,clbalta@sejmh.ro,Mehedinti,0252-388001
Balta Albă,primariabaltaalba@gmail.com,Buzau,0238-590063
Balta Doamnei,baltadoamnei@prefecturaprahova.ro,Prahova,0244-469311
Balş,primaria@bals.ro,Olt,0249-450145
Balș,primariacomuneibals@yahoo.com,Iasi,0232-740067
Band,band@cjmures.ro,Mures,0265-428403
Bania,pavel.ban@cs.ro,Caras-Severin,0762758581
Banloc,banlocprimarie@yahoo.com,Timis,0256-417308
Baraolt,secretar@primariabaraolt.ro,Covasna,0267-377507
Barcani,primaria.barcani@yahoo.com,Covasna,0267-372331
Barcea,barcea_galati@hotmail.com,Galati,0236-335701
Baru,primariabaru@yahoo.com,Hunedoara,0254-778003
Bascov,primariabascov@yahoo.com,Arges,0248-270525
Bata,papucb.contabil@gmail.com,Arad,0257-434701
Batoş,batos@cjmures.ro,Mures,0265-544212
Batăr,primariabatar@yahoo.com,Bihor,0259-312268
Bazna,baznaprimaria@yahoo.com,Sibiu,0269-850102
Beba Veche,primariabebaveche@yahoo.com,Timis,0256-385501
Beceni,primariabeceni@yahoo.com,Buzau,0238-528631
Bechet,bechet@cjdolj.ro,Dolj,0251-336826
Becicherecu Mic,becicherecumic@yahoo.com,Timis,0256-378501
Beclean,secretariat@primariabeclean.ro,Bistrita-Nasaud,0263-343687
Beclean,secretariat@becleanbrasov.ro,Brasov,0268-518668
Beica De Jos,beica@cjmures.ro,Mures,0265-719700
Beidaud,primariabeidaud@yahoo.com,Tulcea,0240-564848
Beiuş,primaria.beius@cjbihor.ro,Bihor,0259-321935
Belceşti,primaria_belcesti@yahoo.com,Iasi,0232-724100
Belciugatele,primbelciugatele@yahoo.com,Calarasi,0242-643125
Beleţi-Negreşti,beleti_negresti@yahoo.com,Arges,0248-657225
Belin,vajdapiroska@freemail.hu,Covasna,0267-355760
Belint,primaria@belint.ro,Timis,0256-327165
Belinţ,primariabelint@gmail.com,Timis,0256-327165
Beliu,primariabeliu@gmail.com,Arad,0257-322239
Beltiug,primaria.beltiug@yahoo.com,Satu Mare,0261-870071
Benesat,benesatsj@yahoo.com,Salaj,0260-654184
Bengesti-Ciocadia,bengesti@yahoo.com,Gorj,
Berbeşti,primaria_berbestivl2006@yahoo.com,Valcea,0250-869345
Berca,secretar.berca@gmail.com,Buzau,0238-526537
Berceni,primaria_berceni@yahoo.com,Ilfov,021-3612703
