name,email,county,phone,partid_primar,partid_consiliu
1 Decembrie,primaria1dec@yahoo.com,Ilfov,021-3691315,ALIANȚA ELECTORALĂ PSD PNL,ALIANȚA ELECTORALĂ PSD PNL
Abram,primaria.abram@cjbihor.ro,Bihor,0259-326018,Partidul Național Liberal,Partidul Național Liberal
Abramut,primaria.abramut@cjbihor.ro,Bihor,,UDMR,UDMR
Abrud,primariaabrud@yahoo.com,Alba,0258-780519,Partidul Social Democrat,Partidul Social Democrat
Acis,primariaacas@yahoo.com,Satu Mare,,,
Acăţari,acatari@cjmures.ro,Mures,0265-333112,UDMR,UDMR
Adamclisi,primariaadamclisi@yahoo.com,Constanta,0241-854623,Partidul Social Democrat,Partidul Social Democrat
Adjud,primariaadjud@gmail.com,Vrancea,,Partidul Social Democrat,Partidul Social Democrat
Adunatii-Copaceni,adunatiicopaceni@yahoo.com,Giurgiu,,Partidul Național Liberal,Partidul Național Liberal
Adunaţi,adunati@prefecturaprahova.ro,Prahova,0244-395053,Partidul Național Liberal,Partidul Național Liberal
Adâncata,nicolaemarian.tatu@yahoo.com,Ialomita,0243-284015,Partidul Social Democrat,Partidul Social Democrat
Adâncata,padancata@yahoo.com,Suceava,0230-528566,Partidul Național Liberal,Partidul Național Liberal
Adămuş,adamus@cjmures.ro,Mures,0265-450112,UDMR,UDMR
Adăşeni,primaria_adaseni@yahoo.com,Botosani,0231-563100,Alianța pentru Unirea Românilor,Alianța pentru Unirea Românilor
Afumaţi,afumati@cjdolj.ro,Dolj,0251-318001,Partidul Social Democrat,Partidul Social Democrat
Agapia,primariaagapia@yahoo.com,Neamt,0233-244607,Partidul Social Democrat,Partidul Social Democrat
Aghireşu,aghiresu@yahoo.com,Cluj,,Partidul Național Liberal,UDMR
Agigea,secretariat@primaria-agigea.ro,Constanta,0241-738172,Partidul Social Democrat,Partidul Social Democrat
Agnita,office@primaria-agnita.ro,Sibiu,0269-510465,Partidul Național Liberal,Partidul Național Liberal
Agriş,primaria_agris@yahoo.com,Satu Mare,0261-878112,UDMR,UDMR
Agăş,primariaagas@yahoo.com,Bacau,0234-382036,Partidul Social Democrat,Partidul Social Democrat
Aita Mare,primariaaitamare@gmail.com,Covasna,0267-355582,UDMR,UDMR
Aiton,primariaaiton_ro@yahoo.com,Cluj,0264-310400,Partidul Național Liberal,Partidul Național Liberal
Aiud,office@aiud.ro,Alba,0258-861310,Partidul Social Democrat,Partidul Social Democrat
Alba Iulia,office@apulum.ro,Alba,0258-819462,Partidul Național Liberal,Partidul Național Liberal
Albac,primaria_albac@yahoo.com,Alba,0258-777501,Partidul Social Democrat,Partidul Social Democrat
Albeni,mica_liliana@yahoo.com,Gorj,0253-274484,Partidul Național Liberal,Partidul Național Liberal
