cui,denumire,telefon_anaf,sediu_judet,sediu_localitate
48543966,A&B WOOD COMPANY S.R.L.,0747764710,NEAMŢ,Mun. Roman
36316846,A&TAM AGRIUTILMASINI IMPORT SRL,0743906104,MUREŞ,Sat Leordeni Com. Gheorghe Doja
34769867,ACF SPEDITION SRL,0757472602,BIHOR,Sat Tilecuş Com. Tileagd
40340567,ACS FARM CONSTRUCT S.R.L.,0751039584,SATU MARE,Mun. Satu Mare
32624991,ACTIV AGRI TRADE SRL,0748130216,BIHOR,Sat Borş Com. Borş
49622383,ADELIN JUNIOR AGRO S.R.L.,0747916860,GALAŢI,Sat Cudalbi Com. Cudalbi
48877877,ADFLOR AGRO S.R.L.,0766539168,VÂLCEA,Sat Dângeşti Com. Berislăveşti
3934662,ADIACENT IMPEX S.R.L.,0744575675,MUREŞ,Mun. Târgu Mureş
8338440,ADINTER COMSERV SRL,092249413,BRAŞOV,Mun. Săcele
21985761,AFIBANAT SRL,0722239036,TIMIŞ,Mun. Timişoara
49563252,AFKO AGRO IRIGATII S.R.L.,0727895004,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
6422446,AGENT TRADE SRL,0724310142,ILFOV,Sat Tunari Com. Tunari
36947545,AGJO S.R.L.,0726715806,COVASNA,Sat Lunga Mun. Târgu Secuiesc
33635247,AGRAMIX GROUPE S.R.L.,0755931347,MARAMUREŞ,Loc. Tăuţii-Măgherăuş Orş. Tăuţii-Măgherăuş
34154462,AGRAMIX TRADING S.R.L.,0751157757,MARAMUREŞ,Mun. Baia Mare
18744542,AGRAR CLIMA SRL,0368414029,BRAŞOV,Mun. Codlea
31430008,AGRAR KRAFT SERVICE SRL,0740303542,NEAMŢ,Mun. Piatra Neamţ
36090098,AGRAR TECH SRL,0766093637,IAŞI,Mun. Iaşi
30701010,AGREPAIR SRL,0743218628,TIMIŞ,Sat Săcălaz Com. Săcălaz
11359108,AGRESTIS SRL,0740081740,SATU MARE,Mun. Satu Mare
25199660,AGRI - CONCEPT INTERNATIONAL S.R.L.,0212693418,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
43903630,AGRI COOL PAVEL S.R.L.,0740704111,HARGHITA,Sat Beteşti Orş. Cristuru Secuiesc
24796139,AGRI INOVATIE SRL,0256492484,TIMIŞ,Mun. Timişoara
15213031,AGRI MACHINE S.R.L.,0237244478,VRANCEA,Sat Jilişte Com. Slobozia Ciorăşti
24819658,AGRI MODERN UTILAJ S.R.L.,0748137249,BIHOR,Sat Inand Com. Cefa
6700518,AGRI SIGEVA SRL,0722529586,BRAŞOV,Mun. Săcele
52652104,AGRI SPRAYERS EXIM S.R.L.,0748227447,BRĂILA,Mun. Brăila
50287789,AGRI TECH EQUIPMENT S.R.L.,0747013650,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
26426345,AGRI TOCAN S.R.L.,0722411657,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
47872103,AGRI WHEELS S.R.L.,0723565988,NEAMŢ,Sat Cordun Com. Cordun
21224140,AGRI-ALIANTA SRL,031 730 91 03,ILFOV,Sat Şindriliţa Com. Găneasa
44757436,AGRICARUTIL D.I. S.R.L.,0742355532,GALAŢI,Mun. Galaţi
27186321,AGRICOL UNIVERSAL SRL,0243255520,IALOMIŢA,Mun. Urziceni
16191640,AGRICOLE DAMIAN IMPEX 2004 SRL,0256355834,TIMIŞ,Mun. Lugoj
28209180,AGRICULTURAL GREENHOUSES S.R.L.,0726287799,ARAD,Mun. Arad
40241040,AGRIDAN UTILAJE S.R.L.,0721335170,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
28084125,AGRIMERT IMPORT S.R.L.,0268252256,BRAŞOV,Mun. Codlea
47900475,AGRIMILK INTERNATIONAL S.R.L.,00359879166162,IALOMIŢA,Mun. Slobozia
47471810,AGRIMOND SERV S.R.L.,0768535282,GALAŢI,Mun. Tecuci
36240560,AGRIN - NATURA UTILAJE SRL,0767776077,DOLJ,Mun. Craiova
9416538,AGRIROMEX A.D. S.R.L.,0213160165,MUNICIPIUL BUCUREŞTI,Sector 5 Mun. Bucureşti
22449427,AGRISOLV WASTE SRL,3208152,MUNICIPIUL BUCUREŞTI,Sector 2 Mun. Bucureşti
14349460,AGRISORG SRL,0730511050,BIHOR,Sat Săcădat Com. Săcădat
18676405,AGRITEHNICA SERVICE S.R.L.,0332104998,IAŞI,Mun. Iaşi
19108624,AGRITEHNICA SERVICE SRL,0234255000,BACĂU,Sat Valea Seacă Com. Valea Seacă
16497365,AGRITERRA SRL,0733955088,ARGEŞ,Mun. Piteşti
34070973,AGRIZOOTEK SRL,0741328307,CLUJ,Sat Aghireşu-Fabrici Com. Aghireşu
28541260,AGRO BASIC SRL,0749232395,TIMIŞ,Sat Dumbrăviţa Com. Dumbrăviţa
14682293,AGRO BUSINESS CENTER S.R.L.,0723097832,TIMIŞ,Mun. Timişoara
37155292,AGRO CLUB DB SRL,0765297075,TIMIŞ,Sat Ciacova Orş. Ciacova
38214605,AGRO COLOMBO 2017 SRL,0756597788,TIMIŞ,Sat Temereşti Orş. Făget
26617167,AGRO CONEX TRADING S.R.L.,0241690894,CONSTANŢA,Mun. Constanţa
28965990,AGRO DEMCOMPLEX SRL,0744139358,HARGHITA,Mun. Odorheiu Secuiesc
10330375,AGRO FRANCE PIECES SRL,0745255155,TIMIŞ,Mun. Timişoara
50262733,AGRO IRRIGATION MACHINERY S.R.L.,0742011035,OLT,Mun. Slatina
36925024,AGRO KUBALAK SRL,0730247164,BIHOR,Sat Valea Târnei Com. Şinteu
13728775,AGRO LEGATO RO SRL,068473014,BRAŞOV,Mun. Braşov
28064810,AGRO MONADORA S.R.L.,0744288876,MARAMUREŞ,Sat Fărcaşa Com. Fărcaşa
49919806,AGRO PARTS EU-RO S.R.L.,0726462236,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti
12301090,AGRO PATAKI SRL,0261863227,SATU MARE,Mun. Carei
34939880,AGRO POUNDER SRL,0754061012,CONSTANŢA,Mun. Constanţa
50281611,AGRO RECUPERATE RO S.R.L.,0727098398,MUNICIPIUL BUCUREŞTI,Sector 1 Mun. Bucureşti
30425879,AGRO SALSO SRL,0751467373,BIHOR,Mun. Salonta
18067844,AGRO TIP-TOP SRL,0743097055,HARGHITA,Sat Satu Mare Com. Satu Mare
18454344,AGRO TRADING SRL,0240550056,TULCEA,Sat Jijila Com. Jijila
38544530,AGRO VESELKA S.R.L.,0754286102,BIHOR,Sat Valea Târnei Com. Şinteu
19275967,AGRO ZARA GROUP SRL,0723602267,CONSTANŢA,Mun. Constanţa
15343015,AGRO-DOKTOR-COM SRL,0722848369,HARGHITA,Sat Sânmartin Com. Sânmartin
89750,AGRO-ENIGMA S.R.L.,0359191113,BIHOR,Mun. Marghita
41940047,AGRO-FARMING PARK S.R.L.,0721667744,ARAD,Orş. Pecica
18497213,AGRO-PROMT S.R.L.,0722631244,COVASNA,Mun. Sfântu Gheorghe
38042453,AGROBOZGA SRL,0725437540,CLUJ,Sat Ciuleni Com. Mărgău
26256658,AGROCOM LUCIAN S.R.L.,0742597548,SATU MARE,Sat Decebal Com. Vetiş
1822832,AGROCOMERT HOLDING SA,0256408500,TIMIŞ,Sat Săcălaz Com. Săcălaz
14116987,AGROCOMERT S.R.L.,0265124675,MUREŞ,Mun. Târgu Mureş
39046860,AGRODANTON S.R.L.,0749284567,BIHOR,Sat Valea Târnei Com. Şinteu
38707875,AGRODAV MACHINERY S.R.L.,0748044248,SATU MARE,Sat Homorodu de Mijloc Com. Homoroade
43785276,AGRODORIN COMERT S.R.L.,0767023436,TIMIŞ,Sat Belint Com. Belint
13818932,AGROELF S.R.L.,0723275557,ILFOV,Sat Vârteju Orş. Măgurele
17506410,AGROFEDE TRADE SRL,0745820286,PRAHOVA,Sat Valea Călugărească Com. Valea Călugărească
34046550,AGROGHID TEHMASTER S.R.L.,0742077660,GALAŢI,Mun. Galaţi
44070580,AGROHOF FOLDVARI GROUP S.R.L.,0726674080,BIHOR,Mun. Salonta
23789567,AGROIMOBILIARE SRL,0744592976,CLUJ,Sat Sânnicoară Com. Apahida
52305660,AGROIREM S.R.L.,0724079959,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti
43500093,AGROKRISZ COLONIA S.R.L.,0747991034,CLUJ,Sat Colonia Com. Tritenii de Jos
25196051,AGROLAND CONSULT SRL,0745143383,BRAŞOV,Sat Viştea de Jos Com. Viştea
48891219,AGROLAND IMPORT S.R.L.,0733724331,TIMIŞ,Mun. Lugoj
16829669,AGROLIGHT SRL,0727838122,DOLJ,Sat Cârcea Com. Cârcea
28366835,AGROLINE UTILAJ S.R.L.,0746070705,BIHOR,Mun. Oradea
14672346,AGROM-COM SRL,319968,MUREŞ,Sat Sângeorgiu de Mureş Com. Sângeorgiu de Mureş
8714870,AGROMASINI S.R.L.,049451902,OLT,Orş. Balş
48857187,AGROMAXELL S.R.L.,0756999983,MUREŞ,Sat Sâncraiu de Mureş Com. Sâncraiu de Mureş
1485567,AGROMEC DRAGASANI S.R.L.,0250810450,VÂLCEA,Mun. Drăgăşani
3321870,AGROMEC STEFANESTI SA,3501927,ILFOV,Com. Ştefăneştii de Jos
39957047,AGROMECANICA BANAT S.R.L.,0728051620,TIMIŞ,Sat Gherman Com. Jamu Mare
38617810,AGRONORD INVESTIMPEX S.R.L.,0744405130,NEAMŢ,Sat Ion Creangă Com. Ion Creangă
18530042,AGRONSOL S.R.L.,3277546,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
41199009,AGROPARK TRADING S.R.L.,0743139135,IALOMIŢA,Mun. Slobozia
43637709,AGROPARTS CRIS S.R.L.,0720066657,ARAD,Sat Nădab Orş. Chişineu-Criş
14283390,AGROPROIECT SRL,0213248731,MUNICIPIUL BUCUREŞTI,Sector 3 Mun. Bucureşti
36147305,AGROREPAR AZ S.R.L.,0746160889,GALAŢI,Mun. Galaţi
47825047,AGROSAN PARTENER S.R.L.,0729825558,BIHOR,Mun. Oradea
1757467,AGROSERVICE S.A.,025881224,ALBA,Mun. Alba Iulia
32273211,AGROSERVICII TM SRL,0729590323,TIMIŞ,Mun. Timişoara
32141512,AGROSIDOM SRL,0749101600,BRAŞOV,Sat Lovnic Com. Jibert
29924700,AGROSTEEL IMPEX SRL,0036309467994,BIHOR,Mun. Oradea
48650350,AGROSUCCES TRADE S.R.L.,+37376010000,ILFOV,Sat Afumaţi Com. Afumaţi
41266060,AGROTEAM EXPERT S.R.L.,0742916833,TIMIŞ,Sat Remetea Mare Com. Remetea Mare
24452950,AGROTEAM TRADING SRL,0236311032,GALAŢI,Mun. Galaţi
38053533,AGROTEC ENGINEERING SRL,0752200991,CONSTANŢA,Mun. Constanţa
45332956,AGROTECH BÎRGUAN S.R.L.,+39389598057,SUCEAVA,Orş. Cajvana
28362167,AGROTECH OLTENIA SRL,0744597476,OLT,Sat Slătioara Com. Slătioara
39970402,AGROTEH ELIT MASTER S.R.L.,0720.890367,GALAŢI,Mun. Galaţi
30512142,AGROTOOLS INVEST SRL,0770125250,ARAD,Mun. Arad
