DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

1. AGROSERVICE S.A. | ALBA | CAEN:4661 | 025881224
2. APIS SRL | ALBA | CAEN:4661 | 0258711428
3. CARPATI PROD S.R.L. | ALBA | CAEN:4661 | 025873164
4. AGRO-VARRO S.R.L. | ALBA | CAEN:4661 | 
5. GADI TRUST SRL | ALBA | CAEN:4661 | 
6. APA ANABELA SRL | ALBA | CAEN:4661 | 
7. DN FARM CONCEPT SRL | ALBA | CAEN:4661 | 
8. MOHAMED KAMAL ALI SRL | ALBA | CAEN:4661 | 
9. AGROLAND UTILAJE SRL | ALBA | CAEN:4661 | 
10. AGROMAR UTIL SRL | ALBA | CAEN:4661 | 
11. AGROFAO M.H.V. TRANSILVANIA SRL | ALBA | CAEN:4661 | 
12. SHURA SOLUTIONS SRL | ALBA | CAEN:4661 | 
13. POP G. IOAN OVIDIU ÎNTREPRINDERE INDIVIDUALĂ | ALBA | CAEN:4661 | 
14. AUTOSPEED MUNTEAN S.R.L. | ALBA | CAEN:4661 | 
15. ODVEREMEAN DANIEL NICOLAE ÎNTREPRINDERE INDIVIDUALĂ | ALBA | CAEN:4661 | 
16. BEE PRY S.R.L. | ALBA | CAEN:4661 | 
17. APICOLA REGINETTA S.R.L. | ALBA | CAEN:4661 | 
18. FERMIERUL APUSENI S.R.L. | ALBA | CAEN:4661 | 
19. CYPCA BEOAGRO S.R.L. | ALBA | CAEN:4661 | 
20. MECANIC-SHOP-STAR S.R.L. | ALBA | CAEN:4661 | 
21. AGRILAND SOLUTION MACHINERY S.R.L. | ALBA | CAEN:4661 | 
22. GRUVO SERV S.R.L. | ALBA | CAEN:4661 | 
23. AGRO LINK SOLUTIONS S.R.L. | ALBA | CAEN:4661 | 
24. AGROTUTU PREST S.R.L. | ALBA | CAEN:4661 | 0751115830
25. COM-UNIVERSAL SRL | ARAD | CAEN:4661 | 276566
26. BEYNE AGROROM SRL | ARAD | CAEN:4661 | 0257276879
27. ALFA - AGROMECH S.R.L. | ARAD | CAEN:4661 | 0257350132
28. VALABRI SRL | ARAD | CAEN:4661 | 
29. COM NICO MOTORS SRL | ARAD | CAEN:4661 | 
30. PRIME GROUP S.R.L. | ARAD | CAEN:4661 | 0721190006
31. PRO - TOOL SRL | ARAD | CAEN:4661 | 0257256359
32. IRIS GRANDE S.R.L. | ARAD | CAEN:4661 | 
33. TRACTOR POINT S.R.L. | ARAD | CAEN:4661 | 0723112222
34. STANTRACT SRL | ARAD | CAEN:4661 | 0743119644
35. ZETOR TRACTOR SRL | ARAD | CAEN:4661 | 0357440500
