cui,denumire,caen,nr_reg_com,forma_juridica,sediu_judet,sediu_localitate,sediu_strada,sediu_nr,sediu_cod_postal,adresa,telefon_anaf,fax,cod_postal,data_inregistrare,stare,status_tva,email,email2,website,cifra_afaceri_ron,cifra_afaceri_eur,angajati,an_infiintare
48543966,A&B WOOD COMPANY S.R.L.,4661,J27/742/2023,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,NEAMŢ,Mun. Roman,Str. Dimitrie Cantemir,9,611070,"JUD. NEAMŢ, MUN. ROMAN, STR. DIMITRIE CANTEMIR, NR.9, CAMERA 1",0747764710,,611070,2023-07-26,INREGISTRAT din data 26.07.2023,False,,,,,,,
36316846,A&TAM AGRIUTILMASINI IMPORT SRL,4661,J26/984/2016,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUREŞ,Sat Leordeni Com. Gheorghe Doja,LEORDENI,75,547262,"JUD. MUREŞ, SAT LEORDENI COM. GHEORGHE DOJA, LEORDENI, NR.75",0743906104,,547262,2016-07-14,INREGISTRAT din data 14.07.2016,True,,,,,,,
42854556,A50 PREMIUM SERVICE UTILAJE S.R.L.,4661,J2020008987404,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 4 Mun. Bucureşti,Drm. Gilăului,11K,41715,"MUNICIPIUL BUCUREŞTI, SECTOR 4, DRM GILĂULUI, NR.11K",,,41715,2020-07-31,INREGISTRAT din data 31.07.2020,True,,,,,,,
34769867,ACF SPEDITION SRL,4661,J05/1111/2015,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BIHOR,Sat Tilecuş Com. Tileagd,TILECUŞ,390,417589,"JUD. BIHOR, SAT TILECUŞ COM. TILEAGD, TILECUŞ, NR.390",0757472602,,417589,2015-07-13,INREGISTRAT din data 13.07.2015,False,,,,,,,
18977530,ACHISEB IMPEX SRL,4661,J27/1001/2006,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,NEAMŢ,Orş. Târgu Neamţ,Str. Daciei,9,615200,"JUD. NEAMŢ, ORŞ. TÂRGU NEAMŢ, STR. DACIEI, NR.9",,,615200,2006-08-31,INREGISTRAT din data 30.08.2006,True,,,,,,,
24509568,ACL MOBILE CAR WASH SRL,4661,J06/976/2008,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BISTRIŢA-NĂSĂUD,Loc. Viişoara Mun. Bistriţa,Str. Izvorul Sărat,96,420006,"JUD. BISTRIŢA-NĂSĂUD, LOC. VIIŞOARA MUN. BISTRIŢA, STR. IZVORUL SĂRAT, NR.96",,,420006,2008-09-24,INREGISTRAT din data 24.09.2008,True,,,,,,,
45824630,ACMZ SUD SERVICE S.R.L.,4661,J16/647/2022,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,DOLJ,Mun. Craiova,Str. Amaradia,57,200170,"JUD. DOLJ, MUN. CRAIOVA, STR. AMARADIA, NR.57, BL.D1, SC.2, AP.1",,,200170,2022-03-21,INREGISTRAT din data 18.03.2022,False,,,,,,,
30447907,ACS AGRI S.R.L.,4661,J40/12753/2021,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,MUNICIPIUL BUCUREŞTI,Sector 6 Mun. Bucureşti,Str. Cupolei,1,61152,"MUNICIPIUL BUCUREŞTI, SECTOR 6, STR. CUPOLEI, NR.1, BL.106, SC.F, AP.238",,,61152,2012-07-19,TRANSFER(SOSIRE) din data 22.07.2021,False,,,,,,,
40340567,ACS FARM CONSTRUCT S.R.L.,4661,J2020000678267,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,SATU MARE,Mun. Satu Mare,Str. Spicului,13,,"JUD. SATU MARE, MUN. SATU MARE, STR. SPICULUI, NR.13",0751039584,,,2018-12-20,TRANSFER(SOSIRE) din data 03.02.2025,True,,,https://acsconstruct.ro,,,,
32624991,ACTIV AGRI TRADE SRL,4661,J05/1074/2015,SOCIETATE COMERCIALĂ CU RĂSPUNDERE LIMITATĂ,BIHOR,Sat Borş Com. Borş,BORŞ,179,417075,"JUD. BIHOR, SAT BORŞ COM. BORŞ, BORŞ, NR.179, CAMERA 3",0748130216,,417075,2014-01-07,TRANSFER(SOSIRE) din data 06.07.2015,False,,,,,,,
