cui,denumire,email,website,found_at,method
40340567,ACS FARM CONSTRUCT S.R.L.,,https://acsconstruct.ro,2026-04-08T15:16:19.914723,domain_guess
21985761,AFIBANAT SRL,office@afibanat.ro,https://afibanat.ro,2026-04-08T15:16:41.346135,domain_guess
6422446,AGENT TRADE SRL,office@agt.ro,https://agent-trade.ro,2026-04-08T15:16:48.759801,domain_guess
34154462,AGRAMIX TRADING S.R.L.,contact@agramix.ro,https://agramix.ro,2026-04-08T15:17:17.697770,domain_guess
18744542,AGRAR CLIMA SRL,info@agrarclima.ro,https://agrarclima.ro,2026-04-08T15:17:21.571476,domain_guess
36090098,AGRAR TECH SRL,contact@pieseagricultura.ro,https://agrartech.ro,2026-04-08T15:17:30.125937,domain_guess
11359108,AGRESTIS SRL,comenzi@agrestis.ro,https://agrestis.ro,2026-04-08T15:18:01.285476,domain_guess
40017052,AGRI COSAD UTILAJE S.R.L.,agricosad@gmail.com,https://agricosad.ro,2026-04-08T15:18:17.831219,domain_guess
24796139,AGRI INOVATIE SRL,contact@agri-inovatie.ro,https://agri-inovatie.ro,2026-04-08T15:18:29.673005,domain_guess
26426345,AGRI TOCAN S.R.L.,contact@agritocan.ro,https://agritocan.ro,2026-04-08T15:19:13.628781,domain_guess
21224140,AGRI-ALIANTA SRL,office@agrialianta.com,https://agrialianta.ro,2026-04-08T15:19:45.154534,domain_guess
27186321,AGRICOL UNIVERSAL SRL,contact@agricoluniversal.ro,https://agricoluniversal.ro,2026-04-08T15:19:56.594527,domain_guess
47192948,AGRICOSAD S.R.L.,agricosad@gmail.com,https://agricosad.ro,2026-04-08T15:20:15.943508,domain_guess
40241040,AGRIDAN UTILAJE S.R.L.,office@agridan.ro,https://agridan.ro,2026-04-08T15:20:23.583203,domain_guess
39459069,AGRIKOM TRADING S.R.L.,office@agrikom.ro,https://agrikom.ro,2026-04-08T15:20:32.978234,domain_guess
44237620,AGRILAND SOLUTION MACHINERY S.R.L.,contact@agrilandsolutionmachinery.ro,https://agrilandsolutionmachinery.ro,2026-04-08T15:20:51.699178,domain_guess
39904182,AGRIMEC STORE S.R.L.,office@agrimecstore.ro,https://agrimecstore.ro,2026-04-08T15:21:05.476696,domain_guess
41118551,AGRIROM UTILAJE S.R.L.,contact@irigam.ro,https://agrirom.ro,2026-04-08T15:21:28.139115,domain_guess
17005479,AGRITECH S.R.L.,office@agritech.ro,https://agritech.ro,2026-04-08T15:22:17.378417,domain_guess
18676405,AGRITEHNICA SERVICE S.R.L.,contact@agritehnica.ro,https://www.agritehnica.ro,2026-04-08T15:22:37.638107,domain_guess
19108624,AGRITEHNICA SERVICE SRL,contact@agritehnica.ro,https://agritehnica.ro,2026-04-08T15:22:49.113552,domain_guess
18178753,AGRITIM SRL,contact@agritim.ro,https://agritim.ro,2026-04-08T15:23:02.594062,domain_guess
34070973,AGRIZOOTEK SRL,office@agrizootek.ro,https://agrizootek.ro,2026-04-08T15:23:14.217811,domain_guess
28541260,AGRO BASIC SRL,office@agrobasic.ro,https://agrobasic.ro,2026-04-08T15:23:25.233925,domain_guess
6919080,AGRO CONEX S.R.L.,,https://agroconex.ro,2026-04-08T15:23:38.056931,domain_guess
26617167,AGRO CONEX TRADING S.R.L.,,https://agroconex.ro,2026-04-08T15:23:45.093633,domain_guess
42709980,AGRO DRONE S.R.L.,,https://agrodrone.ro,2026-04-08T15:23:54.645444,domain_guess
10558730,AGRO MAX SRL,info@dairymax.ro,https://agromax.ro,2026-04-08T15:24:13.121895,domain_guess
36509421,AGRO MUR LAND SRL,office@agromurland.ro,https://agromurland.ro,2026-04-08T15:24:20.707891,domain_guess
12301090,AGRO PATAKI SRL,adresa-ta-de@e-mail.com,https://agropataki.ro,2026-04-08T15:24:29.642656,domain_guess
