Proiect,Tip,Fisier,Ce face,Status
ASOCIATII,cod,generate_ong_registry.py,Genereaza registrul complet ONG,INGHETAT
ASOCIATII,cod,generate_ong_shortlist.py,Filtreaza top 5000 ONG-uri,INGHETAT
ASOCIATII,cod,deploy_ong_to_raspibig.py,Trimite datele in PostgreSQL pe raspibig,INGHETAT
ASOCIATII,cod,raspibig_ong_ingest_remote.py,Ingestie date pe raspibig,INGHETAT
ASOCIATII,date,ONG_ACTIVE.csv,Toate ONG-urile active din Romania,INGHETAT
ASOCIATII,date,ONG_REGISTRU_NATIONAL.csv,Extras registru national,INGHETAT
ASOCIATII,date,ONG_SHORTLIST_5000.csv,Top 5000 filtrate,INGHETAT
ASOCIATII,date,ONG_SUMAR_JUDETE.csv,Sumar pe judete,INGHETAT
ASOCIATII,date,ONG_SUMAR_LOCALITATI.csv,Sumar pe localitati,INGHETAT
ASOCIATII,date,JUDETE_ORASE_RO.csv,"Judete si orase Romania (4706 randuri)",INGHETAT
ASOCIATII,date,ong_pe_judete/ong_active_*.csv,42 fisiere pe judet,INGHETAT
CHINA,scraper,made_in_china.py,Scrapeaza listari producatori Made-in-China.com,CERCETARE
CHINA,scraper,nbs_china_api.py,API Biroul National Statistica China,CERCETARE
CHINA,scraper,un_comtrade.py,Statistici comert international UN Comtrade,CERCETARE
CHINA,date,electronics_20260322.csv,Producatori electronice,CERCETARE
CHINA,date,machinery_20260322.csv,Producatori utilaje industriale,CERCETARE
CHINA,date,china_trade_2020_2024.csv,Comert China 2020-2024,CERCETARE
CHINA,date,gdp_20260322.csv,Date PIB China,CERCETARE
CHINA,date,cpi_20260322.csv,Indice preturi consum China,CERCETARE
CHINA,date,industrial_output_20260322.csv,Productie industriala China,CERCETARE
CHINA,date,exports_total_20260322.csv,Exporturi totale China,CERCETARE
CHINA,date,chinese_ie_sample.csv,Esantion companii import/export,CERCETARE
COOPERATIVA,cod,week1_consolidate_producers.py,Consolideaza 140 producatori,INGHETAT
COOPERATIVA,cod,week1_segment_buyers.py,Segmenteaza cumparatori hipermarket/diaspora,INGHETAT
COOPERATIVA,date,cooperatives_full.csv,Toate cooperativele,INGHETAT
COOPERATIVA,date,master_producers_consolidated.csv,Lista master 140 producatori,INGHETAT
COOPERATIVA,date,hypermarket_targets_25emails.csv,25 contacte hipermarket UE,INGHETAT
COOPERATIVA,date,italy_diaspora_shops_sample.csv,Magazine diaspora Italia,INGHETAT
DATING,plan,FDATING_SEARCH.md,Plan cautare fdating.com,PLANIFICAT
FOOD,cod,create_db.py,Initializeaza baza de date industrie alimentara,ACTIV
FOOD,cod,consolidate.py,Combina toate sursele de date alimentare,ACTIV
FOOD,cod,segment_and_analyze.py,Segmenteaza companii dupa tip/dimensiune,ACTIV
FOOD,cod,enrich_food_raspibig.py,Imbogateste contacte din raspibig DB,ACTIV
FOOD,cod,deep_enrich_raspibig.py,Imbogatire profunda (telefon email ANAF),ACTIV
FOOD,cod,fuzzy_enrich_raspibig.py,Potrivire fuzzy pentru imbogatire,ACTIV
FOOD,cod,enrich_from_db.py,Imbogatire bazata pe DB,ACTIV
FOOD,cod,enrich_master_index.py,Imbogatire index master,ACTIV
FOOD,cod,enrich_seap_winners.py,Imbogateste 3030 castigatori SEAP alimentari,ACTIV
FOOD,cod,ultimate_enrich_raspibig.py,Trecere finala imbogatire,ACTIV
FOOD,cod,web_email_finder.py,Scrapeaza site-uri web pentru adrese email,ACTIV
FOOD,cod,query_food_contacts.py,Interogheaza contacte imbogatite,ACTIV
FOOD,cod,scan_all_sources.py,Scaneaza toate sursele de date alimentare,ACTIV
FOOD,cod,seap_extract.py,Extrage date achizitii publice SEAP,ACTIV
FOOD,cod,seap_cross_match.py,Potriveste SEAP cu DB companii,ACTIV
FOOD,cod,seap_food_alerts.py,Alerte licitatii alimentare noi,ACTIV
FOOD,cod,seap_alert_dispatcher.py,Trimite alerte licitatii,ACTIV
FOOD,cod,faliment_cross_match.py,Potriveste companii alimentare cu insolventa,ACTIV
FOOD,cod,faliment_opportunities.py,Gaseste oportunitati active falimentare,ACTIV
