judet,resedinta,orase_prioritare
Alba,Alba Iulia,"Sebes; Aiud; Blaj"
Arad,Arad,"Lipova; Ineu; Curtici"
Arges,Pitesti,"Campulung; Curtea de Arges; Mioveni"
Bacau,Bacau,"Onesti; Moinesti; Comanesti"
Bihor,Oradea,"Marghita; Salonta; Beius"
Bistrita-Nasaud,Bistrita,"Beclean; Nasaud; Sangeorz-Bai"
Botosani,Botosani,"Dorohoi; Darabani; Saveni"
Braila,Braila,"Ianca; Faurei; Insuratei"
Brasov,Brasov,"Fagaras; Sacele; Codlea"
Bucuresti,Bucuresti,"Sector 1; Sector 2; Sector 3; Sector 4; Sector 5; Sector 6"
Buzau,Buzau,"Ramnicu Sarat; Nehoiu; Pogoanele"
Caras-Severin,Resita,"Caransebes; Oravita; Moldova Noua"
Calarasi,Calarasi,"Oltenita; Lehliu Gara; Budesti"
Cluj,Cluj-Napoca,"Turda; Dej; Campia Turzii"
Constanta,Constanta,"Mangalia; Medgidia; Navodari"
Covasna,Sfantu Gheorghe,"Targu Secuiesc; Covasna; Baraolt"
Dambovita,Targoviste,"Moreni; Gaesti; Pucioasa"
Dolj,Craiova,"Bailesti; Calafat; Filiasi"
Galati,Galati,"Tecuci; Targu Bujor; Beresti"
Giurgiu,Giurgiu,"Bolintin-Vale; Mihailesti"
Gorj,Targu Jiu,"Motru; Rovinari; Targu Carbunesti"
Harghita,Miercurea Ciuc,"Odorheiu Secuiesc; Gheorgheni; Toplita"
Hunedoara,Deva,"Hunedoara; Petrosani; Orastie"
Ialomita,Slobozia,"Fetesti; Urziceni; Tandarei"
Iasi,Iasi,"Pascani; Harlau; Targu Frumos"
Ilfov,Bucuresti,"Voluntari; Pantelimon; Buftea; Otopeni; Popesti-Leordeni"
Maramures,Baia Mare,"Sighetu Marmatiei; Borsa; Viseu de Sus"
Mehedinti,Drobeta-Turnu Severin,"Orsova; Strehaia; Vanju Mare"
Mures,Targu Mures,"Sighisoara; Reghin; Tarnaveni"
Neamt,Piatra Neamt,"Roman; Targu Neamt; Bicaz"
Olt,Slatina,"Caracal; Bals; Corabia"
Prahova,Ploiesti,"Campina; Sinaia; Mizil"
Satu Mare,Satu Mare,"Carei; Negresti-Oas; Tasnad"
Salaj,Zalau,"Simleu Silvaniei; Jibou; Cehu Silvaniei"
Sibiu,Sibiu,"Medias; Cisnadie; Avrig"
Suceava,Suceava,"Falticeni; Radauti; Campulung Moldovenesc"
Teleorman,Alexandria,"Rosiorii de Vede; Turnu Magurele; Zimnicea"
Timis,Timisoara,"Lugoj; Sannicolau Mare; Jimbolia"
Tulcea,Tulcea,"Babadag; Macin; Isaccea"
Vaslui,Vaslui,"Barlad; Husi; Negresti"
Valcea,Ramnicu Valcea,"Dragasani; Calimanesti; Horezu"
Vrancea,Focsani,"Adjud; Marasesti; Odobesti"
