priority_rank	priority_score	priority_reason	judet_rank_active	localitate_total_active	categorie	denumire	numar_registru_national	status_normalizat	judet_cheie	localitate_cheie	judet	localitate	adresa	scop_initial	hg_utilitate_publica	data_hg_utilitate_publica	sursa_url
1	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA DIN TRANSPORTURI SI SERVICII PUBLICE ""ATU-ROMÂNIA"""	10/C/2010	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR. VICTOR EFITIMIU NR.2, SECTOR 1	"de a uni eforturile Sindicatelor membre în vederea obtinerii, pastrarii si apararii drepturilor colective, precum si negocierea Contractului Colectiv de Munca la diferite nivele. Sindicatele membre ale Federatiei ""ATU_ROMÂNIA"" au autonomie deplina juridica, financiara si patrimoniala. Federatia ""ATU-ROMÂNIA"" poate desfasura orice actiune cu caracter social, economic, cultural, educaativ, în conditiile legii si se poate afilia în functie de interesul propriu la orice organizatie interna sau internationala."			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
2	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA NATIONALA ""UNIREA"" A PENSIONARILOR DIN ROMANIA"""	80/C/2006	activa	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti	str. Afluentului nr. 17, sector 1	- APARA INTERESELE MEMBRILOR CONFEDERATIEI UNIREA PE PLAN ECONOMIC, SOCIAL SI CULTURAL			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
3	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA NATIONALA MINE ENERGIE"""	42/C/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.ION CÂMPINEANU NR.20, SECTOR 1	- a) de a-si face cunoscute principiile si a le aplica în viata economica si sociala, contribuind activ la dezvoltarea si integrarea comunitatilor mineresti într-o Românie democratica, întemeiata pe valorile moralei crestine;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
4	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA PATRONALA ENERGETICA"" - FED.""E"""	39/C/2003	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR.GRIGORE ALEXANDRESCU NR.9, SECTOR 1	- stabilirea unei strategii pentru dezvoltarea energetică a României;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
5	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA PATRONATELOR DIN BUCURESTI""- F.P.B."	68/C/2006	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	B-DUL ION MIHALACHE NR.321, SECTORUL 1	a) Creşterea si îmbunatatirea gradului de reprezentarea sociala a Patronatului în relatiile cu partenerii de dialog social, în special la nivelul euro-regional.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
6	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERATIA ROMANA DE TIR SPORTIV"""	41/C/2002	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.VADUL MOLDOVEI NR.14, SECTOR 1	- promovarea, organizarea, sprijinul şi controlul activităţii de tir sportiv din România, sub toate formele sale, fără discriminări politice, rasiale sau religioase;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
7	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERAŢIA MARELUI ORIENT AL ROMÂNIEI"" ""FEDERAŢIA M.O.A.R."""	204/C/2016	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	STR. FLOARE ALBASTRĂ NR. 22, SECTOR 3	activităţilor Federaţiei se înscrie generic, potrivit legii, în sfera activităţilor de reprezentare, de coordonare şi urmărire scopului comun al membrilor săi, conform Actelor constitutive ale fiecăruia dintre aceştia.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
8	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERAŢIA ROMÂNĂ DE TAEKWONDO W.T."" conform ""Dovada disponibilităţii denumirii"" nr. 169215, din data de 11.07.2018, emisă de Ministerul Justiţiei."	66/C/2000	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	Punct de lucru: Bucureşti, Calea Piscului nr. 10, incinta Sala Polivalentă, et. 2, birourile 4, 5 şi 6, sector 4	- Să organizeze, să conducă, să controleze şi să dezvolte activitatea în domeniul Taekwondo WTF, să stabilească reglementările pentru atingerea acestui scop, să acţioneze în vederea aplicării prevederilor acestora şi să se consacre în tot ceea ce priveşte aceste activităţi sportive;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
9	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""FEDERAŢIA ROMÂNĂ KYOKUSHIN KWF"""	215/C/2016	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	INTRAREA TOPLICENI NR. 3, SECTOR 2	îl reprezintă valorificarea aptitudinilor individului într-un sistem organizat de selecţie, pregătire şi competiţie pentru îmbunătăţirea rezultatelor sportive, realizarea de recorduri şi obţinerea victoriei. Totodată Federaţia îşi propune să adune practicanţiide kyokushin din întreaga ţară şi să dezvolte un spirit de prietenie şi ajutor reciproc între toate organizaţiile sportive.			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
10	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	"""SINDICATUL VERDE"" DIN MINISTERUL MEDIULUI ŞI DEZVOLTĂRII DURABILE"	7/C/2008	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCUREŞTI	BD. LIBERTĂŢII NR.12, SECTOR 5				https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
11	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ACORD - FEDERATIA PENTRU PROMOVAREA INTEGRARII PRIN MUNCA A PERSOANELOR CU DIZABILITATI	34/C/2005	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	CALEA CALARASILOR, NR.165, BL.38, SC.3, ET.4, AP.18, SECTOR 3	Crearea unui cadru adecvat pentru stimularea si sprijinirea integrarii in munca a persoanelor cu diyabilitati			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
12	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANTA CONFEDERATIILOR PATRONALE DIN ROMÂNIA - ALIANTA - A.C.P.R.	41/C/2004	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	Bucureşti, B-dul Lascăr Catargiu nr. 24-26, parter, sector 1	a) promovarea şi apărarea instituţiei patronale şi intereselor legitime ale membrilor săi;			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
13	92	judet_prioritar | localitate_dense:15123 | categorie:federatie	1	15123	federatie	ALIANTA FEDERATIILOR TEHNICE FEROVIARE	31/C/2008	activa	BUCURESTI	BUCURESTI	BUCURESTI	BUCURESTI	STR.STEFAN STOICA NR.27, SECTOR 1	a) unitatea miscarii sindicale			https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx
