judet,categorie,total,active,inactive
ALBA,asociatie,2700,2592,108
ALBA,federatie,28,27,1
ALBA,fundatie,150,145,5
ALBA,uniune,13,13,0
ARAD,asociatie,3319,3081,238
ARAD,federatie,127,116,11
ARAD,fundatie,366,324,42
ARAD,uniune,25,24,1
ARGES,asociatie,2991,2688,303
ARGES,federatie,28,28,0
ARGES,fundatie,254,247,7
ARGES,uniune,5,5,0
BACAU,asociatie,2587,2393,194
BACAU,federatie,16,16,0
BACAU,fundatie,173,159,14
BACAU,uniune,17,17,0
BIHOR,asociatie,4134,3836,298
BIHOR,federatie,40,38,2
BIHOR,fundatie,981,916,65
BIHOR,uniune,46,44,2
BISTRITA NASAUD,asociatie,1705,1622,83
BISTRITA NASAUD,federatie,8,6,2
BISTRITA NASAUD,fundatie,962,942,20
BISTRITA NASAUD,uniune,9,9,0
BOTOSANI,asociatie,1760,1699,61
BOTOSANI,federatie,13,12,1
BOTOSANI,fundatie,341,337,4
BOTOSANI,uniune,9,9,0
BRAILA,asociatie,1377,1245,132
BRAILA,federatie,8,8,0
BRAILA,fundatie,87,84,3
BRAILA,uniune,3,3,0
BRASOV,asociatie,4501,4154,347
BRASOV,federatie,70,65,5
BRASOV,fundatie,277,233,44
BRASOV,uniune,13,12,1
BUCURESTI,asociatie,21806,20434,1372
BUCURESTI,federatie,580,551,29
BUCURESTI,fundatie,3809,3457,352
BUCURESTI,persoana_juridica_straina,4,4,0
BUCURESTI,uniune,67,62,5
BUZAU,asociatie,1900,1779,121
BUZAU,federatie,5,5,0
BUZAU,fundatie,203,191,12
BUZAU,uniune,4,3,1
CALARASI,asociatie,855,808,47
CALARASI,federatie,6,6,0
CALARASI,fundatie,80,76,4
CALARASI,uniune,5,5,0
CARAS-SEVERIN,asociatie,1343,1305,38
CARAS-SEVERIN,federatie,5,3,2
CARAS-SEVERIN,fundatie,170,168,2
CARAS-SEVERIN,uniune,7,6,1
CLUJ,asociatie,7496,7064,432
CLUJ,federatie,71,68,3
CLUJ,fundatie,1564,1486,78
CLUJ,uniune,23,22,1
CONSTANTA,asociatie,3921,3682,239
CONSTANTA,federatie,35,34,1
CONSTANTA,fundatie,404,375,29
CONSTANTA,uniune,30,29,1
COVASNA,asociatie,1455,1386,69
COVASNA,federatie,9,9,0
COVASNA,fundatie,83,80,3
COVASNA,uniune,5,5,0
DAMBOVITA,asociatie,1941,1830,111
DAMBOVITA,federatie,18,18,0
DAMBOVITA,fundatie,568,544,24
DAMBOVITA,uniune,55,52,3
DOLJ,asociatie,3115,2952,163
DOLJ,federatie,9,8,1
DOLJ,fundatie,289,268,21
DOLJ,uniune,1,1,0
GALATI,asociatie,2111,1894,217
GALATI,federatie,15,15,0
GALATI,fundatie,134,119,15
GALATI,uniune,8,7,1
GIURGIU,asociatie,1250,1226,24
GIURGIU,federatie,136,131,5
GIURGIU,fundatie,61,57,4
GIURGIU,uniune,77,76,1
GORJ,asociatie,1393,1253,140
GORJ,federatie,9,9,0
GORJ,fundatie,156,150,6
GORJ,uniune,11,11,0
HARGHITA,asociatie,3114,2928,186
HARGHITA,federatie,18,18,0
HARGHITA,fundatie,605,581,24
HARGHITA,uniune,148,148,0
HUNEDOARA,asociatie,2288,2170,118
HUNEDOARA,federatie,11,11,0
HUNEDOARA,fundatie,81,78,3
HUNEDOARA,uniune,15,15,0
Harghita,asociatie,1,1,0
Harghita,fundatie,4,4,0
IALOMITA,asociatie,774,741,33
IALOMITA,federatie,17,15,2
IALOMITA,fundatie,69,66,3
IALOMITA,uniune,12,12,0
IASI,asociatie,4235,3907,328
IASI,federatie,37,36,1
IASI,fundatie,481,457,24
IASI,uniune,10,10,0
