judet,localitate,total_active,asociatii_active,fundatii_active,federatii_active,uniuni_active,persoane_juridice_straine_active
BUCURESTI,BUCURESTI,7387,6012,1195,153,27,0
BUCURESTI,BUCUREŞTI,6252,5306,697,232,16,1
CLUJ,CLUJ-NAPOCA,5297,4207,1025,47,18,0
BUCURESTI,NEPRECIZAT,4195,3507,682,4,2,0
SIBIU,SIBIU,2573,1848,692,28,5,0
BUCURESTI,"BUCURESTI, SECTOR 3",2335,2112,221,2,0,0
BIHOR,ORADEA,2295,1673,558,26,38,0
DOLJ,CRAIOVA,2249,2007,236,6,0,0
IASI,IASI,1871,1544,316,3,8,0
TIMIS,TIMIŞOARA,1803,1702,98,3,0,0
ARAD,ARAD,1705,1440,181,72,12,0
BRASOV,BRASOV,1642,1521,84,34,3,0
CONSTANTA,CONSTANTA,1469,1223,199,24,23,0
PRAHOVA,PLOIESTI,1441,885,542,9,5,0
SUCEAVA,SUCEAVA,1425,885,532,8,0,0
TIMIS,TIMISOARA,1260,1089,130,27,14,0
SATU MARE,SATU MARE,1208,922,270,6,10,0
MARAMURES,BAIA MARE,1198,729,452,9,8,0
IASI,IAŞI,1182,1096,57,28,1,0
NEPRECIZAT,NEPRECIZAT,1014,798,186,19,9,2
CONSTANTA,CONSTANŢA,997,938,53,3,3,0
BISTRITA NASAUD,BISTRITA,952,381,563,5,3,0
GIURGIU,GIURGIU,936,754,30,106,46,0
BRAILA,BRAILA,925,859,59,5,2,0
BUCURESTI,Bucureşti,881,711,139,24,5,2
BOTOSANI,BOTOSANI,841,604,224,7,6,0
ARGES,PITESTI,840,687,136,15,2,0
ALBA,ALBA IULIA,827,748,56,16,7,0
BRASOV,BRAŞOV,780,701,59,14,6,0
GALATI,GALATI,771,673,84,8,6,0
NEPRECIZAT,BUCUREŞTI,757,539,196,15,7,0
MARAMURES,NEPRECIZAT,728,712,16,0,0,0
BACAU,BACAU,717,602,91,12,12,0
GALATI,GALAŢI,705,687,16,1,1,0
DAMBOVITA,TARGOVISTE,694,397,258,9,30,0
BUZAU,BUZAU,681,568,110,2,1,0
BUCURESTI,SECTOR 3,665,607,58,0,0,0
NEAMT,PIATRA NEAMT,635,476,152,3,4,0
VRANCEA,FOCSANI,611,533,71,7,0,0
VALCEA,RM. VILCEA,544,329,209,1,5,0
BUCURESTI,Bucuresti,535,424,109,2,0,0
TULCEA,TULCEA,528,477,40,3,8,0
CARAS-SEVERIN,RESITA,527,464,57,2,4,0
OLT,SLATINA,527,480,33,6,8,0
HUNEDOARA,DEVA,519,483,24,3,9,0
BACAU,BACĂU,496,485,11,0,0,0
MURES,TG.MUREŞ,450,429,21,0,0,0
SUCEAVA,RADAUTI,437,150,287,0,0,0
CLUJ,TURDA,435,340,93,1,1,0
HARGHITA,MIERCUREA CIUC,434,387,41,5,1,0
VASLUI,VASLUI,395,353,34,4,4,0
TELEORMAN,ALEXANDRIA,380,334,34,8,4,0
MURES,TÂRGU MUREŞ,379,355,23,1,0,0
CALARASI,CALARASI,358,312,40,3,3,0
IALOMITA,SLOBOZIA,354,286,46,10,12,0
SIBIU,MEDIAS,326,233,89,1,3,0
SALAJ,ZALĂU,308,299,8,1,0,0
CLUJ,FLOREŞTI,301,293,8,0,0,0
GORJ,TG-JIU,298,197,92,2,7,0
TIMIS,LUGOJ,296,282,10,3,1,0
BOTOSANI,BOTOŞANI,281,272,3,5,1,0
MEHEDINTI,DROBETA TURNU SEVERIN,279,247,26,6,0,0
HARGHITA,ODORHEIU SECUIESC,276,242,33,0,1,0
HUNEDOARA,HUNEDOARA,273,262,10,0,1,0
CLUJ,DEJ,263,160,103,0,0,0
HARGHITA,GHEORGHENI,257,169,83,2,3,0
MURES,TG.MURES,257,222,34,0,1,0
NEAMT,ROMAN,257,205,50,1,1,0
SIBIU,MEDIAŞ,256,236,20,0,0,0
MURES,REGHIN,255,220,33,2,0,0
MURES,TG-MURES,252,126,122,1,3,0
HARGHITA,MIERCUREA-CIUC,242,90,53,3,96,0
VALCEA,RM. VALCEA,242,204,28,6,4,0
BUCURESTI,"Bucureşti, sector 5",236,193,43,0,0,0
BISTRITA NASAUD,MUN. BISTRITA,232,223,9,0,0,0
PRAHOVA,CAMPINA,216,157,56,3,0,0
MARAMURES,SIGHETU MARMATIEI,214,171,39,0,4,0
DAMBOVITA,TÂRGOVIŞTE,211,205,6,0,0,0
CONSTANTA,MANGALIA,207,189,16,2,0,0
COVASNA,SFANTU GHEORGHE,207,195,7,2,3,0
CARAS-SEVERIN,CARANSEBES,198,158,40,0,0,0
MURES,TG MURES,184,125,49,3,7,0
NEPRECIZAT,BUCURESTI,181,95,51,26,8,1
TIMIS,MUN. TIMIŞOARA,180,172,8,0,0,0
CLUJ,GHERLA,173,135,38,0,0,0
ALBA,SEBES,170,156,13,0,1,0
BOTOSANI,DOROHOI,163,123,38,0,2,0
MEHEDINTI,DR-TR-SEVERIN,160,155,3,2,0,0
VASLUI,BÂRLAD,157,154,3,0,0,0
PRAHOVA,SINAIA,156,127,27,2,0,0
ARGES,CÂMPULUNG,155,152,3,0,0,0
ILFOV,VOLUNTARI,153,138,13,2,0,0
NEAMT,PIATRA NEAMÞ,153,148,5,0,0,0
SATU MARE,CAREI,152,127,24,0,1,0
COVASNA,SF. GHEORGHE,150,121,27,1,1,0
ALBA,AIUD,147,137,9,0,1,0
ALBA,BLAJ,147,141,4,1,1,0
MURES,SIGHISOARA,141,102,39,0,0,0
BUZAU,BUZĂU,140,134,3,2,1,0
SALAJ,ZALAU,140,102,28,2,8,0
SALAJ,ZALÃU,137,125,4,6,2,0
SUCEAVA,VATRA DORNEI,137,106,31,0,0,0
VALCEA,RM. VÂLCEA,134,123,9,1,1,0
BUCURESTI,"Bucuresti, sector 3",132,119,13,0,0,0
BIHOR,SALONTA,130,99,30,0,1,0
SUCEAVA,GURA HUMORULUI,130,84,45,0,1,0
DAMBOVITA,PUCIOASA,126,92,30,1,3,0
HARGHITA,M-CIUC,124,33,72,3,16,0
GORJ,TÂRGU JIU,123,120,3,0,0,0
CLUJ,FLORESTI,120,104,14,2,0,0
GALATI,TECUCI,120,110,8,2,0,0
OLT,CARACAL,120,110,10,0,0,0
