categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""A.S.2001"" ALBA IULIA",542/A/2003,,activa,1,,,,ALBA,,,prestarea de servicii sociala si comunitare catre categoriile defavorizate,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE TAURINE ""ARIESUL "" CIMPENI",3325/A/2002,,activa,1,,,,ALBA,,,sprijinirea directa a crescatorilor de animale,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE DEZVOLTARE DURABILA TURISM RURAL SI ECOLOGIC VILCAN MONTANA,4098/A/2002,,activa,1,,,,ALBA,,,"dezv. economica, durabila a comunitatii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA IZVOARELE ARIESULUI,463/A/2001,,activa,1,,,,ALBA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR SC CAPRIS SA,496/A/2003,,activa,1,,,,ALBA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR SC PERHART SA PETRESTI,497/A/2003,,activa,1,,,,ALBA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL OCOLIS,4099/A/2002,,activa,1,,,,ALBA,,,administrarea si exploatarea patrimoniului composesoratului,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL SILVIC BAIA DE ARIES-MUNCEL,4102/A/2002,,activa,1,,,,ALBA,,,administrarea si exploatarea patrimoniului composesoratului,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL SILVIC OCOLIS,4099/A/2002,,activa,1,,,,ALBA,,,administrarea si exploatarea patrimoniului composesoratului,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
federatie,FEDERAŢIA ASOCIAŢIILOR DE DEZVOLTARE INTERCOMUNITARĂ DINDOMENIUL APEI(F.A.D.I.D.A.),11/C/2018,,activa,1,,,,ALBA,,,,,,,09_03_2026Federatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx,2026-03-09
fundatie,"FUNDAŢIA DE STIPENDII IOAN, VIRGINIA ŞI BRUTUS DREGAN",3868/B/2009,,activa,1,DA,,,ALBA,,"TIMIŞ, TIMIŞOARA, STR. PAVEL ROTARIU (FOSTA LAURENŢIU), NR. 7, SC. A, ET. III, AP. 15","ASIGURAREA ACCESULUI LA PREGĂTIREA SUPERIAOARĂ A TINERILOR ROMÂNI DOTAŢI DIN PUNCT DE VEDERE INTELECTUAL, DAR LIPSIŢI DE CONDIŢII MATERIALE SUFICIENTE.",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ORGANIZATIA CENTRALA A FAMILIILOR KOLPING,137/A/2001,,activa,1,,,,ALBA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""APUSENI DOGS&CATS""",3543/A/2005,,activa,1,,,,ALBA,ABRUD,"Abrud, Aleea Florilor, bl S, sc 3 ap II/b, judeţul Alba",PROTEJAREA SI ADAPOSTIREA CAINILOR FARA STAPAN SI DAREA LOR SPRE ADOPTIE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""ECOABRUD""",3150/A/2004,,activa,1,,,,ALBA,ABRUD,P-TA EROILOR NR 17,"dezvoltarea de parteneriate cu asociatii profesionale , investitii guvernamentale, agenti economici pentru indeplinirea scopului propus.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""HELP TRANS""",7307/A/2008,,activa,1,,,,ALBA,ABRUD,"MIHAIL KOGALNICEANU, NR.2",Identificarea promovarea şi sprijinirea permanentă a proiectelor ce vizează dezvoltarea activităţilor .,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""VOINICEII ABRUD""",18137/A/2014,,activa,1,,,,ALBA,ABRUD,"STR.ALEEA FLORILOR, BL.V, SC.1, AP.2","Promovarea si sustinerea programului scoala dupa scoala, inchere parteneriate cu comunitatile locale, organizarea de tabere, pelerinaje , excursii, etc",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ,,BARAJUL APUSENI’’",15591/A/2011,,activa,1,,,,ALBA,ABRUD,"STR. TRAIAN , NR. 5","Sustinerea investitiilor care aduc locuri de munca , bunastare pentru comunitatea din zona Apuseni",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ,,CORTUL LUI DAVID PENTRU TOATE NATIUNILE”",15828/A/2013,,activa,1,,,,ALBA,ABRUD,"STR. DECEBAL, NR. 5","Proclamarea cuvantului lui Dumnezeu pentru practicarea invataturii crestine, constituirea de lacasuri culturale, ajutarea enoriasilor in rezolvarea problemelor materiale",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ,,IMPREUNA PENTRU ABRUD”",11490/A/2013,,activa,1,,,,ALBA,ABRUD,ALEEA TRANDAFIRILOR FN,"Identificarea , initierea , sustinerea si implementarea de proiecte si programe care sa contribuie la dezvoltarea durabila a locuitorilor din Muntii Apuseni, etc.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ABRUD CESSON SEVIGNE,121/A/1993,,activa,1,,,,ALBA,ABRUD,STR.DETUNATA NR.2,Cunoasterea reciproca a obiceiurilor si traditiilot locale din cele doua localitati.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA AUTOTRANSPORT FAIR PLAY,3148/A/2006,,activa,1,,,,ALBA,ABRUD,"Abrud, Piaþa Petru Dobra, nr. 4,","activitati sportive, automobilism",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CADRELOR MILITARE IN REZERVA SI IN RETRAGERE DETUNATA - 5 MOTI,10478/A/2009,,activa,1,,,,ALBA,ABRUD,"ABRUD, STR.ALEEA ZORILOR, BL.W, SC.5.ET.3.AP.10","Contribuie sub forma de parteneriat cu Ministerul Apararii la cresterea capacitatii de aparare a Romaniei si utilizarea eficienta a potentialului cadrelor militare aflate in rezerva si retragere, participa la dezvoltarea gandirii militare privind doctrina si strategia militara, prin elaborare de studii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC A SALARIATILOR INVATAMANT,20339/A/1997,,activa,1,,,,ALBA,ABRUD,"CLOSCA , NR 3-5","Scopul ºi Obiective: atragerea în rândul membrilor pe baza liberului consimþãmânt a unui numãr cât mai mare de persoane ; întrajutorarea între membrii sãi , prin acordarea de împrumuturi cu dobândã care sã se reîntoarcã în fondul social al membrilor dupã suportarea cheltuielilor statutare; încurajarea membrilor sã depunã economiile lor la CAR ; participarea tuturor membrilor la buna – desfãºurare a activitãþii ºi la controlul utilizãrii fondurilor obºteºti , potrivit prevederilor statutului propriu, a regulamentelor ce decurg din acesta ºi a normelor financiarer în vigoare; fiecare membru are aceleaºi drepturi ºi obligaþii ca toþi ceilalþi membrii.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC CUPRUL ABRU,16070/A/2003,,activa,1,,,,ALBA,ABRUD,"STR. PIATA PETRU DOBRA, NR.1",Sprijinirea ºi întrajutorarea membrilor sãi,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC EXPLOATAREA MINIERÃ ABRUD,20340/A/1997,,activa,1,,,,ALBA,ABRUD,PIATA PETRU DOBRA NR 1,Sprijinirea ºi întrajutorarea membrilor sãi,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC ÎNVATAMÂNT ABRUD,20346/A/1997,,activa,1,,,,ALBA,ABRUD,"CLOŞCA,NR 3-5",sprijunirea si întrajutorarea financiară a membrilor sai.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL SPORTIV OFF-ROAD APUSENI,27536/A/2019,,activa,1,,,,ALBA,ABRUD,"STR.PANDURI, NR.15","constă în promovarea ramurii sportive a automobilismului sportiv folosind vehicule cu tracţiune 4x4, prin organizarea de activitati competiţionale oficiale, de training-uri specfice si a altor activitati recreative desfăşurate in aer liber.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE TAURINE ,,DETUNATA ABRUD’’",16574/A/2014,,activa,1,,,,ALBA,ABRUD,"STR. CUZA VODA, NR. 10","Crearea cadrului organizatoric pt. crescatorii de animale , sprijinirea in vederea ridicarii nivelului calitativ al cresterii animalelor",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE TAURINE ABRUD,3317/A/2002,,activa,1,,,,ALBA,ABRUD,P-TA EROILOR NR.1,sprijinirea directa a crescatorilor de animale,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
