categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA CBMC ROMÂNIA,8455/A/2002,,activa,1,DA,,,ARAD,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA NON PROFIT CASA SPERANTEI,467/A/2014,,activa,1,,,,ARAD,,,"Ontinerea de fonduri pentru întrajutorarea personalor cu handicap, construirea de case pentru persoane vârstnice ºi orfelinate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA STEJARUL RADNA LIPOVA,1420/A/2003,,activa,1,,,,ARAD,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA HOUSE DOCTOR PENTRU PREGÃTIREA ÎN DOMENIUL LUCRÃRILOR DE CONSTRUCÞII SI INSTALAÞII A PERSOANELOR DEFAVORIZATE,2160/A/2021,,activa,1,,,,ARAD,,ARAD,"principal al asociaþiei este de a oferi acces persoanelor defavorizate la pregãtire de specialitate în domeniul lucrãrilor de construcþii ºi instalaþii, prin organizarea de cursuri ºi programe de specializare, menite sã favorizeze integrarea acestora pe piaþa muncii din România",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
federatie,BRAU UNION FRÃÞIA ARAD,25/C/2005,,activa,1,,,,ARAD,,,,,,,09_03_2026Federatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx,2026-03-09
fundatie,"FUNDATIA "" GREENPEACE ROMÂNIA """,954/B/2001,,activa,1,,,,ARAD,,STR. GORUNULUI NR. 24,"implicarea directã în activitãþi pentru protejarea mediului înconjurãtor ºi împiedicarea poluãrii, în acest sens fundaþia va avea ca obiect de activitate implicarea directã în activitãþi pentru protejarea mediului înconjurãtor, împiedicarea poluãrii, ecoamenajare ambientalã",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,"FUNDATIA "" SPERANTE PENTRU ALTII """,1014/B/2002,,activa,1,,,,ARAD,,STR. CONSTANTIN BRÂNCOVEANU NR. 90,"ajutorare a unor categorii de persoane defavorizate, prin acordarea de ajutor material ºi spiritual",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA CRESTINA RCE SPERANTA COPIILOR-POZIÞIE INCHISA,3003/B/2006,,activa,1,,,,ARAD,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,FUNDATIA ZIMAR SUCURSALA PÂNCOTA ÎNREG 1997,2507/A/2005,,activa,1,,,,ARAD,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,"FUNDAÞIA CREªTINÃ R.C.E ""SPERANÞA COPIILOR """,97/B/2001,,activa,1,,,,ARAD,,"Se deschide un punct de lucru în Arad str. Diogene nr. 12, unde va funcþiona ªcoala specialã ""Razã de soare"" Se deschide un punct de lucru în loc. Pecica str. 205, nr. 33, unde va funcþiona centrul multifuncþional ºi locuinþe protejate.","Fundaþia are ca scop principal facilitarea plasamentului sau înfiierea copiilor abandonaþi din România, cu scopul mãrturisit de a promova în formele cele mai potrivite ºi mai eficiente de gândire în principiile creºtine, de muncã ºi de viaþã, de a ridica la noi valori de creºtinãtate spiritul de caritate ºi întrajutorare între oameni; de a contribui la gãsirea celor mai eficiente cãi de ajutorare a copiilor abandonaþi în orfelinate, case de copii, maternitãþi, precum ºi a copiilor strãzii; ajutorarea celor aflãri la nevoi trupeºti sau sufleteºti ºi pe cei ce nu se pot ajuta cu forþele lor proprii (copii tineri, bãtrâni handicapaþi psihici sau fizic, orfani, alte persoane cu necesitãþi deosebite); sprijinirea ºi antrenare întreprinzãtorilor creºtini în dezvoltarea ºi extinderea. organizaþiilor; sprijinirea învãþãmântului în ºcoli, educaþiei creºtine în ºcoli, ajutorarea instituþiilor de ocrotire pentru copii ºi bãtrâni ºi a oricãror activitãþi care pot duce la înbunãtãþirea relaþiilor dintre oameni ºi la îmbunãtãþirea calitãþii vieþii","Modificãrile sunt cuprinse la Secþiunea 15-M3. | Se modificã Actul constitutiv în ceea ce priveºte scopul fundaþie care va avea urmãtorul conþinut: Fundaþia Creºtinã ""R.C.E. Speranþa Copiilor"" are ca scop: protecþia drepturilor copilului cu respectarea interesului superior al acestuia, prin:",,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA COMPOSESORATUL LOCALITATII VASOAIA,15836/A/2000,,activa,1,,,,ARAD,-,"localitatea Vãsoaia, nr. 16, comuna Chisindia, jud.Arad",organizarea ºi exploatarea terenurilor cu vegetaþie forestierã ºi agricolã ce vor fi retrocedate,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE VÂNÃTOARE SI PESCUIT CRISANA,16054/A/2011,,activa,1,DA,,,ARAD,"1) Schimbare sediu 2) -Se radiazã Punctul de lucru din loc. Bârzava, Cantonul Nadãº - Cãlaci, UP 1 Conop ua 149C, la 20 de metri de DN 7, pe drum forestier D184, Valea Cãlaci, jud. Arad","În loc. Bârzava, Cantonul Nadãº-Cãlaci, UP 1 Conop ua 149C, la 20 de metri de DN 7, pe drum forestier D184, Valea Cãlaci, jud. Arad","-Scopul declarat al asociaþiei constã în asigurarea ºi protejarea posibilitãþilor de practicare a vânãtorii ºi pescuitului sportiv, de culturã a vânatului ºi pescuiturlui, ca modalitate de odihnã activã ºi de petrecere a timpului liber pentru membrii sãi, de educare a acestora în spiritul conservãrii faunei sãlbatice, a respectului faþã de lege ºi a continuãrii tradiþiilor de eticã vânãtoreascã ºi piscicolã, în spiritul conservãrii biodiversitãþii ºi echilibrului în naturã.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
