categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""PROFILE NATIONS"" BACAU",188/A/2006,,activa,1,,,,BACAU,,,"Scopul Asociatiei este sa militeze pentru apararea drepturilor si sa sprijine minoritatile de orice fel din România,in domeniile:economic,cultural,social,sportiv,etnic,artistic,religios,etc.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SURORILE CARMELITANE ALE SFINTEI TEREZA DIN TORINO,1383/A/2001,,activa,1,,DA,,BACAU,,localitatea Dărmăneşti str. Zorilor nr.15 judet Bacău,"consta in a oferi tuturor celor ce doresc o apropere de spiritualitatea crestina posibilitatea de a se educa in spirit crestin si catolic cu o aplicare a acesteia in domeniile cultural, caritabil si misionar, acordand o atentie particulara promovarii vietii spirituale si unitatii dintre bisericile crestine.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA VANATORILOR SI PESCARILOR SPORTIVI ""CERBUL"" BICFALAU",16409/A/2005,,activa,1,,DA,,BACAU,,"comuna Podul Turcului, sat Podu Turcului, str. Tudor Vladimireascu, nr. 79, et. 2","Asigurarea si protejarea posibilitatilor de practicare a vanatorii si pescuitului sportiv, ca modalitati de odihna activa şi petrecere a timpului liber pentru membrii sai.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PRACTICIENILOR DE REIKI SI TERAPII COMPLEMENTARE BACĂU,21622/A/2016,,activa,1,,,,BACAU,,"Potrivit procesului verbal al şedinţei Adunării Consiliului Director din data de 20 04 2021, s-a hotărât schimbarea sediului Asociaţiei, loc.Bacău, strada Viorelelor nr. 5 C JUD.BACĂU","Scopul asociaţiei este dezvoltarea calităţii vieţii si a puterii spirituale a fiinţei umane prin practicarea de reiki si alte terapii complementare sau alternative medicinei, excluzând practicile medicale alopate reglementate. Prin statut se stabileşte detalierea elementelor ce constitue sau sprijină scopul principal",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA „HAPPY LIFE”,16992/A/2014,,activa,1,,,,BACAU,,"BACĂU, STR.REPUBLICII, BL.50, SC.A, AP.34","Scopul asociaţiei constă în crearea cadrului organizatoric pentru realizarea de evenimente sportive, culturale şi artistice necesare promovării valorilor umane, binefacere umana prin ajutor umanitar şi caritativ, dezvoltarea capacităţilor fizice, psihice şi spirituale ale organismului uman, activităţi de mass-media, crearea de fonduri prin colecte publice de la persoanele fizice şi juridice române sau străine, încheierii de parteneriate cu alte organizaţii sau societăţi comerciale române sau străine, promovarea şi susţinerea intereselor comune ale copiilor, tinerilor şi adulţilor pe plan local, naţional şi internaţional, în vederea creării posibilităţilor de participare a acestora la viaţa socială, artistică şi culturală.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,PAS POMFURCT BRAD,3239/A/2006,,activa,1,,,,BACAU,,SAT.BRAD; COM.BERESTI BISTRITA,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,UNIREA BACAU-2007,885/A/2008,,activa,1,,,,BACAU,,"LOCALITATEA DEALU MORII, SATUL BANCA","recuperarea patrimoniului creat de bancile membre ale BANCII FEDERALE UNIREA din Tecuci, in perioada 1910 – 1948 trecut in proprietatea Statului Roman prin Legea nr. 119/1948;,- intrajutorare prin economie si credit;,- asistenta sociala si medicala ;,- crearea unui fond de pensii.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,VULTURUL BACAU-2007,884/A/2008,,activa,1,,,,BACAU,,"LOCALITATEA DEALU MORII, SAT BANCA",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA GRUPUL DE ACŢIUNE LOCALĂ VALEA MUNTELUI, PRESCURTAT GAL VALEA MUNTELUI.",24784/A/2011,,activa,1,,,,BACAU,AGĂŞ,"comuna Asău, sat Straja, nr.241, jud. Bacău.",se regăseşte în 16/PJ,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,PERSEIDELE,19463/A/2014,,activa,1,,,,BACAU,ASAU,,"- punerea în valoare şi revitalizarea patrimoniului material şi immaterial prin activităţi specifice,,- educarea, formarea şi susţinerea tinerilor prin derularea de proiecte şi activităţi de tineret cu caracter european cu sprijinul finanţărilor europene existente în domeniu,,- dezvoltarea comunităţilor locale şi asigurarea unor mijloace de trai durabile din punct de vedere economic prin valorizarea potenţialului uman şi natural local,,- dezvoltarea de programe şi proiecte care asigură inserţia profesională a tinerilor din mediul rural pe piaţa muncii,,- îmbunătăţirea condiţiilor de trai ale grupurilor dezavantajate, inclusive pentru comunităţile de romi din România,,- incluziunea socială şi culturală a grupurilor dezavantajate,,- stabilirea de parteneriate transnaţionale cu diferite organizaţii şi instituţii de educaţie, formare şi tineret,,- susţinerea inovării verde în industrie şi agricultură,,- afilierea la organizaţii internaţionale de profil şi lucrul în reţea pentru a creşte competitivitatea.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
