categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,AS CONTI 2 PAS,143/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA COMAT ASC BIHOR,136/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CONSTRUCTII BIHOR PAS,165/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DOWN ADOR SCHIMBARE SEDM,161/A/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA FORUMUL DEMOCRAT AL GERMANILOR BIHOR,132/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA GAZ CLURILIS,148/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,ASOCIATIA GOLD DRAGON STYLE,4800/A/2002,,activa,1,,,,BIHOR,,,"Practicarea tenis de câmp , studiu wusu, propaganda sportiva,",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA LOCALITATILOR DE FRONTIERA BIHOR,139/A/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PAS COMALIMENT,99/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRO ACVA,138/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SP CLUBUL SPORTURILOR DR. IONESCU VIOREL,149/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SP DE TIR EXTREM HUNTER,131/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SP. FOCUL VIU,191/A/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA FOTBAL CLUB,119/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TEODONA NON PROFIT,2357/A/1995,,activa,1,,,,BIHOR,,"FENERIS,NR.155",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA VINOFRUCT PAS,137/A/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA COMPOSESORATULUI BOGEI,14224/A/2011,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CASA DE AJUTOR RECIPROC SC MARCONF SA MARGHITA,6975/A/2007,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
federatie,CLUBUL SPORTIV TRANSILVANIA DE TRĂGĂTORI CU ARCUL DIN JUDEŢUL BIHOR,14/C/1994,,activa,1,,,,BIHOR,,,,,,,09_03_2026Federatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx,2026-03-09
asociatie,FRIGROEXPRES,114/A/1999,,activa,1,,,,BIHOR,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA ABEL CRESTUR,379/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA AJUTATI COPII BILEANA,441/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA AJUTOR SOCIAL UMANITAS TRANS,405/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA ALFA SI OMEGA,406/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA ALTIUS,166/B/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA ANDRIOS P. GROZA,361/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA AQUA SPORT,127/B/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA BETHESDA ROMANIA,129/B/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA BIKE SPORT,237/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA BOCSKAI ISTVAN,86/B/1998,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA CALIN RAFAGANI,376/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA CLAR BURDA BIHOR,447/B/1997,,activa,1,,,,BIHOR,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
