categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
fundatie,ALESSANDRA,396/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. C.R. VIVU, BL.2, AP.15",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,ALETHEIA,406/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. CRINILOR, NR.1, SC.B,AP.50",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,ANA,75/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. URSULUI, NR. 2",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,ARCA,63/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, AL. PLOPILOR, NR.12, SC.A, AP.9",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA COLORS BISTRITA,27881/A/2019,,activa,1,,,,BISTRITA NASAUD,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,AVE MARIA,71/B/1994,,activa,1,,,,BISTRITA NASAUD,,"CAIANU MIC, NR. 16",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,BILEGAN,64/B/1994,,activa,1,,,,BISTRITA NASAUD,,"HERINA, NR. 16",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,CARINA,389/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. T. VLADIMIRESCU, NR. 22, AP.52",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,CATALIN,395/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, AL. ODOBESCU, NR.12",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,CLEMENTIA,74/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. I.L. CARAGIALE, NR. 40",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,CODSA,403/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. P. ISPIRESCU, NR.2, SC.B, AP.18",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,COPII LUMII,386/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, CAL. MOLDOVEI, NR. 10, SC.A, AP.2",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,CRACIUN,58/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. SALCIILOR, BL.2, SC.A, AP.5",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,DORELA,48/B/1994,,activa,1,,,,BISTRITA NASAUD,,"NASAUD, STR. A. IANCU, NR. 16",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,ELP,270/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. DECEBAL, NR.2, SC.A, AP.12",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,EUSADY,69/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. 1 DECEMBRIE, NR. 9 A, SC.A, AP.13",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,"FUNDATIA ""BETHESDA & FLORICICA""",4024/B/2010,,activa,1,,,,BISTRITA NASAUD,,"BECLEAN, STR. MIHAIL KOGALNICEANU, NR. 103","prestarea activitatilor specifice codului CAEN - activitati ale centrelor de ingrijiri medicale, activitati ale caminelor de batrani si ale caminelor pentru persoane aflate in incapacitate de a se îngriji singure, activitati educationale adresate copiilor în sistem gradinita, si altele.","s-a dispus: modificarea ºi actualizarea Actului Constitutiv ºi Statutului Fundaþiei Bethesda & Floricica, dupã cum urmeazã:",,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,GOLGOTA M,409/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. ROTUNDA, NR.2, SC.E, AP.8",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,GRIGA,55/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. AXENTE SEVER, NR. 12",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,ION,383/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. V. ALECSANDRI, NR.17, SC.B, AP.9",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,JENIOANA,645/B/1997,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. A. MURESANU, NR.9, SC.A, AP.14",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,JUNIMEEA,398/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. G. G. BALAN, BL.5, SC.C, AP.1",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,LARISA,394/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. PACII, NR. 3",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,LEVI,72/B/1994,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. INDEPENDENTEI, NR. 56, SC.B, AP.41",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,LIGIA,400/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, STR. RODNEI, BL.1, SC.B, AP.18",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,LORETA,399/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, CART. UNIREA, NR. 161",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,LYMAX,391/B/1996,,activa,1,,,,BISTRITA NASAUD,,"B-TA, CAL. MOLDOVEI, NR. 17",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,MALTEX,59/B/1994,,activa,1,,,,BISTRITA NASAUD,,"BLAJENII DE SUS, , STR. SALCAMILOR, NR. 39",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
