categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA CRESCATORILOR DE OVINE OVICRIS CRISTEŞTI,12676/A/2010,,activa,1,,,,BOTOSANI,,,"Sprijinirea şi promovarea intereselor crescatorilor de ovine, caprine şi bovine, dezvoltarea echilibrata a relaţiilor dintre producatori şi sectoarele de procesare şi comercilizare , precum şi adaptarea productiei din punct de vedere calitativ si cantitativ.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRIETENIE SI UMANISM,1445/A/1999,,activa,1,,,,BOTOSANI,,COM. FRUMUSICA JUD BOTOSANI,promovarea valorilor cultural morale in randul copiilor si a tinerilor conservarea obieciurilor si traditiilor din aceasta zona,,legea 21/1924,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRIETENIE SI UMANISM,940/A/1999,,activa,1,,,,BOTOSANI,,COM. FRUMUSICA JUD BOTOSANI,promovarea valorilor cultural morale in randul copiilor si a tinerilor conservarea obieciurilor si traditiilor din aceasta zona,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA UMANITARA SFANTUL GHEORGHE,1442/A/1999,,activa,1,,,,BOTOSANI,,"COM SANTA MARE JUD., BOTOSANI",UMANITAR FILANTROPIC,,legea 21/1924,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA UMANITARA SFANTUL GHEORGHE,937/A/1999,,activa,1,,,,BOTOSANI,,"COM SANTA MARE JUD., BOTOSANI",UMANITAR FILANTROPIC,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA MEDICALĂ SFÂNTUL PANTELIMON ŞI SFÂNTA PARASCHEVA,324/A/2025,,activa,1,,,,BOTOSANI,,"SAT. TUDOR VLADIMIRESCU, NR.66, COMUNA ALBEŞTI, JUDEŢUL BOTOSANI",CONSEMNAT IN STATUT,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FILIALA BOTOŞANI A ASOCIAŢIEI SOCIETATEA DE ŞTIINŢE MATEMATICE DIN ROMÂNIA,24931/A/2006,,activa,1,,,,BOTOSANI,,,-,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA ANASTASIE BASOTA POMARLA,614/B/1999,,activa,1,,,,BOTOSANI,,LOC. POMARLA JUD. BOTOSANI,consolidarea economica cultural stiintifica a Liceului Teoretic din comuna Pomarla jud. botosani,,legea 21/1924,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA ANASTASIE BASOTA POMARLA,952/B/1999,,activa,1,,,,BOTOSANI,,LOC. POMARLA JUD. BOTOSANI,consolidarea economica cultural stiintifica a Liceului Teoretic din comuna Pomarla jud. botosani,,legea 21/1924,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""PLUGARUL"" P.A.S. ALBA, HUDESTI",18630/A/1996,,activa,1,,,,BOTOSANI,ALBA,HUDEŞTI,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
