categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,",,ASOCIATIA LOCALA A CRESCATORILOR DE OVINE SI CAPRINE"" DIN LOC. ARICIU,COM. SALCIA TUDOR, JUD. BRAILA",4276/A/2007,,activa,1,,,,BRAILA,"ARICIU, COM SALCIA TUDOR","SAT ARICIU, COM. SALCIA TUDOR, JUD. BRAILA","obþinerii ºi valorificãrii produselor animaliere, în interesul membrilor crescãtori.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,",, Congregatio Jesu”- Filiala Braila",754/B/2001,,activa,1,,,,BRAILA,"B-dul Independentei ,nr. 127","Braila,str. Golesti,nr. 49","Fundatia isi dedica intreaga activitate in interesul exlusiv al omului cu problemele si necesitatile lui, indiferent de nationalitate , sex si religie, rasa.",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA CHINOLOGICA ZONALA BRAILA,3250/A/2022,,activa,1,,,,BRAILA,BALDOVINESTI,"STR. PANAIT ISTRATI, NR. 376","Reproducerea ºtiinþificã, ameliorarea, fixarea caracteristicilor unitare fenotipi, promovarea calitãþilorutilitare ºi de dresaj sportiv, ale fondului canin de rasã identificat prin standarde de cãtre Federaþia Chinologicã Internaþionala.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE BOVINE, OVINE SI CAPRINE OVITOP",24862/A/2011,,activa,1,,,,BRAILA,BARAGANUL,TANDAREI NR.3,NEPATRIMONIAL,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA RROMILOR DIN JUDETUL BRAILA FILIALA BARAGANUL,18898/A/2003,,activa,1,,,,BRAILA,BARAGANUL,,ORGANIZAREA UNOR PROGRAME PENTRU MINORITATEA RROMILOR,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ZESTREA DIN BARAGAN,27035/A/2010,,activa,1,,,,BRAILA,BARAGANUL,STR. SPICULUI NR. 16,"ACTIUNI DE BINEFACERESOCIALE, UMANITARE PENTRU COPIII DEZAVANTAJATI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA LEADER DUNÃRE-BRÃILA,2606/A/2025,,activa,1,,,,BRAILA,BARAGANUL,"STR. DUDEºTI, NR. 24, CVARTAL 35, PARCELA 586, CLD. C1, CAM.1","conceperea, organizarea, promovarea ºi desfãºurarea de activitãþi, inclusiv pentru atragerea de fonduri nerambursabile ºi implementarea proiectelor",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CARARI DE BARAGAN,27030/A/2010,,activa,1,,,,BRAILA,BARAGANUL,,PROMOVARE SI INFORMARE TURISTICA,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CARARI DE BARAGAN,27031/A/2010,,activa,1,,,,BRAILA,BARAGANUL,,PROMOVARE ŞI INFORMARE TURISTICA,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATA CLUB SPORTIV DACIA BERTESTI,26147/A/2019,,activa,1,,,,BRAILA,BERTESTII DE JOS,STR. STADIONULUI NR. 2,"Desfasurarea de activitati fotbalistice, respectiv selectionarea , initierea si pregatirea de sportivi in acest domeniu, participarea la competitii interne si internationale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA LOCALA A CRSCATORILOR DE OVINE SI CAPRINE DIN COMUNA BERTESTII DE JOS , JUDETUL BRAILA",26671/A/2007,,activa,1,,,,BRAILA,"BERTESTII DE SUS, COMUNA BERTESTII DE JOS, JUDETUL BRAILA",,OBTINEREA SI VALORIFICAREA LAPTELUI SI ANIMALELOR,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
