categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA I.O.V.R. BRASOV INVALIZI, ORGANI, VADUVE DE RAZBOI",3721/A/1990,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA NICOLAE TITULESCU,3732/A/1990,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRIETENIEI UNIVERSITARE ROMÂNO-FRANCEZE-APURF,3733/A/1990,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ROMANA PENTRU DEZVOLTARE,INSTRUIRE SI PERFECTIONARE (ARDIP)",2355/A/2001,,activa,1,,,,BRASOV,,"STR,VALEA CALUGAREASCA, NR.3, BL.D4,SC.E,ET.2, AP.45,SECTOR 6","Incurajarea, consilierea, sprijinirea i dupa caz, acordarea ajutorului material necesar pentru punerea in practica a unor idei ce reprezinta initiative creatoare novatoare sau vizeaza o performanta deosebita, sprijinita pe un plan de dezvoltare bine documentat si foarte bine fundamentat, de excelenta chiar, in diferite domenii(inventica, arta, literatura, afacerei); Acordarea de sprijin calificat si protectie logistica acestor realizari deosebite; promovarea dezvoltari creativitatii, capacitatii de decizie si a performaneti tehnice sau manageriale, atat pentru membrii asociatiei cat si pentru studentii si absolventii merituosi, dornnici de afirmare, din institutele de invatamint superior. Intermedierea unior legaturi permanente intre intreprinderile si firmele interesate de foarmarea specialistilor in domeniu si unitatile de invatamint superior care pregatesc acesti specialisti, pentru corelarea programelor de invatamint cu nevoile si oferta pitei fortei de muncă-",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""APEMIN"" ZIZIN",1405/A/1993,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""CRISTIANUL"" P.A.S.",1404/A/1993,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA AVIATORILOR BRAŞOVENI,3731/A/1990,,activa,1,,,,BRASOV,,"La Aeroclubul Teritorial Braşov, str. Aeroportului nr.1 - Sânpetru - Braşov - cod 507190",,"-promovează dragostea, cunoştinţele în domeniul de specialitate şi istoria aviaţiei,,-apără interesele morale şi materiale ale membrilor săi,-adună şi întocmeşte documentaţia necesară pentru istoria aviaţiei naţionale",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CASA D’ALBON,3164/A/2012,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CHIRIAŞILOR DE TEREN INTRAVILAN DIN PATRIMONIU,1121/A/1993,,activa,1,,,,BRASOV,,,apărarea în limitele legii a drepturilor chiriaşilor asupra terenurilor aflate în prezent în patrimoniul Primăriei Braşov,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SC CONDOR SA - P.A.S.,3615/A/1994,,activa,1,,,,BRASOV,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
