categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"""MODIFICARE ACT CONSTITUTIONAL SI STATUT ASOCIATIE LA - ""ASOCIATIA GRUP DE ACTIUNE LOCALA (GAL) COLINELE BUZAULUI"" ÎNREGISTRATA LA POZ.15/2012",15887/A/2013,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AROMET,2367/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA AGRICOLA SPICUL,15697/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ALGORITM,11498/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ALIANTA CULTURALA PENTRU BUZAU ACB,11495/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CENTRUL DE CALIFICARE SI PREGATIRE PROFESIONALA BUZAU,22907/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV PHOENIX BUZAU,3871/A/2023,,activa,1,,,,BUZAU,,"SATUL ODAIA BANULUI, COMUNA TINTESTI, CONSTRUCTIA C 1","promovarea educatiei fizice. a sportului in general si desfasurarea de activitali sportive in domeniul artelor mar(iale, artelor mar(iale de contact, arte marlia(e mixte-A4M4, karate, karate tradi(ional, karate] WUKF, kyokushin karate IKO 2, judo, kempo, taekwondo ITF, taekwondo WT, gimnastica, tenis, tenis de masa, fotbal, dans sportiv. patinaj, volei, culturism -fitness, box, lupte, baschet, handbal. caiac canoe, atletism, pescuit sportiv, scrima, go, polo, rugby, nata'ie si pentatlon modern, oina. tir cu arcul, tir sportiv. sportul pentru persoane cu nevoie speciale. sportul pentru toli, sah, pangration athlima, respectiv selectionarea, inilierea si pregatirea de sportivi in acest domeniu, participarea la competitii interne si internationale, in scopul imbunatatirii performantelor sportive si obtinerea de rezultate sportive in acest domeniu,organiza cursuri de initiere si specializare in domeniile autorizate confornł legii, respectiv in domeniile artelor martiale, artelor marliale de contact, arte marliale mixte-MMA, karate, karate traditional, karate WUKF, kyokushin karate IKO 2, judo, kempo, taekwondo ITF. taekwondo WT, gimnastica, tenis, tenis de masa, fotbal, dans sportiv, patinaj, volei, culturism -fitness. box, lupte, baschet, handbal. caiac canoe, atletism. pescuit sportiv, scrima, go, polo, rugby, natafie si pentatlon modern. oina, tir cu arcul, tir sportiv, sportul pentru persoane cu nevoie speciale. sportul pentru toti, sah, pangration athlima",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV TENIS IDEAL KOMPLEX,3870/A/2023,,activa,1,,,,BUZAU,,"SAT CAPATANESTI, COMUNA MARACINENI, TARLA 15, STR. DRUMUL BLAJANI NR. 108","promovarea activitatilor sportive in general, prin orice forma de manifestare ca mijloc de recreere in aer liber sau spatii special amenajate, si mijloc de afirmare pe plan sportiv (competitional) organizarea si practicarea activitatilor sportive: tenis de camp ciclism, inot, antrenamente sala sportiva, organizarea de cantonamente sportive, tabere cu caracter sportiv, precum si orice alt fel de evenimente sportive de amatori",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL SPORTIV SHIN DO,15734/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL SPORTIV SHIN DO,22908/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA COMERCIANTILOR DIN COMPLEXUL COMERCIAL BAZAR - BUZAU IN ASOCIATIA ROMILOR DIN BUZAU - SANSE EGALE,5278/A/2007,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA NATIONALA CULTUL EROILOR -FILIALA BUZAU,11514/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PENTRU CULTURA SI EDUCATIE VIZUALA ""ATO HUB""",97/A/2024,,activa,1,,,,BUZAU,,"SAT DEALUL VIEI, STR. GEORGE COSBUC NORD, NR. 4, COM. MEREI","promovarea, sprijinirea, realizarea si coordonarea de activitati care sa contribuie la educatia cetatenilor - in special al generatiei tinere-, din punct de vedere al culturii vizuale, de a forma si cultiva opinia publica in legatura cu promovarea culturii vizuale si de imagine, pornind de la tezaurul de identitate vizuala nationala si europeana",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU DEZVOLTARE COMUNITARA NEHOIU (ÎNREGISTRATÃ INITIAL SUB NR.3/21.03.2003),15820/A/2006,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU PROMOVAREA CARNATILOR DE PLESCOI A.P.C.P.,10694/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRO EUROCULT BUZAU,11496/A/2009,,activa,1,,,,BUZAU,,"bd. Unirii, bl. 6D, ap. l, parter",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA VULTURUL JANDARMILOR BUZAU,15686/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TRAIM CATINEL,123/A/2024,,activa,1,,,,BUZAU,,"EXTRAVILAN SAT SARATA-MONTEORU, COMUNA MEREI, JUDETUL BUZAU, NR. CADASTRAL 21091","CONSTIENTIZAREA EFECTELOR TRAITULUI PE REPEDE INAINTE PROMOVARII TRĂITULUI CĂTINEL CU SOLUTII CE TIN DE SANATATE (FIZICA, EMOTIONALĂ MINTALA), MEDIU, EDUCATIE CULTURA",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PENTRU SPRIJINIREA IMM-URILOR,20699/A/2015,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AUTO,2654/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Asociaţia „Buna Vestire” Banu – Buzău,15699/A/2008,,activa,1,,,,BUZAU,,"str. Bistriţei nr. 53, în complexul Parohiei Banu, cu hramul „Buna Vestire”, Buzău",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR A SALARIATILOR ATCOM,15730/A/2008,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR PECO BUZAU,15631/A/2007,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR POSTA CALNAU,11503/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CLUBUL SPORTIV PROGRESUL BECENI,4032/A/2023,,activa,1,,,,BUZAU,,"SAT VALEA PARULUI, STR. AGRICULTORILOR NR. 10","promovare, difuzare si prezentare a fotbalului ca disciplina, de practicare a acestuia de ca disciplina, de practicare a acestuia de catre membrii clubului, de participare la activitati si competitii sportive, de a descoperi, a initia si a pregati copii si tineret pentru fotbalul de performanta",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FORESTA,2652/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,IMM CONSULTING,4041/B/1998,,activa,1,,,,BUZAU,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,RECOLTA,2362/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,SC BENTU THIX,975/B/1999,,activa,1,,,,BUZAU,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,SOCIETATEA DE PSIHOLOGIE A SANATATII MARIA IONESCU,11507/A/2009,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,SPARTAC,2653/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,STEAUA,2655/A/2000,,activa,1,,,,BUZAU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
