categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA FOTBAL CLUB VIITORUL DRAGOS VODA 2019,28397/A/2019,,activa,1,,,,CALARASI,,"COM. DRAGOº VODÃ, STR. PRINCIPALÃ, NR.10, JUD. CÃLÃRAºI,",Practicarea educatiei fizice si a sportului - fotabal.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA CARPATICA,3573/B/1997,,activa,1,,DA,,CALARASI,,Comuna Frumusani sat Frumusani str. Principala nr.132 judet Calarasi,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA GADELHOUSE,1014/B/2008,,activa,1,,,,CALARASI,,MANASTIREA,"infiintarea unui liceu teoretic si industrial de constructii,pentru a oferii o educatie mai buna elevilor",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,"RAINA-RADIOURI INDEPENDENTE ROMANIA FILIALA ""ACTIV"" SIBIU",4908/B/1996,,activa,1,,,,CALARASI,,B-DUL 1 MAI BL.A11/5,"Unirea eforturilor culturale si artistice, tehnice, stiintifice si profes. in vederea dezv. activ. de radio-difuziune",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA PAWS UNITED,17282/A/2014,,activa,1,,DA,,CALARASI,Arad,"str. Pionierilor, bl.79,apt.6,jud.Arad","PROTECTIA SI BUNASTAREA ANIMALELOR CU SI FARA STAPAN, CU PRECADERE CAINI SI PISICI, PRECUM SI EDUCAREA OAMENILOR DE A TRAI IN ARMONIE CU ANIMALELE SI NATURA, PRIN RESPECT SI EMPATIE FATA DE CELELALTE FORME DE VIATA, PROPUNANDU-SI SA SPRIJINE AUTORITATILE PUBLICE LOCALE PRECUM SI ALTE ENTITATI PENTRU REZOLVAREA, IN MOD EFICIENT SI PASNIC, A PROBLEMELOR LEGATE DE MEDIUL INCONJURATOR, ANIMALE IN GENERAL SI CAINI COMUNITARI IN SPECIAL, OCUPANDU-SE TOTODATA DE INGRIJIREA SI TRATAREA ANIMALELOR CAT SI DAREA SPRE ADOPTIE A ACESTORA",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIEI CLUB SPORTIV UPGRADE ACADEMY,797/A/2023,,activa,1,,,,CALARASI,BELCIUGATELE,"B-DUL VALEA BELCIUGATELE, NR. CADASTRAL 23629, TARLA 59, HALA 3, BIROUL 5","Descoperirea ºi îndrumarea tinerelor talente în practicarea sporturilor – aeronautica, atletism, badminton, canotaj, ciclism, kaiac canoe, karting, modelism, motociclism, nataþie ºi pentatlon modern, orientare, padbol, padel, radioamatorism, schi nautic ºi wakeboard, sportul pentru persoane cu nevoi speciale, sportul pentru toþi, tenis, tenis de masã, tir cu arcul, tir sportiv, triatlon, volei, yachting - organizarea ºi administrarea de activitãþi sportive în vederea promovãrii sporturilor anterior menþionate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIEI PENTRU DEZVOLTARE DURABILÃ BELCIUGATELE,22039/A/2016,,activa,1,,,,CALARASI,BELCIUGATELE,SAT COJESTI,"Dezvoltarea economicã ºi socialã a comunitãþilor locale prin promovarea oportunitãþilor sociale, economice, educaþionale, culturale, de sãnãtate ºi mediu, atât în interes general, cât ºi în ceea ce priveºte categoriile dezavantajate ale societãþii.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,"FUNDATIA ""VIATA NOUA""",222/B/2003,,activa,1,,,,CALARASI,BELCIUGATELE,,"promoveaza ajutorarea multilaterala, materiala, medicala, sociala,culturala, spirituala si religioasa a populatiei a celor mai defavorizate paturi sociale, recuperarea si integrarea lor in societate",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CLUBUL SPORTIV LADA NIVA ROMANIA""",4762/A/2002,,activa,1,,,,CALARASI,"BELCIUGATELE, SAT MATARAUA",,"depistarea, recrutarea, initierea, pregatirea, promovarea tinerelor talente pentru sportul de performanta",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA FOTBAL CLUB AGRICOLA BORCEA,9426/A/2009,,activa,1,,,,CALARASI,BORCEA,,"crearea, colectarea si distribuirea de continut liber într-un mod non-profit, pentru oportunitati de acces egale la cunostinte si educatie",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
