categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA CULTURALA POVESTILE MARII NEGRE,1236/A/2024,,activa,1,,,,CONSTANTA,,,"promovarea mostenirii culturale, istoriei, traditiilor si turismului si derularea unor activitati sustinute de educatie culturala si moral-civica în comunitate în beneficiul dezvoltarii durabile, prin protejarea, conservarea sii valorificarea patrimoniului cultural national si universal.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA CLUBUL SPORTIV ""MARINA ACADEMIA NAVALĂ""",4218/A/2007,,activa,1,,,,CONSTANTA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Asociatia Clubul Dynamic Elite,3997/A/2007,,activa,1,DA,,,CONSTANTA,,Constanta bd. ferdinand I nr.7 Hotel Victoria et.II ca. 25 Bucuresti str.Johanes Kepller nr.41 sector 2 Bucuresti str.Rahmaninov nr. 9 sc.1 sector 2,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Asociaţia Alianţa Civică Democrată a Romilor,16573/A/2011,,activa,1,DA,,,CONSTANTA,,"Bucureşti bd. Maria Rosetti nr.34, ap.6 sector 2",,"Realizarea acestui scop va fi urmărită prin îndeplinirea unor obiective precum:,i) Implementarea de programe pentru promovarea și respectarea drepturilor omului, inclusiv prin observarea alegerilor electorale,j) Implementarea de programe cu caracter interetnic şi intercultural,k) Realizarea, editarea, tipărirea, înregistrarea audio/video și multiplicarea de cÒr■i, bro║uri, materiale educative, materiale informative, etc ¯n directÒ legÒturÒ cu scopul și obiectivele sale,l) Promovarea si implementarea de programe pentru protecția mediului,m) Promovarea si implementarea de programe de formare profesionalÒ a adul■ilor conform legislatiei in vigoare,n) Promovarea și implementarea de programe în sprijinul dezvoltării tinerilor,o) Promovarea și implementarea de activitÒ■i de cercetare – dezvoltare",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA LIFE - LEARNING EDUCATION,24132/A/2016,,activa,1,,DA,,CONSTANTA,". Bucuresti, Sector 3","Str. Baba Novac nr. 11, bl. Gl 7, sc. 2, et. 9, ap. 84, camera 2,","IDENTIFICAREA, MOBILIZAREA ŞI VALORIFICAREA RESURSELOR NECESARE SUSŢINERII SISTEMULUI ŞI ACTIVITĂŢILOR EDUCAŢIONALE, PROMOVAREA EDUCAŢIEI ŞI CULTURII CA VALORI FUNDAMENTALE ŞI CA MOD DE APROPRIERE A OMULUI DE VALORILE ETERNE ALE SPIRITULUI UMAN.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TANARA CAMERA ECONOMICA DIN MANGALIA,3507/A/2002,,activa,1,,,,CONSTANTA,2 MAI COMUNA LIMANU,STR. ZAHARIA PETRESCU NR. 346,"ASUMAREA RESPONSABILITATII CIVICE SI UMANE PRIN PARTICIPAREA ACTIVA, POZITIVA A MEMBRILOR EI SI LA VIATA ORASULUI MANGALIA",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TANARA CAMERA ECONOMICA DIN MANGALIA,5269/A/2002,,activa,1,,,,CONSTANTA,2 MAI COMUNA LIMANU,STR. ZAHARIA PETRESCU NR. 346,"ASUMAREA RESPONSABILITATII CIVICE SI UMANE PRIN PARTICIPAREA ACTIVA, POZITIVA A MEMBRILOR EI SI LA VIATA ORASULUI MANGALIA",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA F.C. MAGELAN 2 MAI,1976/A/2000,,activa,1,,,,CONSTANTA,"2 MAI, COMUNA LIMANU","STR. ION ROATA, NR.117","-depistarea, pregsatirea si promovarea jucatorilor de fotbal, atletism, rugby, sporturi nautice, automobilism, motocros si participarea la competitii interne si internationale",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA F.C. MAGELAN 2 MAI,2648/A/2000,,activa,1,,,,CONSTANTA,"2 MAI, COMUNA LIMANU","STR. ION ROATA, NR.117","-depistarea, pregsatirea si promovarea jucatorilor de fotbal, atletism, rugby, sporturi nautice, automobilism, motocros si participarea la competitii interne si internationale",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA AGROMEC 2 MAI PAS,3182/A/1997,,activa,1,,,,CONSTANTA,2 MAI- LIMANU,,DOBANDIREA DE ACTIUNI ALE S.C. AGROMEC 2 MAI S.A.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
