categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA "" JURTA """,1090/A/2003,,activa,1,,,,COVASNA,AITA MARE,"STR. PRINCIPALA, NR.349","Promovarea dezvoltarii economice, culturale, sportive, apararea monumentelor naturalesi acelor construite, protectia folclorului satului Aita Mare",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ,,JURTA""",18856/A/2003,,activa,1,,,,COVASNA,AITA MARE,"STR. PRINCIPALA, NR. 349","- promovarea dezvoltarii economice, culturale, sportive; - apararea monumentelor naturale si a celor construite; - protectia folclorului satului Aita Mare; - promovarea valorilor civice si ale democratiei, respectiv urmarirea realizarii unui interes general, local sau dupa caz, de grup; - culegerea si furnizarea de informatii care pot sprijini dezvoltarea satului Aita Mare si a sectorului privat; - elaborarea de proiecte si participarea la programe interne si internationale; - promovarea cooperarii si mentinerea contactelor cu alte institutii nationale si internationale, pentru realizarea scopului propus; - acordarea de sprijin moral si material elevilor si tinerilor satului; - înfiintarea, organizarea, sustinerea financiara si metodologica a unor proiecte de dezvoltare a localitatii si a zonei Aita Mare în vederea crearii infrastructurii; - coordonarea activitatii de realizarea a sprijinului financiar, furnizare de informatii; - executarea unor lucrari, studii, programe, alte servicii, angajate pe baza contractuala pentru dezvoltarea economica, culturala; - sprijinirea dezvoltarii activitatilor care urmaresc valorificarea resurselor materiale si umane, a potentialului turistic urban si rural al zonei; - sprijinirea dezvoltarii agriculturii specifice zonei; - organizarea manifestarilor culturale, religioase pentru tineret, precum si alte evenimente legate de viata satului Aita Mare; - orice alte activitati de natura sa contribuie la realizarea scopului propus, potrivit dispozitiilor legale în vigoare; - asociatia poate desfasura orice alte activitati economice directe, daca acestea au caracter accesoriu si sunt în stransa legatura cu scopul principal al persoanei juridice; - în domeniul sau de activitate, asociatia stabileste raporturi cu alte persoane fizice sau juridice din tara si din strainatate, putand participa la înfiintarea unor organizatii în acest domeniu; - asociatia poate înfiinta societati comerciale. Dividendele obtinute se folosesc obligatoriu pentru realizarea scopului asociatiei, daca nu se reinvestesc în aceleasi societati comerciale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA HARGHITA AITA MARE,321/A/2012,,activa,1,,,,COVASNA,AITA MARE NR.206.,,"Organizarea de activitati sportive, promovarea sportului ca disciplina si practicarea acestuia de catre membri,,- participarea la activitati si competitii sportive, depistarea, selectionarea, initierea si pregatirea copiilor si tinerilor pentru sportul de performanta, organizarea de spectacole fotbalistice, sportive,,-organizarea si administrarea activitatilor culturale si sportive desfasurate în localitate,,-participarea la diferite manifestari culturale, specifice comunei cu ocazia unor evenimente, aniversari si actiuni cultural - sportive,,-organizarea sportului de masa la nivel de comuna si intercomunitare, prin echipe de fotbal, handbal, popice, tenis de masa, etc, care sa poata fi înscrise la diferite concursuri zonale,,-participarea la diferite evenimente cultural-sportive în tara si în strainatate,,-organizarea de tabere excursii si drumetii, cu actiuni pentru cunoasterea zonei si protectia mediului,,-orice alte activitati de natura sa conduca la realizarea scopului propus, cu respectarea dispozitiilor legale în vigoare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA KOZEPAJTAI FUVOSOK EGYESULET,2533/A/2025,,activa,1,,,,COVASNA,AITA MEDIE,AITA MEDIE NR.166,"este promovarea, sustinerea si dezvoltarea muzicii instrumentale se suflat in comunitatea locala si regionala, cultivarea valorilor culturale si artistice, educarea tinerilor prin activitati muzicale, precum organizarea de evenimente, concerte si programe educationale dedicate muzicii de fanfara si suflat",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FILIALA AITA MEDIE A ASOCIATIEI CRESCATORILOR DE TAURINE BALTATA ROMANEASCA,3359/A/2002,,activa,1,,,,COVASNA,AITA MEDIE,"STR.PRINCIPALA,NR.119","sprijinirea directa si calificata a sporirii efectivelor de taurine si a potentialului productiv al acestora, promovarea tehnologiilor moderne si eficiente de crestere, exploatare si ameliorare, colaborand cu organele de specialitate din cadrul Ministerului Agriculturii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE ANIMALE AITA SEACA,2317/A/2002,,activa,1,,,,COVASNA,AITA SEACA,NR.28,"asigurarea prin mijloace legale si in limitele obiectivelor asociatiei a aspiratiilor membrilor sai in practicarea cresterii urmatoarelor specii de animale: taurine, ovine si porcine si reprezentarea si promovarea intereselor crescatorilor",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE BOVINE AITA SEACA,2370/A/2002,,activa,1,,,,COVASNA,AITA SEACA,NR.28,"asigurarea prin mijloace legale si in limitele obiectivelor asociatiei a aspiratiilor membrilor sai in practicarea cresterii bovinelor, reprezentarea si promovarea intereselor crescatorilor",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""GABRIEL""",2946/A/2002,,activa,1,,,,COVASNA,ANGHELUS,"STR.PRINCIPALA, NR.195","sprijinirea romilor in procesul integrarii, reintegrarii, pe plan social si profesional, apararea drepturilor romilor, reprezentarea in comun a intereselor acestora, sprijinirea invatamantului romilor,precum si de perfectionare a invatamantului profesional.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"CERCUL GOSPODINELOR ""KRIZA JANOS""",1041/A/2000,,activa,1,,,,COVASNA,ANITA MARE,NR. 349,Promovarea creºterii animalelor de rasã ºi folosirea intensivã a pãmântului,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CULTURAL SRTISTICA ARCUS,830/A/2001,,activa,1,,,,COVASNA,ARCUS,"STR.BENEDEK ELEK, NR.493","salvarea lucrarilor de arta monumentala , promovarea si recunoasterea acestora.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
