categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""COLEGIUL OSTEOPATILOR DIN ROMÂNIA""",26316/A/2017,,activa,1,,,,DAMBOVITA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PARTIDA ROMILOR,8123/A/2009,,activa,1,,,,DAMBOVITA,,COMUNA LUDESTI,PROMOVAREA DEZVOLTÃRII SOCIO-ECONOMICE A COMUNITÃÞILOR DE RROMI DE PRETUTINDENI,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,SCHIMBAREA INCEPE CU MINE,358/A/2023,,activa,1,,,,DAMBOVITA,", COMUNA TĂRTASESTI,","SAT BÂLDANA, COMUNA TĂRTASESTI, STRADA LASCAR CATARGIU, NR.4","SCHIMBAREA ÎNCEPE CU MINE ard drept scop îmbunătățirea vieții copiilor/adolescentilor defavorizati, din mediul rural si urban, pentru dezvoliarea abilitatilor adecvate de adaptare, integrare si succes intr-o lume aflata in continua schimbare",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA FOLCLORICA ""FIR DE DOR"" TARGOVISTE",311/A/1991,,activa,1,,,,DAMBOVITA,-,"Târgovişte, Bd. Independenţei, nr.19, bl.2, sc.B, et.3, ap.35,","Creşterea gustului publicului pentru spectacolul de folclor, cultivarea interesului pentru aceasta arta si isi propune permanenta crestere a prestigiului in contextul vietii artistice Romanesti si internationale",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ZAMBETUL UNIC,2857/A/2025,,activa,1,,,,DAMBOVITA,". COMUNA. SLOBOZIA MOARA, SAT SLOBOZIA MOARA, STR. GAROAFEI, NR. 13.","COMUNA. SLOBOZIA MOARA, SAT SLOBOZIA MOARA, STR. GAROAFEI, NR. 13","Art. 7 - Scopul ASOCIATIEI ZAMBETUL UNIC este nelucrativ și nepatrimonial, fiind de interes general, umanitar și social, educațional și formator.,Art. 8 - Scopul Asociației este ¯mbunÒtÒțirea calitÒții vieții, apÒrarea si promovarea drepturilor si intereselor persoanelor cu tulburÒri pervazive de dezvoltare, tulburÒri de limbaj, retard motor, retard mintal și orice alte tulburÒri de dezvoltare, precum și a familiilor acestora.,în acest scop Asociația inițiazÒ, promoveazÒ și desfÒșoarÒ activitÒți privind strÔngerea de fonduri pentru susținerea și implementarea programelor de terapie, dezvoltarea si ¯nchegarea comunitÒților profilactice și susținerea intereselor acestora, dezvoltarea serviciilor de tip social și integrativ.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA METAPLAST EDUCATION,447/A/2020,,activa,1,,,,DAMBOVITA,"2.1. TITU, STR. GĂRII NR. 54 BIS, JUD. DAMBOVITA.",,"Desfăşurarea de activităţi de îngrijire zilnică pentru copii, pentru nivelurile educaţionale anteprescolar si preşcolar;,b) Asigurarea, prin activităţile desfăşurate, a coerentei instrucţiei şi educaţiei conform particularităţilor de vârstă şi individuale ale elevilor, in conformitate cu standardele educaţionale specifice, impuse prin lege;,c) Promovarea de activităţi educaţionale pentru nivelurile educaţionale anteprescolar si preşcolar;,d) Organizarea, realizarea si prezentarea de programe educaţionale, ateliere si cursuri pentru nivelurile educaţionale anteprescolar si preşcolar;,e) Facilitarea accesului copiilor la activităţi cultural-educative, menite sa asigure atingerea scopului Asociaţiei;,O Organizarea, realizarea si participarea la evenimente sociale adresate copiilor (festivităţi, serbări, workshopuri etc);,g) Elaborarea de activităţi menite sa promoveze Asociaţia prin atragerea de fonduri necesare,funcţionarii Asociaţiei;,h) Susţinerea si dezvoltarea activităţilor cultural-educative pe plan naţional;,i) Promovarea la nivel naţional si internaţional ai activităţilor Asociaţiei, in scopul creării unei,infrastrcturi educaţionale moderne;,j) Atragerea de resurse si acordarea de sponsorizări individuale si/sau pentru grupuri de copii in vederea participării la ateliere, cursuri, programe si evenimente sociale;,k) Deschiderea unei grădiniţe prin care Asociaţia sa faciliteze accesul la educaţie tuturor categoriilor sociale;,1) Realizarea de activităţi menite sa asigure crearea, intarirea si extinderea parteneriatelor transnaţionale având ca scop facilitarea accesului copiilor la educaţie;,m) Reprezentarea si promovarea intereselor membrilor sai pe plan naţional si internaţional prin toate mijloacele legale existente","Prin Act Aditional se introduce,, litera q), cu următorul continut,„furnizarea hranei zilnice in sistem colectiv copiilor din cadrul grădinitei cu program prelungit (after school)",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,C.A.R. A SALARIATILOR DIN CADRUL ANRM UNITATEA TERITORIALA NR.235 ADANCA-(C.A.R. ONPM UNITATEA 235 ADANCA),3683/A/1997,,activa,1,,,,DAMBOVITA,ADANCA,,"atragerea in randul membrilor, pe baza liberului consimtamant, a unui numar cat mai mare de persoane;-intrajutorarea intre membrii sai, prin acordarea de imprumuturi, cu o dobanda care sa se reintoarca la fondul social al membrilor, dupa suportarea cheltuielilor statutare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPERANTA SI ZAMBET PENTRU DITA,1307/A/2020,,activa,1,,,,DAMBOVITA,ANINOASA,"SAT VIFORÂTA, STR. CONSTANTIN BRÂNCOVEANU, NR.6","Scopul principal al asociaţiei convenit de membrii fondatori, îl constituie reprezentarea şi apărarea drepturilor persoanelor care suferă de tulburări neurologice şi/sau traumatisme vertebro-medulare, reabilitare a deficienţelor în scopul integrării lor în societate şi formarea sistemului institutional. Asociaţia va beneficia de drepturi şi îşi va asuma obligaţii în limitele realizării scopului pentru care a fost constituită.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DEŢINĂTORILOR DE TERENURI SILVICE MUNTENIA,16597/A/2011,,activa,1,,,,DAMBOVITA,ANINOASA,"STR.SILOZULUI,NR.2","apararea, promovarea, dezvoltarea intereselor membrilor asociati, proprietari ori detinatori, cu orice titlu, de terenuri silvice.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PENTRU ANASTASIA,4357/A/2023,,activa,1,,,,DAMBOVITA,ANINOASA,"STR. CONSTANTIN MANOLESCU, NR.257-6 TARLA 18, PARCELA 540/34 - LOT 12,","Scopul principal al asociaţiei convenit de membrii fondatori, îl constituie reprezentarea şi apărarea drepturilor persoanelor care suferă de tulburări de dezvoltare( din spectru autist, ADHD, tulburări ale vorbirii şi limbajului, retard motor, retard mintal şi orice alte tulburări de dezvoltare), reabilitarea lor complexă în scopul integrării lor în societate şi formarea sistemului instituţional. Asociaţia va beneficia de drepturi şi îşi va asuma obligaţii în limitele realizării scopului pentru care a fost constituită.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
