categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIAŢIA ""AJUTOR DIVIN""",1628/A/2020,,activa,1,,,,DOLJ,;CRAIOVA.,"STR. GRIGORE PLESOIANU. NR, 11L. B;.84, ET.2, AP. 13","Identificarea şi ajutorarea copiilor cu probleme de sănătate, copiilor străzii, a celor din centrele de plasament, identificarea şi sprijinirea copiilor maltrataţi de părinţi sau a celor abuzaţi fizic şi i sau psihic, recuperarea copiilor neadaptaţi şi a celor cu dizabilităţi, a tinerilor carc părăsesc centrele de plasament dupa 18 ani, a bătrânilor neajutoraţi si integrarea acestora în standardele unei societăţi civilizate, precum şi ajutorarea familiilor nevoiaşe, a bătrânilor şi a altor persoane care necesită ajutor;Promovarea ideii de implicare, responsabilitate şi voluntariat în comunitate, susţinerea ideii de solidaritate umană şi ajutorare a persoanelor aflate în dificultate, sărace şi defavorizate, cu colectare de fonduri şi donaţii;Descoperirea, valorificarea si promovarea folclorului, a traditiilor si obiceiurilor naţionale:Stimularea spiritului civic, creativ si de initiativa aî tinerilor, prin implicarea lor in toate aspectele vieţii sociale; Promovarea ideii de cumxiştere şi respectare a drepturilor omului într-o societate de consum marcată de profunde mutaţii structurale, cum este societatea româncască.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDAŢIA ALFA,4196/B/1997,,activa,1,,,,DOLJ,ALEXANDRIA,"STR.ION CREANGĂ NR.89a,JUD.TELEORMAN","AJUTORAREA, BĂTRÂNILOR, COPIILOR ŞI FAMILIILOR NUMEROASE CARE NU AU POSIBILITĂŢI MATERIALE ŞI FIANCIARE DIN JUDEŢUL DOLJ",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA UTILIZATORILOR DE APĂ PENTRU IRIGAŢII AMĂRĂŞTII DE JOS,1188/A/2001,,activa,1,,,,DOLJ,AMĂRĂŞTII DE JOS,,DESFĂŞURAREA DE ACTIVITĂŢI ÎN FOLOSUL MEMBRILOR SĂI ŞI DE INTRTERES PUBLIC.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA UTILIZATORILOR DE APĂ PENTRU IRIGAŢII AMĂRĂŞTII DE JOS,2119/A/2001,,activa,1,,,,DOLJ,AMĂRĂŞTII DE JOS,,DESFĂŞURAREA DE ACTIVITĂŢI ÎN FOLOSUL MEMBRILOR SĂI ŞI DE INTRTERES PUBLIC.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE DEZVOLTARE COMUNITARĂ AMĂRĂŞTII DE JOS,25627/A/2019,,activa,1,,,,DOLJ,"AMĂRĂŞTII DE JOS, NR. 503",,"Scopul Asociaţiei „Asociaţia de Dezvoltare Dezvoltare Comunitara Amărăştii de Jos, este acela de a dezvolta durabil comunitatea Amărăştii de Jos prin creşterea nivelului de trai, consolidarea societăţii civile, promovarea valorilor socio-culturale, implicarea copiilor şi tinerilor în activităţi de formare şi susţinerea membrilor comunităţii în vederea aplicării în cadrul programelor de învăţare pe tot parcursul vieţii, consolidarea relaţiilor interetnice.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLUBUL SPORTIV UNIREA AMĂRĂŞTII DE JOS,24985/A/2017,,activa,1,,,,DOLJ,"AMĂRĂŞTII DE JOS, SAT PRAPOR, NR. 1A-CLĂDIRE STADION FOTBAL",,"DE A DEPISTA, FORMA ŞI PROMOVA TINERELE TALENTE, ÎN DOMENIUL SPORTULUI DE PERFORMANŢĂ, SUSŢINEREA ŞI PROMOVAREA ECHIPELOR ÎN COMPETIŢIILE SPORTIVE JUDEŢENE, NAŢIONALE ŞI INTERNAŢIONALE, ŞI ASIGURAREA CONDIŢIILOR OPTIME PENTRU DESFĂŞURAREA ACTIVITĂŢILOR SPORTIVE DE PERFORMANŢĂ PRIN DEZVOLTAREA UNEI BAZE MATERIALE ŞI SUSŢINEREA ECONOMICO-FINANCIARĂ A RESPECTIVELOR ACTIVITĂŢI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA UTILIZATORILOR DE APĂ PENTRU IRIGAŢII AMĂRĂŞTII DE SUS,11198/A/2003,,activa,1,,,,DOLJ,AMĂRĂŞTII DE SUS,DOBROTEŞTI,"VA PRELUA DREPTUL DE PROPRIETATE ASUPRA INFRASTRUCTURII DE IRIGAŢI ŞI DESECARE,DRENAJ",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SALARIAŢILOR DIN AGROMEC S.A. APELE VII,1843/A/1996,,activa,1,,,,DOLJ,APELE VII,,DE A PROTEJA PE PARTICIPANŢI LA PROCESUL DE PRIVATUZARE PRIN CUMPĂRAREA ACŢIUNILOR EMISE DE SOCIETATE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SALARIAŢILOR DIN AGROMEC S.A. APELE VII,2095/A/1996,,activa,1,,,,DOLJ,APELE VII,,DE A PROTEJA PE PARTICIPANŢI LA PROCESUL DE PRIVATUZARE PRIN CUMPĂRAREA ACŢIUNILOR EMISE DE SOCIETATE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA PESCARILOR SPORTIVI ""BIBANUL""- DOLJ",17208/A/2008,,activa,1,,,,DOLJ,Actualizare sediu,"Craiova, strada Fraţii Goleşti nr. 109, bloc K28, parter, judeţul Dolj.","DE A OCROTI ŞI DE A REDA VALOAREA PISCICULTURII,PENTRU VIAŢA CETĂŢENILOR JUDEŢULUI DOLJ",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"CLUBUL SPORTIV ""HERCULE"" CRAIOVA",24806/A/2011,,activa,1,,,,DOLJ,"B-DUL OLTENIA, NR.77, BL.45B, SC. 1, AP.25","mun. Craiova, str. Toporaşi, nr. 45, bl. D, sc. 1, ap. 2, jud. Dolj.","ASIGURAREA CARDULUI ORGANIZATORIC ŞI FINANCIAR, PENTRU DESFĂŞURAREA ACTIVITĂŢII SPORTIVE DE PERFORMANŢĂ ŞI A SPORTULUI PENTRU TOŢI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA SPORT, MIŞCARE, SĂNĂTATE",15944/A/2015,,activa,1,,,,DOLJ,"B-DUL ŞTIRBEI VODĂ, NR.34",,"ASIGURAREA CADRULUI ORGANIZATORIC ŞI FINANCIAR, PENTRU DESFĂŞURAREA ACTIVITĂŢII SPORTIVE DE PERFORMANŢĂ ŞI A SPORTULUI PENTRU TOŢI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ORIZONT,906/A/1994,,activa,1,,,,DOLJ,BAILESTI,"STR. VICTORIEI, NR. 105",protejarea participantilor in procesul de privatizare prin cumpararea actiunilor emise de societate,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU EDUCATIE SI INTEGRARE SOCIALA,24672/A/2016,,activa,1,,,,DOLJ,BAILESTI,"STR. REVOLUTIEI, NR. 3, BL. 4, SC. 1, ET. 1, AP. 3","Stimularea performantei in randul tinerilor si adultilor, promovarea actiunilor cultural-educative, cresterea gradului de insertie sociala a copiilor si adultilor cu dizabilitate, a sanselor de integrare sociala.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU EDUCAȚIA TINERETULUI ȘI ADULȚILOR,15855/A/2012,,activa,1,,,,DOLJ,BAILESTI,"STR. VICTORIEI, NR. 86, BL. A3, SC. C, AP. 10","Stimularea performantei in rindul tinerilor si adultilor, promovarea actiunilor cultural-educative, dezvoltarea traditiilor etnografice si folclorice din Campia Bailestiului",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU SPITALUL MUNICIPAL PROF. DR. IRINEL POPESCU BAILESTI,22193/A/2015,,activa,1,,,,DOLJ,BAILESTI,"STR. VICTORIEI, NR. 24","Scopul Asociaţiei Spitalul Municipal ""Prof.Dr.Irinel Popescu"" Băileşti - este principalul furnizor de servicii medicale din zona de sud a judeţului Dolj. Este un spital cu tradiţie, înfiinţat in anul 1889 , având o activitate profesională diversificată ce acopera cea mai mare parte a specialităţilor medicale şi care asigură servicii medicale pentru municipiul Băileşti şi 14 comune limitrofe. Asociaţia are drept scop principal extinderea pe plan local în vederea dezvoltării activitatii medicale şi obţinerii unor rezultate de prestigiu. Asociaţia are scopul de a ajuta pacienţii din zona, motivat de o reala şi gravă problemă cu care se confruntă un număr cât mai de pacienţi cu probleme de sănătate pentru care este dificilă deplasarea către un alt spital. Activitatea asociaţiei are drept ţintă „ extinderea, dezvoltarea , modernizarea şi dotarea cu aparatură medicală şi echipamente necesare conform standardelor europene ţi cu personal specializat în domeniu, scop ce se poate,concretiza numai prin existenţa unor fonduri/finanţări considerabile"". Scopul asociaţiei fiind acela de a oferi spaţiu şi condiţii optime de tratament şi recuperare a pacienţilor, domeniu care în prezent este o adevarată şi gravă problemă, în România unde fondurile pentru dotare şi investiţii sunt reduse.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA QUANTUM TRUST,24673/A/2016,,activa,1,,,,DOLJ,BAILESTI,"STR. PANDURI, NR. 29","Propasirea materiala, culturala, intelectuala si spirituala a cetatenilor, in toate ipostazele sociale-economicecare alcatuiesc existenta acestora. Asociatia nu isi propune sub nici o forma rea lizarea unor scopuri politice.","- modificari aduse scopului: dezvoltarea locală a zonei în care îşi desfăşoară activitatea Asociaţia. Asociaţia nu îşi propune sub nici o formă realizarea unor scopuri politice şi în vederea realizării scopului, Asociaţia QUANTUM TRUST îşi propune drept obiectiv general promovarea de iniţiative care să aducă laolaltă locuitorii zonei în :are îşi desfăşoară activitatea, comunităţile şi economiile locale, pentru a putea pune în acţiune activităţi comune care să contribuie la crearea unei zone prospere, care să folosească într-o manieră sustenabilă resursele sale umane, naturale si de mediu.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SALARIATILOR DIN SUTRANS BAILESTI,676/A/1996,,activa,1,,,,DOLJ,BAILESTI,"STR. PRELUNGIREA MARASTI, NR. 2",Vinzare-cumparare de actiuni,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA SPORTIVA ""AEROCLUBUL BAILESTI""",849/A/2000,,activa,1,,,,DOLJ,BAILESTI,"STR. A.I. CUZA, NR. 71",aeronautica,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA METALURGISTUL BAILESTI,3751/A/1997,,activa,1,,,,DOLJ,BAILESTI,"STR. LT. BECHERESCU, NR. 10",sport,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SUNRISE DE PSHITERAPIE EXPERIENTIALA SI HIPNOTERAPIE,24670/A/2016,,activa,1,,,,DOLJ,BAILESTI,"STR. ARDEALUL, NR. 66","ASOCIAŢIA SUNRISE DE PSIHOTERAPIE EXPERIENŢIALĂ ŞI HIPNOTERAPIE îşi propune ca prin activităţile desfăşurate, cât şi prin serviciile şi programele sale, să formeze şi să supervizeze specialişti în domeniul consilierii şi psihoterapiei experienţiale, să ofere servicii de consiliere, terapie şi asistenţă psihologică, dezvoltare personală, formare continuă. Programele Asociaţiei reprezintă un sprijin formativ complementar, alături de practica profesională şi modulele de învăţământ superior. ASOCIAŢIA SUNRISE DE PSIHOTERAPIE EXPERIENŢIALĂ ŞI HIPNOTERAPIE promovează valenţele învăţământului interactiv, conectat la spiritul modern de lucru în aceste domenii şi susţine valoarea practicii şi a implicării personale în formarea profesională în grup asistat, pentru specialiştii in psihoterapie, consiliere, consultanţă psiho-socială.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA COMUNITĂŢI PENTRU TINERET,22503/A/2015,,activa,1,,,,DOLJ,BAILESTI,"STR. VICTORIEI, NR. 163, BL. 8, SC.1, AP. 4","Scopul Asociatiei Comunităţi pentru Tineret este de utilitate socială:,- identificarea nevoilor şi oportunităţilor de dezvolatre pentru tineri;,- construirea, implementarea şi promovarea programelor de dezvoltare pentru tineri centrate pe conceptul de învăţare pe tot parcursul vieţii, mobilitate şi asociativitate;,- elaborarea, implementarea şi susţinerea programelor de dezvolatre pentru tineri construite în jurul conceptelor de învăţare pe tot parcursul vieţii, mobilitate şi asociativitate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Asociatia Cetatenilor Romani de Etnie Bulgara Din Bailesti,393/A/1992,,activa,1,,,,DOLJ,BAILESTI,"STR. REVOLTEI, NR. 4",- trimiterea la invatamint a copiilor in Bulgaria,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Club Sportiv Bailesti,466/A/1991,,activa,1,,,,DOLJ,BAILESTI,"STR. LT. BECHERESCU, NR. 12",sport,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,SC SUMA SA BAILESTI,666/A/1993,,activa,1,,,,DOLJ,BAILESTI,"SOSEAUA GALICEA MARE, NR. 3-5",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL SPORTIV AVANTUL BARCA,3553/A/2023,,activa,1,,,,DOLJ,BARCA,STR. MIHAI VITEAZU NR.257,"Scopul ASOCIAȚIEI CLUBUL SPORTIV AVANTUL BARCA este de a depista, forma și promova tinere talente ¯n domeniul sportului de performanțÒ, susținerea și promovarea echipelor ¯n competițiile sportive județene, naționale și internaționale și asigurarea condițiilor optime pentru desfÒșurarea activitÒților sportive de performanțÒ prin dezvoltarea unei baze materiale și susținerea economico-financiarÒ a respectivelor activitÒți; ASOCIATIA CLUBUL SPORTIV AVANTUL BARCA va susține practicarea urmÒtoarelor sporturi : fotbal de cÒtre jucÒtori, indiferent de statutul lor (amator sau profesionist).",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA GAL VALEA DUNARII –SUDOLT,24869/A/2016,,activa,1,,,,DOLJ,BARCA,STR. MIHAI VITEAZUL NR.244,Scopul asociaţiei este dezvoltarea socio-economica si culturala a comunităţilor rurale si mic urban din Asociaţia GAL Valea Dunării - Sudolt prin implicarea activa si responsabila in cadrul parteneriatului public-privat a tuturor factorilor locali de decizie interesati din aceasta zona.,realizarea de actiuni caritabile si de sustinere,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA GAL VALEA DUNARII –SUDOLT,24917/A/2016,,activa,1,,,,DOLJ,BARCA,STR. MIHAI VITEAZUL NR.244,Scopul asociaţiei este dezvoltarea socio-economica si culturala a comunităţilor rurale si mic urban din Asociaţia GAL Valea Dunării - Sudolt prin implicarea activa si responsabila in cadrul parteneriatului public-privat a tuturor factorilor locali de decizie interesati din aceasta zona.,"Modificare Act Constitutiv prin adăugarea la Art. 2.I a unui scop suplimentar al Asociației ¯n sensul — realizÒrii de acțiuni caritabile și de susținere.,Forma ini■ialÒ ,2. I. Scopul asociației este dezvoltarea socio-economica si cu culturala a comunitatilor rurale si mic urban din Asociatia GAL Valea Dunarii Sudolt prin implicarea activa si responsabila in cadrul parteneriatului public-privat a tuturor factorilor locali de decizie interesati din aceasta zona.,Forma actualizatÒ ,2.I. Scopul asociației este dezvoltarea socio-economica si culturala comunitatilor rurale si mic urban din Asociatia GAL Valea Dunarii Sudolt prin implicarea activa si responsabila in cadrul parteneriatului public-privat a tuturor factorilor locali de decizie interesati din aceasta zona, precum și realizarea de actiuni caritabile ║i de sus■inere.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU DEZVOLTARE COMUNITARA BARCA -FAURARII,22367/A/2015,,activa,1,,,,DOLJ,BARCA,"BARCA, STR. MI HAI VITEAZU NR.248",Scopul Asociaţiei este implicarea activă şi responsabilă a cetăţenilor comunei Bârca în dezvoltarea economico-socială durabilă a comunităţilor locale din comuna ca şi din alte comunităţi locale.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CASA DE AJUTOR RECIPROC A SALARIATILOR INVATAMANT BARCA,20343/A/1997,,activa,1,,,,DOLJ,BARCA,INCINTA LICEULUI TEORETIC BARCA,"-atragerea în randul membrilor, pe baza liberului consimtământ, a unui numar cat mai mare de persoane;, -intrajutorarea între membrii sai, prin acordarea de imprumuturi, cu o dobanda care sa se reintoarcă la fondul social ale membrilor dupa suportarea cheltuielilor statutare, -incurajarea membrilor sa depuna economiile la CAR, -participarea tuturor membrilor la buna desfasurare a activitatii şi la controlul utilizarii fondurilor obstesti, potrivit prevederilor statutului propriu, a regulamentelor ce decurg din aceasta şi a normelor financiare in vigoare, -fiecare membru are aceleaşi drepturi şi obligatii cu toti ceilalti membri",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA "" ARTA LA SAT""",8897/A/2009,,activa,1,,,,DOLJ,BECHET,"STR. C. BRÂNCOVEANU, NR.14",DEZOLTAREA CULTURALĂ DURAVIBILĂ,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLUBUL SPORTIV ŞTIINŢA DANUBIUS BECHET,25639/A/2013,,activa,1,,,,DOLJ,BECHET,"STR. A.I.CUZA,NR.100","DE A DEPISTA, FORMA ŞI PROMOVA TINERELE TALENTE ÎN DOMENIUL SPORTULUI DE PERFORMANŢĂ, SUSŢINEREA ŞI PROMOVAREA ECHIPELOR ÎN COMPETIŢIILE SPORTIVE JUDEŢENE, NAŢIONALE ŞI INTERNAŢIONALE ŞI ASIGURAREA CONDIŢIILOR OPTIME PENTRU DESFĂŞURAREA ACTIVITĂŢILOR SPORTIVE DE PERFORMANŢĂ PRIN DEZVOLTAREA UNEI BAZE MATERIALE ŞI SUSŢINEREA ECONOMICO-FINANCIARĂ,SUSŢINEREA PRACTICĂRII URMĂTOARELEO SPORTURI: FOTBAL, TENIS, VOLEI, ATLETISM, SPORTUL PENTRU TOŢI, ÎN TOATE FORMELE SALE, DE CĂTRE JUCĂTORI, INDIFERENT DE STATUTUL LOR-AMATORI SAU PROFESIONIŞTI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SALARIAŢILOR AGROIND BECHET,1819/A/1996,,activa,1,,,,DOLJ,BECHET,,DOBÂNDIREA DE ACŢIUNI ALE SOCIETĂŢIICOMERCIALE AGROMEC SA BECHET,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SALARIAŢILOR AGROIND BECHET,2071/A/1996,,activa,1,,,,DOLJ,BECHET,,DOBÂNDIREA DE ACŢIUNI ALE SOCIETĂŢIICOMERCIALE AGROMEC SA BECHET,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CLUBUL SPORTIV DUNĂREA BECHET,3263/A/2004,,activa,1,,,,DOLJ,BECHET,"STR. CENTRU, BL.B4, SC.1, JUD. DOLJ",DESCOPERIREA ªI INDRUMAREA TINERELOR TALENRE in sportul de masa ºi de performanta pa linia practicarii sportului si pãstrãrii sãnãtãþii,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA PRIMARILOR ""DUNĂREA""",9867/A/2009,,activa,1,,,,DOLJ,"BECHET, STR. A.I. CUZA, NR.100",,DEZVOLTAREA SOCIO ECONOMICĂ DURABILĂ A LOCALITĂŢILOR ASOCIATE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA AGRICOLĂ PENTRU AJUTORAREA PERSOANELOR DE ETNIE RUDARI,4116/A/2006,,activa,1,,,,DOLJ,"BECHET,STR,NICOLAE TITULESCU,NR.27,BIROUL NR.1,PARTER",,"ORGANIZAREA ŞI DESFASURAREA DE ACTIUNI,PROIECTE ŞI PROGRAME NECESARE ÎMBUNĂTĂŢIRII CONDIŢIILOR DE VIAŢĂ SOCIALĂ,CULTURALĂ ŞI PROFESIONALĂ A COMUNITĂŢII DE RUDARI DIN BECHET,DOLJ,CRESTEREA PARTICIPĂRII CETAŢENILOR ŞI AUTORITĂŢILOR ADMINISTRATIEI PUBLICE LOCALE ŞI CENTRALEÎN IDENTIFICAREA ŞI REZOLVAREA PROBLEMELOR COMUNITĂŢII RUDARILOR DESFAŞURAREA UNOR PROGRAME ŞI SERVICII DE PROTECŢIE SOCIALĂ PENTRU A RASPUNDE NEVOILOR SOCIALE.SENSIBILIZAREA ŞI INFORMAREA OPINIEI PUBLICE ÎN PROBLEMATICA ECONOMICA ŞI SOCIALĂ A COMUNITĂŢII DE ENTIE RUDARI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ADEVARATA CREDINTA BETEL,28500/A/2014,,activa,1,,,,DOLJ,BIRCA,STR. MIHAI VITEAZU NR.284,"- scopul initial Scopul Asociaţiei este promovarea principiilor şi valorilor morale creştine, inclusiv prin activităţi filantropice şi de întrajutorare între oameni, în spiritul adevăratei credinţe creştine BETEL",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INTERETNIC BIRCA,24868/A/2016,,activa,1,,,,DOLJ,BIRCA,"BIRCA, STR. EROILOR NR.16","Dezvoltarea comunităţii interetnice din comuna Bîrca sub aspect economic, social, educaţional, cultural, ecologic, turistic.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CASA DE AJUTOR RECIPROC A PENSIONARILOR BIRCA,24804/A/2006,,activa,1,,,,DOLJ,BIRCA,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
