categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIAŢIA CASA BRIDGET,3450/A/2024,,activa,1,,,,GALATI,,COMUNA BUCIUMENI SAT HÂNŢEŞTI,"-îmbunatatirea calitatii vietii persoanelor cu dizabilitati prin asigurarea respectarii drepturilor acestora. facilitarea accesului la servicii de suport si integrarea lor sociala.,-identificarea, recuperarea sl integrarea sociala a copiilor vulnerabili, neadaptati si cu dizabilitati, precum sl a batranilor neajutorati.,-oferirea de sprijin material si emotional familiilor nevoiase si altor persoane aflate in dificultate, inclusiv prin asigurarea de locuinte temporare sau permanente.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE MANAGEMENT AL DESTINATIEI TURISTICE COVURLUI,2969/A/2023,,activa,1,,,,GALATI,BALABANESTI,"INCINTA CAMINULUI CULTURAL, STRADA CULTURII, NR. 13","Organizatia este persoana juridica de drept privat fără scop dezvoltarea și promovarea turismului ¯n destinatia Covurlui, in vederea crearii unui cadru de dezvoltare a diferitelor forme de turism si a serviciilor turistice, facilitarii colaborarii si parteneriatului intre diferitele structuri publice si private cu activitate in acest domeniu, pentru crearea instrumentelor de promovarea interna si externa, pentru acordarea suportului necesar elaborarii si implementarii strategiilor de dezvoltare a turismului local tinand cont de principiile turismului durabil",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PRIETENIE ROMANO-FRANCEZA BALENI-AMBOISE,173/A/1992,,activa,1,,,,GALATI,BALENI,,"De a promova in plan spiritual,moral,material,stiintific,educational,schimburile umanitare,culturale,sociale intre locuitorii comunei Baleni si locuitorii din Am,boise prin activitati diversificate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CASA BLĂNARILOR,2093/A/2025,,activa,1,,,,GALATI,BARCEA,"COMUNA BARCEA, SAT BARCEA, STR. MIHAI EMINESCU, NR.921","Art. 5. Membrii asociaţiei doresc să se asocieze în scopul de a sprijini copiii din familii dezavantajate prin oferirea de resurse educaţionale şi sociale, şi, în acelaşi timp, protecţia şi îngrijirea câinilor fără stăpân, promovând adopţia şi responsabilitatea faţă de animale.,5.1. Scop educativ – Asociaţia organizează programe educative, culturale, sportive, asigurând personal calificat şi asistenţă în domeniu pentru copiii din familii dezavantajate.,5.2. Scop social – Asociaţia identifică problemele sociale cu care se confruntă copiii din familii dezavantajate, pentru a se integra în societate şi a duce un trai normal. Asociaţia va crea un cadru organizat ¯n care copiii se vor putea exprima deschis şi vor primi sprijin în ceea ce priveşte drepturile cetăţeneşti.,5.3. Scop psihoterapeutic – Acest scop are în vedere identificarea problemelor emoţionale cu care se confruntă copiii din familii dezavantajateşși oferirea de servicii de consiliere asigurând personal calificat.,5.4. Scop de reprezentare – Asociaţia reprezintă interesele copiilor din familii dezavantajate, în raport cu agenţi economici, unităţi culturale, cu alte organizaţii nonguvernamentale.,5.5. Scop economic – Asociația va sprijini membrii săi prin dezvoltarea unor programe de formare profesională şi antreprenoriat pentru copiii din familii dezanatajate, pentru a le oferi oportunităţi de învăţare, de muncă şi independenţă financiară pe termen lung. Asociaţia va urmări creşterea fondurilor financiare proprii destinate programelor sociale, folosind mijloacele permise de lege.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA DE DEZVOLTARE INTERCOMUNITARĂ DRĂGĂNEŞTI, BARCEA, UMBRĂREŞTI",3561/A/2024,,activa,1,,,,GALATI,BARCEA,"STR. MIHAI EMINESCU NR. 1,","organizarea, reglementării, exploatării, monitorizării şi gestionării în comun a serviciului de ÎNFIINŢARE SISTEM DE DISTRIBUŢIE GAZE NATURALE ÎN COMUNALE UMBRĂREŞTI, BARCEA ŞI DRĂGĂNEŞTI "" (denumit în continuare Serviciul) pe raza de competenţă a unităţilor administrativ-teritoriale membre, precum şi realizarea în comun a unor proiecte de investiţii publice de interes zonal sau regional destinate înfiinţării, modernizării şi/sau dezvoltării, după caz, a sistemelor de utilităţi publice aferente Serviciului, pe baza strategiei de dezvoltare a Serviciului (denumită în continuare Strategia de dezvoltare).",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CENTRUFAB -P.A.S. BERESTI JUD. GALATI,452/A/1995,,activa,1,,,,GALATI,BERESTI,STR.TRANDAFIRILOR NR.272,De a proteja pe participanti in procesul de privatizare prin cumpararea actiunilor emise de societate.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA IUSTIN TUDOR,3190/A/2021,,activa,1,,,,GALATI,BERESTI,"STR. TRANDAFIRILOR, NR. 92, BL. F3, SC. 3, ET. 3, AP. 13","Asociatia are ca scop promovarea, sprijinirea, realizarea si coordonarea de activitati care sa contribuie la dezvoltarea arminioasa a persoanelor vulnerabile si cu dizabilitati; de a contribui la schimbarea in bine a conditiilor de tratament si viata a persoanelor cu dizabilitati.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRO COMUNITATE BERESTI,3532/A/2022,,activa,1,,,,GALATI,BERESTI,"BERESTI, STR. TRANDAFIRILOR NR. 198, BLOC. HERMES, SC. 2, ET. 3, AP. 26","Scopul principal al asociatiei este realizarea de proiecte umanitare pentru comunitate,pentru dezvoltarea acesteia si de asistenta sociala pentru diferite categorii de persoane defavorizate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SALARIATILOR DIN SC 'HORINCEA'SA BERESTI,311/A/1999,,activa,1,,,,GALATI,BERESTI,STR.MUNCII NR.33,"Dobandirea de actiuni ale SC Horincea SA Beresti , care se privatizeaza.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA UN PAS PENTRU NATALIA,135/A/2023,,activa,1,,,,GALATI,BERESTI,STR. MUNCII NR. 16,"promovarea,sprijinirea, realizarea si coordonarea de activitati care sa contribuie la deszvoltarea armonioasa a persoanelor vulnerabile si cu dizabilitati",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA VISUL LUI LUCIAN,151/A/2024,,activa,1,,,,GALATI,BERESTI,"STR. TRANDAFIRILOR NR. 92, BLOC. F 3, SC. 1, ET. 1, AP. 4","Ajutorarea animalelor fara stapan din Romania, promovarea si apararea drepturilor animalelor",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
