categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA AGROHORTICOLA UZUNU PAS,3840/A/2006,,activa,1,,,,GIURGIU,,,RADIERE ASOCIATIE DIN REGISTRUL SPECIAL-ASOCIATII ŞI FUNDAŢII,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV FC DUNAREA GIURGIU,3930/A/2006,,activa,1,,,,GIURGIU,,,DESFĂŞOARĂ ACTIVITĂŢI SPORTIVE FOTBALISTICE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA DE PROPRIETARI BL.31,SC.A",4051/A/2007,,activa,1,,,,GIURGIU,,,ADMINISTRATIV,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PROPRIETARI NR.10/E2,4057/A/2007,,activa,1,,,,GIURGIU,,,ADMINISTRATIV,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA HELFEN BEDURFTIGEN (AJUTORAREA CELOR NEVOIAŞI),23884/A/2017,,activa,1,,,,GIURGIU,,"Ia act de modificările aduse statutului asociatiei, adoptate prin Hotărârea Adunării Generale din data de 20.05.2023 si cuprinse în statutul actualizat, referitoare la actualizarea sediului asociatiei ( com. Stănesti, sat Bălanu, str. Viilor nr. 7).modificarea art 26 din statut.","De a sprijini persoanele aflate în dificultate, persoanele marginalizate, familiile cu mulţi copii, persoanele în vârstă care locuiesc singure şi care sunt lipseite de mijloacele necesare de existenţă, persoanele afectate de dezastre şi calamităţi naturale, persoanele care suferă de handicap fizic sau psihic, copiii care din cauza situaţiei materiale precare riscă să abandoneze scoala, precum şi alte categorii de persoane aflate în nevoie, prin oferirea ajutorului material, financiar şi spiritual.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,PAS AGROIS ZONA OINACU SI PAS AGROIS ZONA PUTINEIU,2199/A/2001,,activa,1,,,,GIURGIU,,,INSCRIERE MENTIUNI DE FUZIUNE A ASOCIATIILOR,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
uniune,SINDICATUL INDEPENEDENT DIN CADRUL ACR GIURGIU,1381/D/1990,,activa,1,,,,GIURGIU,,,,,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
uniune,SINDICATUL LIBER AL BANCII PENTRU AGRICULTURA SI INDUSTRIE ALIMENTARA GIURGIU,1359/D/1990,,activa,1,,,,GIURGIU,,,"promovarea şi apărarea demnităţii, drepturilor şi intereselor membrilor săi , etc.",,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
uniune,SINDICATUL LIBER AL IJPIPS GIURGIU,1341/D/1990,,activa,1,,,,GIURGIU,,,,,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
uniune,SINDICATUL LIBER AL SALARIATILOR DIN ICSLF GIURGIU,1382/D/1990,,activa,1,,,,GIURGIU,,,,,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
