categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIAŢIA CRESCĂTORILOR DE OVINE ŞI BOVINE "" MIORIŢA UNGUREANĂ""",10346/A/2013,,activa,1,,,,GORJ,,"COMUNA CRASNA, SAT.CRASNA,","de a promova şi apăra interesele legitime ale membrilor asociaţiei; de a sprijini crescătorii de ovine şi bovine din zonă în vederea organizării producţiei pe principii tehnologice şi de eficienţă economică, realizarea producţiilor mari şi de calitate prin punerea în valoare la cel mai înalt grad al potenţialului natural şi bilogic de care dispune România; exprimarea intereselor comune ale membrilor săi şi urmărirea aplicării stricte în rândurile membrilor a legislaţiei specifice creşterii ovinelor şi bovinelor, precum şi a legislaţiei cu caracter general cu aplicabilitate şi în acest domeniu",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CASA DE AJUTOR RECIPROC A SALARIAŢILOR DIN UZINA DE REPARAŢII JILŢ,18632/A/1996,,activa,1,,,,GORJ,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,"FUNDATIA SPORTIVA ""DINCU MIHAIL""",3995/B/2010,,activa,1,,DA,,GORJ,,"oras Tismana sat Vâlcele , (tarlaula 2, parcela 58) judeţ Gorj",,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
uniune,UNIUNEA JUDETEANA A PRODUCATORILOR AGRICOLI,5/D/2000,,activa,1,,,,GORJ,,,,,,,09_03_2026Uniuni.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Uniuni.xlsx,2026-03-09
asociatie,ASOCIATIA IMPREUNA CU DAVID INVINGEM AUTISMUL,28795/A/2019,,activa,1,,,,GORJ,".COM. BERLEŞTI,","COM. BERLEŞTI, SAT LIHULEŞTI, STR. PRINCIPALĂ, NR. 59, JUD. GORJ","Scopul principal al ASOCIAŢIEI ÎMPREUNĂ CU DAVID ÎNVINGEM AUTISMUL îl reprezintă susţinerea financiară si morală a familiilor cu copii diagnosticaţi cu autism si ADHD, precum si a familiilor cu copii afectaţi fizic sau/si psihic, datorită traumelor prenatale, natale, sau post natale. Prin susţinerea familiilor, urmărim ajutarea copiilor în procesul de recuperare medicală pentru atingerea potenţialului lor maxim de dezvoltare si pentru a avea şansă la o viată normală.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA GLOBAL INCLUSION,15890/A/2007,,activa,1,DA,,,GORJ,ALBENI,"BOLBOCEŞTI, NR. 139","Promovarea şi dezvoltarea intereselor cetăţenilor prin crearea unor condiţii optime să contribuie la ridicarea nivelului de trai, diminuarea dezechilibrelor economice, sociale şi culturale, recuperarea întârzierilor în dezvoltarea zonelor defavorizate şi prevenirea producerii de noi dezechilibre, sprijinirea persoanelor aflate în prag de excluziune socială şi a tinerilor în toate domeniile de activitate, de asemenea crearea unui mediu prielnic de dezvoltare prin elaborarea unor proiecte şi programe menite să protejeze mediul înconjurător în favoarea cetăţenilor din zona.","Scopul este de a contribui la dezvoltarea, derularea, promovarea si sprijinirea unor obiective vizând:,• promovarea valorilor morale si respectarea legilor,• promovarea si apărarea drepturilor si libertăţilor omului, in principal a libertăţii conştiinţei si a dreptului Ia libera exprimare si a accesului la informaţii de interes public,• promovarea valorilor şi principiilor democraţiei, a drepturilor omului şi a statului de drept,• promovarea egalităţii de şanse si a nediscriminării,• promovarea, respectarea şi apărarea valorilor constituţionale,• promovarea dezvoltării durabile si a unui stil de viaţă sănătos,• protecţia mediului si a naturii, inclusiv a ariilor protejate si siturile Natura 2000,• promovarea si dezvoltarea turismului,• protejarea si conservarea monumentelor istorice, a tradiţiilor, datinilor si obiceiurilor,• promovarea culturii, a managementului cultural, educaţiei si diversităţii culturale,• promovarea si susţinerea evenimentelor artistice (muzicale, teatrale, etc.),• promovarea educaţiei si formarii profesionale, atât in sistem formal, cat si informai,• asigurarea accesului la formare profesionala continua a adulţilor,• sprijinirea accesului pe piaţa muncii a tinerilor absolvenţi,• sprijinirea activităţilor si proiectelor administraţiei publice, a autorităţilor si instituţiilor publice,• promovarea răspunderii sociale corporatiste,• promovarea si dezvoltarea culturii antreprenoriale,• promovarea si dezvoltarea sportului si activităţilor sportive,• promovarea si dezvoltarea activităţilor recreative,• promovarea si sprijinirea artiştilor,• promovarea si sprijinirea jurnalismului si a activităţilor jurnalistice,• promovarea si sprijinirea activităţilor legate de statutul României de tara membra a Uniunii Europene,• promovarea si sprijinirea activităţilor de integrare si cooperare europeana si internaţionala,• dezvoltarea zonelor rurale şi a celor defavorizate,• responsabilizarea şi creşterea participării active a cetăţenilor pentru a contribui la dezvoltarea comunităţii,• promovarea drepturilor pacienţilor şi sprijinirea acestora,• promovarea învăţării pe tot parcursul vieţii,• dezvoltarea comunităţilor locale prin promovarea spiritului comunitar şi dezvoltarea capacităţii de autoorganizare şi autosusţinere a comunităţilor,• dezvoltarea capacităţii organizaţiilor implicate în procesul de dezvoltare economică şi socială,,• consolidarea sectorului neguvernamental,• promovarea dezvoltării economice sustenabile la nivel local şi regional,• dezvoltare economică locală,• derularea activităţilor de tineret cu caracter educaţional, cultural, religios, sportiv, de divertisment, ecologie, turistic, umanitar si calitativ,• dezvoltarea de relaţii cu instituţii si organizaţii din tara si din străinătate,• colaborare bazate pe parteneriat cu instituţii publice, organizaţii civice, economice si politice, instituţii de învăţământ,• promovarea şi sprijinirea autorităţilor locale şi naţionale să formuleze strategii în desfăşurarea activităţilor de interes comunitar,• diminuarea dezechilibrelor economice, sociale, cultural şi de mediu,• iniţierea şi desfăşurarea oricăror alte activităţi pe care Adunarea Generala le consideră necesare pentru îndeplinirea scopului Asociaţiei Global Inclusion.,• protecţia si promovarea drepturilor persoanelor cu handicap cât şi crearea condiţiilor integrării depline a persoanelor cu dizabilităţi din România la toate nivelurile vieţii comunitare: social, profesional, educaţional, cultural, sportiv etc",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""TINERII DIN ALBENI""",11334/A/2009,,activa,1,,,,GORJ,ALBENI,,"Promovarea unei vieţi sănătoase, fără vicii ( alcool, tutun, droguri ), promovarea de alternative la aceste vicii ( Sport, muzică, dans, pictură etc.. ), promovarea valorilor specifice identităţii socio-culturale romîneşri, creerea unei responsabilităţi colective şi individuale cu o coeziune socială mai ridicată.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA POMICOLĂ"" MĂRUL DE AUR""",3158/A/2022,,activa,1,,,,GORJ,ALBENI,"SAT ALBENI, STR. NARCISELOR, NR. 59","- promovarea agriculturii ecologice în România, dezvoltarea armonioasă a relaţiei omului cu mediul înconjurător, păstrarea şi restabilirea sănătăţii oamenilor; sprijinirea investiţiilor pentru creşterea competitivităţii exploataţiilor agricole, printr-o mai bună organizare şi crearea premiselor necesare în vederea valorificării superioare a producţie; conştientizarea publicului larg asupra problemelor şi soluţiilor agricole, de mediu, sociale şi economice întâlnite în agricultura ecologicăÒ şi agricultura tradiţionalÒ şi asupra importanţei acestor practici şi resurse agricole în societatea românească şi internaţională; promovarea agroecologiei ca model de dezvoltare agricolă, socială, economică şi de mediu în societatea româneascÒ şi internaţională; promovarea şi apărarea drepturilor micilor fermieri şi ţăranilor în societatea românească şi internaţională; promovarea unor politici publice favorabile drepturilor micilor fermieri, ţăranilor, consumatorilor şi mediului.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
federatie,"FEERATIA SINDICATELOR ""LIGNITUL""",4/C/1996,,activa,1,,,,GORJ,ALBENI,,,,,,09_03_2026Federatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx,2026-03-09
fundatie,"FUNDATIA ""ALIMPESTI GROUP""",1394/B/1997,,activa,1,,,,GORJ,ALIMPESTI,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
