categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIAŢIA ""FLUIDE MAGNETICE""",303/A/2000,,activa,1,,,,HUNEDOARA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SALARIAŢILOR BADPS,941/A/1999,,activa,1,,,,HUNEDOARA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA SPORTIVĂ ""CETATE"" DEVA",465/A/1999,,activa,1,,,,HUNEDOARA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TEXTILE HERITAGE PRESERVATIOAN,25852/A/2018,,activa,1,,,,HUNEDOARA,!!!!!!SEDIU SECUNDAR!!!! 1 !!!!!!SEDIU SECUNDAR!!!! 2,"COMUNA BAITA, SAT HARTAGANI, NR. 117 COMUNA BAITA, SAT BAITA, STRADA PRINCIPALA, NR. 27","PROMOVAREA IMAGINII, SUSTINEREA ACTIVITĂŢII DE CERCETARE ŞTIINŢIFICĂ ŞI ADMINISTRAREA MUZEULUI TEXTILELOR, PRECUM ŞI A ALTOR ACTIVITĂŢI ÎN GENERAL, ÎN INTERESUL MUZEULUI.","scopul asocia?iei, care va avea urmatorul cuprins: , (1). Scopul. Scopul asocia?iei const? ?n promovarea imaginii, sus?inerea activit??ii de cercetare ?tiin?ific? ?i administrarea Muzeului Textilelor, precum ?i a altor activit??i ?n general, ?n interesul muzeului. Scopul asocia?iei const? ?i ?n promovarea ?n spa?iul public, ?n mod integrat, a valorilor tradi?ionale romÔne?ti incluzÔnd promovarea ?i valorificarea buc?t?riei tradi?ionale autentice, prin administrarea unor puncte gastronomice locale. Totodat?, scopul asocia?iei este implicarea activ? ?n ini?ierea, promovarea, sprijinire, dezvoltarea, implementarea ?i derularea de programe de tip educa?ie nonformal?, inclusiv workshop-uri, ?n comunit??i rurale, care s? contribuie la crearea de centre educa?ionale de educa?ie nonformal? ?i centre educa?ionale alternative, prin afirmarea identit??ii, a tradi?iilor, culturii ?i spiritualit??ii locale, ?i pentru o dezvoltare durabil?, ?n concordan?? cu standardele na?ionale ?i cele ale Uniunii Europene.ä",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA CLUB SPORTIV AMC RACING- ASOCIAÞIA CLUB SPORTIV AMC CURSE,1668/A/2022,,activa,1,,,,HUNEDOARA,", ALEEA COCSARILOR, NR.7,BL.7, AP.35, JUD. HUNEDOARA","Deva, str. B-dul 1 Decembrie 1918, bl. A, parter, jud. Hunedoara","Scopul initial : -promovarea unor activitãți de interes general, sub forme care sÒ conducÒ la sprijinirea, organizarea și desfÒșurarea activitÒții sportive din domeniul automobilismului la un nivel superior și crearea condițiilor pentru participarea in competițiile naționale și intemationate cu rezultate semnificative;,- selecția pregÒtirea și participarea ¯n competiții interne și intemationale prin promovarea activitÒții sportive ¯n domeniul automobilismului.,- promoovarea în toate activitãțile desfÒșurate spiritul de fair-play. acționeazÒ pentru prevenirea și aterea violentei ¯n activitatea proprie; acționeazÒ in vederea prevenirii practicilor de folosire a substanțelor și metodelor interzise in spoit, ce vizeazÒ creșterea artificialÒ a condiției fizice și psihice a sportivilor,- adninistrarea bazei materiale proprii și exercitarea unor acțiuni pentru dezvoltarea și modemizarea acesteia;,- organizarea de ¯ntreceri și competiții sportive ¯n conformitate cu programele proprii și cu respectarea statutului și regulamentelor federației de specialitate;,- desfãșurarea de activitÒți economice directe. ori alte activitÒți de aceastÒ naturÒ, ¯n legÒturÒ cu scopul principal at clubului, ¯n condițiile legii.,- organizarea. conducerea. administrarea si dezvoltarea activitatii de automobilism sportiv pe plan național sub toate formele sale;,- desfãșurarea de activitÒți sportive ¯n urmÒtoarea ramurÒ sportivÒ: automobilism si in domenii precum liu rally cross, rally sprint. tot teren, curse de accelerare, viteza in coasta, auto cross, karting. etc;",Modificãrile aduse scopului asociației sunt cuprinse ta Secțiunea 15-M2.,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA CLUB SPORTIV ACADEMIA DE ARTE MARÞIALE MIXTE DEVA,1734/A/2024,,activa,1,,,,HUNEDOARA,". DEVA, STR. PIETROASA NR.19, AP.19",,"Scopul Asociatiei Club Sportiv Academia de Arte Martiale Mixte Deva, îl constituie desfãºurarea de activitãþi sportive, în ramurile de sport “arte martiale de contact, kempo, kickboxing, judo si box”, selecþia iniþierea ºi pregãtirea de sportivi în acest domeniu, participarea la competiþii sportive interne ºi internaþionale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FUNDAÞIA FAUNA& FLORA INTERNAÞIONAL,1742/A/2024,,activa,1,,,,HUNEDOARA,": ÎN DEVA, STR. 1 DECEMBRIE NR.14, CAMERA 23, BIROUL NR.2, JUDEÞUL HUNEDOARA",,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE ANIMALE ""FERMA ALMASU - MIC""",11147/A/2013,,activa,1,,,,HUNEDOARA,ALMASU MIC,"NR. 47, COMUNA PESTISU MIC","a)-initierea, desfasurarea si sprijinirea de activitati privind preluarea pasunii satului si a altor pasuni in administratie, curatarea si intretinerea pasunilor,b)-incasarea si gestionarea subventiilor si altor fonduri pentru gestionarea pasunii si/sau dezvoltarea activitatii de crestere de bovine, ovine, caprine cabaline, animale mic si mari pentru blana,c)-sprijinirea proprietarilor de animale in relatiile cu statul si cu tertii,d)-sprijinirea valorificarii eficiente a productiei de lapte, lana, carne, blana si a altor produse derivate,e)-reprezentarea membrilor in negocierea pretului cu cei care preiau si proceseaza produse de origine animala provenite de la animalele de ferma,f)-realizarea de proiecte in acord cu scopul asociatiei, prin atragerea de finantari publice si/sau private,g)-contribuirea la dezvoltarea activitatii asociative si de profil de pe plan local, national si international",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE ANIMALE ""FERMA ALMASU MIC""",11146/A/2013,,activa,1,,,,HUNEDOARA,ALMASU MIC,"NR.47, COMUNA PESTISU MIC","a)-initierea, desfasurarea si sprijinirea de activitati privind preluarea pasunii satului si a altor pasuni in administratie, curatarea si intretinerea padurilor,b)-incasarea si gestionarea subventiilor si a altor fonduri pentru gestionarea pasunii si/sau dezvoltarea activitatii de crestere de bovine, ovine, caprine, cabaline, animale mic si mari pentru blana,c)-sprijinirea proprietarilor de animale in relatiile cu statul si cu tertii,d)-sprijinirea valorificarii eficiente a productiei de lapte, lana, carne, blana si a altor produse derivate,e)-reprezentarea membrilor in negocierea pretului cu cei care preiau si proceseaza produse de origine animala provenite de la animalele de ferma,f)-realizarea de proiecte in acord cu scopul asociatiei, prin atragerea de finantari publice si/sau private,g)-contribuirea la dezvoltarea activitatii asociative si de profil de pe plan local, national si international,h)-incurajarea schimburilor de idei si experiente in domeniu si afilierea la organizatii de profil,i)-contractarea si acordarea de consultanta de profil in principal pentru membri asociati si in secundar pentru terti interesati,i)-initierea, desfasurarea si sprijinirea de activitati privind cresterea animalelor domestice prin fonduri proprii, precum si in intelegere si colaborarea cu alte asociatii, societati, fundatii cu acelasi profil sau care au menirea sa asigure ingrijirea, cresterea si protectia animalelor,j)-dezvoltarea activitatii de crestere de bovine, ovine, caprine, cabaline, animale mici si mari pentru blana si promovarea solidaritatii producatorilor - crescatorilor de bovine, ovine si caprine, cabaline, animale mici si mari pentru blana cu respectarea principiului fundamental al autonomiei fiecarui producator cu sau fara personalitate juridica,k)-sprijinirea si sustinerea membrilor asociatiei in relatiile de parteneriat cu agentii economici care preiau, prelucreaza si valorifica laptele, carnea, lana si alte produse derivate, precum si cu agentii economici care produc si comercializeaza masini, instalatii, utilaje si alte produse folosite in procesul cresterii bovinelor, ovinelor si caprinelor, cabaline, animale mici si mari pentru blana,l)-facilitarea accesului crescatorilor de animale, prin resurse private sau publice, din tara si strainatate la programe si informatii de ultima ora si realizarea parteneriatului dintre autoritatile publice si persoanele juridice de drept privat fara scop patrimonial pentru accesul la programe de finantare guvernamentale si neguvernamentale,m)-desfasurarea de activitati in sensul protejarii mediului si naturii, sustinerii bunastarii sociale la nivel local, concentrarii mijloacelor si fortelor locale in scopul imbunatatirii metodelor de crestere si exploatare a animalelor, in speta a animalelor de ferma, asigurarii mediatizarii, popularizarii problemelor si specificului ingrijirii si cresterii animalelor de ferma,n)-utilizarea fondurilor obstesti potrivit prevederilor statutului, a hotararilor Adunarii generale si a normelor financiare si bancare in vigoare,o)-cooperarea in vederea obtinerii sau, dupa caz, acordarii de sprijin organizatoric si material cu organizatii locale, nationale si internationale, de drept public ori privat, in vederea realizarii de proiecte comune",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FUNDATIA DACICA,11435/A/2009,,activa,1,,,,HUNEDOARA,ALUN,"NR. 40, COMUNA BOSOROD","-cercetarea, conservarea si promovarea valorilor ancestrale ale civilizatiei romanesti",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
