categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA DE DEZVOLTARE SI INTEGRARE SOCIALA MUNTENIA,19521/A/2014,,activa,1,,,,IALOMITA,,"Aleea Depoului, nr. 1, Bl.B11, Sc. A, Et. 2, Ap.10","IMBUNATATIREA CALITATII VIETII PERSOANELOR SI GRUPURILOR VULNERABILE PRIN PROMOVAREA SI DEZVOLTAREA ,MASURILOR DE INTEGRARE SOCIALĂ ŞI DEZVOLTARE COMUNITARĂ IN PLAN SOCIAL,ECONIMIC,EDUCATIONAL SI CULTURAL",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PUNTE INTRE GENERATII,5416/A/2007,,activa,1,,DA,,IALOMITA,,localitatea Dridu str. Lavandei nr.8 judeţ Ialomita,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESCATORILOR DE ANIMALE ""PAJISTEA""ADÂNCATA",13672/A/2011,,activa,1,,,,IALOMITA,ADÂNCATA,,"este acela de a identifica, reprezenta ºi promova sistematic ºi unitar interesele profesionale specific membrilor sãi, cele economice, tehnice ºi juridice, precum ºi acþiunile de cooperare a membrilor.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PATRICK ANDREI,1212/A/2020,,activa,1,,,,IALOMITA,ADÂNCATA,"STR. ZAMBILELOR, NR.13","îmbunătăţească calitatea vieţii copiilor cu diverse dizabilităţi, precum şi a familiilor acestora, oferindu-le acestora îngrijire specializată, recreere terapeutică, suport şi consiliere psihologică, integrare socială individualizată",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA AGRA AMARA,1075/A/1997,,activa,1,,,,IALOMITA,AMARA,,"- Sã primeascã contribuþiile în numerar fãcute de membrii asociaþiei în scopul cumpãrãrii de acþiuni ale societãþii .,- Sã solicite ºi sã primeascã credite de la bãnci sau alte instituþii financiare , pentru cumpãrarea acþiunilor .,- Sã negocieze cu FPS ºi SIF condiþiile de dobândire a acþiunilor .,- Sã încheie cu FPS ºi SIF la care este arondatã societatea comercialã PRESTMEC SA Amara contractele pentru dobândirea de acþiuni ale societãþii în numele3 ºi pentru membrii asociaþiei .,- Sã transmitã membrilor asociaþiei , imediat dupã achitarea acþiunilor dobândite conform art.29 din Legea nr.77/1994 cu plata integralã .,- Sã deþinã , pânã la achitarea lor integralã , acþiunile dobândite în condiþiile art.29 din Legea nr. 77/1994 .,- Sã constituie drept gaj acþiunile membrilor la cererea FPS ºi /sau a bãncii sau a instituþiei financiare creditoare , ca garanþie a plãþii la termen a ratelor creditelor ºi dobânzilor aferente , sã transmitã aceste acþiuni membrilor asociaþiei conform prevederilor Leggii nr.77/1994 ºi cu respectarea dreptului de gaj în favoarea creditorilor .,- Sã plãteascã ratele ºi dobânzile aferente , în condiþiile contractului de vânzare-cumpãrare de acþiuni ºi sã restituie creditele ºi dobânzile aferente în condiþiile contractului de credit .,- Sã exercite în adunarea generalã a acþionarilor societãþii dreptul de vot corespunzãtor acþiunilor deþinute , în conformitate cu prevederile statutului societãþii ºi ale legislaþiei aplicabile societãþilor comerciale .,- Sã organizeze vânzãrile-cumpãrãrile ulterioare de acþiuni între membrii asociaþiei .",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CENTRUL DE ABILITARE PORTI DESCHISE,19091/A/2015,,activa,1,,,,IALOMITA,AMARA,"STR.BAILOR, NR.100","Sa se asociezein scopul inbunatatirii situatiei si ajutorarii persoanelor cu autism, deficiente fizice, psihice, sau de orice alta natura a persoanelor, promovariisi apararii drepturilor persoanelor cu autism/dezabilitati , derularea unor activitati de sponzorizare/mecenat, acordare de burse private pentru persoanele aflate intr-o forma de invatamant , acordarea de ajutoare materiale sau banesti pentru persoanele aflate in dificultate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCĂTORILOR DE ANIMALE MIOTITA - AMARA,19763/A/2014,,activa,1,,,,IALOMITA,AMARA,"STR. TUDOR VLADIMIRESCU, NR.30","Initierea, desfasurarea si sprijinirea de activitati privind cresterea animalelor domestice prin fonduri proprii, precum si in intelegere si colaborarea cu alte asociatii, societati, fundatii cu acelasi profil sau care au menirea sa asigure ingrijirea, cresterea si protectia animalelor;",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CULTURALAÃ ROMÂNO ITALIANAÃ SLOBOZIA-SAPRI,1198/A/1996,,activa,1,,,,IALOMITA,AMARA,"STR.LACULUI,LABORATORUL DE CONTROL AL RADIOACTIVITÃÞII",Realizarea schimburilor culturale ca urmare a acordului încheiat între consiliile locale din Slobozia ºi Sapri ca oraºe înfrãþite.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PARINTILOR DIN SCOALA GIMNAZIALA GEORGE VÂLSAN AMARA,19765/A/2014,,activa,1,,,,IALOMITA,AMARA,"STR.TUDOR VLADIMIRESCU, NR.110","Sprijinirea unitatii de invatamant in activitatea de educare, instruire, formare, indrumare si supraveghere a elevilor a acestei scoli si implicarea in activitatile de inbunatatire, modernizare si intretinerea bazei materiale a scolii, implicarea in activitati extrascolare ; etc.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA „CA PE ROATE”,29113/A/2019,,activa,1,,,,IALOMITA,AMARA,"STR. CIPRIAN PORUMBESCU, NR. 540","MEMBRII ASOCIATIEI DORESC SA SE ASOCIEZE IN SCOPUL PROMOVARII SI DEZVOLTARII SPIRITULUI ANTREPRENORIAL AL ELEVILOR, STUDENTILOR SI CETATENILOR ROMANI.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
