categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIAŢIA OPEN MIND HÎRLĂU, COTNARI, FOCURI, FÂNTÎNELE, JUDEŢUL IAŞI",15993/A/2013,,activa,1,,,,IASI,,,"De a identifica, reprezenta şi promova sistematic şi unitar interesele profesionale, sociale, de mediu, sportive, culturale, religioase, etnice şi de formare profesională specifice membrilor săi şi comunitarilor din care fac parte, cele economice, tehnice şi juridice precum şi acţiunile de cooperare ale membrilor şi ale entităţii cu altele similare pentru îndeplinirea obiectivelor.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,"FUNDATIA "" AGENTIA PENTRU DEZVOLTARE, PROGRES SOCIAL SI CULTURAL PYTHAGORAS"".",16679/B/2000,,activa,1,,,,IASI,"- PRINCIPAL IN PASCANI, STR.MOLDOVEI,NR.8,BL.ZL,SC.A,AP.4 - SECUNDAR IN IASI, ALEEA V.ALECSANDRI,NR.L- JUD.IASI.",,"declarat al fundatiei este de a atrage si de a obtine finantari nerambursabile din partea unor investitori pentru persoane fizice si/ sau juridice de drept public sau privat aflate in declin sau in impas economic, social si cultural.",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ROTARY INTERNATIONAL DISTRICT 2241,3875/A/2012,,activa,1,DA,,,IASI,7- IASI 8- CRAIOVA 9- CLUJ-NAPOCA 10- BUCUREŞTI 11- BUCUREŞTI,"7- STR. CUCU NR. 7, BL. D11, TRONSON 1, ET. 2, AP. 5, JUD. IASI. 8- CALEA BUCUREŞTI, BL. 21E, AP. 14, JUD. DOLJ. 9- B-DUL MUNCII NR. 18, JUD. CLUJ, 10- B-DUL CAROL I NR. 54, ET. 1, BIROU NR. 13, SECTOR 2, 11- CALEA GRIVIŢEI NR. 143, HOTEL IBIS GARA DE NORD - SALA BRAHMS, SECTOR 1",- coordonarea activitatii cluburilor ROTARY si ajutarea acestora in demersurile lor de a atinge scopul principal - acela de a fi o componenta de baza a comunitatii din care fac parte si de a o servi.,- coordonarea si directionarea generala a activitatii Cluburilor Rotary membre ale Asociatiei si sustinerea acestora in demersurile lor de a participa la proiectele Rotary International.,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CRESCĂTORILOR DE ANIMALE DIN COMUNA ALEXANDRU IOAN CUZA,2447/A/2012,,activa,1,,,,IASI,ALEXANDRU IOAN CUZA,,"Asociaţia urmăreşte sprijinirea membrilor săi în vederea crelterii animalelor în scop comercial, valorificarea cărnii, laptelui şi produselor lactate a lînei, a peilor etc, obţinerea de subvenţii de la UE şi de la fondul de stat pentru crescătorii de animale şi imbunătăţirea pajiştilor şi fîneţelor comunei, urmăreşte ca prin acţiunile de coordonare să reprezinte, să susţină şi să apere interesele membrilor săi în relaţiile cu autorităţile publice cu alte persoane fizice şi juridice potrivit statutului şi în raport cu legile în vigoare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ECOAGRO ANDRIESENI 2011,14518/A/2011,,activa,1,,,,IASI,ANDRIESENI,"SAT ANDRIESENI, COM ANDRIESENI, NR. 669","sustinerea directa si calificata a dezvoltarii sectorului cresterii de animale (taurine, bovine, ovine, ecvine) in satul Andrieseni, urmand astfel atragerea fondurilor si dezvoltarea agricola a zonei, perfectionarea continua a tehnologiei in materie, obtinerea recunoasterii produselor proprii, in vederea sporirii eficientei economice a zonei",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLASA MARGARETELOR B.P. HASDEU,24211/A/2017,,activa,1,,,,IASI,ARONEANU,"NR. 242 F, CAMERA 2","a)dezvoltarea şi eficientizarea comunicării între părinţi, cadre didactice şi conducerea şcolii generale nr. 22 B.P. Hasdeu din Iaşi, pentru a explora aspectele de interes reciproc, pentru a sprijini şcoala în îndeplinirea angajamentului acesteia faţă de copii, părinţi şi comunitate;b)susţinerea, modernizarea, îmbunătăţirea continuă a învăţământului preşcolar şi şcolar, în concordanţă cu normele educaţiei şcolare naţionale şi cu respectarea standardelor Uniunii Europene, cu respectarea interesul superior al copilului, în general şi al copiilor din şcoala generală nr. 22 B.P. Hasdeu din Iaşi, în special;c)atragerea, utilizarea şi gestionarea de fonduri şi bunuri, în vederea sprijinirii financiare şi materiale a activităţii instructiv-educative şi extracurriculare desfăşurate în cadrul şcolii generale nr. 22 B.P. Hasdeu din Iaşi;d)susţinerea şi promovarea intereselor copiilor şi ale părinţilor din învăţământul preşcolar şi şcolar în raporturile cu educatorii, profesorii şi conducerea şcolii, cu Inspectoratele scolare, autorităţi ale administraţiei centrale si locale, sindicatele din învăţămant, organizaţii ale părintilor, alte organizaţii naţionale şi internaţionale şi societatea civil.”.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ALUMNI – ABSOLVENTII CONSTRUCTIEI DE MASINI,9414/A/2010,,activa,1,,,,IASI,"B-DUL PROF.DR.DOC. DIMITRIE MANGERON, NR. 39, IN CADRUL FACULTATII CONSTRUCTII DE MASINI SI MANAGEMENT INDUSTRIAL, ET. 1, SALA A-01-03, JUD. IASI, COD 700050",,Stringerea legaturilor intre absolventi si furnizarea de servicii catre acestia; Stabilirea si promovarea relatiilor de colaborare intre absolventi si furnizarea de servicii catre acestia,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""UNIUNEA PRODUCATORILOR AGRICOLI PRIVATI"" - DIN JUDETUL IASI",1380/A/2003,,activa,1,,DA,,IASI,BALTATI,"localitatea Baltati, sat Madarjesti, nr. 122","Asociatia are drept scop promovarea si aprarea intereselor producatorilor agricoli si fermierilor privati, vizind dezvoltarea si consolidarea economica a proprietatii private, cresterea productiei vegetale animaliere si agroalimentare, a calitatii si pentru valorificarea surplusului de produse la preturi avantajoase, care sa asigure venituri si rentabilitate sporita producatorilor agricoli.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASICIATIA SFINTUL VICENTIU DE PAUL COBORIREA SFINTULUI DUH,3362/A/2004,,activa,1,,,,IASI,BALTATI,,"Asociatia isi propune sa analizeze nevoile si problemele de tip comunitar, sa mobilizeze resurse comunitare si sa promeveze metode si mijloace moderne de rezolvare a problemelor identificate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA 'ECHOSOC' BARNOVA,342/B/1999,,activa,1,,,,IASI,BARNOVA,COMUNA BARNOVA,"Actiuni de recuperare, integrare si promovare sociala a tuturor categoriilor de persoane din societate, fara deosebire de sex, nationalitate, optiune politica sau religioasa.",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA BIRNOVA,338/B/1999,,activa,1,,,,IASI,BARNOVA,COMUNA BARNOVA,"Este de a realiza programe caritabile, cu caracter social, cultural si turistic.",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA PERSOANELOR CU DIZABILITATI CELINA,14520/A/2011,,activa,1,,,,IASI,"BARNOVA, COMUNA BARNOVA,",,"asigurarea cadrului necesar pentru desfasurarea unor activitati psiho-socio-medicale pentru pesoanele cu dizabilitati, dependente si care prezinta riscul de a fi marginalizate din cauza lipsei sau insuficientelor resurse materiale, lipsei unui suport din partea familiei sau inexistentei acesteia. Asociatia promoveaza dreptul la viata, sanatate si integrare sociala si actioneaza pentru eliminarea inechitatilor si pentru mobilizarea tuturor fortelor si factorilor sociali, politici si economici pentru sustinerea persoanelor cu dizabilitati.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PROPRIETARI BELCESTI,17408/A/1998,,activa,1,,,,IASI,BELCESTI,"BLOCUL NR. 22D, SC. A,B,C","gestionarea bunurilor si fondurilor banesti, angajarea contractelor cu furnizorii a serviciilor necesare şi urmărirea realizării acestora, în vederea funcţionării normale a clădirii;,asigurarea şi cunoaşterii şi respectării regulilor de locuit în comun;,reprezentarea intereselor proprietarilor în raport cu autorităţile publice;,îndeplinirea oricăror obligaţii prevăzută de lege",,114/1996,11/10/1996,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE PROPRIETARI,969/A/1998,,activa,1,,,,IASI,BELCESTI,"COM. BELCESTI,BL. 22D","Gestionarea bunurilor şi fondurilor băneşti, angajarea contractelor cu furnizoriia serviciilor necesare şi urmărirea realizării acestora, în vederea juncţionării normale a clădirii ,asigurarea cunoaşteri şi respectării regulilor de locuit în comun, reprezentarea intereselor proprietarilorîn raport cu autorizaziile publice, îndeplinirea oricăror bligaţii prevăzute de lege",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA DE PROPRIETARI ""IONESCU ET. CO""",971/A/1998,,activa,1,,,,IASI,BELCESTI,"COM. BELCEŞTI,BL. NR. 4 ŞI BL. NR. 6 SC. A","Gestionarea bunurilor şi fondurilor băneşti, angajarea contractelor cu furnizoriia serviciilor necesare şi urmărirea realizării acestora, în vederea juncţionării normale a clădirii ,asigurarea cunoaşteri şi respectării regulilor de locuit în comun, reprezentarea intereselor proprietarilorîn raport cu autorizaziile publice, îndeplinirea oricăror bligaţii prevăzute de lege",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""TINERETUL ORTODOX ROMAN""FILIALA BELCESTI",28963/A/2019,,activa,1,,,,IASI,BELCEŞTI,"BL.22,SC.D,ET.2,AP.8,COMUNA BELCEŞTI,JUDEŢUL IAŞI","Promovarea valorilor spiritualităţii creştin-ortodoxe şi a culturii româneşti în contextul local şi în dialogul cu tradiţiile, spiritualitatea şi cultura europeană;promovarea educaţiei prin derularea proectelor propuse de UE,Banca Mondială sau Guvernul României;crearea unui climat educaţional, cultural, social , artistic, sportiv, favorabil dezvoltării multidimensionale a tinerilor;ajutorarea tinerilor aflaţi în dificultate, cultivarea tradiţiilor şi a valorilor morale şi religioase tradiţionale, încurajarea coluntariatului şi promovarea reinserţiei pe piaţa muncii a persoanelor inactive.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA CRESCĂTORILOR DE ANIMALE CAPRI-BEL IN COM.BELCEŞTI,JUD.IAŞI",1182/A/2013,,activa,1,,,,IASI,BELCEŞTI,BELCEŞTI,"Scop de activitate obţinerea de produse de calitate şi valorificarea superioară acestora, respectând toate reglementările şi instrucţiunile, Ministerului Agriculturii, Pădurilor şi Dezvoltării Rurale şi ale Uniunii Europene.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE PROPRIETARI BELCEŞTI BLOC 7C,17409/A/1998,,activa,1,,,,IASI,BELCEŞTI,"COMUNA BELCEŞTI, BL. C7","gestionarea bunurilor si fondurilor banesti, angajarea contractelor cu furnizorii a serviciilor necesare şi urmărirea realizării acestora, în vederea funcţionării normale a clădirii;,asigurarea şi cunoaşterii şi respectării regulilor de locuit în comun;,reprezentarea intereselor proprietarilor în raport cu autorităţile publice;,îndeplinirea oricăror obligaţii prevăzută de lege",,114/1996,11/10/1996,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA ECOUL CRESTIN,3361/A/2004,,activa,1,,,,IASI,BELCEŞTI,,"desfăşurarea de activităţii în domeniul cultural, asistenţei sociale, medical-filantropic, consilieri, drepturilor omului",,26,2000,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA G3 NORD - EST,18923/A/2000,,activa,1,,,,IASI,BELCEŞTI,,"gestionarea bunurilor si fondurilor banesti, angajarea contractelor cu furnizorii a serviciilor necesare şi urmărirea realizării acestora, în vederea funcţionării normale a clădirii;,- asigurarea şi cunoaşterii şi respectării regulilor de locuit în comun;,- reprezentarea intereselor proprietarilor în raport cu autorităţile publice;,- îndeplinirea oricăror obligaţii prevăzută de lege",,"Legea 114/1996, modificată de Lg. 145/1999",,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PROFESIONALĂ A CRESCĂTORILOR DE ANIMALE ZOOTEHNIA BELCEŞTI,10166/A/2013,,activa,1,,,,IASI,BELCEŞTI,COMUNA BELCEŞTI,"de a identifica, reprezenta şi promova sistematic şi unitar interesele profesionale specifice membrilor săi, cele economice, tehnice şi juridice precum şi acţiunile de cooperare ale membrilor ş.a.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA PROPRIETARILOR IONESCU ET CO,17410/A/1998,,activa,1,,,,IASI,BELCEŞTI,"COMUNA BELCEŞTI, BL. 4, SC.A,B,C",,,114/1996,11/10/1996,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CONSUMCOOP BELCEŞTI,5296/A/2002,,activa,1,,,,IASI,BELCEŞTI,,organizarea de activităţii bazate pe principiul întrajutorăriimembrilor cooperatori,,Lg. 109,10/10/1996,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA CRESCĂTORILOR DE ANIMALE DIN COMUNA BELCEŞTI, JUDEŢUL IAŞI",13069/A/2010,,activa,1,,,,IASI,BELCEŞTI LA DOMICILIUL NUMITULUI MATASARU ALEXANDRU,COMUNA BELCEŞTI,"Scopul Asociaţiei este de exploatare raţională, de menţinere şi modernizare a pajiştilor, având ca finalitate creşterea producţiei în sectorul zootehnic.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA PĂRINŢI - PROFESORI ""SPERANŢA"" DIN CADRUL ŞCOLII CU CLASELE I - VIII- RUŞI - BELCEŞTI",15986/A/2011,,activa,1,,,,IASI,BELCEŞTI ÎN CLĂDIREA ŞCOLII CU CLASELE I - VIII RUŞI,COMUNA BELCEŞTI,"Creşterea gradului de autonomie a Scolii cu clasele I - VIII Ruşi, Belceşti; crearea unui parteneriat viabil părinţi - cadre didactice; dezvoltarea relaţiilor de colaborare scoală - comunitate şi respectarea şi valorificarea tradiţiei Scolii cu clasele I - VIII Ruşi.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PRODUCATORILOR DE CASE PE STRUCTURA DE LEMN ""ROMWOOD HOUSE""",2943/A/2012,,activa,1,,,,IASI,"BIRNOVA, SAT. BIRNOVA","STR.GRIGORE GHICA VODA, NR. 20","de a reprezenta interesele producatorilor de case pe structura de lemn in fata tertilor, a autoritatilor, de a obtine conditii mai avantajoase pentru membrii asociatiei in raport de furnizori, clienti si institutii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,"FUNDATIA ""CONVOY AID ROMANIA""",2448/B/2000,,activa,1,,,,IASI,BIVOLARI,,"ajutorarea persoanelor aflate la nevoie, in special copii si batrani","FUNDATIA”CONVOY AID ROMANIA” poate desfasura orice activitati economice directe,daca acestea au caracter accesoriu si sunt in strinsa legatura cu scopul principal al fundatiei.",,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA SOCIETATEA AGRICOLĂ TERRA BOURENI,10657/A/2013,,activa,1,,,,IASI,"BOURENI, COMUNA BALŞ",,"Asociaţia este non profit şi are ca scop cultivarea şi recoltarea cerealelor, activitatea de prodiuse animaliere de calitate superioară a acestora, exploatarea terenurilor agricole, deppozitarea, aprovizionarea , folosirea îngrăşămintelor chimice şi seminţelor destinate suprafeţelor de teren şi păşune, lucrări de întreţinere a pajiştilor pentru realizarea de foloase materiale cu participarea tuturor asociaţiilor la beneficii şi pierderi.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PRIETENIE BRADICESTI CHATEAUNEUF DU RHONE,3408/A/1997,,activa,1,,,,IASI,BRADICESTI,COM DOLHESTI,"promovarea relatiilor de prietenie si cunoasterea reciproca a cetatenilor din cele doua localitati cat si realizarea de schimburi culturale,scolare si sportive","Scopul infiintarii asociatiei este promovarea relatiilor de prietenie si cunoasterea reciproca a cetatenilor din cele doua localitati, cat si realizarea de schimburi culturale, scolare,sportive,asocierea cu autoritati publice nonguvernamentale,importul de materiale si bunuri provenite din donatii, sponsorizari si achizitii",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORT BUSINESS CHAIN,24824/A/2018,,activa,1,,DA,,IASI,BREAZU,"STR. LACRAMIOARELOR NR. 13, PARTER, AP. 1, CAM. 2, COM. REDIU","- de a crea cadrul organizatoric necesar promovarii si dezvoltarii mediului de afaceri in domeniul sportiv prin imbinarea experientei si profesionalismului membrilor sai.,Asociatia va apara si va reprezenta interesele membrilor sai in raporturile acestora cu structurile autoritatilor publice locale si centrale, alte entitati, organizatii nationale si international, va sprijini si va promova activitatea de dezvoltare a strategiilor de afaceri in domeniul sportiv.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA EDUSUPORT,106/A/2020,,activa,1,,,,IASI,BREAZU,"STR. GAROAFELOR NR. 28, COMUNA REDIU","iniţierea, organizarea şi dezvoltarea de acţiuni şi programe de sprijin educaţional, cultural şi social, destinate cu precădere categoriilor sociale defavorizate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA SPORTIVA ,,VIITORUL"" BRAESTI",28472/A/2014,,activa,1,,,,IASI,BRĂEŞTI,"NR. IMOBIL T 24 -CAT 955/2, LA STADIONUL DE FOTBAL AL COMUNEI BRĂEŞTI","organizarea şi administrarea de activităţi sportive, promovarea sportului, practicarea acestora de către membrii săi şi participarea la activităţi şi competiţii sportive.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE DEZVOLTARE INTERCOMUNITARĂ BRĂEŞTI- LUNGANI-SINEŞTI,21622/A/2015,,activa,1,,,,IASI,BRĂEŞTI,,"modernizarea infrastructură de drumuri locală şi intercomunitară, protecţia solului, protecţia mediului","Modificarea:,a. Modernizare drumuri de exploataţie agricolă: DE 473 km 0+000 - km 1+324, DE 476 km,0+000 - km 0+609, DE 296 km 0+000 - 0+187, DE 297 km 0+000 - km 0+684, DE 221,km 0+000 - km 1+300, lungime totală pe ad-tiv Brăeşti de 4.104 m,,b. Modernizare drumuri de interes local:,DC 91 km 4+000 - 6+450 pe teritoriul comunelor Brăeşti şi Lungani,,- în Satul Brăeşti, Comuna Brăeşti: DS 1182 km 0+000 - 0+157, DS 1183 km 0+000 -,0+272, DS 1298 km 0+000-0+410, DS 1299 km 0+000-0+351, DS 1378 km 0+000,- 0+657, DS 179 km 0,000 - 0,839,,Pe teritoriul ad-tiv Lungani:,c) Modernizare drumuri de exploataţie agricolă:DE 38 km 0+000 - km 0+804, DE 31 km,0+000 - km 0+901, lungime totală pe ad-tiv Lungani de 1.705 m,,d. Modernizare drumuri de interes local:,- în Satul Lungani, Comuna Lungani:DS 562 km 0,000 - 0+128, DS 8 km 0+000 - 0+294,,DS 189 km 0,000 - 0+130, DS 256 km 0,000 - 0+072, DS 257 km 0+000 - 0+292, DS 402 km,0,000 - 0+235, DS 518 KM 0,000 - 0+491, DS 468 km 0,000 - 0+166, DS 455 km 0,000 - 0+070,,DS 441 km 0+000 - 0+063, DS 401 km 0+000 - 0+226, DS 388 km 0+000 - 0+108,,- în Satul Goeşti, Comuna Lungani: DS 307 km 0+000 - 0+203, DS 731 0+000 - 0+365,,DS 1089 km 0+000-0+556.,Lungimea totală a drumurilor de interes local pe teritoriile ad-tiv Brăeşti şi Lungani propusă,pentru modernizare este de 8.387 m.,Se mai adaugă la punctul e), după „Achiziţionarea de utilaje şi echipamente pentru lucrările,publice de întreţinere a zonelor de protecţie a drumurilor nominalizate mai sus” :,Crearea şi dezvoltarea infrastructurii fizice de bază va cuprinde toate drumurile care fac,obiectul utilizării comune pentru UAT Brăeşti şi UAT Lungani.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA SPORTIVA ,,VIITORUL BRĂEŞTI""",19820/A/2014,,activa,1,,,,IASI,BRĂEŞTI,T 24-CAT955/2,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
