categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA "" SERVICIUL UMANITAR PENTRU PENITENCIARE """,11126/A/2003,,activa,1,,DA,,ILFOV,,"Voluntari str. Erou Iancu Nicolae nr.38-38A, judeţ Ilfov",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA BRITISH ROMANIAN BUSINESS ASSOCIATION,1360/A/2008,,activa,1,,DA,,ILFOV,,Comuna Voluntari sos. Pipera Tunari nr.152/B 5 et.1 tarlaua 4 parcela 93 judet Ilfov.,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CIVICĂ ”ACTIV” CORBEANCA,23352/A/2017,,activa,1,,,,ILFOV,,"COMUNA CORBEANCA, SAT CORBEANCA , STRADA DORULUI, NR.18, JUDEŢUL ILFOV.","Art.7. Asociatia are ca principal scop stimularea si incurajarea atitudinii civice la copii si adulti, cresterea gradului de cunoastere reciproca intre membrii comunitatii din Corbeanca, indiferent daca acestia sunt localnici, veniti din afara localitatii, proprietari de bunuri mobile si imobile, chiriasi sau prestatori de servicii care activeaza pe raza comunei.,Art.8. Asociatia are si scopul de a realiza acţiuni si de a face propuneri prin care să contribuie direct la dezvoltarea si buna administrare a comunitatii locale si a celei zonale, precum şi la reprezentarea membrilor comunitatii locale in relatiile cu structurile administrative pentru probleme legate de administrarea proprietatilor. De asemenea, asociatia isi propune sa contribuie la dezvoltarea, transparenta si administrarea corespunzatoare a serviciile de interes local / zonal, cu caracter comunitar, in conformitate cu legislatia in vigoare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CLUBUL DE DANS ""DANCE VISION""",1724/A/2006,,activa,1,,DA,,ILFOV,,"comuna Cernica sat Poşta şoseaua Poştei nr.18, judeţ Ilfov",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA GREENITIATIVE,4668/A/2007,,activa,1,,DA,,ILFOV,,"Comuna Mogoşoaia, str. Ariei, nr. 2E, C2, parter, judeţul Ilfov.",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INTERNATIONALA A MAESTRILOR BUCATARI,2695/A/2025,,activa,1,,,,ILFOV,,"STR. MARGELELOR NR. 27, AP. 10, CAMERA NR . 1.","lnițierea de acțiuni / evenimente cu tematicÒ pentru cunoașterea și promovarea sectorului gastronomic;,2.Colaborarea cu instituții, asociații, societÒți comerciale, unitÒți de ¯nvÒțÒmÔnt, precum și cu alte organizații sau persoane fizice ¯n vederea optimizÒrii activitÒții gastronomice romÔnești;,3 .Acordarea de consultanțÒ și asistențÒ tehnicÒ de specialitate la cererea agenților economici din țarÒ ¯n vederea ¯nființÒrii, reprofilÒrii, tehnologizÒrii, clasificÒrii și reclasificÒrii unitÒților din domeniul turistic și gastronomic;,4. Sprijinirea membrilor Asociației prin susținerea de cursuri de formare, perfecționare și specializare acordarea titlului/distincției de Maestru ¯n Arta CulinarÒ ¯n urma examenului susținut ¯n fața comisiilor de evaluare,5. Acordarea unor distincții, atÔt membrilor activi, dar și instituțiilor din domeniu, pentru merite deosebite aduse ¯n slujba dezvoltÒrii gastronomiei romÔnești,6. Incurajarea tinerilor bucÒtari ¯n vederea dezvoltÒrii abilitÒților profesionale prin diverse activitÒti atent monitorizate,7. Infonnarea permanentÒ a bucÒtarilor din RomÔnia cu știri și informații referitoare la sectorul gastronomic prin publicații scrise, sesiuni de comunicare, congrese, organizarea de cursuri pentru pregÒtirea bucÒtarilor ¯n vederea susținerii examenului de Maestru ¯n Arta CulinarÒ,8. Organizarea și coordonarea echipelor concurente de bucÒtari:,- organizarea de cursuri pentru pregătirea concurenților,- organizarea de selecții și preselecții pentru membrii echipelor recrutarea de resurse umane pentru Echipele Olimpice (concurente), atÔt din interiorul Asociației, cÔt și din afara acesteia ¯n vederea selectÒrii managerului, antrenorului, PR Managerului, echipei tehnice, care vor ¯nsoți Echipele Olimpice (concurente),- organizarea Echipelor Olimpice ¯n funcție de regulamentele internaționale impuse de organizatorii competițiilor mondiale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ROMANA PENTRU ARSURI PEDIATRIE ACANTA,18913/A/2015,,activa,1,,DA,,ILFOV,,"judetul Ilfov, oras Otopeni, str. Gorunului nr. 3-5.",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA FEMEI ÎN AFACERI,11215/A/2010,,activa,1,,DA,,ILFOV,,"Bragadiru, Str. Libertatii, Nr. 10-16, bl. K2, sc, 3, etaj 2, ap. 15, judetul Ilfov.","promovarea, sustinerea antreprenoriatului feminin, a intereselor femeilor de afaceri, cresterea reprezentativitatii femeilor în structurile politice si decizionale din Romania","Asociatia se infiinteaza in vederea gruparii in jurul ei a femeilor din tara si de origine romana care traiesc in strainatate, indiferent de rezidenta, varsta, religie sau profesie, propunandu-si constientizarea femeilor in legatura cu:,－ dezvoltarea mediului antreprenorial feminin din Romania,－ responsabilitatile ce le revin ca participante la activitatea economica, socio­politica, culturala,－ drepturile specifice de care pot beneficia in calitate de femei in afaceri.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA PENTRU DEZVOLTARE DURABILĂ, PREGĂTIRE PROFESIONALĂ ŞI ASISTENŢĂ SOCIALĂ",1430/A/2013,,activa,1,,DA,,ILFOV,,"Com. DRAGOMIRESTI VALE, sat Dragomiresti Deal, Intrarea Prelungirea Republicii nr. 338, judet ILFOV","Asociaţia are drept scop promovarea, sprijinirea, realizarea si coordonarea de activităţi care sa contribuie la dezvoltarea din punct de vedere economic, social, educaţional, cultural, ecologic, turistic.,Pentru realizarea acestui scop Asociaţia va avea următoarele obiective: in domeniul turismului:,- va promova campanii in mass-media, va organiza sau va participa la simpozioane, expoziţii, va susţine si va realiza materiale de specialitate (publicaţii, broşuri, pagini web, etc.) in vederea promovării turistice a imaginii oraşului si zonei adiacente in tara si străinătate;,- va iniţia, si va derula proiecte de dezvoltare turistica locala si regionala, cu finanţări proprii, sau va acţiona pentru accesarea de fonduri publice sau private, din tara sau din străinătate;,- va iniţia activităţi legate de dezvoltarea turismului, in domeniul sprijinirii si dezvoltării locale si regionale:,- va iniţia si implementa programe legate de promovarea imaginii regiunii in Europa;,- va sprijini planurile de dezvoltare ale comunităţii locale;,- va iniţia, si va derula proiecte de dezvoltare locala si regionala in domeniul economico-social, cu finanţări proprii, sau prin accesarea de fonduri publice sau private, din tara sau din străinătate;,- va acorda consultanta in domeniul managerial, marketing, economic si turistic in scopul ridicării gradului de profesionalism si competenta al localnicilor.,in domeniul protecţiei mediului,- sa iniţieze si realizeze proiecte legate de protecţia mediului in zona;,- sa coordoneze acţiuni de ecologizare;,- instruieşte membrii activi, simpatizanţii si populaţia in sprijinul protejării si conservării mediului ambiant.,in domeniul sprijinirii tineretului,- sa desfăşoare activităţi de promovare si educare a tinerilor;,- sa realizeze activităţi de consiliere profesionala si îndrumare vocationala in favoarea tinerilor, absolvenţilor.,In domeniul formarii profesionale:,- Organizarea de cursuri, colocvii, conferinţe, simpozioane, seminarii, mese rotunde precum si organizarea de marşuri, manifestaţii publice si alte activităţi de sensibilizare a opiniei publice, conform legii; sa acorde premii si titluri;,- Realizarea, editarea si difuzarea de pliante, afişe, broşuri, programe informatice si alte materiale informative;,- Conceperea, acreditarea, organizarea si susţinerea programelor de instruire si formare profesionala continua si/sau a cursurilor perfecţionare sau de calificare, dupa caz;,- Acordarea in condiţiile legii a diplomelor de calificare acreditate de A.N.C. (fost C.N.F.P.A.), sau a diplomelor de participare, dupa caz;,- Organizarea altor forme de invatamant pentru educaţie non-formală si training;,- Promovarea incluziunii sociale prin lupta împotriva discriminării şi facilitarea accesului pe piaţa muncii pentru persoanele dezavantajate;,- Organizarea sau facilitarea activităţilor de educaţie formală în mediul rural si oganizarea activităţilor de educaţie nonformală, (excursii, tabere, cercuri, conferinţe, vizite etc.) în spiritul valorilor spirituale şi sociale tradiţionale româneşti;,- Facilitarea accesului la programe de asistenţa internaţională în domeniul dezvoltării educaţiei în România, protejării şi valorificării valorilor educaţionale româneşti;,Incluziunea socială a persoanelor celor mai defavorizate/vulnerabile din societăţile comunitare;,- îmbunătăţirea calităţii serviciilor acordate persoanelor cu handicap, tineretului la risc şi victimelor violenţei în familie;,- Sprijinirea persoanelor aflate în situaţii speciale;,- Promovarea egalităţii de şanse pentru femei si bărbaţi prin sprijin acordat ridicării statutului social si creşterii vizibilităţii femeilor in profesiunile si comunităţile lor, astfel incat ele sa poate contribui in cel mai inalt grad la transformările economice, sociale şi culturale;,Definirea, elaborarea şi implementarea standardelor profesionale în domeniul resurselor umane;,- Acordarea de asistenţă de specialitate prin sesiuni de instruire, seminarii, workshop-uri, consiliere profesională, servicii de consultanţă, training şi coaching, etc;,In domeniul agriculturii:,- Creşterea competitivităţii in domeniul agriculturii si dezvoltării durabile a mediului rural,- Promovarea excelentei in domeniul agriculturii,- Va iniţia, si va derula proiecte de dezvoltare rurala locale si regionale, cu finanţări proprii, sau va acţiona pentru accesarea de fonduri publice sau private, din tara sau din străinătate;,- Va iniţia activităţi legate de dezvoltarea rurala.,In domeniul social,- Iniţiază programe care sprijină categoriile defavorizate ale societăţii ( pensionari, orfani, persoane cu dizabilitati, etc),- Acorda consultanta in domeniul serviciilor sociale, dezvoltarea resurselor umane,- Realizarea, elaborarea, implementarea si promovarea de acţiuni socio-medico - educative,- Contribuirea la infiintarea, intretinerea si dezvoltarea sistemelor de protecţie sociala la nivelul intregii tari,- Creşterea calităţii vieţii,- Sprijinirea prsoanelor aflate in dificulatate si promovarea de servicii sociale,In vederea atingerii scopurilor si obiectivelor propuse mai sus Asociaţia va desfăşura programe si activităţi de informare, consiliere, educaţie, monitorizare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,Asociatia Club Sportiv Berceni,2701/A/2006,,activa,1,,DA,,ILFOV,,Comuna Berceni nr.354 judet Ilfov,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
