categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"""ASOCIATIA DE TURISM CONSULTANTA SI IMPLEMENTAREA PROIECTELOR EUROPENE""",19718/A/2015,,activa,1,,,,MARAMURES,,"Se aprobã schimbarea sediului asociaþiei la adresa din Baia Mare, str. Aurel Vlaicu, nr. 27A, jud. Maramureº","promovarea adevãratelor valori naþionale ºi culturale; - sprijinirea comunitãþilor de români din afara graniþelor; - organizarea întâlnirilor culturale; - descoperirea de tinere talente ºi promovarea lor; - promovarea acþiunilor ºi iniþiativelor civice; - promovarea dezvoltãrii durabile intersectoriale; - promovarea ºi derularea de acþiuni ºi proiecte în domeniul social, cultural, economic, civic ºi protecþia mediului care pot sã asigure un viitor puternic pentru generaþiile viitoare;- cunoaºterea, cercetarea ºi promovarea identitãþii, istoriei ºi culturii locale; - desfãºurarea de activitãþi publicistice, organizarea lansãrii acestora ºi orice alte activitãþi de promovare a culturii, literaturii naþionale ºi internaþionale. - promovarea si derularea de actiuni si proiecte în domeniul turistic cu scopul de a promova traditiile si valorile locale si nationale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""ASOCIATIA PÃCURAR STEFAN""",16550/A/2014,,activa,1,,,,MARAMURES,,"BAIA MARE, STR. GRÃNICERILOR, NR. 101, AP. 12","identificarea ºi ajutorarea copiilor cu probleme de sãnãtate ºi a celor cu malformaþii ; recuperarea copiilor care prezintã autism, dizabilitãþi ºi a celor neadaptaþi;,· strângerea de fonduri pentru copii cu problemele de mai sus.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""IN4MATICÃ MARAMUREª""",13681/A/2011,,activa,1,,,,MARAMURES,,"ÎN SALA 75 A COLEGIULUI NAÞIONAL ""GHEORGHE ªINCAI"" DIN BAIA MARE, STR.GH. ªINCAI, NR.25",crearea unui cadru organizatoric adecvat pentru desfãºurarea activitãþilor informatice din învãþãmântul preuniversitar în vederea îmbunãtãþirii continue a cercetãrii ºi practicii.-,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,A.C.A. SKI TEAM,17013/A/2010,,activa,1,,,,MARAMURES,,"BAIA MARE, STR.CIREºILOR, NR.20",":organizarea si promovarea urmãtoarelor ramuri de sport:schi ºi alte sporturi de masã, drumeþii , iniþierea si pregãtirea de sportivi in domeniu, oraganizarea ºi participarea la competiþii sportive naþionale si internaþionale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"A.C.C.E.S. ASOCIATIA DE COLABORARE CULTURALÃ, ECONOMICÃ SI SOCIALÃ",18082/A/2014,,activa,1,,,,MARAMURES,,"BAIA MARE, STR. VICTOR BABES, NR. 19, AP.19","desfãSurarea de activitãTi în domeniul educativ, cultural, al asistenTei sociale Si al drepturilor omului.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AFTER RIVER,582/A/2012,,activa,1,,,,MARAMURES,,"BAIA MARE, STR.LACULUI, NR.14","promovarea dialogului interdisciplinar si multicultural prin turismul cultural, traditional si ecologic in context mondial si europea",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,APICOLA NECTARUL FLORILOR,24585/A/2011,,activa,1,,,,MARAMURES,,"BAIA MARE, STR. TURBINEI, NR. 2","sã reprezinte ºi sã susþinã interesele membrilor sãi, sã promoveze ºi sã susþinã existenþa unui cadru legislativ ºi organizatoric care sã faciliteze dezvoltarea durabilã ºi rentabilã a activitãþii apicole în Romania.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ARGUMENT-GHEORGHE SINCAI,13697/A/2011,,activa,1,,,,MARAMURES,,"CU SEDIUL SALA NR. 14 A COLEGIULUI NAÞIONAL ""GHEORGHE ªINCAI"" DIN BAIA MARE, STR. GH.ªINCAI, NR. 25",constã în crearea unui cadru organizatoric adecvat pentru desfãºurarea activitãþilor matematice din învãþãmântul preuniversitar în vederea îmbunãtãþirii continue a cercetãrii ºi practicii.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ARS VIVAT,12824/A/2011,,activa,1,,,,MARAMURES,,"ULMENI, STR.F.C. ULMEANU, NR.13","dezvoltarea societãþii contemporane prin promovarea culturii, artei, religiei, sportului, turismului în rândul tinerilor;promovarea traditiilor si culturii rrome; conservarea si promovarea monumentelor istorice si religioase(biserici,schituri,etc.), consolidarea comunitãþii ºi sprijinirea copiilor, tinerilor,adultilor ºi bãtrânilor în spiritul valorilor creºtine, în acord cu principiile democraþiei ºi drepturile omului; promovarea unor idealuri umanitare sociale defavorizate, aflate în situaþie de risc social, cu dizabilitãþi, ajutor social ºi umanitar pentru copii, tineri ºi bãtrâni; implicarea grupurilor de tineri, a grupurilor comunitare precum ºi a administraþiei locale, regionale si naþionale în acþiuni de dezvoltare durabilã, protecþia sãnãtãþii, protecþia mediului ºi protecþia socialã, în þarã ºi strãinãtate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATA ART MUSIC POP,26183/A/2019,,activa,1,,,,MARAMURES,,"BAIA MARE, BD. REPUBLICII, NR.30/2","Dezvoltarea, sustinerea si promovarea activitãtilor artistice, culturale si recreative.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
