categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA CRESCATORILOR DE OVINE SI CAPRINE DIN STANESTI SI MARASESTI,17064/A/2011,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"SAT MARASESTI, NR. 136",STIMULAREA ACTIVITATII PRACTICARII MESERIEI DE CRESCATOR DE ANIMALE ŞI APICULTOR,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PARINTI BRANCOVEANU BAIA DE ARAMA,17063/A/2011,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"STR. TUDOR VLADIMIRESCU, NR. 11","SUSTINEREA, MODERNIZAREA, EFICIENTIZAREA, CRESTEREA EFICACITATII SI CALITATII PRECUM SI IMBUNATITIREA CONTINUA A INVATAMANTULUI, IN CONCORDANTA CU STANDARDELE UNIUNII EUROPENE, SUSTINEREA INTERESELOR COPIILOR SI PARINTILOR DIN INVATAMANTUL PREUNIVERSITAR IN RELATIILE CU CADRELE DIDACTICE SI CONDUCEREA GRUPULUI SCOLAR, INSPECTORATELE SCOLARE, ADMINISTRATIILE CENTRALE SI LOCALE, SINDICATELE DIN INVATAMANT, FEDEREATIILE PARINTILOR, ORGANIZATIILE NATIONALE SI INTERNATIONALE SI SOCIETATEA CIVILA",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA OBSTEA LOCUITORILOR DIN BAIA DE ARAMA,17059/A/2013,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"TUDOR VLADIMIRESCU, NR. 3, BL.I 2, SC.2, AP.1","INDEPLINIREA TUTUROR FORMALITATILOR CERUTE DE LEGE PENTRU RECONSTITUIREA DREPTULUI DE PROPRIETATE INDIVIZA ASUPRA TERENURILOR CU VEGETATIE FORESTIERA PRECUM SI A CELORLALTE TERENURI PE NUMELE ASOCIATIEI, PRECUM SI ADMINISTRAREA ACESTOR TERENURI CONFORM REGLEMENTARILOR LEGALE IN VIGOARE CU RESPECTAREA DREPTULUI DE PROPRIETATE AL FIECARUI PROPRIETAR MOSTENIT DE LA BATRANI, ASTFEL CUM SUNT ACESTIA MENTIONATI IN ACTUL DE PARTAJ VOLUNTAR DIN DATA DE 29.04.1927 DE JUDELE AJ MIHAI PREDESCU, ACT AUTENTIFICAT DE JUDECATORIA DE PACE MIXTA BAIA DE ARAMA LA NR. 240/29.04.1927",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PENTRU CULTURA, TRADITIE, EDUCATIE SI SPIRITUALITATE PLAIUL CLOSANI",16995/A/2014,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"STR, TUDOR VLADIMIRESCU, NR. 12, BL.12,SC.1, ET.1, AP.4","SA PROMOVEZE, PRIN TOTE MIJLOACELE, DEZVOLTAREA ORASULUI BAIA DE ARAMA, A PLAIULUI CLOSANI SI A JUDETULUI MEHEDINTI, SA COLABOREZA CU INSTITUTII PUBLICE, CULTURALE, EDUCATIONALE, DE INFORMARE-DOCUMENTARE, DE INFORMARE EUROPEANA, TURISTICA, SA DESFASOARE ACTIUNI DE PROMOVARE TURISTICA SI DEZVOLATARE DURABILA A ZONEI, ACTIVITATI CULTURAL EDUCATIVEM, SPORTIVE SI DE ALTA NATURA MENITE SA SERVEASCA CETATENILOR DE ORICE VARSTA, SA ORGANIZEZE EVENIMENTE SI MANIFESTARI, DOMENIILE CONSIDERATE DE INTERES, CU CARACTER PERIODIC SI CARE SA DEVINA EMBLEMATICE SI SPECIFICE PENTRU ACEASTA ZONA, SA INITIEZE ACTIVITATI DE INTEGRARE A TINERILOR IN VIATA SOCIALA, DE IMPLICARE IN ACTIVITATI DE VOLUNTARIAT, DE FAMILIARIZARE A LOR CU VALORILE CULTURII, ARTEI, ISTORIEI SI TRADITIEI, SA EDUTEZE PUBLICATIILE PROPRII, REVISTE, ANUARE, ANALE, BROSURI DE PREZENTARE, GHIDURI SI ALTE PUBLICATII CARE SE PROMOVEZE ACTIVITATEA ACTES",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PENTRU CULTURA, TRADITIE, EDUCATIE SI SPIRITUALITATE PLAIUL CLOSANI",17060/A/2013,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"STR. TUDOR VLADIMIRESCU, NR. 12, BL.12, SC.1, ET.1, AP.4","PROMOVAREA PRIN TOATE MIJLOACELE DEZVOLTAREA ORASULUI BAIA DE ARAMA, A PLAIULUI CLOSANI SI A JUDETULUI MEHEDINTI, SA COLABOREZE CU INSTITUTII PUBLICE, CULTURALE, EDUCATIONALE, DE INFORMARE, DOCUMENTARE, DE INFORMARE EUROPEANA, TURISTICA, SA INITIEZE ACTIVITATI DE PROMOVARE TURISTICA SI DEZXVOLTARE DURABILA A ZONEI, ACTIVITATI CULTURALE EDUCATIVE, SPORTIVE SI DE ALTA NATURA, MENITE SA SERVEASCA CETATENILOR DE ORICE VARSTA. SA ORGANIZEZE EVENIMENTE SI MANIFESTARI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA CERNA,1026/A/1999,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,STR. STADIONULUI,ACTIVITATI SPORTIVE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA VANATORILOR SI PESCARILOR SPORTIVI BAIA DE ARAMA,16066/A/2012,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"CONSTANTIN BRINCOVEANU, NR. 6","CONSERVAREA BIODIVERSITATII SI PROTECTIEI FAUNEI DE INTERES VANATORESC SI PISCICOL, PRECUM SI A MEDIULUI NATURAL DE DEZBVOLTARE A ACESTORA PRIN VANATOARE SAU PESCUIT SPORTIV PRACTICATE IN MOD DURABIL CA FORME DEM ODIHNA ACTIVA SI DE PETRECERE A TIMPULUI LIBER DE CATRE MEMBRII SAI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CLUB SPORTIV BAIA DE ARAMA,16067/A/2012,,activa,1,,,,MEHEDINTI,BAIA DE ARAMA,"STR. REPUBLICII, NR. 21, BL.21, SC.1, AP15","SELECTIA, PREGATIREA SI PARTICIPAREA IN COMPETITII DE NIVEL LOCAL, NATIONAL SI INTERNATIONAL A SPORTIVILOR LA URMATOARELE RAMURI SPORTIVE: FOTBAL, FOTBAL-TENIS,TENIS, TENIS DE MASA, SCHI, SPORTURI PENTRU TOTI, SAH, TABLE, HANDBAL",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE OVINE SI CAPRINE DIN STANESTI SI MARASESTI,16064/A/2012,,activa,1,,,,MEHEDINTI,BAIA DE ARAMĂ,"STR. Constantin Brâncoveanu, nr. 6",STIMULAREA PRACTICARII MESERIEI DE CRESCATOR DE ANIMALE SI APICULTOR,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE VÂNĂTOARE TAUL CERBULULUI,2450/A/2025,,activa,1,,,,MEHEDINTI,BAIA DE ARAMĂ,"SAT MĂRĂŞEŞTI, NR. 186","Conservarea biodiversităţii şi protecţia faunei de interes cinegetic şi piscicol, precum şi a mediilor naturale de dezvoltare a acesteia, prin vănătoare şi pescuit recreativ-sportiv practicate în mod durabil, ca forme de odihnă activă şi de petrecere a timpului liber de către membrii săi.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
