categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""SEBESANCA""",25254/A/2017,,activa,1,,,,MURES,,"RUSII MUNTI SAT SEBES, NR. 27, JUD. MURES","este de a identifica, reprezenta si promova sistematic si unitar interesele profesionale specifice membrilor sai, crescatori de bovine, ovide si caprine, utilizatori de pajisti si pasuni comunale in vederea formarii unei retele de produs in zootehnie/ cele economice, tehnice si juridice, acordarea unor ajutoare membrilor sai, precum si actiunile de cooperare ale membrilor acesteia.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CENTRU DE DEZVOLTARE COMUNITARA TARNAVA,5935/A/2007,,activa,1,,,,MURES,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE VANATOARE ECO GRUP,5930/A/2007,,activa,1,,,,MURES,,,"atribuirea in gestiune de catre autoritatea competenta a faunei de interes cinegetic din cuprinsul unui fond de vanatoare, incheierea de contracte de gestionare a unor fonduri de vanatoare etc.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INTREPRINZATORILOR DIN REGHIN,4465/A/2007,,activa,1,,,,MURES,,,"Interventii la organele puterii si administratiei locale privind participarea reprez.AIR la comisiile de interes local care se ocupa de probleme de activ.economica,conlucrarea cu sindicate,patronate,camere de comert,alte organizatii in adoptarea solutiilor ce prezinta interes pentru intreprinzatori,actionarea in toate domeniile pentru a crea un mediu favorizant infiintarii,functionarii si perfectionarii intreprinderilor mici si mijlocii,accelerarea prin mijloace specifice, a procesului de formare si perfectionare a intreprinzatorilor,srimularea si promovarea relatiilor economice si a cooperarii internationale in interesul intreprinzatorilor,altele",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PROPRIETARILOR PARTICULARI DE TERENURI FORESTIERE,1830/A/2002,,activa,1,,,,MURES,,,ADMINISTRAREA EFICIENTA A SUPRAFETELOR DE PADURE PROPRIETATE PRIVATA A PERSOANELOR ASOCIATE.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA ASISTENŢEI RUTIERE FILIALA JUDEŢEANĂ MUREŞ,11307/A/2009,,activa,1,,,,MURES,,SÎNCRAIU DE MUREŞ,"Extindererea la nivel naţional a asociaţiei şi susţinerea, administrarea, organizarea şi desfăşurarea activităţilor de asistenţă rutieră şi de club, sportive de masă şi de performanţă din domeniul automobilismului sportiv, pentru membrii săi din judeţ.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLUBUL DE FOTBAL SPICUL BERGHIA,1641/A/2005,,activa,1,,,,MURES,,,Promovarea fotbalului şi iniţierea în acest domeniu a celor interesaţi,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA „CLUBUL SPORTIV ÎNFRĂŢIREA VALEA IZVOARELOR”,17599/A/2014,,activa,1,,,,MURES,,TG.MUREŞ,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FILIALA BOIU A ASOCIAŢIEI DIANA TÂRNAVA MICĂ,3131/A/2012,,activa,1,,,,MURES,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""RROMIRAD",609/A/2003,,activa,1,,,,MURES,"""COMUNA APOLD SAT SAES",NR.252,"Consta in cresterea nivellui educational, luarea masurilor n.ecesare pentru integrarea romilor in societate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""PYRUS"" EGYESULET",4237/A/2024,,activa,1,,,,MURES,ABUD,NR.69,"reabilitare şi revitalizare a patrimoniului cultural, sprijinirea agriculturii, implicare şi consolidare a comunităţii, dezvoltarea educaţiei şi sprijinirea meşteşugarilor, încurajarea antreprenoriatului local şi dezvoltarea unui turism cultural durabil şi responsabil.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""GRUPA 18 CORNEŞTI""",11270/A/2009,,activa,1,,,,MURES,ACATARI,"SAT CORBEŞTI, NR. 87",Scopul asociaţiei este de a contribui în mod activ şi eficient la orice acţiune ce are ca scop dezvoltarea fondului cinegetic şi piscicol şi protejarea acestor fonduri.,Scopul asociaţiei este gestionarea fondului cinegetic şi exercitarea vânătorii.,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""PRO ACATARI - AKOSFALVAERT""",415/A/2001,,activa,1,,,,MURES,ACATARI,STR.PRINCIPALA NR.100,"SPRIJINIRE, DEZVOLTARE LOCALITATE, CULTURA, TINERET, SPORT, INVATAMANT, SANATATE, PROTECTIE MEDIU",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE PĂRINŢI DIN ŞCOALA GIMNAZIALĂ ACĂŢARI,15670/A/2013,,activa,1,,,,MURES,ACATARI,"STRADA PRINCIPALĂ, NR. 99","Susţinerea şi îmbunătăţirea activităţilor socio-educaţionale, în general şi din Scoala Gimnazială Acăţari, în special.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA PROPRIETARILOR DE TERENURI ""ALSONYARADMENTE EGYESULET""",14089/A/2011,,activa,1,,,,MURES,ACATARI,NR. 16,"Desfăşurarea unor activităţi de interes general şi local, cât şi de grup, în interesul nepatrimonial al membrilor săi. Alegerea şi propunerea gestionarului fondului de vânătoare în cuprinsul căruia persoanele asociate deţin în proprietate mai mult de 51% din suprafaţa acestuia, cu care administratorul fondului cinegetic poate încheia contract de getionare. Asociaţia are ca scop să promoveze cooperarea rurală şi dezvoltarea strategică şi tactică cu un focus special pe activităţi de economie locală, protecţia mediului, schimburi culturale şi sportive, turism.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA DE DEZVOLTARE INTERCOMUNITARĂ ""ECO RURAL""",8106/A/2008,,activa,1,,,,MURES,ACĂŢARI,NR. 214,"Promovarea şi realizarea unor proiecte de dezvoltare microregională de interes comun în domeniile: utilităţi publice, servicii de gospodărie comunală, infrastructurăă, servicii sociale, transport, mediu, turism, educaţie, resurse umane, cercetare-inovare, administraţie, mediu de afaceri, dezvoltare durabilă.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
