categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA DE CARITATE ""CARELIS""",3735/A/1996,,activa,1,,,,NEAMT,,"STR.G.GALINESCU, NR.7, 24/10",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ECOLOGISTA BISTRITA AURIE,8702/A/2009,,activa,1,,,,NEAMT,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA „CRESCÃTORILOR DE TAURINE,1714/A/2012,,activa,1,,,,NEAMT,,,"identificarea crescãtorilor de taurine din comuna Poienari ºi din localitãþile învecinate, a determinãrii acestora de a se organiza ºi de a-ºi promova ºi apãra interesele profesionale în mod instituþionalizat.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CAR SALARIATI DIN SDN,3520/A/1997,,activa,1,,,,NEAMT,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,FILIALA TARGU NEAMT A ASOCIATIEI „FRILENSAR.RO”,1123/A/2020,,activa,1,,,,NEAMT,,,"Art. 3 - Filiala Târgu Neam? a Asocia?ia FRILENSÃR.RO contribuie promovarea ?i dezvoltarea sectorului cultural prin elaborarea de produse artistice ?i educa?ionale bazate pe cercetare culturalã ?i socialã, pedagogie artisticã ?i inovarea mijloacelor artelor performative, sprijinind astfel atât tinerii prin oferirea unui mediu destinat performan?ei, cât ?i categoriile sociale defavorizate din punct de vedere cultural precum persoanele afectate de excludere socialã, persoanele cu dizabilitã?i sau persoanele aflate în zone cu acces cultural limitat, în ceea ce prive?te adresabilitatea proiectelor desfã?urate, fãrã a scãpa însã din vedere temele universale ?i publicul larg, în ideea comuniunii sociale ?i culturale, datã de multiculturalitate ?i diversitate. ,,Art. 4 - Pentru realizarea scopului, Filiala Târgu Neam? a Asocia?iei FRILENSÃR.RO î?i propune îndeplinirea urmãtoarelor obiective:,a. Apãrarea drepturilor ?i intereselor membrilor ?i colaboratorilor Filialei.,b. Reprezentarea, sus?inerea ?i consilierea din punct de vedere legal a tinerilor arti?ti,c. Promovarea culturii prin inovarea mijloacelor artelor performative.,d. Dezvoltarea de proiecte culturale adresate persoanelor cu dizabilitã?i sau persoanelor afectate de excluziune socialã ?i culturalã.,e. Punerea la dispozi?ie a unui cadru profesionist tinerilor arti?ti independen?i afla?i la început de drum.,f. Sus?inerea dramaturgiei contemporane.,g. Elaborarea de strategii de promovare culturalã.,h. Promovarea diversitã?ii ?i a multiculturalitã?ii în context universal.,i. Încurajarea cercetãrii, a proceselor de analizã socialã ?i a jurnalismului.,j. Sus?inerea produc?iei foto-video.,k. Ini?ierea ?i elaborarea de acte normative destinate sectorului cultural.,l. Protejarea drepturilor arti?tilor independen?i.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA „GAUDEAMUS” A SCOLII GIMNAZIALE „ELENA CUZA” PIATRA NEAMT,4042/B/1995,,activa,1,,,,NEAMT,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,SINDICATUL LIBER AL LUCRATORILOR DI INVATAMANT SI CERCETARE STIINTIFICA NEAMT,3577/A/1990,,activa,1,,,,NEAMT,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,SOCIETATEA AGRICOLA MOLDOVA S.A.,15912/A/1991,,activa,1,,,,NEAMT,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CADRELOR DIDACTICE SI A PARINTILOR DE LA C.S.E.I. TÂRGU NEAMT,2838/A/2024,,activa,1,,,,NEAMT,AGAPIA,SAT AGAPIA,"Cresterea gradului de autonomie a Centrului Scolar pentru Educatie,Incluziva Tg. Neamt, crearea unui parteneriat viabil între parinti-cadre didactice,,dezvoltarea relatiilor de colaborare scoala- comunitate, respectarea si,valorificarea traditiei, îmbunatatirea calitatii învatamântului, promovarea si,sustinerea educatiei, sprijinirea si încurajarea tinerilor de a se dezvolta si,perfectiona personal si profesional, precum si de a spori sansele de integrare,sociala a acestora.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA COMUNITARA DE TURISM AGAPIA,2993/A/2003,,activa,1,,,,NEAMT,AGAPIA,SAT VARATEC,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
