categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"""ASOCIATIA THE NEW ENTRANCE""",376/A/2012,,activa,1,,,,,,"BUCUREșTI, STRADA PRINCIPATELE UNITE NR. 71, APARTAMENT 2, SECTOR 4.",") Membrii Asociației doresc sÒ se asocieze ¯n scopul de a promova educația pentru viațÒ și familie, de a apÒra valorile și drepturile ființei umane, de la concepție și pÔnÒ la moarte.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""ASOCIAŢIA PENTRU PROMOVAREA VALORILOR DEMOCRATICE""",15329/A/2011,,activa,1,,,,,,"BD. CONSTANTIN BRANCOVEANU, NR.8, BL.B2, SC.1, ET.6, AP.22, SECTOR 4, BUCURESTI.","Membrii Asociaţiei ""Asociaţia pentru promovarea valorilor democratice"" doresc să se asocieze în scopul Promovarii valorilor democratice prin organizarea de diferite acţiuni, dezbateri şi sesiuni de mediere şi conciliere, cu scopul de a reactiva societatea civilă şi a întări rolul ei.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
persoana_juridica_straina,"""THE AMERICAN INTERNATIONAL SCHOOL OF BUCHAREST"" - FILIALA DIN ROMANIA",3/E/2009,,activa,1,,,S.U.A.,,,"2711 CENTERVILLE ROAD, SUITE 400, WILMINGTON, DELAWARE, REGIUNEA NEW CASTLE SEDIUL DIN ROMÂNIA- SOS. PIPERA-TUNARI NR.196, LOCALITATEA VOLUNTARI, JUDEŢUL ILFOV","The American International School of Bucharest va avea si va exercita toate puterile, drepturile si privilegiile pe care o organizatie non-profit le poate avea si exercita în Romnia si va fi autorizata sa efectueze orice activitati legale, cu conditia însa de a actiona exclusiv pentru a promova scopurile caritabile si educative ale fondatorului.",,,,09_03_2026PersJuridstr.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026PersJuridstr.xlsx,2026-03-09
asociatie,",, ASOCIAȚIA DE PĂRINȚI – GRĂDINIȚA NR. 4 ”,",18891/A/2014,,activa,1,,,,,,"STR. SG. NITU VASILE NR. 58, BL. 10, SC. 2AP. 36, SECTOR 4,","2.1 Scopul Asociatiei este:,-Promovarea invatamantului si educatiei;,-Incurajarea dezvoltarii societatii civile si a respectarii dreptului omului;,-Promovarea cunoasterii si respectarii drepturilor copilului de catre familie si societate;,-Integrarea copiilor defavorizati in sistemul educational;,-Prevenirea abandonului scolar;,-Asigurarea educatiei copiilor de la o varsta frageda, ca prima treapta de pregatire pentru educatia copilului;,-Formarea personalitatii copilului de la nastere pana la intrarea in sistemul de invatamant gimnazial;,-Initierea copilului in privinta urmatoarelor aspecte;,*stima de sine,,*incredere in capacitatile proprii,,*spontaneitatea exprimarii,,*demnitatea si autonomia,,*increderea in sine si dorinta de cunoastere,,*socializarea, prietenia si cooperarea cu ceilalti,,*diversitate culturala.,-Promovarea dabandirii cunostintelor teoretice si practice, incurajarea, sprijinirea si initierea copiilor, inclusiv a celor incadrati in sistemul de invatamant prescolar si primar in vederea descoperirii, valorificarii si imbunatatirii competentelor, talentelor si aptitudinilor lor;,-Asigurarea de programe de educatie si recreeere intr-un mod instructiv pentru copii, inclusiv pentru cei din invatamantul prescolar precum si a copiilor din invatamantul primar in afara orelor de curs obligatorii in toate formele acestora, la cel mai inalt nivel;,-Promovarea, sprijinirea si organizarea de programe de educatie pentru copiii din invatamantul prescolar si primar in afara orelor de curs si a programei scolare obligatorii inclusiv cursuri de pregatire sau specializare in diverse domenii de activitate;,-Promovarea unei comunicari proactive in vederea dezvoltarii sociale a copiilor incadrati in sistemul de invatamant prescolar si primar;,-Desfasurarea de activitati educationale destinate integrarii copiilor cu posibilitati materiale reduse in societate, in scoli si deasemenea destinate imbunatatirii cunostiintelor generale si a cunostintelor cu caracter educational si cultural;,-Incurajarea si sustinerea copiilor din mediul rural in scopul de a-si imbunatatii educatia si cunostiintele teoretice si initierea pentru a dobandi un statut dinamic in societate;,-Consilierea parintilor si copiilor din invatamantul prescolar si primar cu privire la modalitatile de dezvoltare a personalitatii si capacitatiilor intelectuale ale copiilor;,-Consilierea parintilor in privinta orientarii profesionale a copiilor;,-Acordarea de informatii si consiliere specializata parintilor care doresc sa isi indrume si sprijine copii cu aptitudini deosebite;,-Dezvoltarea de parteneriate educationale cu parintii si comunitatea;",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,",,ASOCIATIA DETECTII GORJ,,",27087/A/2018,,activa,1,,,,,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AAOSCIATIA ECOLOGICA GREENLIFE,10698/A/2009,,activa,1,,,,,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AASOCIATIA VULCANI NOROIOªI,10660/A/2009,,activa,1,,,,,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AOCIATIA PROPRIETARILOR DE PADURE ILVA SOMES,9726/A/2004,,activa,1,,,,,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ARCO – ASOCIATIA RENASTERII CULTURII SI ORTODOXIEI,1781/A/2008,,activa,1,,,,,,"BUCURESTI, STR. SOIMUS NR. 1-7, BL. L, C. 1, AP. ET. 8, AP. 35, SECTORUL 4.","1. Initierea, promovarea, coordonarea, desafasurarea de activitati sociale si de binefacere, cu prioritatea axate pe problemele sociale critice legate de viata copiilor si tineretului – vagabondaj, prostitutie, utilizare de droguri, SIDA – ceea ce constituie factori de marginalitate. In aceeasi perspectiva sunt vizate si alte activitati caritabile in favoarea persoanleor in varsta, izolate. Formele pe care aceste activitati le iau pot fi diverse: metodologii stiintifice de abordare a fenomenelor in specificitatea lor locale, informarea si sensibilizarea organelor conferinte, publicatii si mijloace audio-vizuale;,2. Activitatile privind domeniul cultural-educativ isi propun implementarea, dezvoltarea si operarea unor centre de creativitate si dezvoltare armonioasa a copiilor de varsta prescolara, prin utilizarea unor metode de pedagogie a creativitatii individuale si de grup;,3. Afirmarea patrimoniului cultural ortodoxt traditional si actual ca valenta legitima in constituirea unui fond umanitar comun precum si stabilirea de relatii si schimburi culturale cu comunitatile romanesti din lume. Pentru aceasta ARCO va colabora cu creatori din diverse domenii ale activitatii spirituale, intelctuale si artistice din tara si din strainatate, cu respectul deplin al convingerilor si credintei fiecaruia. Se vor folosi: editarea de publicatii, organizarea de conferinte, simpozioane, festivaluri, calatorii, cercetari de teren, cooperari cu organizatii similare din tara si din strainatate si cu institutii de profil, sevor acorda burse.,4. Asociatia va respecta legea drepturilor de autor privind creatiile puse la dispozitia sa cu titlu de folosinta.,5. Apararea, promovarea si consolidarea valorilor crestin-ortodoxe în sistemul de educatie si cultura ca temelie conceptuala pentru promovarea valorilor general umane si conturarea unui mediu de colaborare între mediul cultural si cel ecleziastic;,6. Educarea, culturalizarea si dezvoltarea activismului social si spiritul de initiativa al populatiei privind apararea si promovarea credintei crestin ortodoxe;,7. Asigurarea respectarii drepturilor, libertatilor si intereselor legitime ale cetatenilor, de catre organele administratiei publice;,8. Actualizarea si difuzarea cunostintelor juridice, educationale, culturale, privind drepturile, libertatile si interesele legitime cetatenilor, procedurile de exercitare si aparare a lor;",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIA'IA PRODUC[TORILOR AGRICOLI DIN YONA DE VEST VALEA IERULUI,13222/A/2011,,activa,1,,,,,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
