categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"""ASOCIATIA CLUBUL SPORTIV OLTENIA RACING KIDS"", cu denumirea in limba romana ""OLTENIA CURSE COPII"".",2029/A/2022,,activa,1,,,,OLT,,"Slatina, str.Arcului, nr.9, bl.11A, sc.C, ap.1, jud.Olt","Scopul ASOCIATIEI CLUBUL SPORTIV „OLTENIA RACING KIDS"" CU DENUMIREA IN LIMBA ROMANA „OLTENIA CURSE COPII"" il constituie desfasurarea urmatoarelor activitati-motociclism, respectiv selectionarea, initierea si pregatirea de sportivi in acest domeniu, participarea la competitii sportive interne si internationale, precum si alte activitati conexe acestora.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ADEVARATA VITA,2040/A/2022,,activa,1,,,,OLT,,"SLATINA, STR.ALEXE NICOLAU, NR.1B, NR. CADASTRAL 1624","""Obiectivele de asociata pentru a promova si de a lua masuri pentru a dezvolta si de a proteja demnitatea umana, dreptul la educatie si cultura tuturor categoriilor sociale din Romania, bazata pe principii crestine, in curs de dezvoltare de proiect , precum si activitati in domeniul alimentatiei, agriculturii, sanatatii, salubrizare, construire, tehnologie, instruire morala, biblica si de crestere care raspund nevoilor sociale individuale, familiari sau grup pentru a trezi dezvoltarea intelectuala, emotionala, religioasa si a incuraja interactiunea relationala la diferite niveluri, stabili initiative antreprenoriale , previne si marginalizarea culturala, sprijin in depasirea situatiilor dificile inserate in contextul cotidian , printre altele.""",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA EDUCATIE PRIN CREDINTA,2745/A/2022,,activa,1,,,,OLT,,"MUN.SLATINA, STR.CIRESOV, NR.15, BL.20, SC.C, AP.10","Asociatia are drept scop promovarea, sprijinirea, realizarea si coordonarea de activitati care sa contribuie la dezvoltarea regiunii din punct de vedere religios, economic, social, educational, cultural, ecologic, turistic.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA IOSUA GABRIEL,2754/A/2022,,activa,1,,,,OLT,,"Mun.Slatina, Str.Primaverii, Nr.3, Bl.ZA2, Sc.3, parter, ap.2, Judetul Olt.","Scopurile asociatiei sunt:,a) de a promova si contribui la ajutorarea persoanelor cu dizabilitati locomotorii si asociate;,b) formarea si cultivarea opiniei publice in legatura cu problemele persoanelor cu dizabilitati locomotorii si asociate;,c) colaborarea cu persoane juridice similare, din tara sau strainatate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA MODELAM SLATINA SI OLTUL EUROPEAN,2028/A/2022,,activa,1,,,,OLT,,"SLATINA, STR.ALEEA INFRATIRII, NR.7, BL. FB1, SC.C, AP.1","(1) Scopul Asociatiei este promovarea si apararea intereselor cetatenilor municipiului Slatina si judetului Olt in vederea cresterii calitatii vietii in aceste unitati administrativ-teritoriale prin accelerarea dezvoltarii acestora din punct de vedere economic, cultural, social.,(2) Asociatia incurajeaza informarea cetatenilor cu privire la activitatea autoritatilor publice si participarea cetatenilor in procesul decizional al autoritatilor publice.,(3) Asociatia sustine si promoveaza proiecte si activitati care conduc la urmatoarele rezultate, fara a se limita la aceasta lista:,• dezvoltarea economica, sociala, culturala a municipiului Slatina si judetului Olt;,• imbunatatirea infrastructurii de transport public;,• promovarea mijloacelor alternative de transport;,• extinderea spatiilor verzi, amenajarea unor parcuri noi;,• dezvoltarea infrastructurii educationale la nivel local si judetean;,• dezvoltarea infrastructurii de sanatate la nivel local si judetean;,• dezvoltarea infrastructurii culturale la nivel local si judetean;,• eficientizarea administratiei publice locale si judetene;,• promovarea sustenabilitatii si dezvoltarii durabile la nivel local si judetean;,• sporirea sigurantei cetatenilor;,• promovarea standardelor europene in domeniul constructiilor si urbanismului:,• promovarea libertatii;,• intarirea democratiei;,• buna guvernare;,• promovarea si apararea drepturilor si libertatilor fundamentale ale omului;,• promovarea si apararea drepturilor minoritatilor;,• lupta impotriva discriminarii de orice tip;,• sporirea reprezentarii tinerilor in relatia cu autoritatile publice;,• sporirea oportunitatilor de dezvoltare profesionala la nivel local si judetean;,• promovarea Uniunii Europene si identitatii europene;,• promovarea accesarii fondurilor europene si a modalitatilor de realizare a acesteia;,• promovarea digitalizarii in administratia publica;,• promovarea implementarii initiativelor de tip smart city la nivel local;,• promovarea transparentei in administratia publica.,(4) Organizatia va fi un think tank pentru dezvoltarea municipiului Slatina si judetului Olt, pornind de la problemele identificate la nivel local si judetean, consultand societatea civila, identificand impreuna solutii potrivite si promovandu-le atat in mod public, cat si formal, in relatia cu autoritatile locale. In acest sens va face studii si cercetari, va realiza actiuni de advocacy, va oferi asistenta tehnica si va face consultanta de specialitate, va gandi si promova strategii si politici.,(5) Asociatia va desfasura si actiuni de supraveghere, alertand decidentii, sistemul si opinia publica cu privire la chestiunile ce intra in sfera sa de activitate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PLAPCEA,2442/A/2022,,activa,1,,,,OLT,,"ORAS SCORNICESTI, SAT MARGINENI-SLOBOZIA, STR.SLOBOZIA, NR.64, CAM.1., JUD.OLT","Scopul principal al ASOCIATIA PLAPCEA il reprezinta coordonarea, organizare si promovarea intereselor asociatiei, promovarea si punerea in practica a dezvoltarii zonelor cu valori naturale, precum si dezvoltarea strategiilor de achizitionare si intretinere terenuri arabile situate in intavilanul si extravilanul localitatilor;,Schimbarea scopului asociatiei se va putea face numai de catre fondatori, si numai daca acesta a fost realizat in totalitate sau in parte ori acesta nu mai poate fi realizat.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ALUTUS PERFECTUS,15982/A/2014,,activa,1,,,,OLT,"B.DUL NICOLAE TITULESCU, NR.7, BL.7, SC.A, AP.9","str. Dinicu Golescu nr. 5, Slatina, Olt","este exclusiv umanitar, constand in acordarea unui sprijin eficient prin donatii in alimente, imbracaminte, medicamente, bani, prestari servicii, diferitelor categorii sociale defavorizate, fara deosebire de nationalitate, religie, rasa, sex sau convingeri politice",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CRP"" ASOCIATIA DE DEZVOLTARE DURABILA SI INTERCOMUNITARA",11655/A/2009,,activa,1,,,,OLT,BABICIU,BABICIU,"Are ca scop principal de a promova si realiza proiecte de dezvoltare regionala de interes comun in domeniile, sevicii sociale, transport mediu, turism, educatie, unitatii publice, resurse umane, administratie, mediu de afaceri, dezvoltare durabila, infratire institutionala, cooperare teritoriala si competitivitate economica.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE ANIMALE CANDENI BABICIU,28480/A/2014,,activa,1,,,,OLT,BABICIU,STR. EPISCOPIEI,"asocierea pentru concesionarea pasunilor si pajistilor, elaborarea cu alte asociatii si fundatii, cu alte emenea organizatii care activeaza in domeniul cresterii animalelor in vederea organizarii de actiuni asistenta si consultanta pentru sustinerea intereselor smbrilor asociatiei,implicarea in elaborarea lutiilor pentru probleme specifice ce vor fi puse la spozitia guvernului, altor autoritati ori asociatii, membrilor asociatiilor, din proprie initiativa ori la cererea acestora; negocierea cu autoritatile competente in vederea obtinerii de facilitati fiscale pentru sectorul de producere de carne si lapte.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PENTRU TINERET ""MUGURASII"" BABICIU",531/A/1991,,activa,1,,,,OLT,BABICIU,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
