categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
fundatie,ALMI,164/B/1996,,activa,1,,,,PRAHOVA,,,"AJUTORAREA BATRANILOR, A PERSOANELOR SINGURE SI NEAJUTORATI MATERIAL SI MORAl",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""COMUNITARA LUPII GALBENI 2012""",4068/A/2012,,activa,1,,,,PRAHOVA,,"str. Stadionului nr. 26, Ploiesti, Judetul Prahova","IDENTIFICAREA, REPREZENTAREA , PROMOVAREA, SUSTINEREA SI APARAREA INTERESELOR A MEMRILOR ORGANIZATIEI",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""KIKI SI ADU""",19298/A/2014,,activa,1,,,,PRAHOVA,,,INTRAJUTORAREA PERSOANELOR CU PROBLEME MEDICALE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CASA ARHITECTILOR SINAIA, BUSTENI, AZUGA, PREDEAL",2014/A/2005,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC U.M. 01394,3801/A/1997,,activa,1,,,,PRAHOVA,,,SPRIJINIREA SI INTRAJUTORAREA MEMBRILOR SAI,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV SCHI AZUGA,15386/A/2013,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL PENSIONARILOR DIN ORASUL BUSTENI,2173/A/2005,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INTERCOMUNITARA MIZIL XXI-45,9591/A/2009,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA MICILOR COMERCIANTI DIN PLOIESTI ZONA NORD -COMPLEXUL MARE,15644/A/2008,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRIETENI PENTRU BUNICI,14827/A/2011,,activa,1,,,,PRAHOVA,,,IMBUNATATIREA SERVICIILOR SOCIALE SI MEDICALE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PROPRIETARILOR DE PADURI MUNTENIA (A.P.P.M),3033/A/2006,,activa,1,,,,PRAHOVA,,,"DESFASURAREA UNOR ACTIVITATI DE INTERES GENERAL SI LOCAL, STIPULATA DE CODUL SIVIC SI LEGISLATIA CONEXA, PROTECTIA MEDIULUI INCONJURATOR SI AL PRELUCRARII TUTUROR RESURSELOR FORESTIERE SAU DE VANATOARE, FACILITANDU-SE ACCESUL LA RESURSE PRIVATE SI PUBLICE INTERNE SI EXTERNE",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA RALUDIU TENIS CLUB BUSTENI,2013/A/2005,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA MIAGHI-RONIN PLOIESTI ROMANIA,4066/A/2012,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA VANATORILOR SI PESCARILOR SPORTIVI CIRESARII,9267/A/2009,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CASA DE AJUTOR RECIPROC ENERGOPETROL SA CAMPINA,17025/A/1997,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CLUB SPORTIV MOTORACIG TEAM BAICOI,9407/A/2010,,activa,1,,,,PRAHOVA,,,"ORGANIZAREA SI DEZVOLTAREA SPORTULUI DIN ORASUL BAICOI, DESCOPERIREA, INITIEREA SI INSTRUIREA TINERILOR PENTRU PRACTICAREA SPORTULUI, PROMOVAREA SPORTIVILOR IN ESALOANELE SUPERIOARE, IN LOTURI NATIONALE, PROMOVAREA MISCARII IN RANDUL SPORTIVILOR RETRASI DIN ACTIVITATE./",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA INOS,986/B/2001,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,FUNDATIA PENTRU TENIS VICTORIA,926/B/2002,,activa,1,,,,PRAHOVA,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
federatie,FUNDAŢIA CULORILE SUFLETULUI,16/C/2023,,activa,1,,,,PRAHOVA,,"COMUNA LIPĂNEŞTI, SAT LIPĂNEŞTI, NR. 213B,","INFIINTAREA/ACREDITAREA DE SERVICII SOCIALE, CONFORM LEGISLATIEI ROMANESTI, FORMAREA PROFESIONALA, CONSILIEREA IN CARIERA, ORIENTAREA PROFESIONALA, PLASAREA FORTEI DE MUNCA, ETC",,,,09_03_2026Federatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Federatii.xlsx,2026-03-09
fundatie,STIROM,45/B/1997,,activa,1,,,,PRAHOVA,,,ACTIVITATE DE AJUTORARE MATERIALA SI SPIRITUALA A PERSOANELOR NEAJUTORATE,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,CAR A PERSONALULUI DE PE LANGA INSPECTORATUL DE POLITIE AL JUDETULUI PRAHOVA,202/A/2006,,activa,1,,,,PRAHOVA,-------------------,"PLOIESTI, STR. VASILE LUPU NR. 60-62 , JUDETUL PRAHOVA.",INTRAJUTORAREA FINANCIARA A MEMBRILOR SAI DIN COTIZATIILE DEPUSE DE ACESTIA,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"Dispune înscrierea în Registrul Asociatiilor si Fundatiilor al Judecatoriei Campina a modificarilor aduse în Statutul asociatiei CASA DE AJUTOR RECIPROC SCHELA PRODUCTIE PETROL CAMPINA în sensul schimbarii denumirii din CASA DE AJUTOR RECIPROC SCHELA PRODUCTIE PETROL CAMPINA în ASOCIATIA CAR SCHELA CAMPINA, potrivit celor stabilite în Conferinta Extraordinara din 26.08.2020, conform procesului-verbal încheiat la 26.08.2020 atestat de av. Goran Smaranda prin încheierea de data certa nr. 19/6.09.2020 si Hotararii Conferintei Extraordinare din 26.08.2020 atestata de av. Goran Smaranda prin încheierea de data certa nr. 20/6.09.2020.",19937/A/1997,,activa,1,,,,PRAHOVA,"ADMITE CEREREA- DISPUNE ÎNSCRIEREA NOULUI SEDIU AL ASOCIATIEI IN CAMPINA STR. ORIZONTULUI NR. 9, BL. B42, PARTER, AP. 4,",STR. PETROLISTULUI NR.2,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
