categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIAŢIA LUPTĂ PENTRU TINE,4048/A/2021,,activa,1,,,,SALAJ,,,"îl constituie desfăşurarea unor acţiuni de susţinere a membrilor Asociaţiei şi a altor persoane care suferă de boli oncologice sau prezintă alte afecţiuni medicale grave, precum şi a familiilor acestora, prin acordarea de sprijin material, financiar ori de altă natură, pentru efectuarea de investigaţii, tratamente sau intervenţii chirurgicale în România sau în străinătate.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL ADALIN,100/A/2000,,activa,1,,,,SALAJ,ADALIN,,-Administrarea si exploatarea patrimoniului composesoratului in conformitate cu prevederile statutului si al legislatiei in vigoare.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE BOVINE DIN LOCALITATEA ADALIN,4002/A/2002,,activa,1,,,,SALAJ,ADALIN NR.31 COM. DRAGU,,Sprijinirea membrilor in vederea ridicarii nivelului calitativ al ingrijirii si ameliorarii animalelor proprii precum si apararea intereselor de grup ale crescatorilor de animale.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PENTRU PROTECTIA CONSUMATORILOR NR.9-AGHIRES,395/A/1993,,activa,1,,,,SALAJ,AGHIRES,NR.421,apararea drepturilor si intereselor legitime ale membrilor sai si ale consumatorilor in general.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL AGHIRES,110/A/2000,,activa,1,,,,SALAJ,AGHIRES,NR.296,-Administrarea si exploatarea patrimoniului composesoratului in conformitate cu prevederile statutului si al legislatiei in vigoare.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA TAXIMETRIŞTILOR SĂLAJ,304/A/2024,,activa,1,,,,SALAJ,AGHIREŞ,"COMUNA MESEŞENII DE JOS, NR. 142A","- apărarea şi protejarea intereselor comune ale membrilor asociaţiei şi promovarea noului în domeniu.,In acest sens scopurile Asociaţiei Taximetriştilor Sălaj sunt:,• Asociaţia Taximetriştilor Sălaj reprezintă interesele membrilor asociaţi in relaţiile cu autoritatiile statului si cele mai locale in legătura cu problemele legate de buna organizare si desfăşurare, in condiţii de profesionalism,siguranta si respect pentru utilizatorii serviciilor,pe baza de reciprocitate,a activităţii de taxi la nivel local.,• Desfăşoară activitatea favorizând crearea de noi locuri de munca si integrarea solicitanţilor care îndeplinesc prevederile legale in colecti taximetriştilor.,• Asociaţia Taximetriştilor Sălaj are obligaţia de a se implica si a solicita organelor locare participarea la elaborarea si stabilirea normelor legale ce vizează activitatea de taxi.,• Asociaţia Taximetriştilor Sălaj va studia si elabora planuri pentru înfiinţarea si funcţionarea unor ateliere de întreţinere si reparaţii a mijloacelor de transport cu anumite facilitate acordate solicitanţilor membrii ai asociaţiei.,• Asociaţia Taximetriştilor Sălaj are obligaţia ca prin membrii sai si prin organelle sale sa vegheze la aplicarea si la respectarea prevederilor legale in domeniul activităţii de transport in regim de taxi,dar si in general.,Asociaţia Taximetriştilor Sălaj reprezintă prin membri consiliului de conducere desemnaţi interesele membrilor acesteia in relaţiile cu alte organism si organizaţii cu activităţi conexe atat pe plan intern cat si internaţional",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CLUB SPORTIV AGRIJ 2024 RECOLTA/FĂGET,455/A/2024,,activa,1,,,,SALAJ,AGRIJ,NR. 348,"- coordonarea, organizarea şi dezvoltarea ramurilor de sport prevăzute în Statutul Clubului în conformitate cu normativele emise de Agenţia naţională pentru sport, având ca bază reglementările şi strategiile elaborate de federaţiile de specialitate.,Asociaţia va desfăşura activităţi sportive, în secţii pe diferite ramuri de sport: fotbal, fotbal în sală, tenis de câmp, volei, fitness, atletism, constând în selecţia, iniţierea şi pregătirea de sportivi în domeniul acestor ramuri sportive, participarea la competiţii interne şi internaţionale.","(1) Scopul principal al Asociaţiei "" Club sportiv Agrij 2024 Recolta/Faget"" il reprezintă desfăşurarea de activităţi sportive in ramurile de sport prevăzute în Statutul Clubului in conformitate cu normativele emise de Agenţia naţionala pentru sport, având ca baza reglementările si strategiile elaborate de federaţiile de specialitate.,(2) Asociaţia"" Club sportiv Agrij 2024 Recolta/Faget"" va desfăşura activităţi sportive , in secţii pe diferite ramuri de sport: fotbal,fotbal in sala,constand in selectia,initierea si pregătirea de sportivi in domeniul acestor ramuri sportive , participarea la competiţii interne si internaţionale.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL AGRIJ,68/A/2000,,activa,1,,,,SALAJ,AGRIJ,NR.348,-Administrarea si exploatarea patrimoniului composesoratului in conformitate cu prevederile statutului si al legislatiei in vigoare.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA HUMUS,2569/A/2022,,activa,1,,,,SALAJ,ALMASU,"PETRINZEL, NR. 98/ DEMISOL","Asociaţia Humus este o organizaţie nonprofit, înfiinţată cu scopul principal de a colecţiona soiuri tradiţionale ţărăneşti de seminţe de legume, fructe, plante aromatice şi ornamentale.,Scopul urmărit este de interes general. Pentru realizarea lui se va acţiona la nivel naţional şi internaţional.,Diseminarea informaţiilor despre soiuri tradiţionale ţărăneşti de seminţe, cu privire la agroecologie, agricultura tradiţională, reproducerea, multiplicarea seminţelor şi viaţa sănătoasă, se va realiza prin prezentări inlife şi online",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL URBARIALALMAŞU,1894/A/2006,,activa,1,,,,SALAJ,ALMASU,STR. CETATII NR. 326,Obiectul de activitate îl constituie administrarea ºi exploatarea patrimoniului composesoratului în conformitate cu prevederile prezentului statut ºi al legislaþiei în vigoare.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA CRESCÃTORILOR DE BOVINE ALMAªU,2620/A/2006,,activa,1,,,,SALAJ,ALMAªU,,"urmãreºte sprijinirea directã a crescãtorilo9r de bovine în vederea ridicãrii nivelului calitativ al ameliorãrii ºi îngrijirii animalelor proprii ale mebrilor sãi, precum ºi apãrarea intereselor specifice de grup.,Îmbunãrãtþirea condiþiilor de valorificare a bovinelor precum ºi a produselor obþinute de acestea. Ridicarea condiþiilor de trai ale crescãtorilor de bovine.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA RABEXIM,2636/A/2005,,activa,1,,,,SALAJ,ALMAºU,NR. 143,"Art.5.Scopul Asociaþiei este nelucrativ ºi nepatrimonial, fiind de interes general, datoritã semnificaþiei ºi importanþei sociale a domeniului în care doreºte sã activeze.,Art.6. strângerea fondurilor necesare pentru asigurarea participãrii în campionatul de fotbal al Rom'niei, pentru echipa de fotbal a comunei Almaºu.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE VANATOARE VIA ALBAC,874/A/2012,,activa,1,,,,SALAJ,ALUNIS,NR. 229,"Conservarea biodiversitatii si protectia faunei de interes cinegetic si piscicol, precum si a mediilor naturale de dezvoltare a acesteia, prin vanatoare si pescuit recreativ-sportiv practicate in mod durabil, ca forme de odihna activa si de petrecere a timpului liber de catre membrii sai.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDATIA PENTRU RASPANDIREA CARTII CRESTINE,1224/B/1996,,activa,1,,,,SALAJ,ALUNIS,SRT.HLUBE NR.85,raspandirea cartii crestine si ajutorarea crestinilor nevoiasi,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRO ARCHID,1217/A/2005,,activa,1,,,,SALAJ,ARCHID,NR 77,"Initierea, promovarea si organizarea de activitati sociale-culturale, de arta si recreere din satul Archid.","Art. 1. Se completează obiectul de activitate al Asociaţiei Pro Archid cu următoarele activităţi,-să contribuie la dezvoltarea societăţii civile angrenând cu precădere tineri în activităţile desfăşurate,-promovarea valorilor morale creştine prin instruire şi informare să faciliteze accesul tinerilor la viaţa publică şi realizarea dezideratului de bună înţelegere între naţionalităţi şi popoare,- să sprijine procesul de aderare la structurile euro-atlantice,- să participe la îmbunătăţirea sistemului democratic,- să organizeze activităţi ecologice.",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA DE LOCATARI SILVANIA ASTRALIS ZALĂU,2845/A/2020,,activa,1,,,,SALAJ,"B-DUL MIHAI VITEAZU, NR. 41, BL. SILVANIA ASTRALIS, ET. 3, AP. 9",,"de a reprezenta chiriaşii din blocul Silvania-Astralis, de a prelua în administrare de la Municipiul Zalău părţile comune ale condominiului şi de a încheia contracte cu furnizorii de utilităţi (gaz, apă, curent, etc.) şi cu alţi terţi.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,OLIMP-UNIVERS,817/B/1998,,activa,1,,,,SALAJ,BABENI,NR.4,"Imbratisarea sprijinirea si asigurarea continuitatii activitatii sportive pe raza com.Babeni si a celor limitrofe,in special initierea tinerilor in fotbal,nandbal,atletism,tenis de camp si de masa,",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRODUCATORILOR SI CRESCATORILOR DE BOVINE SI PORCINE BABENI,3818/A/2002,,activa,1,,,,SALAJ,BABENI NR.222,,"Sprijinirea producatorilor si crescatorilor de bovine si porcine in vederea ridicarii nivelului calitativ al ameliorarii si ingrijirii animalelor proprietatea membrilor asociatiei, apararea intereselor acestor crescatori, imbunatatirea conditiilor de valorificare a bovinelor si porcinelor precum si a produselor obtinute din cresterea acestora.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,COMPOSESORATUL ''URBARIAL'' BABIU,66/A/2000,,activa,1,,,,SALAJ,BABIU,,-Administrarea si exploatarea patrimoniului composesoratului in conformitate cu prevederile statutului si al legislatiei in vigoare.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CASA MEMORIALA ""IULIU MANIU""",2719/A/2020,,activa,1,,,,SALAJ,BADACIN,"STR. PRINCIPALA, NR. 3, COMUNA PERICEI","Administrarea, gestionarea, evidenţa, cercetarea, dezvoltarea, protejarea, conservarea, restaurarea, clasarea şi punerea în valoare a patrimoniului „Casei Memoriale Iuliu Maniu"" din localitatea Bădăcin, judeţul Sălaj; Angrenarea tinerei generaţii, într-un sistem educaţional destinat familiarizării acestuia cu istoria locală şi naţională, promovarea patrimoniului cultural naţional, cultivarea şi dezvoltarea valorilor morale. Promovarea culturii memoriei şi a adevărului referitoare la viaţa şi activitatea lui Iuliu Maniu; Organizarea de activităţi educaţionale şi culturale în domeniul istoriei, dezvoltării durabile şi protecţiei drepturilor omului, elaborarea, organizarea, finanţarea, administrarea programelor şi activităţilor considerate a fi necesare şi legale pentru a păstra, apăra, cultiva şi dezvolta valorile moral-religioase, juridice, sociale şi economice ale comunităţii locale, a ramurilor agricole, umaniste, industriale, cu implicaţii în viaţa social-economică şi moral-juridică a comunităţii locale; Sprijinirea activă şi încurajarea tinerilor pentru implicarea în cercetarea şi cunoaşterea istoriei locale şi promovarea spiritului civic prin organizarea de programe, cursuri, seminarii, conferinţe şi forumuri civice, şcoli de vară, tabere, workshop-uri precum şi iniţierea unor activităţi de voluntariat şi oferirea de burse de studii, de cercetare etc., Iniţierea şi derularea proiectelor de dezvoltare turistică locală şi regională, cu finanţări proprii sau va acţiona pentru accesarea de fonduri publice sau private, din tara sau din străinătate; Promovarea campaniilor în mass-media, organizare, iniţierea şi promovarea de programe sau participarea la simpozioane, expoziţii, susţinerea şi realizarea de materiale de specialitate (publicaţii, broşuri, pagini web, etc.) în vederea promovării imaginii Casei Memoriale ""IIuliu Maniu"" a satului Bădăcin şi a judeţului Sălaj în tară şi străinătate; Sprijinirea planurilor de dezvoltare ale comunităţii locale; Elaborarea şi derularea unor programe şi proiecte, proprii şi în regim de parteneriat cu autorităţile publice locale, judeţene sau centrale, care să conserve, să promoveze şi să valorifice patrimoniul cultural; Identificarea şi dezvoltarea programelor de finanţare de la bugetul de stat sau din fondurile europene pentru ONG-uri, precum şi conceperea de proiecte în vederea aplicării şi accesării acestor fonduri; Derularea unor activităţi economice proprii menite să asigure autofinanţare.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA HAM ȘI MÂR,1762/A/2024,,activa,1,,,,SALAJ,BADACIN,"SAT BĂDĂCIN, NR. 207, COMUNA PERICEI, JUDEŢUL SĂLAJ,","1. în scopul ajutorării animalelor fără stăpân, precum activităţi de îngrijire, de încurajare a adopţiei, colectarea acestora la sesizare, colaborarea cu alte organizaţii de protecţie a animalelor şi sesizarea organelor de control sau penale in cazurile de rele tratamente aplicate animalelor.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAÞIA PROPRIETARILOR DE PÃDURI ""FORESTA-SOLDUBA""",1604/A/2008,,activa,1,,,,SALAJ,BADON,NR.104,"Administrarea ºi exploatarea în mod eficient ºi raþional în comun a pãdurii aplicând tehnologii moderne pe întreaga suprafaþã a terenurilor în dotare, sub îndrumarea tehnicã de specialitate;,Pãstrarea integritãþii terenurilor ºi a ecosistemului prin îngrijirea ºi valorificarea plantelor medicinale, a vânatului ºi a fructelor de pãdure;,Stabilirea ºi încasarea la timp a cotelor de contribuþie pentru acoperirea cheltuielilor comune de folosinþã.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
