categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
fundatie,ANIMUS,466/B/1999,,activa,1,,,,SATU MARE,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,AGROMEC ACAS,970/A/1996,,activa,1,,,,SATU MARE,ACAS,UNIMATULUI NR.554,PAS,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA TURISM, CULTURA SANATATE ""CRASNA""",2761/A/2024,,activa,1,,,,SATU MARE,ACÂS,"STR. PRINCIPALA, NR. 403",Activitãþi de formare profesionalã ºi pentru alte categorii de persoane dupã obþinerea avizelor ºi autorizaþiilor prevãzute de lege.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE ANIMALE CRASNA,1942/A/2008,,activa,1,,,,SATU MARE,ACÂª,,cresterea animalelor,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,CONGREGAÞIA MARTORII LUI IEHOVA,739/A/1999,,activa,1,,,,SATU MARE,ACÂª,STR.CRASNEI NR.186,RELIGIOS,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA TINERILOR PENTRU ARTA CULTURA SI SPORT,13208/A/2010,,activa,1,,,,SATU MARE,ACÂº,PRINCIPALÃ NR.432,"organizarea ºi desfãºurarea de activitãþi, îmntruniri menite sã promoveze ºi sã dezvolte cultura ºi ºtiinþele în rândul tineretului.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA „ROPIKE"" EGYESULET",25392/A/2019,,activa,1,,,,SATU MARE,ACÂŞ,"ACÂŞ, NR. 425","iniţierea activităţilor culturale, educaţionale şi de timp liber.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAÞIA CRESCÃTORILOR DE ANIMALE OVINE ºI BOVINE MENCENÞIU SAT ADY ENDRE,17169/A/2013,,activa,1,,,,SATU MARE,ADY ENDRE NR. 23,,crearea unui cadru organizat pentru susþinerea activitãþilor de dezvoltare a sectorului zootehnic din zona com. Cãuaº.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA FERMIERILOR DIN AGRIS JUDETUL SATU MARE,17053/A/2011,,activa,1,,,,SATU MARE,AGRIS,NR. 90,cresterea animalelor si beneficierea de subventii pentru cresterea animalelor prcum si legumicultura.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA POMPIERILOR VOLUNTARI DIN SATU MARE - SZATMAR MEGYE ONKENTES TUZOLTOK EGYESULETE,709/A/2020,,activa,1,,,,SATU MARE,AGRIS,"STR. CSURY BALINT, NR. 68","Este prevenirea ºi stingerea incendiilor care nu fac parte din structurile pompierilor militari, îmbunãtãþirea condiþiilor materiale, necesare exercitãrii profesiei, pãstrarea ºi cultivarea tradiþiilor pompierilor români, eficientizarea întregii munci pe care o desfãºoarã membrii sãi.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
