categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,CASA DE CULTURA A SINDICATELOR,810/A/1998,,activa,1,,,,SIBIU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDAŢIA PENTRU CULTURĂ ŞI ECOLOGIE,3231/B/2007,,activa,1,DA,,,SIBIU,,sediu nou: Mediaş str.Mihai Eminescu nr.4-7 et.IV cam.409 jud.Sibiu,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
fundatie,PERIMAT,3655/B/1996,,activa,1,,,,SIBIU,,,,,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,PROTOPOPIATUL BISERICA UNITA CU ROMA GRECO-CATOLICA,11/A/1997,,activa,1,,,,SIBIU,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,SOLEIL,18608/A/1996,,activa,1,,,,SIBIU,,,"Orgainzarea unor activitati pentru protejarea mediului, excursii in Franta",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLUBUL SPORTIV ECVESTRU EQUIDOR,1251/A/2025,,activa,1,,,,SIBIU,-,"or. Agnita, str. Piaţa Republicii nr. 6, ap. 19, jud. Sibiu","organizarea, promovarea si dezvoltarea practicarii sporturilor ecin Agnita (judetul Sibiu) la nivel de performanta si agrement si crearea conditiilor pentru desfasurarea antrenamentelor si participarea la competitii sportive ecvestre la nivel national si intertional, cu respectaresi aplicarea regulamentelor/statutelor elaborate de Federatia Ecvestra Romana; promovarea ingrijirii corespunzatoare, a bunastarii si a utilizarii etice a ecvideelor ¯i activitatiile ecvestre; sprijinirea practicarii echitatiei (performanta/agrement/hipoterapie) a copiilor si persoanelor aflate in situatii vulnerabile (familii cu multi copii, monoparentale, cu posibilitati materiale reduse) si/sau cu nevoi speciale; promovarea si practicarea activitatilor specifice turismului ecvestru ca modalitate ecologica de a explora natura.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""BREASLA LOLELOR""",17209/A/2008,,activa,1,,,,SIBIU,AGNITA,"AGNITA, str. Grădinilor, nr. 22","Intreprinderea de acţiuni menite să contribuie la organizarea, desfăşurarea şi conservarea obiceiului ""Fuga Lolelor"", germ. ""Urzelnlauf"", la sfârşitul lunii ianuarie, în vederea păstrării şi perpetuării acestuia, obicei săsesc care are rădăcini adânci în activitatea breslelor din Agnita încă din Evul Mediu şi care face parte din patrimoniul cultural al oraşului Agnita.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"""CONSORŢIUL PENTRU DEZVOLTARE INTERREGIONALĂ SIBIU-AGNITA""",9329/A/2008,,activa,1,,,,SIBIU,AGNITA,"COM.NOCRICH, NR.274",Realizarea în comun a proiectelor de dezvoltare a infrastructurii aferente Serviciilor pentru turism la nivelul zonei Văii Hârtibaciului-Sibiu şi furnizarea în comun a Serviciilor.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,A.T.K. 1883 - C.C.A. 1993,4868/A/1995,,activa,1,,,,SIBIU,AGNITA,M. VEITAZUL 83,Dezvoltare fizica armonioasa in invatamint - discipline sportive.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AJUTOR UMANITAR,18559/A/1996,,activa,1,,,,SIBIU,AGNITA,A. VLAICU 16,Ajutoraare copii orfani si persoane defavorizate,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA "" AJUTOR UMANITAR"" AGNITA",3700/A/1996,,activa,1,,,,SIBIU,AGNITA,STR A.VLAICU NR 16,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CAR ""INCREDEREA-AG"" AGNITA",1517/A/2002,,activa,1,,,,SIBIU,AGNITA,AUREL VLAICU 41,INTRAJUTORAREA MEMBRILOR SAI PRIN ACORDAREA DE IMPRUMUTURI CU DOBINDA CARE SE INTPORCE LA FONDUL SOCIAL AL MEMBRTILOR DUPA DEDUCEREA CHELTUIELILOR SI CONSTITUIREA FONDURILOR STATUTARE,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV ADY BODYBUILDING AGNITA,4060/A/2002,,activa,1,,,,SIBIU,AGNITA,"STR. FABRICII BL. 15, ET.IV , AP.17","este acela de a forma deprinderi sănătoase prin desfăşurarea unor activităţi sportive sub deviza ""Mens sana in corpore sano"" şi în subsidiar de a crea o alternativă benefică de petrecere a timpului liber.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUBUL SPORTIV COLUMBOFIL AGNITA,26133/A/2019,,activa,1,,,,SIBIU,AGNITA,"STR.BISERICII, NR.27","desfasurarea de activitati sportive columbofile, respectiv selectionarea, initierea si pregatirea de sportivi in acest domeniu, participarea la competetii sportive, interne si internationale, precum si alte activitai conexe acestora.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CORALA SFÂNTUL NICOLAE A BISERICII ORTODOXE ROMÂNE AGNITA,2654/A/2002,,activa,1,,,,SIBIU,AGNITA,MIHAI VITEAZUL NR.122,Promovarea muzicii corale religioase,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA D ELOCATARI AGNITA,652/A/2003,,activa,1,,,,SIBIU,AGNITA,STR. SPITALULUI BL. 12 AP. 3,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA,4079/A/2005,,activa,1,,,,SIBIU,AGNITA,"AGNITA, STR. PIATA REPUBLICII, NR.19","Asociaţia are ca scop desfăşurarea de acţiuni menite să contribuie la conservarea specificului local şi dezvoltarea armonioasă a zonei, astfel încât să realizeze următoarele deziderate,- întocmirea şi susţinerea la forurile în drept a unor proiecte de dezvoltare zonale şi locale, în scopul obţinerii unor surse de finanţare nebugetare,- dezvoltarea agrozootehniei in sensul valorificarii superioare a terenurilor, simultan cu protejarea mediului inconjurător,- protejarea permanentă a mediului de afaceri, în sensul de a sprijini afaceri legale, loiale şi transparente, care se suprapună aspiraţiilor locale de dezvoltare,- conservarea obiceiurilor şi tradiţiilor locale, a monumentelor istorice, religioase şi de artă, a caselor memoriale, a cetăţilor-biserici fortificate, crearea unor reţele agroturistice în întregul bazin al Văii Hârtibaciului,- gestionarea şi exploatarea raţională şi durabilă a resurselor locale,- conservarea biodiversităţii, protecţia apelor şi a ecosistemelor acvatice , a atmosferei, a solului şi a ecosistemelor terestre precum şi a aşezărilor umane.","asigurarea condiţiilor de acces a persoanelor din zonă la serviciile medicale,sprijinirea dezvoltării serviciilor medicale şi sociale,sprijinirea întocmirii de proiecte de dezvoltare zonale şi locale, în scopul obţinerii unor surse de finanţare nebugetare. | Asociaţia are ca scop desfăşurarea de acţiuni menite să contribuie la conservarea specificului local şi dezvoltarea armonioasă a zonei, în special prin exploatarea şi punerea în valoare a potenţialului turistic al zonei, susţinerea activităţilor sociale, culturale, medicale şi paramedicale. Se va urmări realizarea următoarelor deziderate: - întocmirea şi susţinerea la forurile în drept a unor proiecte de dezvoltare zonale şi locale, în scopul obţinerii unor surse de finanţare nebugetare.,- dezvoltarea agrozootehniei în sensul valorificării superioare a terenurilor, simultan cu protejarea mediului înconjurător.,- protejarea permanentă a mediului de afaceri, în sensul de a sprijini afaceri legale, loiale şi transparente care să suprapună aspiraţiilor locale de dezvoltare.,- conservarea obiceiurilor şi tradiţiilor locale, a monumentelor istorice, religioase şi de arta, a caselor memoriale, a cetăţilor - biserici fortificate, crearea unei reţele agroturistice în întregul bazin al Văii Hîrtibaciului.,- gestionarea şi exploatarea raţională şi durabilă a resurselor locale.,- conservarea biodiversității, protec■ia apelor ║i a ecosistemelor acvatice, a atmosferei, a solului si a ecosistemelor terestre precum ║i a a║ezÒrilor umane. -,- crearea unei reţele integrate de informare turistică, menită să informeze şi promoveze zona Văii Hârtibaciului.,- susţinerea si dezvoltarea activităţii SMURD.,- asigurarea condiţiilor de acces a persoanelor din zonă la serviciile medicale,- sprijinirea dezvoltării serviciilor medicale şi sociale",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE LOCATARI AGNITA,20068/A/1997,,activa,1,,,,SIBIU,AGNITA,SPITALULUI BL.12 AP.3,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PROPRIETARI SPERANTA,16034/A/1999,,activa,1,,,,SIBIU,AGNITA,FABRICII BL.33 AP.15,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA EGI S RENOVARI,652/A/2020,,activa,1,,,,SIBIU,AGNITA,"STR. PIATA REPUBLICII, NR.18, JUD.SIBIU","promovarea, incurajarea si stimularea dezvoltarii regionale si locale prin activitati culturale, artistice, educationale, sociale, umanitare si de tursm, prin cercetare si inovare prin pregatire si perfectionare profesionala, prin sprijinirea si dezvoltarea agriculturii, mestesugurilor si a micro intreprinderior, protejarea, conservarea, restaurarea, recuperarea si valorificarea patrimoniului cultural, istoric, artistic, tehnic si artistic si arhitectural mobil, imobil (material) si imaterial. sprijinirea si promovarea copiilor si a tinerilor in general, a studentilor si cercetatorilor, in particular.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
