categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""BUCOVINA PROVENCE VANCLUSE""",600/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CASTOR"" FÃLTICENI",604/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""FOTBAL CLUB BUCOVINA""",607/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""GAZ METAN"" SF. ILIE",603/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""VLAD TEPES""",601/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DE PRIETENIE CIPRIAN PORUMBESCU - FONTENAY LE FLEURY,596/A/1993,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA DOM POLSKI,435/A/1991,,activa,1,,,,SUCEAVA,,COMUNA MANASTIREA HUMORULUI SATUL PLESA,"Promovarea liberului schimb stiintific,cultural,artistic si sportiv cu toate natiunile in special cu cea poloneza.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA PAS ""DORNAFARM""",973/A/1999,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA UNIUNEA GENERALÃ A ASOCIAÞIILOR HUÞULE DIN ROMÂNIA,905/A/1994,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA""CIVITAN CLUB""",965/A/1999,,activa,1,,,,SUCEAVA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
