categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"ASOCIATIA ""SA FIM SOLIDARI""",11016/A/2010,,activa,1,,,,TELEORMAN,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CRESCATORILOR DE ANIMALE FRATIA MALDAENI -,2234/A/2015,,activa,1,,,,TELEORMAN,-,"COMUNA MALDAENI, STR. BISERICII ADORMIREA MAICII DOMNULUI , NR. 15, CAMERA 1, JUDETUL TELEORMAN","INITIEREA , DESFASURAREA SI SPRIJINIREA DE ACTIVITATI PRTIVIND CRESTEREA ANIMALELOR DOMESTICE PRIN FONDURI PROPRII, PRECUM SI IN INTELEGERE SI COLABORARE CU ALTE ASOCIATII, SOCIETATI, FUNDATII CU ACELASI PROFIL SAU CARE AU MENIREA SA ASIGURE INGRIJIREA , CRESTEREA SI PROTECTIA ANIMALELOR.,ANIMALELE, PROPRIETATEA MEMBRILOR ASOCIATIEI, CARE UTILIZEAZA PASUNEA VOR FI IDENTIFICATE ,CROTALIATE, MICROCIPATE DE PERSONALUL DE SPECIALITATE DIN CADRUL CABINETULUI MEDICAL VETERINAR CONCESIONAR, CARE VA GESTIONA BAZA DE DATE SI VA EFECTUA TRANSMITEREA ACESTORA IN RNE, PE CHELTUIALA EXCLUSIVA A ACA ANIMAX DIN COMUNA MALDAIENI.,DEASEMENA IN VEDEREA PROTEJARII MEDIULUI SI PASUNII ATRIBUITE SI UTILIZATE DE ASOCIATIE, TOATE ANIMALELEL CARE UTILIZEAZA PASUNEA VOR FI DEPARAZITATE INAINTE SI LA FINALUL PERIOADEI DE PASUNAT , PE CHELTUIALA ASOCIATIEI , CARE VA ACHITA COSTUL MANOPEREI SI CONTRAVALOAREA PRODUSELOR UTILIZATE IN ACERST SCOP, CABINETUL MEDICAL VETERINAR CONCESIONAR, CU CARE ARE INCHEIAT UN CONTRACT DE PRESTARI SERVICII IN ACEST SENS.,PROMOVAREA SOLIDARITATII PRODUCATORILOR - CRESCATORILOR DE BOVINA, OVINE SI CAPRINE, CU RESPECTAREA PRINCIPIULUI FUNDAMENTAL AL AUTONOMIEI FIECARUI PRODUCATOR ,CU SAU FARA PERSONALITATE JURIDICA .,SPRIJINIREA SI SUSTINEREA MEMBRILOR ASOCIATIEI IN RELATIILE DE PARTENERIAT CU AGENTII ECONOMICI CARE PREIAU, PRELUCREAZA SI VALORIFICA LAPTELE , CARNEA LINA SI ALTE PRODUSE DERIVATE, PRECUM SI CU AGENTII ECONOMICI CARE PRODUC SI COMERCIALIZEAZA MASINI, INSTALATII, UTILAJE SI ALTER PRODUSE FOLOSITE IN PROCESUL CRESTERII BOVINELOR , OVINELOR SI CAPRINELOR,FACILITAREA ACCESULUI CRESCATORILR DE ANIMALE DIN COMUNA MALDAENI , PRIN RESURE PRIVATE SAU PUBLICE, DIN TARA SI STRAINATATE LA PROGRAME SI INFORMATII DE ULTIMA ORA SI REALIZAREA PARTENERIATULUI DINTRE AUTORITATILE PUBLICE SI PERSOANELE JURIDICE DE DREP PRIVAT FARA SCOP PATRIMONIAL PENTRU ACCESUL LA PROGRAME DE FINANTARE GUVERNAMENTALE SI NEGUVERNAMENTALE.,SPRIJINA ASOCIATII LA OBTINEREA FACTORILOR DE PRODUCTIE, BIOLOGICI TERMICI, MATERIALI SI FINANCIARI , EFECTUAREA TRATAMENTELOR ANTIPARAZITARE ALE PASUNII, PRECUM SI PROTECTIA ECONOMICA A MEMBRILOR SAI, IN LIMITELE LEGISLATIEI IN VIGOARE.,DESFASURAREA DE ACTIVITATI IN SENSUL PROMOVARII TRADITIILOR LOCALE, AGROTURISMULUI, PROTEJARII MEDIULUI SI NATURII, SPRIJINIRII RELIGIEI SI A VALORILOR UMANE, SUSTINERII BUNASTARII METODELOR DE CRESTERE SI EXPLOATARE A ANIMALELOR , IN SPETA A BOVINELOR, OVINELOR SI CAPRINELOR , ASIGURARII MEDIATIZARII, POPULARIZARII, PROBLEMELOR SI SPECIFICULUI INGRIJIRII SI CRESTERII BOVINELOR, OVINELOR SI CAPRINELOR, IN ZONA MALDAIENI SI ZONELE LIMITROFE.,CONSTITUIREA UNUI FOND DE PREMIERE PENTRU PERSOANLE CARE DEPUNE O ACTIVITATE MERITORIE SI SUSTINUTA IN SPRIJINUL REALIZARII SCOPURILOR ASOCIATIERI.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PROFESIONALA CNT (CAP NEGRU DE TELEORMAN),4419/A/2021,,activa,1,,,,TELEORMAN,"ALEXANDRAI,STR.TUDOR VLADIMIRESCU, BL.F11,SC.D,AP.51,",,ASOCIATIA SE CONSTITUIE IN SCOPUL PROTEJARII SI CONSERVARII RASELOR DE OVINE A AMELIORARII ACESTORA SI A PROMOVARII RASELOR CU POTENTIAL SPORIT,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,A.S.A. - G.P. TELEORMAN - ALEXANDRIA,959/A/1995,,activa,1,,,,TELEORMAN,ALEXANDRIA,STR. DUNARII NR. 178,"ESTE O ASOCIATIE CIVILA, NONGUVERNAMENTALA, NONPOLITICA CU PATRIMONIU PROPRIU, INDEPENDENTA, ARE CA SCOP SELECTIONAREA SI INSTRUIREA SPORTIVILOR IN CADRUL SECTIILOR PE RAMURI PE SPORT DE LA COPI SI PANA LA SENIORAT",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA "" CENTRU DE RESURSE PARTENERIAL ROMANO BULGAR "" - ALEXANDRIA",1169/A/2008,,activa,1,,,,TELEORMAN,ALEXANDRIA,"STR. DUNARII (IN CADRUL SEDIULUI PATRONATULUI INTREPRINDERILOR MICI SI MIJLOCII - FILIALA TELEORMAN IMM CU PUNCT DE LUCRU LA SEDIUL ASOCIATIEI DE PRIETENTIE ROMANO-FRANCEZE ROMFRA DIN ALEXANDRIA, STR. MIHAIL KOGALNICEANU, NR. 46-48, JUDET TELEORMAN, ROMANIA)","CENTRUL ISI PROPUNE SA PROMOVEZE COOPERAREA SI INTERACTIONAREA REALA INTRE COMUNITATILE DIN JUDETELE TELEORMAN SI VELIJO TIRNOVO IN VEDEREA CONSTITUIRII PREMISELOR NECESARE UNEO DEZVOLTARI SOCIO ECONOMICE DURABILE, BAZATA DE FACILITAREA CONTRACTELOR (ECONOMICE, COMERCIALE CULTURALE, SOCIALE, IN SOMENIUL PROTECTIEI MEDIULUI, ADMINISTRATIVE, SPORTIVE SI IN DOMENIUL SANATATII) IDENTIFICAREA COMUNA A NECESITATILOR SI PROMOVAREA IN COMUN A CERERILOR DE FINANTARE.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""22 DECEMBRIE 1989"" TELEORMAN",749/A/1991,,activa,1,,,,TELEORMAN,ALEXANDRIA,"CLADIREA PREFECTURII, STR. DUNARII, NR. 178, CAMERA NR. 4","- CONTINUAREA LUPTEI PENTRU INFAPTUIREA IDEALURILOR REVOLUTIEI ROMANE DIN DECEMBRIE 1989 IMPOTRIVA COMUNISMULUI;,- SA LUPTE PRIN ORICE MIJLOACE LEGALE PENTRU AFLAREA ADEVARULUI IN LEGATURA CU REVOLUTIA ROMANA DIN DECEMBRIE 1989 DIN JUDETUL TELEORMAN SI DIN INTREAGA TARA;,- SA LUPTE PENTRU RESPECTAREA DREPTURILOR FUNDAMENTALE ALE OMULUI, PENTRU REALIZAREA IN ROMANIA A STATULUI DE DREPT, DEMOCRATIC, INDEPENDENT, PENTRU PASTRAREA CARACTERULUI NATIONAL, UNITAR SI SUVERAN AL STATULUI ROMAN, PENTRU REINTREGIREA ROMANIEI CU TERITORIILE CE S-AU SMULS PRIN FORTA SI DICTAT SI PENTRU CARE ARE TITLU ISTORIC;,- SA LUPTE PENTRU OBTINEREA SI RESPECTAREA DREPTURILOR SI INTERESELOR LEGITIME ALE MEMBRILOR SAI, INCLUSIV A CELOR PREVAZUTE DE EGEA NR. 42/1990, MODIFICATA PRIN LEGEA NR. 93/1992.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CAMERA DE MESERII"" A JUDETULUI TELEORMAN",252/A/2001,,activa,1,,,,TELEORMAN,ALEXANDRIA,"STR. 1 MAI, NR. 107, BL. B10, AP. 12","SCOPUL ASOCIATIEI ESTE ACELA DE A APARA SI PROMOVA INTERESELE MEMBRILOR SAI, DE A CREA, FORMA SI DEZVOLTA PIATA PENTRU PRODUSELE SI SERVICIILE OFERITE DE ACESTIA.,DE A CONTRIBUI LA DEZVOLTAREA IN ROMANIA A UNUI MEDIU PROFESIONIST DE ADMINISTRARE, DE AFACERI, DE DEZVOLTARE CULTURALA SI SPORTIVA, DE CULT SAU SOCIALA PRIN CREAREA SI PROMOVAREA UNOR STRANSE RELATII DE COLABORARE INTRE MEMBRII ASOCIATIEI SI REPREZENTANTI CU INALTA CALIFICARE DIN DOMENIILE ENUMERATE.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CENTRUL SOCIO-CULTURAL FEMINA"" - ALEXANDRIA",1167/A/2008,,activa,1,,,,TELEORMAN,ALEXANDRIA,"STRADA CUZA VODA, NR. 113, BLOC V2, SCARA A, ETAJ 2, APARTAMENT 11","DE A DESFASURA O ACTIVITATE SUSTINUTA IN PRINCIPALIN DOMENIILE INVATAMANTULUI SI CERCETARIII STIINTIFICE, EDUCATIEIE PERMANENTE SI TRAININGULUI, FORMARII SI PERFECTIONARII PROFESIONALE, INTEGRAREA ACESTOR ACTIVITATI INTR-UN SISTEM PERFORMANT ALINIAT LA STANDARDELE INTERNATIONALE, AJUTORAREA ANUMITOR CATEGORII SOCIALE DEFAVORIZATE, FINANTAREA UNOR PROIECTE PRIVIND STATEGII EUROPENE DE DEZVOLTARE, PROMOVAREA VALORILOR ETICE, DEMOCRATICE, UMANISTE, IN MOD SPECIAL IN SUBSISTEMELE EDUCATIONAL, SOCIAL, CULTURAL SI POLITIC, ORGANIZAREA DE CURSURI DE CALIFICARE SI INSTRUIRE, IN DIVERSE DOMENII, DIMINUAREA FENOMENULUI DEVIANT, IDENTIFICAREA SI VALORIZAREA CAPACITATILOR CREATIVE A PERSONALITATILOR ROMANESTI, DINAMIZAREA CREATIVITATII CULTURALE SI DESCHIDEREA SORIETATII CATRE VALORILE LUMII EURO-ATLANTICE, REALIZAREA DE PROIECTE SI PROGRAME SPECIFICE SCOPURILOR ASOCIATIEI.,ASOCIATIA ISI PROPUNE SI URMATOARELE SCOPURI, CA ACTIVITATI PERMANENTE/NEPERMANENTE:,- SCOATEREA DIN IZOLARE A FEMEILOR PENSIONATE SI CREAREA UNEI ATMOSFERE RECREATIVE PRIN EXCURSII LA OBIECTIVE ISTORICE, MANASTIRI, IN VEDEREA CUNOASTERII ZONELOR CE RELIEFEAZA FRUMUSETILE PATRIEI;,- INCURAJAREA CREARII DE POEZII, RECITAREA ACESTORA;,- METODE DE INTRETINERE A SANATATII PRIN EXERCITII, INTALNIRI CU MEDICII, PREZENTAREA DE STUDII, ALIMENTATIE SANATOASA;,- CONCURSURI CU JOCURI DE SOCIETATE - SAH, TABLE, REMI, TENIS DE MASA,,- INFORMARI STIINTIFICE PE DIFERSE TEME,,- COLABORAREA CU TERTII SI ATRAGEREA DE SPONSORI;,- ACORDAREA DE CADOURI CU OCAZIA ZILELOR ANIVERSARE SI ONOMASTICE ALE MEMBRILOR CLUBULUI,,- REDACTAREA UNOR PROIECTE EUROPENE IN FAVOAREA ATRAGERII DE FONDURI PENTRU PERSONALELE DE VARSTA A III-A;,- ORGANIZAREA UNOR EVENIMENTE SI INVITAREA UNOR ARTISTI SAU A ALTOR PERSONALINATI LOCALE SAU NATIONALE.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""CONSENS 2003"" - ALEXANDRIA",165/A/2003,,activa,1,,,,TELEORMAN,ALEXANDRIA,"STR. ION CREANGA, NR. 57, BL. 413, SC. C, AP. 43","- MENTINEREA ARMONIEI INTRE CETATENII ROMANIEI, CREAREAUNUI CLIMAT DE ONESTITATE, MORALITATE SI CIVISM, SPRIJINUL DEZINTERESAT AL CATEGORIILOR SOCIO-PROFESIONALE DEFAVORIZATE, AVAND CA LINIE DIRECTOARE MORALA CRESTINA.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""EURO HOPE 2003"" - ALEXANDRIA",177/A/2003,,activa,1,,,,TELEORMAN,ALEXANDRIA,"STR. DUNARII BL. I22, SC. C, ET. 3, AP. 42","PROMOVAREA DEZVOLTARII LOCAL IN VEDEREA ALINIERII LA STANDARDELE UNIUNII EUROPENE, DE A INCURAJA SI FACILITA INITIATIVELE CARE REFLECTA INTELEGEREA NEVOILOR SI PRIORITATILOR DIN REGIUNE, DE A INCURAJA PARTICIPAREA INSTITUTIILOR LA PROGRAME INTERNATIONALE, DE A PROMOVA IMAGINEA REGIUNII IN CONTEXTUL INTEGRARII VALORILOR ROMANESTI IN CIRCUITUL EUROPEAN, DEZVOLTAREA SI PROMOVAREA SOCIO-ECONOMICA A TUTUROR CATEGORIILOR DE PERSOANE DIN SOCIETATE (FARA DEOSEBIRE DE VARSTA, SEX, NATIONALITATE, OPTIUNE POLITICA SAU RELIGIOASA).",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
