categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA BUCATARILOR DIN BANAT,2054/A/2005,,activa,1,,DA,,TIMIS,,str. timisoara str. paul Chinezu nr.2 (SAD1 + SAD 2) judet Timis,"A. SCOPUL ASOCIATIEI: il reprezinta protejarea, reprezentarea si promovarea intereselor economice ale membrilor acesteia.,In vederea indeplinirii acestui scop general, ASOCIATIA are in vedere realizarea urmatoarelor obiective :,(1) Reunirea persoanelor care urmeaza a exercita, exercita sau au exercitat ca activitate principala profesia de bucatar (bucatari definitivi, elevi ai cursurilor de bucatarie de la scolile de profil de orice grad) pentru a da viata unui spirit unitar al ramurii profesionale din care fac parte, cu scopul final de a atinge un prestigiu major si o cat mai buna conditie sociala, economica si profesionala;,(2) Progresul constant, precum si continua promovare a imaginii, intereselor de afaceri si bunului renume ale membrilor sai in randul colectivitatii profesionale din care fac parte, in mediile guvernamental, legislativ, in relatiile cu mass-media, in relatiile cu alte institutii si organizatii non-profit, precum si, in general, in cadrul economiei si societatii romanesti contemporane;,(3) Consolidarea, precum si continua promovare a conceptului de constiinta profesionala, a unei juste ierarhii a valorilor in cadrul activitatii desfasurate de catre membrii Asociatiei pe teritoriul statului roman si in relatiile de afaceri cu partenerii straini;,(4) Apararea si garantarea dreptului de exercitare a profesiilor si meseriilor care alcatuiesc ramura economica a alimentatiei publice – ramura bucatarilor prin marirea capacitatii de formare profesionala;,(5) Asigurarea cadrului optim de exprimare a opiniilor membrilor Asociatiei, in conformitate cu prevederile prezentului Statut, ale Hotararilor adoptate de Adunarea Generala A Asociatiei, precum si in deplinul respect al legii;,(6) Organizarea unor activitati de schimb de experienta intre managerii si angajatii companiilor de profil din tara si din strainatate prin alocarea de fonduri proprii si/sau obtinerea de burse si stagii de pregatire profesionala si manageriala, facilitarea accesului la aceste burse sau stagii, cat si a unor contracte de lucru;,(7) Informarea constanta a companiilor de profil din tara in legatura cu cele mai noi si mai eficiente initiative din domeniul industriei alimentare la nivel national si mondial;,(8) Contributia permanenta la imbunatatirea calitatii serviciilor si produselor comercializate astfel incat acestea sa satisfaca pe deplin exigentele mereu crescande ale clientilor precum si ale legislatiei romane;,(9) Sustinerea si promovarea unor programe si cursuri de perfectionare profesionala sustinute de specialisti din tara si din strainatate menite sa imbunatateasca si sa dezvolte orizontul informational de specialitate al membrilor Asociatiei precum si al angajatilor acestora;,(10) Adoptarea, contributia si indemnul, prin informare reciproca, catre o atitudine responsabila fata de activitatea desfasurata, la imbunatatirea conditiilor de munca;,(11) Aprofundarea cunostintelor tehnice din ramura de activitate HORECA, ca premiza a unei calificari profesionale adecvate necesitatilor nationale si internationale;,(12) Crearea, prin ocazii de intalniri si dezbateri referitoare la problemele specifice cu reuniuni, adunari, congrese, locale si nationale, atat in mod direct, cat si prin intermediul presei si manifestarilor publice, la care isi vor aduce contributia toate organele de informare si conpetenta deja existente;,(13) Evidentierea, prin intermediul manifestarilor, concursurilor, premiilor si altor mijloace, a activitatii meritorie a bucatarilor, capacitatilor lor si spiritul de initiativa, prin intermediul asociatiei, cu scopul de a face cunoscuta contributia acestora la dezvoltarea turistica si de a spori faima bucatariei noastre in lume ;,(14) In conditiile legislatiei in vigoare, conferirea de reprezentanta sindicala, in vederea ocrotirii drepturilor membrilor, Asociatia putand participa la elaborarea contractelor colective de munca, si coopera cu organele competente la sfarsitul contractelor de munca ale membrilor;,(15) Obtinerea, de la autoritatile competente si de la inteprinzatorii privati din sector, a recunoasterii morale si juridice, precum si ajutorul necesar instituiri uneia sau mai multor case de odihna pentru bucatarii in varsta, cu conditii de tratament pentru bucatarii activi care au nevoie; organizarea taberelor de vara si de iarna pentru copii membrilor asociatiei;,(16) Proiectarea, organizarea si gestionarea activitatii de formare, de ameliorare si recalificare profesionala a tinerilor in scopul angajari lor, iar, pentru cei deja angajati organizarea de proiecte specifice in stransa legatura cu programele regionale, nationale si comunitare;,(17) Mentinerea legaturii cu alte organizatii ce au aceleasi scopuri ;,(18) Constituirea unui fond special cu ajutorul caruia se poate interveni in cazuri exceptionale semnalate de Asociatie si unde drept de decizie are Consiliul National;,(19) Desfasurarea, la nivel national si international, a oricarei actiuni ce are unul din scopurile Asociatiei;,(20) Aderarea la Federatia Mondiala a Societatilor Bucatarilor.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC A ASOCIATIILOR TIMISOARA,4044/A/1997,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INSTRUCTORILOR AUTO LUGOJ,1113/A/1998,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA SPORTIVA FLORIN TEODORESCU,1891/A/2002,,activa,1,,,,TIMIS,,,Promovarea şi organizarea culturismului şi fitness-ul,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA ""SĂ FIM NOI ÎNŞINE""",1950/A/2004,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA NONPROFIT UMANITARĂ ŞI DE BINEFACERE ""VASILE BURSAN""",4540/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA NONPROFIT UMANITARĂ ŞI DE BINEFACERE ""VASILE BURSAN""",4967/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA TINERILOR JURISTI DIN ROMANIA,4535/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA TINERILOR JURISTI DIN ROMANIA,4962/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ORGANIZATIA PATRONALA UGIR - 1903,1885/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ORGANIZATIA PATRONALA UGIR - 1903,4484/A/2002,,activa,1,,,,TIMIS,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
