categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,"CLUBUL SPORTIV ""MAGIC DELTA "" TULCEA",3975/A/2002,,activa,1,,,,TULCEA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ORGANIZAŢIA DE PROTECŢIA ANIMALELOR "" VREAU CĂSUŢA""",2352/A/2012,,activa,1,,,,TULCEA,,"SR. GRĂDINARILOR, NR. 53BIS, BL. 50, SC.A, AP. 8","-desfăşurarea unor activităţi de interes general si local in interesul nepatrimonial al membrilor sai. Ea nu are caracter politic, sindical sau religios. Scopul trebuie atins prin toate mijloacele teoretice si materiale existente . Asociaţia are drept scop identificarea, reprezentarea si promovarea sistematica si unitara a intereselor membrilor sai, economice, tehnice si juridice si apărarea intereselor in sectorul de creştere si ameliorare a animalelor precum si ridicarea nivelului de viata al membrilor sai; protecţia si bunăstarea animalelor; reprezentarea problemelor rezultate doar din relaţia om-animal ; înfiinţarea de adăposturi pentru animale fara stapan ; construire refugiu pentru animalele abandonate si ridicarea nivelului de prestaţii ; ingrijirea si darea spre adopţie intr-un mod decent.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""NATURALE""",99/A/2005,,activa,1,,,,TULCEA,-,"-mun. Tulcea, str. Pacii, nr.80, et.1, camera 1, jud. Tulcea.","-de a asista si solutiona problemele de mediu din Romania si tarile vecine prin promovarea cooperarii atat la nivel national cat si regional intre ONG-uri, instuitutii guvernamentale, sectoare private, comunicati locale si alte entitati ecologice vizate, in vederea dezvoltarii unui schimb liber de informatii si desfasurarii de activitati practice cu impact ; de a oferi ajutor si a spori participarea publicului in procesul de luare a deciziilor in acest fel sustinand dezvoltarea unei societati civile democratice in Romania.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CENTRUL DE CONSULTANTA ECOLOGICA SI SOCIALA ACCES 21,735/A/2001,,activa,1,,,,TULCEA,-,"Tulcea, str. Mircea Vodă nr.17, Bl.38, Sc.A, Ap.18, jud. Tulcea.","Scopul consta in consultanta in domeniul acologic,consultanta in domeniu social","Se completează Art.6 cu : 6.1. Consultanţă în domeniul ecologiei, pct.b) Activităţi specifice protecţiei mediului înconjurător cu textul : ""Elaborarea studiilor pentru protecţia mediului : rapoarte de mediu (RM), rapoarte privind impactul asupra mediului (RIM), bilanţuri de mediu (BM), rapoarte de amplasament (RA, rapoarte de securitate (RS) şi studii de evaluare adecvată (EA)"". ,Se completează Art.6 cu : 6.3. Alte activităţi de consultanţă specifice domeniilor ecologic şi social cu textul : - "" Elaborarea şi implementarea proiectelor de valorificarea resurselor acvatice naturale prin pescuit şi acvacultură,- Elaborarea şi implementarea proiectelor/rapoartelor de audit privind managementul pescăriilor şi al ariilor naturale protejate.""",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA DE PROTECTIA CONSUMATORULUI SI MEDIULUI ""CACTUS""",3672/A/1997,,activa,1,,,,TULCEA,-,"mun. Tulcea, str. FrumoasA, nr.6",,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIAŢIA CLUB SPORTIV ""DREAM TEAM DELTA TULCEA""",3673/A/2025,,activa,1,,,,TULCEA,AGIGHIOL,"SAT AGIGHIOL, COMUNA VALEA NUCARILOR, STR. POMPELOR NR.8, CAMERA 1, JUDEŢ TULCEA","Asociaţia este o persoană juridică de drept privat, fără scop lucrativ, având ca scop desfăşurarea activităţilor sportive în ramurile de sport : FOTBAL, VOLEI, BASCHET, HANDBAL, FUTSAL. Obiectivul/scopul Asociaţiei este stabilit în concordanţă cu prevederile Legii nr. 69/2000 şi a HG nr. 884/2001 pentru aprobarea Regulamentului de punere în aplicare a dispoziţiilor Legii nr. 69/2000, respectiv de a contribui la îmbunătăţirea stării de sănătate a sportivilor înscrişi prin practicarea exerciţiului fizic şi ridicarea nivelului performanţei sportive, de a folosi în limita timpului disponibil baza materială a clubului şi de a contibui la susţinerea financiară a practicării fotbalului ca disciplină sportivă.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CURCUBEU DE SPERANŢE C.D.S. GNM,319/A/2026,,activa,1,,,,TULCEA,AGIGHIOL,"SAT AGIGHIOL, STRADA BERZEI NR.10, COMUNA VALEA NUCARILOR, JUDEŢUL TULCEA","Scopul asociaţiei este de a sprijini copiii aflaţi în dificultate, de a promova educaţia, solidaritatea socială, voluntariatul şi implicarea comunităţii în activităţi caritabile şi educative.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PROFESIONALA A PESCARILOR''PESCARUSUL ALB'',732/A/2001,,activa,1,,,,TULCEA,Asociatia deschide un sediu secundar(punct de lucru),"com. Stelnica, jud. Ialomi'a","Scopul asociatiei il constituie exprimarea si promovarea intereselor profesionale ale pescarilor cu calitatea de membrii ai asociatiei fata de institutiile publice din Romania,autoritatile statului roman si fata de organismele internationale.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,AGENŢIA PENTRU DEZVOLTARE LOCALĂ-BABADAG,15921/A/2010,,activa,1,,,,TULCEA,BABADAG,"STRADA REPUBLICII , NR.100, BL.78 , SC.A6 , AP.17","de a promova dezvoltarea regională şi rurală, de a proteja interesele comunităţilor din zonele menţionate şi de a identifica şi satisface nevoile acestor comunităţi, în condiţiile legii",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CULTURALA TEZAUR DOBROGEAN,2960/A/2025,,activa,1,,,,TULCEA,BABADAG,"STR.ROZELOR, NR.3A","Asociația are ca scop derularea și promovarea de activitãți de educație culturalÒ, spiritualÒ și moral-civicÒ.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
