categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,OBSTEA BAI SI MARMURI,18881/A/2000,,activa,1,,,,VALCEA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,OBSTEA DE MOSNENI BAI SI MAMURI,26605/A/2000,,activa,1,,,,VALCEA,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASIST - RAMNICU VALCEA,1310/A/2003,,activa,1,,,,VALCEA,"B-DUL TINERETULUI NR 1B,CAMERA B,ETAJ 5",,"DEZVOLTAREA IN PLANUL EDUCATIEI SI FORMARII PROFESIONALE,EDUCATIA ADULTILOR;PROMOVAREA SI DEZVOLTAREA VOLUNTARISMULUI CA INSTRUMENT DE IMPLICARE ACTIVA A TINERILOR IN COMUNITATE",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA AFS BABENI,1301/A/2003,,activa,1,,,,VALCEA,BABENI,STR PRINCIPALA NR 5,APARAREA INTERESELOR MEMBRILOR ASOCIATIEI,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA AGRICOLA MIXTA A CULTIVATORILOR SI CRESCATORILOR DE ANIMALE (BOVINE,OVINE,PORCINE,CAPRINE SI ALBINE) ""BISTRITA-BABENI"" DIN COMUNA BABENI,JUD. VALCEA",5508/A/2007,,activa,1,,,,VALCEA,BABENI,STR UNGURENI NR 20,"sprijinirea crescatorilor de animale pentru accelerarea ritmului de sporire si crestere numerica a efectivelor de animale,prin introducerea in zona a reproducerii dirijate,cu accent pe insamantarea artificiala;participarea la un plan de ameliorare a raselor si de dirijare a efectivelor de animale;sprijinirea producatorilor agricoli pentru valorificarea produselor agrozootehnice cat si la achizitionarea de masini agricole;coordoneaza cererea si oferta de animale de reproductie in gospodariile membrilor,asigurand progresul genetic din surse autorizate;efectueaza lucrari de intretinere si protejare a solului si a zonelor degradate",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ALPINA IGOIU,29064/A/2013,,activa,1,,,,VALCEA,BABENI,STR BISTRITEI NR 50,"promovarea si reprezentarea proprietarilor de terenuri agricole,pajisti permanente din muntele Igoiu,Stefanu si Mogosu si a crescatorilor de animale din aceeasi zona","Art.4 Asociaţia are ca scop promovarea şi reprezentarea proprietarilor de terenuri agricole, pajişti permanente şi terenuri forestiere/păduri din munţii Igoiu, Ştefanu şi Mogoşu, precum şi a crescătorilor de animale din aceeaşi zonă | promovarea intereselor proprietarilor de terenuri agricole, terenuri forestiere/păduri şi ale crescătorilor de animale din munţii Igoiu, Ştefanu şi Mogoşu,pregătirea şi instruirea membrilor,exploatarea, protejarea, conservarea etc conform legilor în domeniu a terenurilor forestiere/pădurilor, ce fac obiectul titlurilor de proprietate emise pentru munţii Igoiu, Ştefanu şi Mogoşu, inclusiv prin accesarea fondurilor financiare în acest scop,în cadrul activităţilor de exploatare, protejare şi conservare a terenurilor forestiere, membri asociaţi mandatează Asociaţia pentru a întocmi amenajamentul silvic conform următoarelor titluri de proprietate :Titlul de proprietate cu nr. 21013 emis la data de 22.04.2013 de către Comisia Judeţeană pentru Stabilirea Dreptului de Proprietate asupra Terenurilor Vâlcea pentru suprafaţa de 248,2784 (teren cu vegetaţie forestieră) situată pe raza comunei Voineasa şi Titlul de proprietate cu nr. 20285 emis la data de 08.01.2013 de către Comisia Judeţeană pentru Stabilirea Dreptului de Proprietate asupra Terenurilor Vâlcea pentru suprafaţa de 172,9369 ha (teren cu vegetaţie forestieră) situată pe raza comunei Malaia. în acest sens, membri asociaţi îşi exprimă acordul ca Asociaţia, prin Preşedinte, să se efectueze toate demersurile necesare întocmirii şi înscrierii amenajamentului (lucrări pregătitoare, culegerea datelor din teren, prelucrarea datelor şi redactarea amenajamentului, întocmire hărţi, obţinerea avizului de mediu sau altor avize necesare, etc.), inclusiv prin angajarea unui terţ specializat în aceste servicii.participarea la activităţi de ameliorare a terenurilor",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA ALPINA IGOIU,9795/A/2013,,activa,1,,,,VALCEA,BABENI,STR BISTRITEI NR 50,"promovarea si reprezentarea proprietarilor de terenuri agricole,pajisti permanente,din muntele Igoiu,Stefanu si Mogosu si a crescatorilor de animale din aceeasi zona",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,"ASOCIATIA CRESTINA DE MISIUNE SI CARITATE ""SPERANTA VIETII""",15930/A/2002,,activa,1,,,,VALCEA,BABENI,"ORAŞ BĂBENI, STR. BISTRIŢEI NR. 23,JUDETUL VALCEA","ajutor material si moral tuturor categoriilor sociale,in biserici,orfelinate,azile de batrani,spitale,inchisori",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA FOTBAL CLUB BABENI,21745/A/2016,,activa,1,,,,VALCEA,BABENI,"Aleea Stadionului, nr. 8","descoperirea si indrumarea tinerelor talente,organizarea si administrarea activitatilor sportive in domeniul fotbalului,respectand toate regulamentele si instructiunile Ministerului Tineretului si Sportului","art. 4 din Statut : „Asociatia FOTBAL CLUB BIBENI este persoana juridica non-profit si are ca scop principal descoperirea si indrumarea tinerelor talente, organizarea si administrarea activitatilor sportive in domeniul fotbal, atletism, handbal, baschet, judo, ciclism, dans sportiv, box, lupte, haltere, sah, popice, scrima, tir cu arcul, volei, karate, arte martiale, tenis de masa, tenis, modelism, initierea si pregatirea de sportivi in domeniul sportul pentru toti, sportul pentru persoane cu nevoi speciale, participarea la competitii sportive nationale si internationale, precum si alte activitati conexe acestora, respectand toate regulamentele si instructiunile Agentiei Nationale pentru Sport si pe cele ale federatiilor de specialitate, cat si prevederile legislatiei in vigoare.”",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CASA DE AJUTOR RECIPROC BĂBENI 2016,3927/A/1997,,activa,1,,,,VALCEA,BABENI,STR. DRAGOS VRANCEANU NR. 167,sprijinirea si intrajutorarea financiara a membrilor,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
