categorie,denumire,numar_registru_national,stare_actuala,status_normalizat,activ,sediu_schimbat,instanta_transfer,tara,judet,localitate,adresa,scop_initial,scop_modificari,hg_utilitate_publica,data_hg_utilitate_publica,sursa_fisier,sursa_url,sursa_data_actualizare
asociatie,ASOCIATIA MUNTENITA PAS-VASLUI,917/A/2000,,activa,1,,,,VASLUI,,,,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIAŢIA CLUB SPORTIV „MA DAO” BÂRLAD,1239/A/2022,,activa,1,,,,VASLUI,,,"Scopul Asociaţiei este redat la art. 5 din Statut care are următorul conţinut:,“Art. 5,(1) ASOCIAŢIA CLUB SPORTIV ""MA DAO"" BÂRLAD are ca scop principal organizarea şi desfăşurarea de activităţi sportive, respectiv arte marţiale, stilul QWAN-KI-DO, urmărindu-se selecţionarea, iniţierea şi pregătirea sportivilor în acest domeniu, precum şi participarea la competiţii sportive interne şi internaţionale, cu respectarea cadrului normativ elaborat la nivelul Ministerului Sportului, al Federaţiei Române de Arte Marţiale (F.R.A.M.) si al Federaţiei Internaţionale de QWAN-KI-DO (I.F.Q.K.D.).,(2) în subsidiar, Asociaţia mai are şi alte scopuri, respectiv:,a) educarea oamenilor prin artele marţiale, prin practicarea şi însuşirea principiilor şi filozofiei acestora, precum şi promovarea formelor de educaţie prin sport, în general şi prin studiul artelor marţiale, în particular, ca metodă de autocunoaştere,b) formarea şi cultivarea opiniei publice, în legătură cu artele marţiale ca metodă de auto-cunoaştere, de educare, de combatere a violenţei, de menţinere a echilibrului interior şi a sănătăţii (atât fizice, cât şi mentale);,c) combaterea hărţuirii, intimidării şi agresiunii fizice şi verbale (repetate), atât între copii, cât şi între adulţi, în societate (fenomen cunoscut şi sub denumirea de „bullying"").”",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CLUB SPORTIV KING KONG VASLUI,3943/A/2023,,activa,1,,,,VASLUI,ALBESTI,"LOC ALBESTI, COM. ALBESTI, JUD. VASLUI","consta in crearea cadrului organizatoric necesar practicarii sportului in general de catre orice persoana, fara discriminari pe criterii de nationalitate, rasa, religie, etnie sau religie, indiferent de statutul lor (amator sau profesionist), precum si descoperirea si indrumarea tinerilor in acest scop.",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA EUHARISTIA ALBESTI,1917/A/2022,,activa,1,,,,VASLUI,ALBESTI,COM. ALBESTI - JUD. VASLUI,consta in reinoirea spiritului crestin al celor care traiesc in comunitatea parohiei Albesti.,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA PRODUCATORILOR AGRICOLI SI CRESCATORILOR DE ANIMALE ALEXANDRU VLAHUTA,11579/A/2009,,activa,1,,,,VASLUI,ALEXANDRU VLAHUTA,SAT ALEXANDRU VLAHUTA,"apararea si promovarea drepturilor producatorilor agricoli si a crescatorilor de animale, precum si îmbunatatirea performantelor profesionale a membrilor sai în vederea cresterii animalelor si valorificare produselor s subproduselor de origine animala (taurine, ovine, porcine, păsări, ovine, iepuri şi animale de blană, etc.) producerea si valorificarea produselor şi subproduselor de origine vegetals (legume, fructe, cereale, furaje, etc.)",,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA MISCAREA DE REZISTENTA DE LA PUNGESTI,146/A/2014,,activa,1,,,,VASLUI,ARMASOAIA,COM. PUNGESTI,INTERZICEREA ORICAREI ACTIVITATI DE FRACTURARE HIDRAULICA PENTRU GAZE DE SIST,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
fundatie,FUNDAŢIA AVRAM HUIBAN,17/B/2025,,activa,1,,,,VASLUI,AVRĂMEŞTI,"NR. 106, COMUNA VOINEŞTI","art. 8 alin. (1) din Statut şi are următorul conţinut: “FUNDAŢIA AVRAM HUIBAN are ca scop dezvoltarea economică şi socială a comunelor din Colinele Tutovei (Voineşti, Dragomireşti, Puieşti, Ghergheşti din judeţul Vaslui şi respectiv comuna Răchitoasa din judeţul Bacău), prin crearea unui cadru economic şi logistic ce să genereze bunăstare şi modernizare a comunităţii răzăşeşti",,,,09_03_2026Fundatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Fundatii.xlsx,2026-03-09
asociatie,"ASOCIATIA ""ZOO BACANI""",6406/A/2007,,activa,1,,,,VASLUI,BACANI,,ACTIVITATI SI SERVICII IN DOMENIUL CRESTERII ANIMALELOR LA NIVELUL JUDETULUI VASLUI SI ZONA MOLDOVEI,"aplicarea si promov. intereselor legitime a asoc. obt. unor preturi mai bune la valorif. prod.obtinute,promov. progresului tehnic din domeniul cresterii animalelor, asig. asist. de specilait. aproviz. cu furaje si material biologic de calit. si obt. subventiilor acordate de guvern",,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA INTERCOMUNITARÃ BÃCANI-IBÃNESTI,3513/A/2012,,activa,1,,,,VASLUI,BACANI,COM. BACANI,"Normal;art. 10 din Statutul asociatiei constã în : a promova, realiza, finanta ºi implementa proiecte de dezvoltare regionalã de interes comun, în domeniile: servicii sociale, transport, mediu, turism, educatie, utilitãti publice, resurse umane, cercetare-inovare, administratie, mediu de afaceri, dezvoltare durabilã, etc, pe raza de competentã a unitãtilor administrativ-teritoriale membre.",,"Normal;Conform disp. Art.11 alin. (1) din Legea 215/2001 modificatã, ASOCIAtIA INTERCOMUNITARÃ BÃCANI-IBÃNEªTI va dobândi de la data înscrierii personalitate juridicã de drept privat ºi de utilitate publicã, prin efectul prezentei legii, prin derogare de la prevederile Ordonantei Guvernului nr. 26/2000 cu privire la asociatii ºi fundatii.",,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
asociatie,ASOCIATIA CASA DE AJUTOR RECIPROC IFN A SALARIATILOR CAMS BACESTI,10323/A/2013,,activa,1,,,,VASLUI,BACESTI,STR PRINCIPALA NR 1,SPRIJINIREA SI AJUTORAREA FINANCIARA A MEMBRILOR PRIN ACORDAREA DE IMPRUMUTURI,,,,09_03_2026Asociatii.xlsx,https://www.just.ro/wp-content/uploads/2026/03/09_03_2026Asociatii.xlsx,2026-03-09
