LISTA DOCUMENTE JUSTIFICATIVE - Dosar Seicarescu Tudor vs SC Beton Construct Bilie SRL,,,,,
,,,,,
Anexa,Tip document,Fisier PDF,Text extras,Suma,Relevanta
1,Contract de Inchiriere,Contract chirie Bicaz nr 8 23 10 2024-semnat.pdf,converted/Contract_chirie_Bicaz_pdftotext.txt,,Clauza garantie + obligatii chirias + reziliere
2,Act Aditional Prelungire,Act aditional prelungire-semnat.pdf,converted/Act aditional prelungire-semnat.txt,,Prelungire 01.05.2025-30.04.2026 + preaviz 60 zile
3,Factura DIGI Energy (regularizare),DIGI EXTRA/Factura #FDB26 17023681.pdf,converted/Factura #FDB26 17023681.txt,778.13 RON,Scadenta 31.01.2026 / Platit POS 29.01.2026
4,Factura DIGI telecom,DIGI EXTRA/Factura #FDB26 19319023.pdf,converted/DIGI EXTRA__Factura #FDB26 19319023.txt,33.55 RON,Scadenta 28.02.2026 / Platit POS
5,Factura ENGIE gaze,Factura_ENGIE_Romania_Nr_11217875261.pdf,converted/Factura_ENGIE_Romania_Nr_11217875261.txt,622.98 RON,Scadenta 23.02.2026 / Platit POS 29.01.2026
6,Factura Apa Buzau,apa 1.pdf,converted/apa 1.txt,253.40 RON,Scadenta 17.02.2026 / Platit 19.02.2026
7,Factura RER gunoi,(UUID din director),,32.51 RON,Scadenta 15.02.2026 / Platit 19.02.2026
8,Factura ENGIE gaze (noua),Factura_ENGIE_Romania_Nr_10619487244 (1).pdf,converted/Factura_ENGIE_Romania_Nr_10619487244 (1).txt,593.24 RON,Scadenta 23.03.2026 / NEPLATIT INCA
9,Extras cont BT (plati utilitati),Februarie 2026 (extras partial).pdf,converted/Februarie 2026 (extras partial).txt,,Platile POS 29.01.2026: DIGI 778.13 + ENGIE 622.98
10,Extras cont BT (incasare Bilie),Ianuarie 2026.pdf,converted/Ianuarie 2026.txt,,12.01.2026 incasare OP 3082.90 RON de la BETON CONSTRUCT BILIE SRL
11,Corespondenta email,Takeout/Mail/CASABUZAU.mbox,,72 emailuri,Ultimul raspuns parata 12.09.2025 / ZERO raspuns 6+ luni
12,Somatie prealabila + dovada,SOMATIE_PREALABILA.txt,,,De trimis prin AR sau executor
,,,,,
DOCUMENTE AUXILIARE (disponibile nu depuse),,,,,
Document,Fisier,Rol,,,
Extras BT oct-ian complet,10 oct. 2025-07 ian pdf 2 2026.pdf,Istoric cont utilitati,,,
Extras BT complet,A.pdf,Extras cont general,,,
Dovezi plata chirie Wise,Gmail - BETON CONSTRUCT BILIE*.pdf,Confirma plata prin Wise,,,
Fotografii predare oct 2024,predare casa buzau lista lucruri oct 2024.pdf,Starea la predare (21 pagini),,,
Fotografii curte ian 2026,Din email 29.01.2026 (Google Drive),Starea curtii la parasire,,,
Facturi acoperite de 3082.90,FACturi platite/,Facturile vechi - INCHISE,,,
