company_name,category,country,province,address,email,phone,website,contact_person,products,certifications,year_established,employees,company_url,source,scraped_date
"Foshan Hongyi Technology Co., Ltd",electronics,CN,,"Guangdong, China",,,,,,,2025,,https://hongyi-capacitor.en.made-in-china.com,made-in-china.com,2026-03-22
"Shenzhen A&D Industries Co., Limited Shenzhen A&D Industries Co., Limited Diamond Member Audited Sup",electronics,CN,,"Guangdong, China",,,,,,,2010,,https://adivape.en.made-in-china.com,made-in-china.com,2026-03-22
"Dongguan Sidi Electronics Co., Ltd. Dongguan Sidi Electronics Co., Ltd. Diamond Member Audited Suppl",electronics,CN,,"Guangdong, China",,,,,,,2022,,https://sdivape.en.made-in-china.com,made-in-china.com,2026-03-22
"Cangzhou Yifeng Hardware Manufacturing Co., Ltd. Cangzhou Yifeng Hardware Manufacturing Co., Ltd. Di",electronics,CN,,"Hebei, China",,,,,,,2022,,https://yfeger.en.made-in-china.com,made-in-china.com,2026-03-22
"ZHEJIANG MEITONG CONDUCTOR TECHNOLOGY CO., LTD. ZHEJIANG MEITONG CONDUCTOR TECHNOLOGY CO., LTD. Diam",electronics,CN,,"Zhejiang, China",,,,,,,2020,,https://meitongtech.en.made-in-china.com,made-in-china.com,2026-03-22
"Qingdao Shanyo Precision Electronic Technology Co., Ltd. Qingdao Shanyo Precision Electronic Technol",electronics,CN,,"Shandong, China",,,,,,,2025,,https://shanyodome.en.made-in-china.com?ads_tp=ppc&ads_id=rmYxDpPdmJWg,made-in-china.com,2026-03-22
"China Dragon Electronic Industrial Co., Limited China Dragon Electronic Industrial Co., Limited Diam",electronics,CN,,"Guangdong, China",,,,,,,2020,,https://chinadragon.en.made-in-china.com?ads_tp=&ads_id=AsvthiZOLIHP,made-in-china.com,2026-03-22
"Shenzhen Bicheng Electronic Technology Co., Ltd Shenzhen Bicheng Electronic Technology Co., Ltd Gold",electronics,CN,,"Guangdong, China",,,,,,,2017,,https://bichengpcb.en.made-in-china.com,made-in-china.com,2026-03-22
"ZHEJIANG CHBEST POWER TECHNOLOGY CO., LTD. ZHEJIANG CHBEST POWER TECHNOLOGY CO., LTD. Diamond Member",electronics,CN,,"Zhejiang, China",,,,,,,2026,,https://chbpower.en.made-in-china.com,made-in-china.com,2026-03-22
"IKP ELECTRONICS CO., LTD. IKP ELECTRONICS CO., LTD. Diamond Member Audited Supplier Secured Trading ",electronics,CN,,"Anhui, China",,,,,,,2014,,https://ikp-elec.en.made-in-china.com,made-in-china.com,2026-03-22
Finest Printed Circuit Board Ltd. Finest Printed Circuit Board Ltd. Diamond Member Audited Supplier ,electronics,CN,,"Guangdong, China",,,,,,,2023,,https://finestpcb.en.made-in-china.com,made-in-china.com,2026-03-22
"JS Technology Co., Ltd. JS Technology Co., Ltd. Diamond Member Audited Supplier Guangdong, China",electronics,CN,,"Guangdong, China",,,,,,,2023,,https://pcbasic.en.made-in-china.com,made-in-china.com,2026-03-22
"Shenzhen Goldmate Electronics Co., Ltd. Shenzhen Goldmate Electronics Co., Ltd. Diamond Member Audit",electronics,CN,,"Guangdong, China",,,,,,,2020,,https://szgmt-10308.en.made-in-china.com,made-in-china.com,2026-03-22
"JS Technology Co., Ltd. JS Technology Co., Ltd. Diamond Member Audited Supplier Secured Trading Guan",electronics,CN,,"Guangdong, China",,,,,,,2023,,https://pcbasic.en.made-in-china.com,made-in-china.com,2026-03-22
Dongguan Youli Electronic Technology Limited Dongguan Youli Electronic Technology Limited Diamond Me,electronics,CN,,"Guangdong, China",,,,,,,2025,,https://ulipower.en.made-in-china.com?ads_tp=&ads_id=ejQAnirChWIB,made-in-china.com,2026-03-22
"Fujian Nanping Nanfu New Energy Co., Ltd Fujian Nanping Nanfu New Energy Co., Ltd Diamond Member Aud",electronics,CN,,"Fujian, China",,,,,,,2025,,https://lynkcell.en.made-in-china.com,made-in-china.com,2026-03-22
"Shenzhen Tcbest Battery Industry Co., Ltd. Shenzhen Tcbest Battery Industry Co., Ltd. Diamond Member",electronics,CN,,"Guangdong, China",,,,,,,2020,,https://tcbest.en.made-in-china.com,made-in-china.com,2026-03-22
"Shenzhen Jinxin Optoelectronics Co., Ltd. Shenzhen Jinxin Optoelectronics Co., Ltd. Diamond Member A",electronics,CN,,"Guangdong, China",,,,,,,2024,,https://jinxinoptoelectronic.en.made-in-china.com,made-in-china.com,2026-03-22
"Ps Electronics Co., Ltd Ps Electronics Co., Ltd Diamond Member Audited Supplier Guangdong, China",electronics,CN,,"Guangdong, China",,,,,,,2023,,https://pspcba.en.made-in-china.com,made-in-china.com,2026-03-22
