company_name,category,country,province,address,email,phone,website,contact_person,products,certifications,year_established,employees,company_url,source,scraped_date
"Tianjin Geely New Material Technology Co., Ltd. Tianjin Geely New Material Technology Co., Ltd. Gold",machinery,CN,,"Tianjin, China",,,,,,,2022,,https://tjgeely.en.made-in-china.com,made-in-china.com,2026-03-22
"ZHENGZHOU LYA MACHINERY CO., LTD. ZHENGZHOU LYA MACHINERY CO., LTD. Gold Member Audited Supplier Hen",machinery,CN,,"Henan, China",,,,,,,2018,,https://zzlyags.en.made-in-china.com,made-in-china.com,2026-03-22
"Ningbo Ningshing Precision Machinery Group Co., Ltd. Ningbo Ningshing Precision Machinery Group Co.,",machinery,CN,,"Zhejiang, China",,,,,,,2021,,https://nngsteel.en.made-in-china.com,made-in-china.com,2026-03-22
"Zhejiang Kaida Machine Tool Co., Ltd. Zhejiang Kaida Machine Tool Co., Ltd. Diamond Member Audited S",machinery,CN,,"Zhejiang, China",,,,,,,2014,,https://kaida-machine.en.made-in-china.com,made-in-china.com,2026-03-22
"Huizhou Pingfang Trading Co., Ltd. Huizhou Pingfang Trading Co., Ltd. Diamond Member Audited Supplie",machinery,CN,,,,,,,,,,,https://pharmach.en.made-in-china.com,made-in-china.com,2026-03-22
"Xuancheng Huzheng Machinery Trading Co., Ltd. Xuancheng Huzheng Machinery Trading Co., Ltd. Diamond ",machinery,CN,,"Anhui, China",,,,,,,2026,,https://huzhengzhineng.en.made-in-china.com,made-in-china.com,2026-03-22
"Gusu Food Processing Machinery Suzhou Co., Ltd. Gusu Food Processing Machinery Suzhou Co., Ltd. Diam",machinery,CN,,"Jiangsu, China",,,,,,,2016,,https://gusumachinery.en.made-in-china.com,made-in-china.com,2026-03-22
"Robotphoenix Technology Co., Ltd. Robotphoenix Technology Co., Ltd. Diamond Member Audited Supplier ",machinery,CN,,"Zhejiang, China",,,,,,,2025,,https://rpautomation.en.made-in-china.com,made-in-china.com,2026-03-22
"Alpha-Pack (Heyuan) Co., Ltd. Alpha-Pack (Heyuan) Co., Ltd. Diamond Member Audited Supplier Guangdon",machinery,CN,,,,,,,,,,,https://alphapack.en.made-in-china.com,made-in-china.com,2026-03-22
"Taizhou Boyu Trading Co., Ltd. Taizhou Boyu Trading Co., Ltd. Diamond Member Audited Supplier Secure",machinery,CN,,"Zhejiang, China",,,,,,,2022,,https://panergy.en.made-in-china.com?ads_tp=ppc&ads_id=DnRxHQLEtJcu,made-in-china.com,2026-03-22
