dataset,period,indicator,value,unit
cpi,202602,,336928.93622,
cpi,202512,,515814.75082,
cpi,202511,,525577.09872,
cpi,202510,,503548.690062,
cpi,202509,,519513.78987,
cpi,202508,,505525.71823,
cpi,202507,,497035.308448,
cpi,202506,,494827.411,
cpi,202505,,499136.031077,
cpi,202504,,503278.94045,
cpi,202503,,503014.217295,
cpi,202602,,830495.14614,
cpi,202512,,5870002.97517,
cpi,202511,,5354188.13832,
cpi,202510,,4828611.0396,
cpi,202509,,4325062.349438,
cpi,202508,,3805548.55947,
cpi,202507,,3300023.285742,
cpi,202506,,2802987.15445,
cpi,202505,,2308159.743446,
cpi,202504,,1809023.70553,
cpi,202503,,1305744.765078,
cpi,202502,,802730.54778,
cpi,202602,,-9.4804183687,
cpi,202512,,0.3597043114,
cpi,202511,,3.3113282987,
cpi,202510,,0.379904037,
cpi,202509,,4.7824162115,
cpi,202508,,3.5784391408,
cpi,202507,,3.4045086635,
cpi,202506,,2.8579474321,
cpi,202505,,1.8491951955,
cpi,202504,,4.335429209,
cpi,202503,,5.0127518796,
cpi,202602,,6.4615466778,
cpi,202512,,3.2102400557,
cpi,202511,,3.4934297722,
cpi,202510,,3.5127728854,
cpi,202509,,3.8902750378,
cpi,202508,,3.7696616803,
cpi,202507,,3.7990361357,
cpi,202506,,3.8692857508,
cpi,202505,,4.0886922049,
cpi,202504,,4.724043148,
cpi,202503,,4.8746023607,
cpi,202502,,4.7882189657,
cpi,202602,,38241.1687,
cpi,202512,,44733.1294,
cpi,202511,,46025.6689,
cpi,202510,,45797.2085,
cpi,202509,,44511.4261,
cpi,202508,,45698.0604,
cpi,202507,,45162.0,
cpi,202506,,43760.2406,
cpi,202505,,43974.8287,
cpi,202504,,42769.2299,
cpi,202503,,44525.6825,
cpi,202602,,82066.0543,
cpi,202512,,527748.07243,
cpi,202511,,483014.9196,
cpi,202510,,436989.2507,
cpi,202509,,391192.0421,
cpi,202508,,346680.6159,
cpi,202507,,300983.0,
cpi,202506,,255820.1622,
cpi,202505,,212059.9216,
cpi,202504,,168085.0929,
cpi,202503,,125315.863,
cpi,202502,,80790.1805,
cpi,202602,,-0.5907494923,
cpi,202512,,-2.6032983756,
cpi,202511,,1.163321284,
cpi,202510,,0.5715148559,
cpi,202509,,4.2398137321,
cpi,202508,,5.5744485713,
cpi,202507,,4.5,
cpi,202506,,2.2860842179,
cpi,202505,,0.6992011867,
cpi,202504,,4.9324505489,
cpi,202503,,2.3535919537,
cpi,202602,,1.5792437815,
cpi,202512,,1.9847486008,
cpi,202511,,2.4316189697,
cpi,202510,,2.5670570212,
cpi,202509,,2.8058671894,
cpi,202508,,2.6246109558,
cpi,202507,,2.2,
cpi,202506,,1.7987820652,
cpi,202505,,1.6987973663,
cpi,202504,,1.9635977873,
cpi,202503,,0.9884377041,
cpi,202502,,0.2515155876,
cpi,202602,,238064.1672,
cpi,202512,,379708.6029,
cpi,202511,,387563.8499,
cpi,202510,,370598.747,
cpi,202509,,389098.5645,
cpi,202508,,374848.134,
cpi,202507,,369905.5725,
cpi,202506,,365145.9486,
cpi,202505,,368092.5483,
cpi,202504,,374574.7162,
cpi,202503,,372775.6957,
cpi,202602,,614543.4437,
cpi,202512,,4328775.8125,
cpi,202511,,3949067.2096,
cpi,202510,,3561503.3597,
cpi,202509,,3190904.6127,
cpi,202508,,2801806.0482,
cpi,202507,,2426957.9142,
cpi,202506,,2057052.3417,
cpi,202505,,1691906.3931,
cpi,202504,,1323813.8448,
cpi,202503,,949239.1286,
cpi,202502,,576463.4329,
cpi,202602,,-13.4196219001,
cpi,202512,,0.6243913763,
cpi,202511,,3.5691055746,
cpi,202510,,0.0772004237,
cpi,202509,,5.196998665,
cpi,202508,,3.8820075276,
cpi,202507,,3.2815265988,
cpi,202506,,2.8672562986,
cpi,202505,,1.6957268909,
cpi,202504,,4.147232002,
cpi,202503,,4.895978506,
cpi,202602,,6.6057981524,
cpi,202512,,3.3617199959,
cpi,202511,,3.6327870658,
cpi,202510,,3.6390191371,
cpi,202509,,4.0691979292,
cpi,202508,,3.9144849768,
cpi,202507,,3.9195029894,
cpi,202506,,4.0350629072,
cpi,202505,,4.290585339,
cpi,202504,,5.0357948688,
cpi,202503,,5.3769872101,
cpi,202502,,5.7041170607,
cpi,202602,,60549.5623,
cpi,202512,,91280.1433,
cpi,202511,,91894.5591,
cpi,202510,,87061.012,
cpi,202509,,85815.8804,
cpi,202508,,84893.0233,
cpi,202507,,81881.0506,
cpi,202506,,85832.7212,
cpi,202505,,86982.941,
cpi,202504,,85855.0705,
cpi,202503,,85631.188,
cpi,202602,,133725.5498,
cpi,202512,,1012461.8843,
cpi,202511,,921181.741,
cpi,202510,,829287.1819,
cpi,202509,,742226.1699,
cpi,202508,,656410.2895,
cpi,202507,,571517.2662,
cpi,202506,,489636.2156,
cpi,202505,,403803.4944,
cpi,202504,,316820.5534,
cpi,202503,,230965.4829,
cpi,202502,,145334.2949,
cpi,202602,,3.1078,
cpi,202512,,0.7504759605,
cpi,202511,,3.3183124048,
cpi,202510,,1.5736425748,
cpi,202509,,3.2118364099,
cpi,202508,,1.2330862175,
cpi,202507,,3.3669381233,
cpi,202506,,3.0981467901,
cpi,202505,,3.0898,
cpi,202504,,4.8544765235,
cpi,202503,,6.8109750774,
cpi,202602,,8.9919,
cpi,202512,,3.2008082921,
cpi,202511,,3.4501183894,
cpi,202510,,3.4647447091,
cpi,202509,,3.6911899848,
cpi,202508,,3.7541876395,
cpi,202507,,4.1394225623,
cpi,202506,,4.2697321045,
cpi,202505,,4.5222,
cpi,202504,,4.9224479857,
cpi,202503,,4.9477369814,
cpi,202502,,3.8800389534,
cpi,202602,,74.03802,
cpi,202512,,92.87522,
cpi,202511,,93.02082,
cpi,202510,,91.722562,
cpi,202509,,87.91887,
cpi,202508,,86.50053,
cpi,202507,,86.6853476,
cpi,202506,,88.5006,
cpi,202505,,85.7130767,
cpi,202504,,79.92385,
cpi,202503,,81.6510952,
cpi,202602,,160.09834,
cpi,202512,,1017.20594,
cpi,202511,,924.26812,
cpi,202510,,831.2472998,
cpi,202509,,739.5247378,
cpi,202508,,651.60587,
cpi,202507,,565.1053423,
cpi,202506,,478.43495,
cpi,202505,,389.9343459,
cpi,202504,,304.21443,
cpi,202503,,224.2905775,
cpi,202502,,142.63948,
cpi,202602,,22.3,
cpi,202512,,9.9,
cpi,202511,,11.0,
cpi,202510,,13.380217323,
cpi,202509,,9.9338188154,
cpi,202508,,13.3,
cpi,202507,,15.3,
cpi,202506,,18.4,
cpi,202505,,16.6407686552,
cpi,202504,,16.8,
cpi,202503,,15.2624225134,
cpi,202602,,12.2,
cpi,202512,,13.3,
cpi,202511,,13.6,
cpi,202510,,13.9002127752,
cpi,202509,,13.9650399923,
cpi,202508,,14.5,
cpi,202507,,14.7,
cpi,202506,,14.6,
cpi,202505,,13.7880446939,
cpi,202504,,13.0,
cpi,202503,,11.712353017,
cpi,202502,,9.8,
