dataset,period,indicator,value,unit
exports_total,202602,,5.3,
exports_total,202601,,5.2,
exports_total,202512,,5.1,
exports_total,202511,,5.1,
exports_total,202510,,5.1,
exports_total,202509,,5.2,
exports_total,202508,,5.3,
exports_total,202507,,5.2,
exports_total,202506,,5.0,
exports_total,202505,,5.0,
exports_total,202504,,5.1,
exports_total,202503,,5.2,
exports_total,202502,,5.4,
exports_total,202602,,5.1,
exports_total,202601,,5.0,
exports_total,202512,,5.1,
exports_total,202511,,5.1,
exports_total,202510,,5.1,
exports_total,202509,,5.2,
exports_total,202508,,5.3,
exports_total,202507,,5.2,
exports_total,202506,,5.0,
exports_total,202505,,5.0,
exports_total,202504,,5.1,
exports_total,202503,,5.2,
exports_total,202502,,5.2,
exports_total,202602,,5.4,
exports_total,202601,,5.3,
exports_total,202512,,5.3,
exports_total,202511,,5.3,
exports_total,202510,,5.3,
exports_total,202509,,5.3,
exports_total,202508,,5.4,
exports_total,202507,,5.3,
exports_total,202506,,5.1,
exports_total,202505,,5.0,
exports_total,202504,,5.2,
exports_total,202503,,5.3,
exports_total,202502,,5.6,
exports_total,202602,,5.0,
exports_total,202601,,4.8,
exports_total,202512,,4.7,
exports_total,202511,,4.7,
exports_total,202510,,4.7,
exports_total,202509,,4.9,
exports_total,202508,,5.0,
exports_total,202507,,5.1,
exports_total,202506,,4.8,
exports_total,202505,,5.0,
exports_total,202504,,4.8,
exports_total,202503,,4.9,
exports_total,202502,,5.0,
exports_total,202602,,16.1,
exports_total,202601,,16.3,
exports_total,202512,,16.5,
exports_total,202511,,16.9,
exports_total,202510,,17.3,
exports_total,202509,,17.7,
exports_total,202508,,18.9,
exports_total,202507,,17.8,
exports_total,202506,,14.5,
exports_total,202505,,14.9,
exports_total,202504,,15.8,
exports_total,202503,,16.5,
exports_total,202502,,16.9,
exports_total,202602,,7.2,
exports_total,202601,,6.8,
exports_total,202512,,6.9,
exports_total,202511,,7.2,
exports_total,202510,,7.2,
exports_total,202509,,7.2,
exports_total,202508,,7.2,
exports_total,202507,,6.9,
exports_total,202506,,6.7,
exports_total,202505,,7.0,
exports_total,202504,,7.1,
exports_total,202503,,7.2,
exports_total,202502,,7.3,
exports_total,202602,,4.2,
exports_total,202601,,4.0,
exports_total,202512,,3.9,
exports_total,202511,,3.8,
exports_total,202510,,3.8,
exports_total,202509,,3.9,
exports_total,202508,,3.9,
exports_total,202507,,3.9,
exports_total,202506,,4.0,
exports_total,202505,,3.9,
exports_total,202504,,4.0,
exports_total,202503,,4.1,
exports_total,202502,,4.3,
exports_total,202602,,48.1,
exports_total,202601,,48.3,
exports_total,202512,,48.6,
exports_total,202511,,48.6,
exports_total,202510,,48.4,
exports_total,202509,,48.6,
exports_total,202508,,48.5,
exports_total,202507,,48.5,
exports_total,202506,,48.5,
exports_total,202505,,48.5,
exports_total,202504,,48.3,
exports_total,202503,,48.5,
exports_total,202502,,47.1,
