dataset,period,indicator,value,unit
gdp,2025D,,387911.3,
gdp,2025C,,354106.2,
gdp,2025B,,341395.3,
gdp,2025A,,318466.4,
gdp,2024D,,373512.4,
gdp,2024C,,341443.2,
gdp,2025D,,1401879.2,
gdp,2025C,,1013967.9,
gdp,2025B,,659861.6,
gdp,2025A,,318466.4,
gdp,2024D,,1348066.2,
gdp,2024C,,974553.8,
gdp,2025D,,35159.7,
gdp,2025C,,26952.3,
gdp,2025B,,19505.0,
gdp,2025A,,11729.8,
gdp,2024D,,34138.3,
gdp,2024C,,26964.5,
gdp,2025D,,93346.8,
gdp,2025C,,58187.1,
gdp,2025B,,31234.8,
gdp,2025A,,11729.8,
gdp,2024D,,91635.8,
gdp,2024C,,57497.5,
gdp,2025D,,136803.3,
gdp,2025C,,124587.1,
gdp,2025B,,126713.3,
gdp,2025A,,111549.3,
gdp,2024D,,135068.1,
gdp,2024C,,122810.3,
gdp,2025D,,499653.0,
gdp,2025C,,362849.7,
gdp,2025B,,238262.6,
gdp,2025A,,111549.3,
gdp,2024D,,490305.4,
gdp,2024C,,355237.3,
gdp,2025D,,215948.3,
gdp,2025C,,202566.8,
gdp,2025B,,195176.9,
gdp,2025A,,195187.3,
gdp,2024D,,204306.0,
gdp,2024C,,191668.5,
gdp,2025D,,808879.3,
gdp,2025C,,592931.1,
gdp,2025B,,390364.3,
gdp,2025A,,195187.3,
gdp,2024D,,766124.9,
gdp,2024C,,561819.0,
gdp,2025D,,37258.0,
gdp,2025C,,28505.8,
gdp,2025B,,20766.2,
gdp,2025A,,12577.0,
gdp,2024D,,36072.4,
gdp,2024C,,28407.4,
gdp,2025D,,99106.9,
gdp,2025C,,61849.0,
gdp,2025B,,33343.2,
gdp,2025A,,12577.0,
gdp,2024D,,96976.0,
gdp,2024C,,60903.6,
gdp,2025D,,111454.7,
gdp,2025C,,103271.0,
gdp,2025B,,103996.4,
gdp,2025A,,98103.9,
gdp,2024D,,108002.7,
gdp,2024C,,100467.3,
gdp,2025D,,416826.0,
gdp,2025C,,305371.3,
gdp,2025B,,202100.2,
gdp,2025A,,98103.9,
gdp,2024D,,404518.5,
gdp,2024C,,296515.8,
gdp,2025D,,92466.9,
gdp,2025C,,84708.1,
gdp,2025B,,87653.0,
gdp,2025A,,81919.4,
gdp,2024D,,89657.3,
gdp,2024C,,81932.8,
gdp,2025D,,346747.4,
gdp,2025C,,254280.5,
gdp,2025B,,169572.4,
gdp,2025A,,81919.4,
gdp,2024D,,334880.7,
gdp,2024C,,245223.4,
gdp,2025D,,26474.9,
gdp,2025C,,22201.2,
gdp,2025B,,23493.4,
gdp,2025A,,14255.6,
gdp,2024D,,28003.9,
gdp,2024C,,23120.2,
gdp,2025D,,86425.1,
gdp,2025C,,59950.2,
gdp,2025B,,37749.0,
gdp,2025A,,14255.6,
gdp,2024D,,88862.8,
gdp,2024C,,60858.8,
gdp,2025D,,40255.1,
gdp,2025C,,36712.5,
gdp,2025B,,35446.0,
gdp,2025A,,33394.3,
gdp,2024D,,38672.0,
gdp,2024C,,35240.2,
gdp,2025D,,145808.0,
gdp,2025C,,105552.9,
gdp,2025B,,68840.3,
gdp,2025A,,33394.3,
gdp,2024D,,139191.6,
gdp,2024C,,100519.6,
gdp,2025D,,15976.0,
gdp,2025C,,16706.3,
