TERITORIUL ADMINISTRATIV,,,telefon_1,telefon_2,,,telefon_3,,,telefon_4,telefon_5,,,,,e-mail
,,,,,,,,,,,,,,,,
,1. JUDE?UL ALBA,,,,,,,,,,,,,,,
MUNICIPIUL ALBA IULIA,,,0258819462,0720660808,,,,,,,,,,,,office@apulum.ro
MUNICIPIUL AIUD,,,0258861310,,,,,,,,,,,,,office@aiud.ro
MUNICIPIUL BLAJ,,,0258710110,,,,,,,,,,,,,primarieblaj@rcnet.ro
MUNICIPIUL SEBES,,,0258731004,0745238198,,,,,,,,,,,,sebespri@yahoo.com
ORAS ABRUD,,,0258780557,0732401239,,,,,,,,,,,,primariaabrud@yahoo.com
ORAS BAIA DE ARIES,,,0258775067,0730601781,,,,,,,,,,,,primbaia@yahoo.com
ORAS CAMPENI,,,0258771215,,,,,,,,,,,,,primaria_cimpeni@yahoo.com
ORAS CUGIR,,,0258751001,0722089435,,,,,,,,,,,,primaria@primariacugir.ro
ORAS OCNA MURES,,,0258871217,0744766099,,,,,,,,,,,,primar@primariaocnamures.ro
ORAS TEIUS,,,0258851101,0724358138,,,,,,,,,,,,primaria_orasului_teius@yahoo.com
ORAS ZLATNA,,,0258856337,0740155859,,,,,,,,,,,,pr_zlatna@primariazlatna.ro
ALBAC,,,0258777501,0728082403,,,,,,,,,,,,primaria_albac@yahoo.com
ALMASU MARE,,,0258850105,0746177121,,,,,,,,,,,,primaria_almasu_mare@yahoo.com
ARIESENI,,,0258779065,0788769844,,,,,,,,,,,,primariaarieseni@yahoo.com
AVRAM IANCU,,,0258786211,0766704671,,,,,,,,,,,,primariaavramiancu@mail.ro
BERGHIN,,,0258854101,0258854344,,,,,,,,,,,,primariaberghin@yahoo.com
BISTRA,,,0258773105,0732303998,,,,,,,,,,,,primar_bistra@yahoo.com
BLANDIANA,,,0258760738,,,,,,,,,,,,,primariablandiana@yahoo.com
BUCERDEA GRANOASA,,,0258883301,0721247319,,,,,,,,,,,,primar@bucerdea_granoasa.ro
BUCIUM,,,0258784112,0731377037,,,,,,,,,,,,primaria.bucium@yahoo.com
CALNIC,,,0258747050,0762653297,,,,,,,,,,,,primaria_calnic@yahoo.com
CENADE,,,0258789003,0258789104,,,,,,,,,,,,primariacenade@yahoo.com
CERGAU,,,0258719302,0753106329,,,,,,,,,,,,primariacergau@yahoo.com
CERU-BACAINTI,,,0258770002,0727787587,,,,,,,,,,,,primariacerubacainti@yahoo.com
CETATEA DE BALTA,,,0258886128,0258886364,,,,,,,,,,,,primariacdb@yahoo.com
CIUGUD,,,0258841205,0788899963,,,,,,,,,,,,primariaciugud@yahoo.com
CIURULEASA,,,0258780605,0733983213,,,,,,,,,,,,primariaciuruleasa@clicknet.ro
CRACIUNELU DE JOS,,,0258883580,,,,,,,,,,,,,prim_craciuneludejos@yahoo.com
