MUNICIPIUL ARAD,,,0257256651,,,,,,,,,,,,,lstepanescu@primariaarad.ro
ORAS CHISINEU-CRIS,,,0257350098,0257350044,,,,,,,,,,,,primariachcris@yahoo.com
ORAS CURTICI,,,0257464004,,,,,,,,,,,,,secretariat@primariacurtici.ro
ORAS INEU,,,0257511550,,,,,,,,,,,,,faur.ioan@ineu.ro
ORAS LIPOVA,,,0257561133,,,,,,,,,,,,,cristinafaur19@yahoo.com
ORAS NADLAC,,,0257474325,,,,,,,,,,,,,gros.alex@primaria-nadlac.ro
ORAS PANCOTA,,,0257466301,,,,,,,,,,,,,primariapancota@artelecom.net
ORAS PECICA,,,0257468323,,,,,,,,,,,,,lex.pecica@upcmail.ro
ORAS SANTANA,,,0257462082,,,,,,,,,,,,,viorica.sas.santana@gmail.com
ORAS SEBIS,,,0257311008,,,,,,,,,,,,,primariasebis@yahoo.com
ALMAS,,,0257313308,,,,,,,,,,,,,emiltomuta@gmail.com
APATEU,,,0257327301,,,,,,,,,,,,,botas_ioan@yahoo.com
ARCHIS,,,0257323553,,,,,,,,,,,,,primariaarchis@yahoo.com
BARSA,,,0257321101,,,,,,,,,,,,,primariabirsa@yahoo.com
BARZAVA,,,0257433108,,,,,,,,,,,,,primariabarzava@clicknet.net
BATA,,,0257434701,,,,,,,,,,,,,papucb.contabil@gmail.com
BELIU,,,0257322239,,,,,,,,,,,,,primariabeliu@gmail.com
BIRCHIS,,,0257434443,,,,,,,,,,,,,primariabirchis@yahoo.com
BOCSIG,,,0257325100,,,,,,,,,,,,,primariabocsig@yahoo.com
BRAZII,,,0257317628,,,,,,,,,,,,,braziiprimaria@yahoo.com
BUTENI,,,0257320129,,,,,,,,,,,,,primariabuteni@yahoo.com
CARAND,,,0257321522,,,,,,,,,,,,,primariacarand@yahoo.com
CERMEI,,,0257328101,,,,,,,,,,,,,cermei@xnet.ro
CHISINDIA,,,0257314014,,,,,,,,,,,,,primariachisindia@yahoo.com
CONOP,,,0257433003,,,,,,,,,,,,,conop_ar@primariaonline.ro
COVASINT,,,0257385005,,,,,,,,,,,,,primariacovasint@gmail.com
CRAIVA,,,0257324100,,,,,,,,,,,,,primariacraiva@artelecom.net
DEZNA,,,0257312664,,,,,,,,,,,,,primariadezna@artelecom.net
DIECI,,,0257314408,,,,,,,,,,,,,primariadieci@artelecom.net
DOROBANTI,,,0257535252,,,,,,,,,,,,,primaria.dorobanti@gmail.com
FANTINELE,,,0257456169,,,,,,,,,,,,,primaria.fatanele@yahoo.com
FELNAC,,,0257411202,,,,,,,,,,,,,primariafelnac@yahoo.com
FRUMUSENI,,,0257455250,,,,,,,,,,,,,contact@frumuseni.ro
GHIOROC,,,0257461101,,,,,,,,,,,,,primariaghioroc@clicknet.ro
,,,,,,,,,,,,,,,,
GRANICERI,,,0257353150,,,,,,,,,,,,,ottlaca@gmail.com
GURAHONT,,,0257316558,,,,,,,,,,,,,primariagurahont@yahoo.com
HALMAGEL,,,0257319621,,,,,,,,,,,,,primariahalmagel@artelecom.net
HALMAGIU,,,0257319188,,,,,,,,,,,,,primariahalmagiu@yahoo.com
HASMAS,,,0257321777,,,,,,,,,,,,,f.dudas@yahoo.com
IGNESTI,,,0257315555,0257315521,,,,,,,,,,,,primaria.ignesti@yahoo.com
IRATOSU,,,0257454101,,,,,,,,,,,,,vioricacismas@primariairatosu.ro
LIVADA,,,0257381055,,,,,,,,,,,,,omarianaeliza@yahoo.com
MACEA,,,0257536101,,,,,,,,,,,,,primaria.macea@gmail.com
MISCA,,,0257354140,,,,,,,,,,,,,primaria_misca@yahoo.com
MONEASA,,,0257313010,,,,,,,,,,,,,primariamoneasa@clicknet.ro
OLARI,,,0257377132,,,,,,,,,,,,,primaria_olari@yahoo.com
PAULIS,,,0257388101,,,,,,,,,,,,,primariapaulis@gmail.com
PEREGU MARE,,,0257459101,,,,,,,,,,,,,primariaperegumare@yahoo.com
PETRIS,,,0257433800,,,,,,,,,,,,,primariapetris@yahoo.com
PILU,,,0257353811,,,,,,,,,,,,,primariapilu69@artelecom.net
PLESCUTA,,,0257318093,,,,,,,,,,,,,primariaplescuta@yahoo.com
SAGU,,,0257418101,,,,,,,,,,,,,romandanut@yahoo.com
