CUI,COD_INMATRICULARE,DATA_INMATRICULARE,EUID,FIRMA,STARE_FIRMA,FORMA_JURIDICA,TIP_SOCIETATE,TIP_SEDIU,TARA,JUDET,LOCALITATE,STRADA,NR,BLOC,SCARA,ETAJ,APARTAMENT,SECTOR,CONTINUARE_ADRESA,CONTACT_FIRMA,BILANTDEPUS_2018,SUBTIP_BILANT_2018,CAEN_BILANT_2018,CIFRA_AFACERI_2018,PROFIT_NET_2018,PIERDERE_NETA_2018,NR_MEDIU_SALARIATI_2018
17340384,J13/714/2005,2005-03-08,ROONRC.J13/714/2005,DELFINUL COOPERATIVĂ AGRICOLĂ CA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Constanţa,Mangalia,Str. PORTULUI,82,,,,,,CAMERA 1,Telefon: 0743334428; Telefon: 0741996290; ,DA,Soc. com. sistem simplificat 4 formulare,311.0,55751.0,0.0,3552.0,
17546148,J31/324/2005,2005-04-29,ROONRC.J31/324/2005,TOLDI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Sălaj,Nuşfalău,Str. ARANY IANOS,6,,,,,0.0,,Telefon: 0260/67005; Telefon: 670050; ,DA,Soc. com. sistem simplificat 4 formulare,111.0,34176.0,943.0,0.0,
17569150,J04/910/2005,2005-05-10,ROONRC.J04/910/2005,COOPERATIVA AGRICOLĂ AGRAR CENTRALA BACĂU,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Bacău,Bacău,Str. BUCIUM,8,8,B,2,9,0.0,,,NU,,,,,,
17604770,J34/333/2005,2005-05-19,ROONRC.J34/333/2005,LEGUMICULTORUL COOPERATIVĂ AGRICOLĂ CA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Teleorman,Peretu,,,,,,,0.0,,,NU,,,,,,
17661465,J34/377/2005,2005-06-06,ROONRC.J34/377/2005,DEPARAŢI COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Teleorman,Deparaţi,TRIVALEA MOŞTENI,,,,,,0.0,,,NU,,,,,,
17759286,J30/798/2005,2005-07-07,ROONRC.J30/798/2005,AGRAR SATU MARE COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Satu Mare,Satu Mare,Str. GANEA,,CG 42,,,1,0.0,,Telefon: 0741708283; ,NU,,,,,,
17761731,J33/933/2005,2005-07-07,ROONRC.J33/933/2005,AGRAR SUCEAVA - COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Suceava,Suceava,Str. NICOLAE BĂLCESCU,2,3B,A,,7,0.0,,Telefon: 0230538892; ,NU,,,,,,
17761987,J01/802/2005,2005-07-08,ROONRC.J01/802/2005,AGRAR SERV ALBA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Alba,Alba Iulia,B-dul REVOLUŢIEI,21,3AB,,,67,0.0,,,NU,,,,,,
17757765,J06/656/2005,2005-07-14,ROONRC.J06/656/2005,AGRAR BISTRITA NASAUD COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Bistriţa-Năsăud,Bistriţa,Str. MOSILOR,12,,,,,0.0,,Telefon: 0788/416785; ,NU,,,,,,
17841083,J39/664/2005,2005-08-03,ROONRC.J39/664/2005,COOPERATIVA AGRICOLĂ PLAIUL FARAOANELE,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Vrancea,Vârtescoiu,,,,,,,0.0,,Telefon: 0237231191; Fax: 0721588576; Telefon: 676130; ,DA,Soc. com. sistem simplificat 4 formulare,1102.0,,0.0,0.0,
17898349,J33/1112/2005,2005-08-24,ROONRC.J33/1112/2005,ŢARINA-COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Suceava,Iaslovăţ,Str. CENTRU,583,,,,,0.0,,Telefon: 0745491093; ,DA,Soc. com. sistem simplificat 4 formulare,113.0,643735.0,46918.0,0.0,1.0
17952502,J21/476/2005,2005-09-13,ROONRC.J21/476/2005,AGRAR IALOMIŢA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ialomiţa,Ograda,,,,,,,0.0,,,DA,Soc. com. sistem simplificat 4 formulare,111.0,,0.0,0.0,
17961381,J05/1947/2005,2005-09-16,ROONRC.J05/1947/2005,AGRAR BIHOR COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Bihor,Oradea,Str. ALBACULUI,13,,,,,,,Telefon: 0723588321; ,NU,,,,,,
18195754,J39/989/2005,2005-10-27,ROONRC.J39/989/2005,COOPERATIVA AGRICOLĂ  ŞARBA VIN DIVIN,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Vrancea,Odobeşti,Str. LIBERTĂŢII,181,,,,,,,Telefon: 676673; Telefon: 0729959159; ,NU,,,,,,
18154282,J51/721/2005,2005-11-22,ROONRC.J51/721/2005,BĂRĂGANU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Călăraşi,Călăraşi,Str. Prel. Bucureşti,4,N2,3,4,47,0.0,,Telefon: 0242312182; ,NU,,,,,,
18252680,J15/1325/2005,2005-12-23,ROONRC.J15/1325/2005,COOPERATIVA AGRICOLĂ LEGUMICOLĂ LUNGULEŢU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Dâmboviţa,Lunguleţu,COM. LUNGULEŢU,,,,,,0.0,,Telefon: 0721086971; ,NU,,,,,,
18254370,J51/789/2005,2005-12-28,ROONRC.J51/789/2005,LEBĂDA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Călăraşi,Călăraşi,Str. Bărăganului,,L43,,4,18,0.0,,,NU,,,,,,
18261998,J23/9/2006,2006-01-04,ROONRC.J23/9/2006,COOPERATIVA AGRICOLA AGROECOLOGICA 2002,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Ilfov,Creţeşti,Str. PRINCIPALĂ,268,,,,,0.0,,Telefon: 0724395522; Telefon: 0724395522; ,NU,,,,,,
18264986,J05/10/2006,2006-01-06,ROONRC.J05/10/2006,BAKATOR COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Bihor,Diosig,Str. SUCEVEI,1,,,,,0.0,,Telefon: 0259350402; Telefon: 0259-350152; ,DA,Soc. com. sistem simplificat 4 formulare,127.0,,0.0,0.0,
18271991,J51/20/2006,2006-01-09,ROONRC.J51/20/2006,PESCĂREASCĂ JIRLĂU COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Călăraşi,Călăraşi,Str. Frunzelor,9,,,,,0.0,,Telefon: 0726310139; Telefon: 0762601311; ,DA,Soc. com. sistem simplificat 4 formulare,312.0,17075.0,0.0,2955.0,1.0
18285792,C26/2/2006,2006-01-16,ROONRC.C26/2/2006,FANTANA VOIEVODULUI COOPERATIVA AGRICOLA,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Mureş,Târgu Mureş,Str. CUTEZANŢEI,41,,,,5,,,Telefon: 0752483724; ,DA,Soc. com. sistem simplificat 4 formulare,111.0,11645.0,250882.0,0.0,1.0
18382353,J21/77/2006,2006-02-14,ROONRC.J21/77/2006,CASA MIERII IALOMIŢA COOPERATIVĂ AGRICOLĂ,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 2,Sediu social,România,Ialomiţa,Ciulniţa,Str. STÂNJENEI,8A,,,,,,,Telefon: 0724088388; Telefon: 0243215144; ,DA,Soc. com. sistem simplificat 4 formulare,4690.0,20490.0,0.0,5628.0,
18392047,C19/2/2006,2006-02-16,ROONRC.C19/2/2006,COOPERATIVA AGRICOLA RO-CHAMP,funcţiune,Cooperativa Agricola,Cooperativa agricola de gradul 1,Sediu social,România,Harghita,Cristuru Secuiesc,Str. BERDE MOZES,59/A,,,,,0.0,,Telefon: 0745965415; Telefon: 206640; ,NU,,,,,,
