country,city,shop_type,priority,estimated_shops,campaign,notes
Italy,Roma,Prodotti Romanesti / Delicatessen,MEDIUM,120,Italy_Diaspora_Q2_2026,Sample city with ~120 shops total
Italy,Roma,Prodotti Romanesti / Delicatessen,MEDIUM,120,Italy_Diaspora_Q2_2026,Sample city with ~120 shops total
Italy,Roma,Prodotti Romanesti / Delicatessen,MEDIUM,120,Italy_Diaspora_Q2_2026,Sample city with ~120 shops total
Italy,Roma,Prodotti Romanesti / Delicatessen,MEDIUM,120,Italy_Diaspora_Q2_2026,Sample city with ~120 shops total
Italy,Roma,Prodotti Romanesti / Delicatessen,MEDIUM,120,Italy_Diaspora_Q2_2026,Sample city with ~120 shops total
Italy,Milano,Prodotti Romanesti / Delicatessen,MEDIUM,150,Italy_Diaspora_Q2_2026,Sample city with ~150 shops total
Italy,Milano,Prodotti Romanesti / Delicatessen,MEDIUM,150,Italy_Diaspora_Q2_2026,Sample city with ~150 shops total
Italy,Milano,Prodotti Romanesti / Delicatessen,MEDIUM,150,Italy_Diaspora_Q2_2026,Sample city with ~150 shops total
Italy,Milano,Prodotti Romanesti / Delicatessen,MEDIUM,150,Italy_Diaspora_Q2_2026,Sample city with ~150 shops total
Italy,Milano,Prodotti Romanesti / Delicatessen,MEDIUM,150,Italy_Diaspora_Q2_2026,Sample city with ~150 shops total
Italy,Napoli,Prodotti Romanesti / Delicatessen,MEDIUM,80,Italy_Diaspora_Q2_2026,Sample city with ~80 shops total
Italy,Napoli,Prodotti Romanesti / Delicatessen,MEDIUM,80,Italy_Diaspora_Q2_2026,Sample city with ~80 shops total
Italy,Napoli,Prodotti Romanesti / Delicatessen,MEDIUM,80,Italy_Diaspora_Q2_2026,Sample city with ~80 shops total
Italy,Napoli,Prodotti Romanesti / Delicatessen,MEDIUM,80,Italy_Diaspora_Q2_2026,Sample city with ~80 shops total
Italy,Napoli,Prodotti Romanesti / Delicatessen,MEDIUM,80,Italy_Diaspora_Q2_2026,Sample city with ~80 shops total
Italy,Torino,Prodotti Romanesti / Delicatessen,MEDIUM,60,Italy_Diaspora_Q2_2026,Sample city with ~60 shops total
Italy,Torino,Prodotti Romanesti / Delicatessen,MEDIUM,60,Italy_Diaspora_Q2_2026,Sample city with ~60 shops total
Italy,Torino,Prodotti Romanesti / Delicatessen,MEDIUM,60,Italy_Diaspora_Q2_2026,Sample city with ~60 shops total
Italy,Torino,Prodotti Romanesti / Delicatessen,MEDIUM,60,Italy_Diaspora_Q2_2026,Sample city with ~60 shops total
Italy,Firenze,Prodotti Romanesti / Delicatessen,MEDIUM,45,Italy_Diaspora_Q2_2026,Sample city with ~45 shops total
Italy,Firenze,Prodotti Romanesti / Delicatessen,MEDIUM,45,Italy_Diaspora_Q2_2026,Sample city with ~45 shops total
Italy,Firenze,Prodotti Romanesti / Delicatessen,MEDIUM,45,Italy_Diaspora_Q2_2026,Sample city with ~45 shops total
Italy,Palermo,Prodotti Romanesti / Delicatessen,MEDIUM,40,Italy_Diaspora_Q2_2026,Sample city with ~40 shops total
Italy,Palermo,Prodotti Romanesti / Delicatessen,MEDIUM,40,Italy_Diaspora_Q2_2026,Sample city with ~40 shops total
Italy,Palermo,Prodotti Romanesti / Delicatessen,MEDIUM,40,Italy_Diaspora_Q2_2026,Sample city with ~40 shops total
Italy,Bologna,Prodotti Romanesti / Delicatessen,MEDIUM,35,Italy_Diaspora_Q2_2026,Sample city with ~35 shops total
Italy,Bologna,Prodotti Romanesti / Delicatessen,MEDIUM,35,Italy_Diaspora_Q2_2026,Sample city with ~35 shops total
Italy,Venezia,Prodotti Romanesti / Delicatessen,MEDIUM,30,Italy_Diaspora_Q2_2026,Sample city with ~30 shops total
Italy,Venezia,Prodotti Romanesti / Delicatessen,MEDIUM,30,Italy_Diaspora_Q2_2026,Sample city with ~30 shops total
Italy,Genova,Prodotti Romanesti / Delicatessen,MEDIUM,25,Italy_Diaspora_Q2_2026,Sample city with ~25 shops total
Italy,Genova,Prodotti Romanesti / Delicatessen,MEDIUM,25,Italy_Diaspora_Q2_2026,Sample city with ~25 shops total
Italy,Verona,Prodotti Romanesti / Delicatessen,MEDIUM,20,Italy_Diaspora_Q2_2026,Sample city with ~20 shops total
Italy,Verona,Prodotti Romanesti / Delicatessen,MEDIUM,20,Italy_Diaspora_Q2_2026,Sample city with ~20 shops total
