email,name,country,city,phone,category,source
00515423@mil.dk,Forsvarsministeriets Regnskabsstyrelse,Romania,,+4532665716,HORECA,horeca_ro
01marmara@gmail.com,CASA STEJARU,Romania,Oras Baile Govora,,CAMERE DE INCHIRIAT,horeca_ro
06alexem@gmail.com,ANDY,Romania,Mun. Galati,,APARTAMENTE DE INCHIRIAT,horeca_ro
07bellevue@gmail.com,HÔTEL RESTAURANT BELLEVUE,FR,SAINT-MARTIN-D'ARDÈCHE,,HÔTEL DE TOURISME 3 étoiles,companies
1206@rba-dk.dk,Tcb Retail ApS,Romania,,+4531623197,HORECA,horeca_ro
123bettum@gmail.com,BF PROPERTY INVESTMENT AS,Norway,STADLANDET,,Drift av hoteller,norway_emails
12tazastava@gmail.com,Хотел 12-та Застава,Bulgaria,Барутин,0887 654 587,semejni-hoteli,bg_business_catalog
13lesev@gmail.com,WEZEN,Romania,"Com. Limanu, Sat Vama Veche",,CAMERE DE INCHIRIAT,horeca_ro
13monica.hmm@gmail.com,MAN,Romania,Oras Sovata,,VILA TURISTICA,horeca_ro
14scaune@gmail.com,Cabana 14 scaune,Romania,Buzau,,,horeca_ro
167070@ambea.se,Nytida AB,Romania,,,HORECA,horeca_ro
1825580558@qq.com,"",Romania,Municipiul Oradea,"",,lucian_horeca
1829centralapartment@gmail.com,1820 CENTRAL,Romania,Mun. Cluj-Napoca,,CAMERE DE INCHIRIAT,horeca_ro
1gangsgrillband@gmail.com,ENGANGSGRILL ANS,NO,PORSGRUNN,,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk,companies
1@gmail.com,ROBERTINO COMIS DC SRL,Romania,"Olt > ORAS CORABIA > CORABIA, ORS. CORABIA",+40729210022,RESTAURANTE,horeca_ro
1mette.olsen@gmail.com,OLSEN CATERING AS,NO,KROKSTADELVA,918 25 373,Catering for arrangementer,companies
1stglobalrecruit23@gmail.com,HOMESERVICE WELLNESS ASIA S.R.L.,Romania,"",+40732138730,,lucian_horeca
1@yahoo.com,CREMIAL SRL,Romania,"Galati > MUNICIPIUL GALATI > GALATI, MUN. GALATI",+40236321101,RESTAURANTE,horeca_ro
2016radulescu@gmail.com,ASTRIA BOUTIQUE 208,Romania,"Mun. Mangalia, Loc. Olimp",,APARTAMENTE DE INCHIRIAT,horeca_ro
2022hccdk@gmail.com,SUSHI NORD ApS,Denmark,,+4560905888,restaurant,denmark_emails
2024.bigcheese@gmail.com,BIG CHEESE ALIMADAD,Norway,KLØFTA,64 00 03 55,Drift av restauranter,norway_emails
2abobasel@hotmail.no,VILLA MARCO AS,Norway,STOKKE,,Drift av restauranter,norway_emails
30forestazuga@gmail.com,30 FOREST,Romania,Oras Azuga,,APARTAMENTE DE INCHIRIAT,horeca_ro
3braziguraraului@gmail.com,3 BRAZI ZARNESTI,Romania,Oras Zarnesti,,CAMERE DE INCHIRIAT,horeca_ro
407126566@qq.com,Imlaw Consult ApS,Romania,,+4540712656,HORECA,horeca_ro
4581@rba-dk.dk,Tcb Retail ApS,Romania,,+4531623197,HORECA,horeca_ro
4930salon@gmail.com,Goose Pub v/ Tina Rasmussen,DK,,+4541818105,,companies
4agent@gmail.com,STEFAN ANDREI,Romania,Oras Predeal,,CAMERE DE INCHIRIAT,horeca_ro
4friendscoresibrasov@gmail.com,4 FRIENDSCORESIBRASOV PINK,Romania,Mun. Brasov,,APARTAMENTE DE INCHIRIAT,horeca_ro
4roomscentralsibiu@gmail.com,4 ROOMS CENTRAL SIBIU,Romania,Mun. Sibiu,,CAMERE DE INCHIRIAT,horeca_ro
4roomspiatasfatului@gmail.com,4 ROOMS PIATA SFATULUI BRASOV,Romania,Mun. Brasov,,CAMERE DE INCHIRIAT,horeca_ro
5house.sibiu@gmail.com,FIVE HOUSE,Romania,Oras Cisnadie,,CAMERE DE INCHIRIAT,horeca_ro
5stargastrogmbh@pizzeria-bellanapoli.ch,Pizzeria Bella Napoli Zürich,,,+41444507777,,companies
6100@hamasushi.dk,Hama Sushi ApS Haderslev,Denmark,,+4530563499,restaurant,denmark_emails
7caimuscel.rezervari@gmail.com,7 CAI MUSCEL,Romania,"Com. Valea Mare Pravat, Sat Namaesti",,HOSTEL,horeca_ro
8008iustina@gmail.com,SAFRANO PALACE,Romania,Mun. Brasov,,CAMERE DE INCHIRIAT,horeca_ro
82elaheh@gmail.com,SHAKIBATABAR DATAKONSULENT,NO,SANDVIKA,96747512,Dataprogrammeringstjenester,companies
844eecb5a0da4da99b3918516f5a379d@app.getsentry.com,PIZZERIA VENEZIA SRL,,,05151226266,,companies
8610restaurant@werkheim-uster.ch,8610 Restaurant,,,+41588610820,,companies
90alexandrudinu@gmail.com,SNUG APARTMENTS BRASOV,Romania,Mun. Brasov,,APARTAMENTE DE INCHIRIAT,horeca_ro
90cflorescu@gmail.com,FORESTRUN SRL,Romania,"",+40769237508,,lucian_horeca
9135no@gmail.com,VANNØY MATHUSET IVETA DABRAITE,Norway,VANNVÅG,995 74 726,Drift av barer,norway_emails
97196733@online.no,PEER GYNT BISTRO AS,NO,VINSTRA,97196733,Drift av restauranter,companies
97andreienache@gmail.com,STUDIO POIANA BRASOV,Romania,"Mun. Brasov, Loc. Poiana Brasov",,CAMERE DE INCHIRIAT,horeca_ro
a13apartamment@gmail.com,A13,Romania,Mun. Timisoara,,APARTAMENTE DE INCHIRIAT,horeca_ro
aaaserviceas@gmail.com,MANGLERUD KAFÉ AS,Norway,OSLO,90 88 10 81,Drift av restauranter,norway_emails
a.abasuc@yahoo.com,LIVADA BUNICILOR,Romania,"Com. Garcina, Sat Almas",,CAMERE DE INCHIRIAT,horeca_ro
aa@cafemauritz.dk,Cafe Mauritz,DK,,+4591108120,,companies
aahmyran@gmail.com,ANNIKA ALLEMYR HUSTAD,Norway,OSLO,92 42 98 43,Catering for arrangementer,norway_emails
aakhtar@online.no,NASAN NORWAY AS,Norway,OSLO,,Drift av restauranter,norway_emails
