company,email,county,category,phone,website
ANNABELLA FABRICA DE CONSERVE RAURENI S.A.,office@raureni.ro,,horeca,+40250746131,
APOLLO,office@hotelapollo-mamaia.ro,,horeca,,
APOLLO,office@apollohotel.ro,,horeca,,
APOLLO,paul.vintila@yahoo.com,,horeca,,
APOLLO,apostolgheorghe50@gmail.com,,horeca,,
COCA COLA HBC ROMANIA S.R.L.,recrutare@cchellenic.com,,logistics,+40723333922,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,drdpb@andnet.ro,,logistics,+40213186683,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,resurseumane@drdpct.ro,,logistics,+40745349334,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,sruia@drdpcv.ro,,logistics,+40251408720,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,srui.bv@andnet.ro,,logistics,+40268547688,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,drdpbuzau@andnet.ro,,logistics,+40238725443,
COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,achizitii@drdpcluj.ro,,other,+40264432521,
COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE TRANSELECTRICA SA SUCURSALA TERITORIALA DE TRANSPORT TIMISOARA,dana.pojoga@translectrica.ro,,logistics,+40374508111,
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM SA,cariera@tarom.ro,,logistics,+40212013803,
COMPANIA NATIONALA POSTA ROMANA,resurse.umane@cnir.ro,Arges,supermarket,0371660680,
COMPANIA NATIONALA POSTA ROMANA S.A BUCURESTI SUCURSALA BUCURESTI,b.resurseumane@ro.popst,,logistics,+40736705054,
COMPANIA NATIONALA POSTA ROMANA S.A BUCURESTI SUCURSALA BUCURESTI,b.resurseumane@ro.post,,logistics,+40736705054,
COMPANIA NATIONALA POSTA ROMANA S.A. BUCURESTI SUCURSALA IASI,is.resurseumanr@ro-post.ro,,logistics,+40791663319,
COMPANIA NATIONALA POSTA ROMANA SA BUCURESTI SUCURSALA CLUJ NAPOCA,recrutare@ropost.ro,,logistics,+40791055348,
COMPLEX AGROTURISTIC LIVADA DE NUCI,ioana.radescu2013@gmail.com,,horeca,,
CONSERVFRUCT SRL,comercial@conservfruct.ro,,logistics,+40233244085,
CONTRACT COM SRL,contract_com@yahoo.ro,,logistics,+40251533472,
COOPERATIVA AGRICOLA GRADINA NOASTRA DIN ZARAND,lacooperativa@yahoo.com,Arad,agriculture,+40742076166,
Carmangeria Paul SRL,camelia_sorecau@yahoo.com,Alba,meat,0748918231,
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,ilie.raluca@distributie-energie.ro,,logistics,+40264205018,
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,bianca.ionescu@distributie-energie.ro,,logistics,+40260605712,
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,roxana.andreoiu@distributie-energie.ro,,logistics,+40244405018,
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA S.A.,manuela.voicu@distributie-energie.ro,,logistics,+40239605712,
DRAGON R.C. SRL,dragon_rc_srl@yahoo.com,,horeca,+40746033394,
Dacia SA,cazare@pensiunea-dacia.ro,Alba,supermarket,,
FLEISCHPARTY SRL,turbatu.adriana@yahoo.com,,logistics,+40752779603,
FLORINA,balajionel1@gmail.com,,horeca,,
FLORINA,paul_sergiu02@yahoo.com,,horeca,,
FLORINA,pensiuneaflorina96@yahoo.com,,horeca,,
ILVAS SA,ilvas_vs@yahoo.com,,horeca,+40235314414,
KALMAN DISTRIBUTION S.R.L.,office@kalman.ro,,logistics,+40748191111,
MASPEX ROMANIA SRL,c.dimian@maspex.ro,,logistics,+40374124072,
Marul de Aur,contact@maruldeaur.com,,horeca,742582728,
Metro Cash & carry Brasov,resurseumane.arad@metro.ro,Brasov,supermarket,+40741222218,
NORDIC IMPEX SRL,office@nordicsrl.ro,,logistics,+40250745192,
PIINEA DE CASA SRL,hr@kovacs.ro,,horeca,+40265211678,
PRODPROSPER SRL,irina.florea@prodprosper.ro,,horeca,+40233234357,
R B COM SRL,resurseumane@brutariabaiasprie.ro,,logistics,+40786050748,
ROMAN,popgarofita@ymail.com,,horeca,,
SUPERSTAR COM SRL,office@superstarcom.ro,,logistics,+40230560629,
Selgros Cash&Carry,monica.balas@selgros.ro,Bucuresti,supermarket,0265203000,
Simultan SRL,office@smartrecruiters.ro,Bucuresti,logistics,+40256212036,
TOPI IMPORT EXPORT,office@tomsa.ro,Arges,logistics,+40364402020,
TOTAL DISTRIBUTION BEER SRL,paunicaioana@yahoo.com,Bihor,distributor,+40721951525,
Transeuro SRL,contabilitate@transeuro-il.ro,Alba,supermarket,+40741887570,
UNICARM SRL,marian.spirache@unicarm.ro,,logistics,+40753315264,
UNICARM SRL,cristian.vlad@unicarm.ro,,logistics,+40748882294,
UNICARM SRL,daniel.gherhes@unicarm.ro,,logistics,+40747112940,
Unicarm SRL,bogdan.ilies@unicarm.ro,Alba,supermarket,40755030084,
VANBET SRL,resurseumane@vanbet.ro,,logistics,+40235437266,
VASCAR SA,office@vascar.ro,,logistics,+40235361131,
VEL PITAR SA,victoria.radescu@grupobimbo.com,,logistics,+40753058687,
VOIPAN SIL SRL,resurse.umane.voipan@gmail.com,,horeca,+40722377704,
