company,email,county,category,phone,website
3663 (Bidfood),trading@3663.co.uk,,en-gros,,3663.co.uk
A.S.A.L. FRESH SRL,personal@oncos.ro,Brasov,supermarket,+40720600253,
AAK,vanja.stanisavljevic@aak.com,,en-gros,+46406278300,www.aak.com
ACCA MED COMMUNITY SOCIETATE CU RASPUNDERE LIMITATA,toleamihai21@gmail.com,Bihor,supermarket,+40740247400,
"ADAMS VISION SRL,",accounting@vistavision.ro,Brasov,supermarket,+40256308908,
ALBU MANUEL CALIN INTREPRINDERE INDIVIDUALA,craiuoana8@gmail.com,Brasov,supermarket,+40757561654,
ALTEX ROMANIA SRL,chiajna-dm@bricostore.ro,Bihor,supermarket,40762073502,
ANA HOTELS S.R.L.,mihaela.petrache@ihg.com,Brasov,supermarket,+40731305787,
ARTESANA INTERNATIONAL SRL,zskelemen@artemobinternational.com,Bucuresti,supermarket,0731730130,
ASOCIATIA CREATIVE ARTS & EVENTS,nunti@evaprestige.ro,Bucuresti,supermarket,+40774402344,
ASOCIATIA SES BOTOSANI,angelnelias@yahoo.com,Botosani,supermarket,,
ASOCIATIA ZAMBET SI SPERANTA PT VIITOR,galersorin@gmail.com,Bihor,supermarket,+40723993000,
AYT HALAL MEAT PROVIDER SRL,acte2022.office@gmail.com,Bucuresti,supermarket,0314379112,
Accor,alexandre.chaplais@accor.com,,en-gros,+330000000,group.accor.com
Aceites Borges,lopd@borges.es,,en-gros,,www.borges.es
Affinity Petcare,affinitycarehr@bradford.nhs.uk,,en-gros,+336103338,www.affinity-petcare.com
Agravis Raiffeisen,poststelle@ldi.nrw.de,,en-gros,+4902516820,www.agravis.de
Ahold Delhaize,suppliers@aholddelhaize.com,,supermarket,,aholddelhaize.com/suppliers
Aldi Nord,datenschutz@aldi-nord.de,,supermarket,,www.aldi-nord.de
Aldi Nord,lieferanten@aldi-nord.de,,supermarket,,aldi-nord.de/lieferanten
Aldi Sud,lieferanten@aldi-sued.de,,supermarket,,aldi-sued.de/lieferanten
Aldi UK,suppliers@aldi.co.uk,,supermarket,,aldi.co.uk/suppliers
Alexa grup,pensiuneaalexa@gmail.com,Bucuresti,supermarket,,
Asda (Walmart),suppliers@asda.co.uk,,supermarket,,asda.com/suppliers
Asociatia Non Profit Magura Buteni,contabilitate@mariabeatrice.ro,Arad,supermarket,+40745305132,
Asociatia interetnica M.Viteazul,office.indeco@gmail.com,Arges,supermarket,+40232258653,
Atlantic Grupa,procurement@atlanticgrupa.com,,supermarket,,atlanticgrupa.com
Auchan Group,fournisseurs@auchan.com,,supermarket,,auchan-retail.com/fournisseurs
Axfood,info@axfood.se,,supermarket,,www.axfood.se
"BARBIX COM SRL,",scbaroncom@yahoo.com,Brasov,supermarket,+40722220370,
BASF Agricultural,agricultural@basf.com,,supermarket,,basf.com/agricultural
BRAILEANU VALENTIN PERSOANA FIZICA AUTORIZATA,stativalentina6@gmail.com,Bucuresti,supermarket,+40743965137,
Bakkavor,support@q4inc.com,,en-gros,,www.bakkavor.com
BayWa AG,sponsoring@baywa.de,,en-gros,+49899222,www.baywa.com
Bayer CropScience,cropscience@bayer.com,,supermarket,,cropscience.bayer.com
Bestway,buying@bestway.co.uk,,en-gros,,bestwaywholesale.co.uk
Bestway Ethnic,ethnic@bestway.co.uk,,en-gros,,
Bestway Wholesale,ryan@gozipline.com,,en-gros,+442084531234,www.bestway.co.uk
Bidfood,newproducts@bidfood.co.uk,,en-gros,,bidfood.co.uk/suppliers
Billa Bulgaria,dostavchici@billa.bg,,supermarket,,billa.bg/dostavchici
Bingo,nabavka@bfrm.ba,,supermarket,,bfrm.ba
Birmingham Wholesale Market,sales@mackbirmingham.co.uk,,en-gros,+44 121 622 4111,birminghamwholesalemarket.company
Black & White Commerce,valentina.vulea@gmail.com,Bucuresti,supermarket,+40741531132,
Booker (Tesco),suppliers@booker.co.uk,,en-gros,,booker.co.uk/suppliers
Booths,buying@booths.co.uk,,supermarket,,booths.co.uk/suppliers
Brakes,suppliers@brake.co.uk,,en-gros,,brake.co.uk/suppliers
Brasov,scortea.alina@pajisti-grassland.ro,,supermarket,0268472704,33. Comert cu amanuntul exclusiv supermarketuri hipermarketuri.xls
Brno Wholesale Market,jan@novak.cz,,en-gros,+420585413198,www.zetra.cz
Bucuria,commercial@bucuria.md,,supermarket,,bucuria.md
CAAB Bologna,rilevazioneprezzi@caab.it,,en-gros,+390512860152,www.caab.it
CALLIOPE SRL,hr@calliope-ploiesti.ro,Brasov,supermarket,+40730333959,
CAR Roma,car@pec.agroalimroma.it,,en-gros,,www.agroalimroma.it
CARREFOUR ROMANIA SA,oana_pantelemon@carrefour.com,Arad,supermarket,0745621482,
CARRFOUR ROMANIA SA,iuliana_ciolan@carrefour.com,Arad,supermarket,+40746176701,
CASA TANTI MARIA,casatantimaria@yahoo.com,Arges,supermarket,40754767017,
CBA Bulgaria,info@cba.bg,,supermarket,,cba.bg
CBA Hungary,ertekesites@cba.hu,,en-gros,+3680203228,www.cba.hu
CERTINVEST SRL,adriana.simuleac@tgie.ro,Bihor,supermarket,40731890699,
CESALB DISTRIBUTION SRL,hr@conexdist.ro,Bihor,supermarket,+40740083507,
COMPANIA NATIONALA POSTA ROMANA,resurse.umane@cnir.ro,Arges,supermarket,0371660680,
