company,email,county,category,phone,website
2 Sisters Food Group,agricultural@2sfg.com,,distributor,,2sfg.com
2A FARM SRL,hr@2afarm.ro,,logistics,+40763198760,
A C EXPEDITION S.R.L.,matei_claudiu1977@yahoo.com,,logistics,+40766363564,
A-E ELECTRONICS SA,anca.leanca@aee.ro,,logistics,+40234585800,
A.A.A.R.M. SRL,mihaeladeliu@yahoo.com,,logistics,+40745209533,
A.C.S GLOBAL TRADE SRL,office@acsglobal.ro,,logistics,+40722303312,
AB GROUP CERAMICS S.R.L.,office@kaminhorn.ro,,logistics,+40748602891,
AB SMART CONSULTING SRL,o.seceleanu@yahoo.com,,logistics,+40730444788,
ABP Food Group,livestock@abpuk.com,,distributor,,abpfoodgroup.com
AC AM ELA PROSPER SRL,ac_am2010@yahoo.com,,logistics,+40766217998,
ACM ATM S.R.L.,calintirean@gmail.com,,logistics,+40752465733,
ACTIVE AMBIENT S.R.L.,office@activeambient.ro,,logistics,+40264322447,
ACTROS LOGISTIC SRL,officeactroslogistic@gmail.com,,logistics,+40753315740,
ADASPRO CALIBRATIONS TIM S.R.L.,clasebexpert@yahoo.com,,logistics,+40771242604,
ADD FOOD DELIVERY DMG SRL,adelmann.d@yahoo.com,,logistics,+40721318064,
ADER GLOBAL LOGISTIC SRL,adergloballogisticajofm@gmail.com,,logistics,,
ADERACOM SRL,aderacom@gmail.com,,logistics,+40753080459,
ADF PROD SRL,cariere@fereastra-adf.ro,,logistics,+40233227048,
ADIA TRADE SRL,office@aidatrade.ro,,logistics,+40242332130,
ADIMAD SRL,badisors@yahoo.com,,logistics,+40722443988,
ADINA TOP TEAM S.R.L.,rdk_resurserumane@yahoo.com,,logistics,+40730737777,
ADMAXIM DETAILING S.R.L.,andrei.maxim94@gmail.com,,logistics,+40752891524,
ADMINISTRATIA NATIONALA A REZERVELOR DE STAT SI PROBLEME SPECIALE  UNITATEA TERITORIALA 360,dipecer@dap.rowater.ro,Arges,logistics,0232218192,
AEP INTERNATIONAL TRANSPORT S.R.L.,aepinternationaltrans@gmail.com,,logistics,+40784048899,
AEROPORTUL INTERNATIONAL SIBIU RA,secretariat@sibiuairport.ro,,logistics,+40372055862,
AFLUENT SRL,afluent.husi@gmail.com,,logistics,+40764145372,
AGASI SRL,petronela.rosu@agasi.ro,,logistics,+40256495395,
AGER VERITEK SOLUTIONS S.R.L.,dobrecristian655@gmail.com,,logistics,+40749934063,
AGN MOVEMENT SRL,alex.hr@elec.ro,,logistics,+40749502502,
AGRAS FOOD FACTORY SRL,agr_hr@scandia.ro,,logistics,+40756164258,
AGRICOST S.A.,office@aldahra.com,,logistics,+40733101245,
AGRIMAYS SRL,doris_mihalcut@yahoo.com,,logistics,+40746917982,
AGROBIONICS S.R.L.,mihaela.pirvu@carmistin.ro,,logistics,+40735789626,
AGROBOG STAR SRL,agrobog@gmail.com,,logistics,+40758022952,
AGROPAM SRL,agropamsrl@yahoo.com,,logistics,+40752194076,
AGUAVIVA SRL,aguavivasertrans@yahoo.com,,logistics,+40743030297,
AIM FOR THE STARS,mirella.vlasceanu@yahoo.com,,logistics,+40726061490,
ALBATROS GOLD SRL,albatrosgold@yahoo.com,,logistics,+40728014600,
ALBERT COMIMPEX SRL,albert@albertcomimpex.ro,,logistics,+40731001452,
ALEAN ASI CARS SRL,hraleancars@gmx.com,,logistics,+40744600884,
ALEMIRCLEANING SRL,alemircleaning@gmail.com,,logistics,+40758694024,
ALEX AMI TOURTRANS SRL,valentinburtavel@gmail.com,,logistics,+40723345917,
