company,email,county,category,phone
Alka Trading Co,lili.clinciu@alkaco.com,Bucuresti,horeca,+40729154229
Asociatia Felicia Akkaya,contact@alexandraanastasiei.ro,Bucuresti,horeca,+40743014626
Blue Level,mariana@everestjobs.eu,Bucuresti,horeca,+40724759844
Bravo Logistic Distribution SRL,albertdistribution@yahoo.com,Bucuresti,horeca,+40726426315
Cribov Fod Delivery S.R.L,resurseumane@mammamia.ro,Bucuresti,horeca,0746330294
DGASPC Sector 5,birou.asistenti.personali@social2.ro,Bucuresti,horeca,+40212522202
Development Market Services,ioana.zgaia@yahoo.com,Bucuresti,horeca,+40721049209
FLAP CO INTERNATIONAL SRL,office@workforceexpert.ro,Bucuresti,horeca,+40759912953
Garage Coffee Shop,tucano.dominicana@gmail.com,Bucuresti,horeca,+40764891998
Gradinita  cu orar prelungit nr.30,claudiaitimoce@gmail.com,Bucuresti,horeca,+40745505129
Melek Office SRL,melek_office@yahoo.com,Bucuresti,horeca,+40755742101
SC Intelligent Management Consulting srl,rtmc052021@gmail.com,Bucuresti,horeca,+40746883505
SCOALA PRIMARA ETOS ACADEMY,scoalaatelier1@yahoo.com,Bucuresti,horeca,+40743350277
SOCIETATEA DE TRANSPORT BUCURESTI STB SA,customercare@euroweb.ro,Bucuresti,horeca,+40264425861
SPOONFULL SRL,daniel@spoonful.ro,Bucuresti,horeca,+40745777746
Sasha & Vlad Company SRL,hr@carnepui.ro,Bucuresti,horeca,0722777212
Stanli Invest SRL,florin_c04@yahoo.it,Bucuresti,horeca,0744475587
