company,cui,county,city,address,phone,email,website,category,subcategory,source
MAGIC GRUP SRL,,,,,,info@pensiunea-magic.ro,,agriculture,,MASTER_CLEAN.csv
SC Merisor SRL,,,,,,pensiuneamerisor@gmail.com,,agriculture,,MASTER_CLEAN.csv
AGRA'S SRL,,Alba,,"ALBA IULIA, TRANSILVANIEI,NR.9, BL.20, AP.2",,,,agriculture,,LOGISTICS_RO.csv
AGRILINE SRL,,Alba,,"PIANU DE JOS,STR.PRINCIPALA, NR.70042",,,,agriculture,,LOGISTICS_RO.csv
AGRI MORAR INTERNATIONAL SRL,,Alba,,"AIUD, STR. ION CREANGA, NR. 15",+40234577600,juridic@agricola.ro,,agriculture,,LOGISTICS_RO.csv
AGRO FABIO SRL,,Alba,,"CAMPENI, STR. TURZII, NR.37",,,,agriculture,,LOGISTICS_RO.csv
AGROMAX  MAN SRL,,Alba,,"BARABANT,STR.GARII,NR.4",,,,agriculture,,LOGISTICS_RO.csv
ALANA BUSINESS SRL,,Alba,,"SEBES, STR. AUGUSTIN BENA, NR.10",,,,agriculture,,LOGISTICS_RO.csv
ALECS GEONET SRL,,Alba,,"CIMPENI, STR. LIBERTATII, NR.2",,,,agriculture,,LOGISTICS_RO.csv
ALMINA GOLD SRL,,Alba,,"ALBA IULIA, STR. FANTANELE, NR.21",,,,agriculture,,LOGISTICS_RO.csv
AQUA REGIA INVEST SRL,,Alba,,"ALBA IULIA,SOSEUA  DE CENTURA NR.5",,,,agriculture,,LOGISTICS_RO.csv
AROMA CAFFE MILANO SRL,,Alba,,"SEBES,STR.DRUMUL SIBIULUI,NR.10",,,,agriculture,,LOGISTICS_RO.csv
AXA FOOD PROD SRL,,Alba,,"ALBA IULIA,TARLA DUPA GARA CF107872",,,,agriculture,,LOGISTICS_RO.csv
BEST OUTLET SRL,,Alba,,"BLAJ,STR.IULIU MANIU,NR.1A",,,,agriculture,,LOGISTICS_RO.csv
BRENDCAFE SRL,,Alba,,"ALBA IULIA, STR. REPUBLICII, NR. 32",,,,agriculture,,LOGISTICS_RO.csv
BURA COMPANY SRL,,Alba,,"LOC.VINEREA,CUGIR,NR.390 A",,,,agriculture,,LOGISTICS_RO.csv
CABANA LOREDANA SRL,,Alba,,"SAT POPESTII DE JOS,NR.369,COM.VADU MOTILOR",,,,agriculture,,LOGISTICS_RO.csv
CAMAREX SRL,,Alba,,"OCNA MURES,STR.M.EMINESCU,NR.21",,,,agriculture,,LOGISTICS_RO.csv
CANALCOST RO SRL,,Alba,,"LOC. BARABANT,MUN. ALBA IULIA,STR. GARII, NR. 2A,AP.U1",,,,agriculture,,LOGISTICS_RO.csv
CARBOCOCS TRADING SRL,,Alba,,"OCNA MURES,STR.M.EMINESCU,NR.21",,,,agriculture,,LOGISTICS_RO.csv
CERES SERVICES SRL,,Alba,,"DRAMBAR, COM. CIUGUD, STR. ENERGIEI, NR.3A",,,,agriculture,,LOGISTICS_RO.csv
CHARME COSMETICS SRL,,Alba,,"SAT PIANU DE JOS,STR.HOREA,NR.1,COM.PIANU",,,,agriculture,,LOGISTICS_RO.csv
CUIDRES 2013 SRL,,Alba,,"CUGIR,STR.SERELOR,NR.FN",,,,agriculture,,LOGISTICS_RO.csv
CXB ECOM SRL,,Alba,,"ALBA IULA,STR.VASILE ALECSANDRI,NR.68",,,,agriculture,,LOGISTICS_RO.csv
DALI MAR PLUS,,Alba,,"BISTRA.CALEA TURZII,NR.80A",,,,agriculture,,LOGISTICS_RO.csv
DANADVICE SRL,,Alba,,"COM.ROSIA DE SECAS, NR.FN",,,,agriculture,,LOGISTICS_RO.csv
Diamar Distribution SRL,,Alba,,"Alba Iulia, Str. Livezii, Nr37",0241585805,office@dakoct.ro secretariat@dakoct.ro,,agriculture,,DISTRIBUTORS_RO.csv
DRAGO FRUCT SRL,,Alba,,"TEIUS, STR. MIHAIL KOGALNICEANU, NR.25",,,,agriculture,,LOGISTICS_RO.csv
ESENTIVIA SRL,,Alba,,"DRAMBAR, COM. CIUGUD, STR. ENERGIEI, NR.2B",,,,agriculture,,LOGISTICS_RO.csv
FAREL DSL SRL,,Alba,,"ALBA IULIA, STR. GHEORGHE SINCAI, NR.6-8",,,,agriculture,,LOGISTICS_RO.csv
FLAWLESS SOLUTIONS SRL,,Alba,,"ALBA IULIA,STR.BRINDUSEI,NR.55A",,,,agriculture,,LOGISTICS_RO.csv
FLEXPRESSO SRL,,Alba,,1562/VA-BV/12.02.2025/25.06.2025,,,,agriculture,,LOGISTICS_RO.csv
GREEN BIOLIFE SRL,,Alba,,"SEBES, STR. M KOGALNICEANU, NR.27",,,,agriculture,,LOGISTICS_RO.csv
Inchise din proprie initiativa,,Alba,,,,,,agriculture,,LOGISTICS_RO.csv
INTERFRUCT SRL,,Alba,,"CAMPENI, STR. TURZII, NR. 18",,,,agriculture,,LOGISTICS_RO.csv
JANOS ES MAGDOLNA SRL,,Alba,,"CUGIR,STR.CLOSCA,NR.42",,,,agriculture,,LOGISTICS_RO.csv
JIDVEI SRL,,Alba,,"BLAJ,STR.GHEORGHE BARITIU,NR.36",,,,agriculture,,LOGISTICS_RO.csv
J & S ONION*S AGRI SRL,,Alba,,"SAT PIANU DE JOS,COM.PIAN,STR.HOREANR.1H",,,,agriculture,,LOGISTICS_RO.csv
KARLEX DISTRIBUTION SRL,37992277,Alba,,"ALBA IULIA, STR. SIRETULUI, NR.31D",+40755584336,tamyoprica@yahoo.com,,agriculture,,DISTRIBUTORS_RO.csv
LA FANTANA SRL,,Alba,,"ALBA IULA,STR.ALEX.IOAN CUZA,NR.33C",,,,agriculture,,LOGISTICS_RO.csv
LGF LAGHEZZA GASTRO FOOD SRL,,Alba,,"SEBES, STR. HOREA, NR.66",,,,agriculture,,LOGISTICS_RO.csv
LIQUID STORE SRL,,Alba,,"ALBA IULIA, STR.ALEXANDRU IOAN CUZA, NR.21A",,,,agriculture,,LOGISTICS_RO.csv
Lusarom SRL,,Alba,,"ALBA IULIA,STR. GEORGE BARITIU,NR.5,BLE1,PARTER",,,,agriculture,,LOGISTICS_RO.csv
LUSAROM  SRL,,Alba,,"ALBA IULIA,STR. GEORGE BARITIU,NR.5,BLE1,PARTER",,,,agriculture,,LOGISTICS_RO.csv
MAGIC GRUP SRL,,Alba,,"SARD,COM.IGHIU,NR.550E",,aditen@xnet.ro,,agriculture,,LOGISTICS_RO.csv
MAGNOLIA SRL,,Alba,,"ALBA IULA,STR.SEBESULUI,Nr.5",,contact@pensiunea-magnolia.ro,,agriculture,,LOGISTICS_RO.csv
MAILAT DRAGOS IOAN IF,,Alba,,"IGHIU,NR.2B",,,,agriculture,,LOGISTICS_RO.csv
MARGINEAN AURELIA PFA,,Alba,,"MIRASLAU, COM MIRASLAU, STR. BERCULUI, NR.141",,,,agriculture,,LOGISTICS_RO.csv
Maria Turism SRL,,Alba,,"CETATEA DE BALTA,STR.CETATII,NR.105A",,,,agriculture,,LOGISTICS_RO.csv
MASTER & COMMANDER SRL,,Alba,,"AIUD, STR. ION CREANGA, NR. 83",,,,agriculture,,LOGISTICS_RO.csv
MECSOL GALDA SRL,,Alba,Galda de Jos,"GALDA DE JOS, STR. PRINCIPALA, NR. 573",,,,agriculture,,LOGISTICS_RO.csv
MON AGRAR KULTURAN SRL,,Alba,,"ROSIA DE SECAS,STR.SCOLII,NR.260",,,,agriculture,,LOGISTICS_RO.csv
MONTANARO SRL,,Alba,,"BUCERDEA VINOASA,NR.14,COM.IGHIU",,,,agriculture,,LOGISTICS_RO.csv
NOVIA BIIA SRL,,Alba,,"SONA, STR. 6 MARTIE, FN",,,,agriculture,,LOGISTICS_RO.csv
OPREMIS SRL,,Alba,,"PIANU DE JOS,NR.1H,CF 78334, COM.PIANU",,,,agriculture,,LOGISTICS_RO.csv
